frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-17.67,-16.41,-17.68,-16.42,6.00,6.56,2.87,-11.67,-11.68,-1.26
20.20,-17.58,-16.35,-17.58,-16.35,6.00,6.56,2.96,-11.58,-11.58,-1.23
20.40,-17.51,-16.31,-17.48,-16.28,6.00,6.55,3.04,-11.51,-11.48,-1.20
20.61,-17.37,-16.19,-17.37,-16.19,6.00,6.55,3.13,-11.37,-11.37,-1.18
20.81,-17.23,-16.08,-17.24,-16.09,6.00,6.54,3.21,-11.23,-11.24,-1.15
21.02,-17.10,-15.98,-17.10,-15.98,6.00,6.53,3.31,-11.10,-11.10,-1.12
21.23,-16.99,-15.88,-17.00,-15.89,6.00,6.53,3.40,-10.99,-11.00,-1.11
21.44,-16.91,-15.81,-16.91,-15.81,6.00,6.52,3.50,-10.91,-10.91,-1.10
21.66,-16.83,-15.74,-16.83,-15.73,6.00,6.51,3.60,-10.83,-10.83,-1.09
21.87,-16.75,-15.66,-16.75,-15.66,6.00,6.51,3.70,-10.75,-10.75,-1.09
22.09,-16.65,-15.57,-16.65,-15.57,6.00,6.50,3.81,-10.65,-10.65,-1.08
22.31,-16.56,-15.48,-16.55,-15.47,6.00,6.49,3.91,-10.56,-10.55,-1.08
22.54,-16.43,-15.35,-16.44,-15.35,6.00,6.48,4.02,-10.43,-10.44,-1.08
22.76,-16.32,-15.23,-16.31,-15.23,6.00,6.48,4.14,-10.32,-10.31,-1.08
22.99,-16.18,-15.09,-16.19,-15.10,6.00,6.47,4.25,-10.18,-10.19,-1.09
23.22,-16.06,-14.97,-16.06,-14.96,6.00,6.46,4.38,-10.06,-10.06,-1.09
23.45,-15.93,-14.83,-15.93,-14.83,6.00,6.45,4.50,-9.93,-9.93,-1.10
23.69,-15.79,-14.70,-15.80,-14.71,6.00,6.44,4.62,-9.79,-9.80,-1.10
