frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-8.25,-12.91,-8.25,-12.91,6.00,6.08,2.75,-2.25,-2.25,4.66
20.20,-8.14,-12.84,-8.14,-12.84,6.00,6.08,2.83,-2.14,-2.14,4.70
20.40,-8.03,-12.77,-8.04,-12.77,6.00,6.08,2.91,-2.03,-2.04,4.74
20.61,-7.93,-12.69,-7.93,-12.69,6.00,6.08,2.99,-1.93,-1.93,4.75
20.81,-7.82,-12.62,-7.82,-12.62,6.00,6.08,3.08,-1.82,-1.82,4.79
21.02,-7.71,-12.55,-7.71,-12.54,6.00,6.08,3.17,-1.71,-1.71,4.83
21.23,-7.60,-12.46,-7.60,-12.46,6.00,6.07,3.25,-1.60,-1.60,4.85
21.44,-7.49,-12.36,-7.49,-12.37,6.00,6.07,3.35,-1.49,-1.49,4.87
21.66,-7.38,-12.28,-7.38,-12.27,6.00,6.07,3.44,-1.38,-1.38,4.89
21.87,-7.27,-12.17,-7.27,-12.18,6.00,6.07,3.54,-1.27,-1.27,4.90
22.09,-7.16,-12.08,-7.16,-12.08,6.00,6.07,3.64,-1.16,-1.16,4.92
22.31,-7.06,-11.99,-7.06,-11.99,6.00,6.07,3.75,-1.06,-1.06,4.93
22.54,-6.95,-11.88,-6.95,-11.89,6.00,6.07,3.85,-0.95,-0.95,4.93
22.76,-6.84,-11.78,-6.84,-11.78,6.00,6.07,3.96,-0.84,-0.84,4.94
22.99,-6.73,-11.67,-6.74,-11.68,6.00,6.07,4.07,-0.73,-0.74,4.94
23.22,-6.63,-11.58,-6.63,-11.58,6.00,6.07,4.19,-0.63,-0.63,4.95
23.45,-6.52,-11.48,-6.52,-11.48,6.00,6.07,4.30,-0.52,-0.52,4.96
23.69,-6.41,-11.38,-6.41,-11.39,6.00,6.07,4.42,-0.41,-0.41,4.97
23.92,-6.30,-11.29,-6.30,-11.29,6.00,6.07,4.54,-0.30,-0.30,4.99
24.16,-6.20,-11.21,-6.20,-11.20,6.00,6.07,4.67,-0.20,-0.20,5.01
24.40,-6.09,-11.11,-6.09,-11.11,6.00,6.07,4.79,-0.09,-0.09,5.02
24.65,-5.98,-11.00,-5.98,-11.01,6.00,6.06,4.92,0.02,0.02,5.02
24.89,-5.88,-10.92,-5.88,-10.91,6.00,6.06,5.05,0.12,0.12,5.04
25.14,-5.77,-10.82,-5.77,-10.82,6.00,6.06,5.18,0.23,0.23,5.05
25.39,-5.67,-10.72,-5.67,-10.73,6.00,6.06,5.31,0.33,0.33,5.06
25.65,-5.56,-10.63,-5.56,-10.63,6.00,6.06,5.45,0.44,0.44,5.06
25.91,-5.46,-10.54,-5.46,-10.53,6.00,6.06,5.58,0.54,0.54,5.07
26.16,-5.35,-10.43,-5.35,-10.44,6.00,6.06,5.71,0.65,0.65,5.08
26.43,-5.25,-10.35,-5.25,-10.35,6.00,6.06,5.85,0.75,0.75,5.09
26.69,-5.15,-10.26,-5.15,-10.26,6.00,6.06,5.98,0.85,0.85,5.11
26.96,-5.05,-10.17,-5.05,-10.17,6.00,6.05,6.11,0.95,0.95,5.12
27.23,-4.95,-10.08,-4.95,-10.08,6.00,6.05,6.24,1.05,1.05,5.13
27.50,-4.85,-10.00,-4.85,-10.00,6.00,6.05,6.37,1.15,1.15,5.15
27.77,-4.75,-9.90,-4.75,-9.90,6.00,6.05,6.49,1.25,1.25,5.15
28.05,-4.65,-9.82,-4.65,-9.81,6.00,6.05,6.61,1.35,1.35,5.17
28.33,-4.55,-9.72,-4.55,-9.72,6.00,6.05,6.72,1.45,1.45,5.17
28.62,-4.45,-9.64,-4.45,-9.63,6.00,6.05,6.83,1.55,1.55,5.18
28.90,-4.35,-9.55,-4.35,-9.55,6.00,6.04,6.92,1.65,1.65,5.19
29.19,-4.26,-9.46,-4.26,-9.47,6.00,6.04,7.02,1.74,1.74,5.20
29.48,-4.17,-9.39,-4.17,-9.39,6.00,6.04,7.10,1.83,1.83,5.22
29.78,-4.08,-9.31,-4.08,-9.31,6.00,6.04,7.18,1.92,1.92,5.23
30.08,-3.99,-9.23,-4.00,-9.24,6.00,6.04,7.25,2.01,2.00,5.24
30.38,-3.91,-9.16,-3.91,-9.16,6.00,6.04,7.31,2.09,2.09,5.25
30.68,-3.83,-9.09,-3.83,-9.08,6.00,6.03,7.35,2.17,2.17,5.26
30.99,-3.74,-9.01,-3.75,-9.01,6.00,6.03,7.39,2.26,2.25,5.27
31.30,-3.66,-8.94,-3.66,-8.94,6.00,6.03,7.41,2.34,2.34,5.27
31.61,-3.58,-8.87,-3.58,-8.87,6.00,6.03,7.43,2.42,2.42,5.29
31.93,-3.50,-8.79,-3.50,-8.79,6.00,6.02,7.43,2.50,2.50,5.29
32.24,-3.42,-8.72,-3.42,-8.72,6.00,6.02,7.43,2.58,2.58,5.30
32.57,-3.34,-8.65,-3.34,-8.65,6.00,6.02,7.41,2.66,2.66,5.31
32.89,-3.27,-8.60,-3.27,-8.59,6.00,6.02,7.39,2.73,2.73,5.33
33.22,-3.20,-8.53,-3.20,-8.53,6.00,6.01,7.35,2.80,2.80,5.33
33.55,-3.13,-8.47,-3.13,-8.47,6.00,6.01,7.31,2.87,2.87,5.34
33.89,-3.06,-8.40,-3.06,-8.41,6.00,6.01,7.26,2.94,2.94,5.34
34.23,-2.99,-8.35,-2.99,-8.35,6.00,6.01,7.20,3.01,3.01,5.36
34.57,-2.92,-8.28,-2.92,-8.28,6.00,6.00,7.14,3.08,3.08,5.36
34.92,-2.85,-8.22,-2.85,-8.22,6.00,6.00,7.07,3.15,3.15,5.37
35.27,-2.78,-8.16,-2.78,-8.15,6.00,6.00,7.00,3.22,3.22,5.37
35.62,-2.72,-8.09,-2.72,-8.09,6.00,5.99,6.93,3.28,3.28,5.37
35.97,-2.65,-8.02,-2.65,-8.03,6.00,5.99,6.85,3.35,3.35,5.37
36.33,-2.59,-7.98,-2.59,-7.97,6.00,5.98,6.77,3.41,3.41,5.39
36.70,-2.53,-7.92,-2.53,-7.91,6.00,5.98,6.69,3.47,3.47,5.38
37.06,-2.47,-7.84,-2.47,-7.85,6.00,5.98,6.60,3.53,3.53,5.37
37.43,-2.41,-7.79,-2.41,-7.78,6.00,5.97,6.52,3.59,3.59,5.38
37.81,-2.34,-7.72,-2.34,-7.72,6.00,5.97,6.44,3.66,3.66,5.38
38.19,-2.28,-7.65,-2.28,-7.66,6.00,5.96,6.36,3.72,3.72,5.37
38.57,-2.22,-7.60,-2.22,-7.59,6.00,5.96,6.28,3.78,3.78,5.38
38.95,-2.16,-7.53,-2.16,-7.53,6.00,5.95,6.21,3.84,3.84,5.37
39.34,-2.09,-7.45,-2.10,-7.46,6.00,5.95,6.13,3.91,3.90,5.36
39.74,-2.03,-7.38,-2.03,-7.39,6.00,5.94,6.06,3.97,3.97,5.35
40.14,-1.97,-7.33,-1.97,-7.32,6.00,5.94,5.99,4.03,4.03,5.36
40.54,-1.90,-7.25,-1.91,-7.25,6.00,5.93,5.93,4.10,4.09,5.34
40.94,-1.84,-7.19,-1.84,-7.19,6.00,5.93,5.86,4.16,4.16,5.35
41.35,-1.77,-7.12,-1.77,-7.12,6.00,5.92,5.81,4.23,4.23,5.35
41.76,-1.71,-7.05,-1.71,-7.05,6.00,5.91,5.75,4.29,4.29,5.34
42.18,-1.64,-6.99,-1.64,-6.99,6.00,5.91,5.70,4.36,4.36,5.35
