frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-30.23,-31.39,-30.23,-31.39,6.00,5.87,2.65,-24.23,-24.23,1.16
20.20,-30.10,-31.30,-30.10,-31.30,6.00,5.87,2.73,-24.10,-24.10,1.20
20.40,-29.96,-31.20,-29.97,-31.20,6.00,5.87,2.81,-23.96,-23.97,1.24
20.61,-29.83,-31.09,-29.83,-31.10,6.00,5.87,2.89,-23.83,-23.83,1.26
20.81,-29.70,-31.00,-29.70,-31.00,6.00,5.87,2.97,-23.70,-23.70,1.30
21.02,-29.57,-30.91,-29.57,-30.90,6.00,5.87,3.05,-23.57,-23.57,1.34
21.23,-29.43,-30.79,-29.43,-30.79,6.00,5.87,3.14,-23.43,-23.43,1.36
21.44,-29.30,-30.68,-29.30,-30.68,6.00,5.87,3.23,-23.30,-23.30,1.38
21.66,-29.16,-30.56,-29.16,-30.56,6.00,5.88,3.32,-23.16,-23.16,1.40
21.87,-29.03,-30.44,-29.03,-30.44,6.00,5.88,3.41,-23.03,-23.03,1.41
22.09,-28.89,-30.32,-28.89,-30.31,6.00,5.88,3.51,-22.89,-22.89,1.43
22.31,-28.75,-30.18,-28.75,-30.18,6.00,5.88,3.61,-22.75,-22.75,1.44
22.54,-28.61,-30.05,-28.61,-30.05,6.00,5.88,3.71,-22.61,-22.61,1.44
22.76,-28.48,-29.92,-28.48,-29.92,6.00,5.88,3.82,-22.48,-22.48,1.44
22.99,-28.34,-29.79,-28.34,-29.79,6.00,5.88,3.92,-22.34,-22.34,1.44
23.22,-28.20,-29.65,-28.20,-29.66,6.00,5.88,4.03,-22.20,-22.20,1.45
23.45,-28.06,-29.52,-28.06,-29.52,6.00,5.89,4.14,-22.06,-22.06,1.46
23.69,-27.92,-29.40,-27.92,-29.40,6.00,5.89,4.26,-21.92,-21.92,1.47
23.92,-27.78,-29.27,-27.78,-29.27,6.00,5.89,4.38,-21.78,-21.78,1.49
24.16,-27.63,-29.14,-27.63,-29.14,6.00,5.89,4.50,-21.63,-21.63,1.51
24.40,-27.49,-29.01,-27.49,-29.01,6.00,5.89,4.62,-21.49,-21.49,1.52
24.65,-27.35,-28.87,-27.35,-28.88,6.00,5.89,4.74,-21.35,-21.35,1.52
24.89,-27.21,-28.75,-27.21,-28.75,6.00,5.89,4.86,-21.21,-21.21,1.54
25.14,-27.07,-28.62,-27.07,-28.61,6.00,5.90,4.99,-21.07,-21.07,1.55
25.39,-26.92,-28.48,-26.92,-28.48,6.00,5.90,5.12,-20.92,-20.92,1.56
25.65,-26.78,-28.35,-26.78,-28.35,6.00,5.90,5.25,-20.78,-20.78,1.57
25.91,-26.63,-28.21,-26.63,-28.21,6.00,5.90,5.37,-20.63,-20.63,1.58
26.16,-26.49,-28.08,-26.49,-28.08,6.00,5.90,5.50,-20.49,-20.49,1.59
26.43,-26.34,-27.94,-26.34,-27.94,6.00,5.90,5.63,-20.34,-20.34,1.60
26.69,-26.20,-27.82,-26.20,-27.81,6.00,5.91,5.76,-20.20,-20.20,1.62
26.96,-26.05,-27.68,-26.06,-27.68,6.00,5.91,5.88,-20.05,-20.06,1.62
27.23,-25.91,-27.55,-25.91,-27.55,6.00,5.91,6.01,-19.91,-19.91,1.63
27.50,-25.76,-27.41,-25.76,-27.41,6.00,5.91,6.13,-19.76,-19.76,1.65
27.77,-25.61,-27.26,-25.61,-27.27,6.00,5.91,6.25,-19.61,-19.61,1.65
28.05,-25.46,-27.13,-25.46,-27.13,6.00,5.91,6.36,-19.46,-19.46,1.67
28.33,-25.32,-26.99,-25.32,-26.99,6.00,5.92,6.47,-19.32,-19.32,1.67
28.62,-25.17,-26.86,-25.17,-26.86,6.00,5.92,6.57,-19.17,-19.17,1.69
28.90,-25.02,-26.72,-25.02,-26.72,6.00,5.92,6.67,-19.02,-19.02,1.70
29.19,-24.87,-26.58,-24.87,-26.58,6.00,5.92,6.76,-18.87,-18.87,1.71
29.48,-24.72,-26.45,-24.72,-26.44,6.00,5.92,6.84,-18.72,-18.72,1.73
29.78,-24.57,-26.31,-24.57,-26.31,6.00,5.92,6.92,-18.57,-18.57,1.73
30.08,-24.42,-26.17,-24.43,-26.17,6.00,5.93,6.99,-18.42,-18.43,1.74
30.38,-24.29,-26.04,-24.29,-26.04,6.00,5.93,7.05,-18.29,-18.29,1.75
30.68,-24.15,-25.91,-24.15,-25.91,6.00,5.93,7.09,-18.15,-18.15,1.76
