frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.56,7.04,12.56,7.03,-7.04,-6.26,-3.63,5.52,5.52,5.52
20.20,12.60,7.04,12.60,7.04,-7.04,-6.37,-3.73,5.56,5.56,5.56
20.40,12.65,7.05,12.65,7.05,-7.04,-6.47,-3.83,5.61,5.60,5.60
20.61,12.69,7.07,12.69,7.06,-7.05,-6.57,-3.94,5.64,5.64,5.62
20.81,12.73,7.07,12.73,7.07,-7.06,-6.67,-4.04,5.67,5.67,5.66
21.02,12.77,7.07,12.77,7.08,-7.08,-6.76,-4.15,5.69,5.69,5.70
21.23,12.82,7.10,12.82,7.09,-7.10,-6.86,-4.27,5.72,5.72,5.72
21.44,12.86,7.12,12.86,7.12,-7.12,-6.96,-4.39,5.74,5.74,5.74
21.66,12.90,7.14,12.90,7.14,-7.14,-7.05,-4.51,5.76,5.76,5.76
21.87,12.95,7.18,12.95,7.17,-7.17,-7.14,-4.63,5.78,5.78,5.77
22.09,12.99,7.20,12.99,7.20,-7.20,-7.24,-4.76,5.79,5.79,5.79
22.31,13.03,7.23,13.03,7.23,-7.24,-7.32,-4.89,5.79,5.80,5.80
22.54,13.07,7.27,13.07,7.27,-7.27,-7.41,-5.02,5.80,5.80,5.80
22.76,13.12,7.31,13.12,7.31,-7.31,-7.49,-5.16,5.81,5.81,5.81
22.99,13.16,7.35,13.16,7.35,-7.34,-7.57,-5.30,5.82,5.82,5.81
23.22,13.20,7.38,13.20,7.38,-7.37,-7.65,-5.44,5.83,5.83,5.82
23.45,13.24,7.41,13.24,7.41,-7.40,-7.72,-5.59,5.84,5.84,5.83
23.69,13.28,7.44,13.28,7.44,-7.43,-7.79,-5.74,5.84,5.85,5.84
23.92,13.32,7.46,13.32,7.46,-7.46,-7.86,-5.90,5.86,5.86,5.86
24.16,13.36,7.48,13.36,7.49,-7.49,-7.92,-6.05,5.87,5.87,5.88
24.40,13.40,7.51,13.40,7.51,-7.52,-7.98,-6.21,5.89,5.88,5.89
24.65,13.43,7.54,13.43,7.54,-7.54,-8.04,-6.38,5.89,5.89,5.89
24.89,13.47,7.56,13.47,7.57,-7.57,-8.09,-6.54,5.90,5.90,5.91
25.14,13.51,7.59,13.51,7.59,-7.59,-8.13,-6.71,5.92,5.92,5.92
25.39,13.55,7.62,13.55,7.62,-7.62,-8.17,-6.88,5.93,5.93,5.93
25.65,13.58,7.64,13.58,7.65,-7.64,-8.21,-7.05,5.94,5.94,5.94
25.91,13.62,7.67,13.62,7.67,-7.67,-8.24,-7.22,5.95,5.95,5.95
26.16,13.65,7.70,13.65,7.69,-7.69,-8.27,-7.40,5.96,5.96,5.96
26.43,13.68,7.72,13.68,7.71,-7.71,-8.29,-7.57,5.97,5.97,5.96
26.69,13.71,7.73,13.71,7.73,-7.73,-8.31,-7.74,5.98,5.98,5.98
26.96,13.74,7.75,13.74,7.75,-7.75,-8.33,-7.91,5.99,5.99,5.99
27.23,13.78,7.78,13.78,7.77,-7.77,-8.34,-8.08,6.01,6.00,6.00
27.50,13.81,7.79,13.81,7.79,-7.79,-8.35,-8.25,6.02,6.02,6.02
27.77,13.84,7.82,13.84,7.81,-7.81,-8.35,-8.41,6.03,6.03,6.02
28.05,13.86,7.82,13.86,7.83,-7.83,-8.35,-8.56,6.03,6.04,6.04
28.33,13.89,7.85,13.89,7.85,-7.84,-8.35,-8.71,6.05,6.05,6.04
28.62,13.92,7.86,13.92,7.86,-7.86,-8.34,-8.85,6.06,6.06,6.06
28.90,13.94,7.87,13.94,7.88,-7.87,-8.33,-8.99,6.07,6.07,6.07
29.19,13.97,7.89,13.97,7.89,-7.89,-8.32,-9.11,6.08,6.08,6.08
29.48,13.99,7.89,13.99,7.90,-7.90,-8.30,-9.22,6.09,6.09,6.10
29.78,14.01,7.91,14.01,7.91,-7.91,-8.29,-9.32,6.10,6.10,6.10
30.08,14.04,7.93,14.04,7.92,-7.92,-8.27,-9.40,6.12,6.11,6.11
30.38,14.06,7.94,14.06,7.94,-7.94,-8.25,-9.48,6.12,6.13,6.12
30.68,14.08,7.95,14.08,7.95,-7.95,-8.23,-9.53,6.13,6.13,6.13
