frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.01,6.75,11.01,6.75,-6.75,-7.14,-3.18,4.26,4.26,4.26
20.20,11.03,6.73,11.03,6.74,-6.74,-7.13,-3.27,4.29,4.30,4.30
20.40,11.06,6.72,11.06,6.73,-6.73,-7.12,-3.36,4.33,4.33,4.34
20.61,11.08,6.72,11.08,6.72,-6.72,-7.11,-3.45,4.36,4.37,4.35
20.81,11.11,6.71,11.11,6.71,-6.71,-7.10,-3.55,4.40,4.40,4.40
21.02,11.13,6.69,11.13,6.70,-6.70,-7.09,-3.65,4.43,4.42,4.43
21.23,11.15,6.70,11.15,6.69,-6.70,-7.08,-3.75,4.45,4.45,4.45
21.44,11.17,6.70,11.17,6.70,-6.70,-7.07,-3.86,4.47,4.47,4.47
21.66,11.20,6.71,11.20,6.70,-6.70,-7.06,-3.96,4.49,4.49,4.49
21.87,11.22,6.72,11.22,6.71,-6.71,-7.04,-4.08,4.51,4.51,4.50
22.09,11.24,6.72,11.24,6.72,-6.72,-7.03,-4.19,4.52,4.52,4.52
22.31,11.26,6.73,11.26,6.73,-6.73,-7.02,-4.31,4.53,4.53,4.53
22.54,11.27,6.74,11.27,6.74,-6.74,-7.01,-4.43,4.53,4.53,4.53
22.76,11.29,6.75,11.29,6.75,-6.75,-6.99,-4.55,4.54,4.54,4.54
22.99,11.31,6.77,11.31,6.76,-6.76,-6.98,-4.68,4.54,4.54,4.54
23.22,11.33,6.78,11.33,6.78,-6.77,-6.97,-4.81,4.56,4.56,4.55
23.45,11.35,6.79,11.35,6.79,-6.78,-6.95,-4.94,4.57,4.57,4.56
23.69,11.37,6.80,11.37,6.79,-6.79,-6.94,-5.08,4.58,4.58,4.57
23.92,11.38,6.79,11.38,6.79,-6.79,-6.92,-5.21,4.59,4.59,4.59
24.16,11.40,6.79,11.40,6.79,-6.80,-6.91,-5.36,4.60,4.60,4.61
24.40,11.41,6.79,11.41,6.79,-6.80,-6.89,-5.50,4.61,4.61,4.62
24.65,11.42,6.80,11.42,6.80,-6.80,-6.88,-5.64,4.62,4.62,4.62
24.89,11.43,6.79,11.43,6.80,-6.80,-6.86,-5.79,4.63,4.63,4.64
25.14,11.45,6.80,11.45,6.80,-6.80,-6.84,-5.94,4.65,4.64,4.65
25.39,11.46,6.80,11.46,6.80,-6.80,-6.83,-6.09,4.65,4.66,4.66
25.65,11.47,6.80,11.47,6.81,-6.81,-6.81,-6.24,4.66,4.67,4.66
25.91,11.49,6.81,11.48,6.81,-6.80,-6.79,-6.40,4.68,4.68,4.67
26.16,11.49,6.81,11.49,6.81,-6.80,-6.77,-6.55,4.69,4.69,4.68
26.43,11.50,6.81,11.50,6.80,-6.80,-6.75,-6.70,4.70,4.70,4.69
26.69,11.50,6.79,11.50,6.79,-6.80,-6.73,-6.85,4.70,4.71,4.71
26.96,11.51,6.79,11.51,6.78,-6.79,-6.71,-7.00,4.72,4.72,4.72
27.23,11.51,6.78,11.51,6.78,-6.79,-6.69,-7.15,4.72,4.73,4.73
27.50,11.52,6.77,11.52,6.78,-6.78,-6.67,-7.29,4.74,4.74,4.75
27.77,11.53,6.78,11.53,6.77,-6.77,-6.65,-7.43,4.76,4.76,4.75
28.05,11.53,6.76,11.53,6.77,-6.76,-6.63,-7.56,4.77,4.77,4.77
28.33,11.53,6.76,11.53,6.75,-6.75,-6.60,-7.68,4.78,4.78,4.77
28.62,11.52,6.73,11.52,6.74,-6.74,-6.58,-7.81,4.78,4.78,4.79
28.90,11.52,6.72,11.52,6.73,-6.73,-6.56,-7.91,4.79,4.79,4.79
29.19,11.52,6.72,11.52,6.71,-6.71,-6.53,-8.01,4.81,4.80,4.80
29.48,11.52,6.70,11.52,6.70,-6.70,-6.50,-8.10,4.82,4.82,4.82
29.78,11.51,6.68,11.51,6.68,-6.69,-6.48,-8.18,4.82,4.83,4.83
30.08,11.51,6.67,11.51,6.67,-6.67,-6.45,-8.23,4.84,4.84,4.84
30.38,11.51,6.66,11.51,6.66,-6.66,-6.42,-8.29,4.85,4.85,4.85
30.68,11.50,6.64,11.50,6.65,-6.64,-6.40,-8.31,4.86,4.86,4.86
30.99,11.50,6.63,11.50,6.63,-6.63,-6.37,-8.34,4.87,4.87,4.87
31.30,11.49,6.61,11.49,6.61,-6.61,-6.34,-8.34,4.88,4.88,4.87
