frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.33,8.96,10.32,8.96,-8.96,-7.98,-3.90,1.36,1.36,1.36
20.20,10.32,8.91,10.32,8.92,-8.92,-7.98,-4.01,1.40,1.40,1.40
20.40,10.32,8.87,10.31,8.88,-8.87,-7.98,-4.11,1.44,1.44,1.44
20.61,10.31,8.84,10.31,8.84,-8.83,-7.98,-4.23,1.47,1.48,1.46
20.81,10.31,8.80,10.30,8.80,-8.79,-7.98,-4.34,1.51,1.51,1.50
21.02,10.30,8.75,10.30,8.76,-8.76,-7.98,-4.46,1.54,1.54,1.54
21.23,10.29,8.72,10.29,8.73,-8.73,-7.98,-4.58,1.56,1.56,1.56
21.44,10.29,8.70,10.28,8.70,-8.70,-7.98,-4.71,1.58,1.58,1.58
21.66,10.28,8.67,10.28,8.68,-8.68,-7.98,-4.83,1.60,1.60,1.60
21.87,10.27,8.65,10.27,8.65,-8.66,-7.98,-4.97,1.61,1.61,1.61
22.09,10.27,8.63,10.26,8.63,-8.64,-7.98,-5.10,1.63,1.62,1.63
22.31,10.26,8.62,10.26,8.62,-8.62,-7.98,-5.24,1.63,1.63,1.64
22.54,10.26,8.62,10.25,8.61,-8.61,-7.98,-5.38,1.64,1.64,1.64
22.76,10.25,8.60,10.25,8.60,-8.60,-7.98,-5.53,1.65,1.65,1.65
22.99,10.25,8.60,10.24,8.59,-8.59,-7.98,-5.68,1.66,1.66,1.65
23.22,10.24,8.58,10.24,8.58,-8.57,-7.98,-5.83,1.66,1.67,1.66
23.45,10.24,8.57,10.23,8.57,-8.56,-7.97,-5.99,1.68,1.67,1.67
23.69,10.23,8.55,10.23,8.54,-8.54,-7.97,-6.15,1.68,1.68,1.68
23.92,10.22,8.52,10.22,8.52,-8.52,-7.97,-6.31,1.69,1.70,1.70
24.16,10.22,8.50,10.21,8.50,-8.50,-7.97,-6.48,1.71,1.71,1.72
24.40,10.21,8.48,10.20,8.48,-8.49,-7.97,-6.65,1.72,1.72,1.73
24.65,10.20,8.47,10.20,8.46,-8.47,-7.97,-6.83,1.73,1.73,1.73
24.89,10.19,8.44,10.19,8.45,-8.45,-7.97,-7.00,1.74,1.74,1.75
25.14,10.19,8.43,10.18,8.43,-8.43,-7.97,-7.19,1.76,1.75,1.75
25.39,10.18,8.41,10.18,8.41,-8.41,-7.97,-7.37,1.77,1.76,1.76
25.65,10.17,8.39,10.17,8.39,-8.39,-7.97,-7.55,1.77,1.77,1.77
25.91,10.16,8.37,10.16,8.37,-8.37,-7.97,-7.74,1.78,1.78,1.78
26.16,10.15,8.35,10.15,8.36,-8.36,-7.97,-7.92,1.79,1.79,1.79
26.43,10.15,8.35,10.14,8.34,-8.34,-7.97,-8.11,1.81,1.81,1.80
