frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.20,7.81,7.20,7.81,-7.81,-7.28,-3.72,-0.62,-0.61,-0.61
20.20,7.23,7.80,7.23,7.80,-7.80,-7.32,-3.82,-0.57,-0.57,-0.57
20.40,7.26,7.79,7.25,7.79,-7.79,-7.35,-3.92,-0.53,-0.54,-0.53
20.61,7.28,7.79,7.28,7.79,-7.78,-7.39,-4.03,-0.50,-0.50,-0.51
20.81,7.31,7.78,7.31,7.78,-7.78,-7.43,-4.14,-0.47,-0.47,-0.47
21.02,7.33,7.76,7.33,7.77,-7.77,-7.47,-4.25,-0.44,-0.44,-0.43
21.23,7.36,7.77,7.36,7.77,-7.77,-7.51,-4.37,-0.41,-0.42,-0.41
21.44,7.38,7.77,7.38,7.77,-7.77,-7.54,-4.49,-0.39,-0.40,-0.39
21.66,7.40,7.77,7.40,7.78,-7.78,-7.58,-4.61,-0.38,-0.37,-0.37
21.87,7.43,7.79,7.43,7.78,-7.78,-7.62,-4.74,-0.36,-0.36,-0.36
22.09,7.45,7.79,7.45,7.80,-7.80,-7.65,-4.87,-0.35,-0.35,-0.34
22.31,7.47,7.80,7.47,7.81,-7.81,-7.69,-5.00,-0.34,-0.34,-0.34
22.54,7.49,7.82,7.49,7.82,-7.82,-7.72,-5.13,-0.34,-0.34,-0.34
22.76,7.51,7.83,7.51,7.84,-7.84,-7.75,-5.28,-0.33,-0.33,-0.33
22.99,7.54,7.86,7.53,7.86,-7.86,-7.79,-5.42,-0.32,-0.32,-0.33
23.22,7.56,7.87,7.56,7.88,-7.87,-7.82,-5.57,-0.32,-0.31,-0.32
23.45,7.59,7.90,7.59,7.90,-7.89,-7.85,-5.72,-0.30,-0.30,-0.31
23.69,7.62,7.92,7.62,7.91,-7.90,-7.88,-5.87,-0.29,-0.29,-0.30
23.92,7.65,7.93,7.65,7.92,-7.92,-7.91,-6.03,-0.27,-0.27,-0.28
24.16,7.67,7.93,7.67,7.93,-7.93,-7.94,-6.19,-0.26,-0.26,-0.26
24.40,7.69,7.94,7.69,7.94,-7.95,-7.97,-6.35,-0.26,-0.26,-0.25
24.65,7.71,7.96,7.71,7.95,-7.96,-8.00,-6.52,-0.25,-0.25,-0.25
24.89,7.74,7.97,7.74,7.97,-7.98,-8.03,-6.69,-0.24,-0.24,-0.23
25.14,7.77,7.99,7.77,7.99,-7.99,-8.06,-6.86,-0.22,-0.22,-0.22
25.39,7.80,8.01,7.80,8.01,-8.01,-8.08,-7.03,-0.21,-0.21,-0.21
25.65,7.83,8.03,7.83,8.03,-8.02,-8.11,-7.21,-0.19,-0.20,-0.20
25.91,7.85,8.04,7.85,8.04,-8.04,-8.13,-7.38,-0.19,-0.19,-0.19
26.16,7.87,8.05,7.87,8.05,-8.05,-8.16,-7.56,-0.18,-0.18,-0.18
26.43,7.89,8.06,7.89,8.06,-8.06,-8.18,-7.74,-0.17,-0.17,-0.17
26.69,7.91,8.06,7.91,8.06,-8.06,-8.21,-7.92,-0.15,-0.16,-0.15
26.96,7.92,8.06,7.92,8.06,-8.07,-8.23,-8.09,-0.15,-0.14,-0.14
27.23,7.94,8.07,7.94,8.07,-8.07,-8.25,-8.27,-0.13,-0.13,-0.13
27.50,7.95,8.06,7.95,8.07,-8.07,-8.27,-8.44,-0.12,-0.12,-0.12
27.77,7.97,8.08,7.97,8.08,-8.08,-8.29,-8.60,-0.11,-0.11,-0.12
28.05,7.98,8.08,7.98,8.08,-8.08,-8.31,-8.76,-0.11,-0.10,-0.10
28.33,8.00,8.10,8.00,8.09,-8.09,-8.33,-8.92,-0.10,-0.10,-0.10
28.62,8.02,8.10,8.02,8.10,-8.11,-8.35,-9.07,-0.09,-0.09,-0.08
28.90,8.05,8.12,8.05,8.12,-8.12,-8.37,-9.21,-0.07,-0.07,-0.07
29.19,8.08,8.14,8.08,8.14,-8.14,-8.39,-9.34,-0.06,-0.06,-0.06
29.48,8.12,8.16,8.12,8.16,-8.16,-8.40,-9.46,-0.04,-0.04,-0.04
29.78,8.15,8.18,8.15,8.18,-8.18,-8.42,-9.57,-0.03,-0.03,-0.03
30.08,8.18,8.20,8.18,8.20,-8.20,-8.43,-9.67,-0.02,-0.02,-0.02
30.38,8.20,8.21,8.20,8.22,-8.22,-8.45,-9.76,-0.02,-0.01,-0.01
30.68,8.23,8.23,8.23,8.23,-8.23,-8.46,-9.83,-0.00,-0.00,-0.01
30.99,8.25,8.24,8.25,8.24,-8.24,-8.47,-9.88,0.01,0.01,0.00
31.30,8.26,8.25,8.26,8.25,-8.24,-8.48,-9.92,0.02,0.02,0.01
31.61,8.27,8.24,8.27,8.25,-8.24,-8.50,-9.95,0.03,0.03,0.03
31.93,8.28,8.25,8.27,8.24,-8.23,-8.51,-9.96,0.05,0.04,0.03
32.24,8.27,8.23,8.27,8.23,-8.22,-8.52,-9.96,0.05,0.05,0.04
32.57,8.26,8.21,8.26,8.21,-8.20,-8.52,-9.94,0.05,0.05,0.05
32.89,8.25,8.18,8.24,8.18,-8.19,-8.53,-9.92,0.06,0.06,0.07
33.22,8.23,8.16,8.23,8.17,-8.17,-8.54,-9.88,0.05,0.06,0.06
33.55,8.23,8.15,8.23,8.15,-8.16,-8.55,-9.83,0.07,0.07,0.08
33.89,8.24,8.16,8.24,8.15,-8.16,-8.55,-9.77,0.08,0.08,0.08
34.23,8.25,8.15,8.25,8.15,-8.16,-8.56,-9.70,0.09,0.09,0.10
34.57,8.26,8.16,8.26,8.16,-8.16,-8.56,-9.62,0.09,0.10,0.10
34.92,8.28,8.17,8.28,8.17,-8.18,-8.57,-9.54,0.10,0.10,0.11
35.27,8.31,8.19,8.31,8.20,-8.20,-8.57,-9.45,0.11,0.11,0.11
35.62,8.34,8.23,8.34,8.22,-8.22,-8.57,-9.36,0.12,0.12,0.11
