frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.51,-1.95,-2.51,-1.95,1.95,1.98,-0.02,-0.57,-0.57,-0.56
20.20,-2.44,-1.92,-2.44,-1.92,1.92,1.94,-0.02,-0.53,-0.53,-0.52
20.40,-2.37,-1.89,-2.37,-1.88,1.88,1.90,-0.02,-0.49,-0.49,-0.48
20.61,-2.31,-1.84,-2.30,-1.84,1.85,1.86,-0.01,-0.46,-0.45,-0.47
20.81,-2.22,-1.80,-2.23,-1.80,1.81,1.82,-0.01,-0.42,-0.42,-0.42
21.02,-2.15,-1.77,-2.15,-1.76,1.76,1.77,-0.01,-0.39,-0.39,-0.39
21.23,-2.08,-1.72,-2.08,-1.72,1.72,1.73,-0.00,-0.37,-0.37,-0.37
21.44,-2.01,-1.67,-2.01,-1.67,1.67,1.68,-0.00,-0.35,-0.35,-0.35
21.66,-1.94,-1.62,-1.94,-1.61,1.62,1.62,0.00,-0.33,-0.33,-0.33
21.87,-1.87,-1.56,-1.87,-1.56,1.56,1.57,0.01,-0.31,-0.31,-0.32
22.09,-1.80,-1.51,-1.80,-1.50,1.50,1.52,0.01,-0.30,-0.30,-0.30
22.31,-1.73,-1.45,-1.73,-1.44,1.44,1.46,0.02,-0.29,-0.29,-0.29
22.54,-1.66,-1.38,-1.66,-1.38,1.37,1.41,0.02,-0.29,-0.29,-0.29
22.76,-1.58,-1.31,-1.59,-1.31,1.31,1.35,0.03,-0.27,-0.28,-0.28
22.99,-1.51,-1.24,-1.51,-1.24,1.25,1.29,0.03,-0.27,-0.27,-0.28
23.22,-1.44,-1.18,-1.44,-1.17,1.18,1.23,0.03,-0.26,-0.26,-0.27
23.45,-1.37,-1.11,-1.37,-1.11,1.12,1.18,0.04,-0.26,-0.26,-0.26
23.69,-1.30,-1.06,-1.30,-1.06,1.06,1.12,0.04,-0.25,-0.24,-0.25
23.92,-1.22,-0.99,-1.23,-1.00,1.00,1.06,0.05,-0.23,-0.23,-0.23
24.16,-1.15,-0.94,-1.15,-0.94,0.94,1.00,0.05,-0.22,-0.22,-0.21
24.40,-1.08,-0.88,-1.08,-0.88,0.88,0.94,0.06,-0.20,-0.20,-0.20
24.65,-1.01,-0.81,-1.01,-0.82,0.82,0.88,0.06,-0.19,-0.19,-0.20
24.89,-0.94,-0.76,-0.94,-0.76,0.76,0.82,0.07,-0.18,-0.18,-0.18
25.14,-0.87,-0.70,-0.87,-0.70,0.70,0.76,0.07,-0.17,-0.17,-0.17
25.39,-0.80,-0.64,-0.80,-0.64,0.64,0.70,0.08,-0.16,-0.17,-0.16
25.65,-0.73,-0.58,-0.73,-0.58,0.58,0.64,0.08,-0.16,-0.16,-0.15
25.91,-0.67,-0.52,-0.66,-0.52,0.52,0.59,0.09,-0.15,-0.14,-0.14
26.16,-0.58,-0.45,-0.59,-0.45,0.46,0.53,0.09,-0.13,-0.13,-0.13
26.43,-0.51,-0.39,-0.51,-0.39,0.40,0.47,0.09,-0.12,-0.12,-0.12
26.69,-0.44,-0.34,-0.44,-0.33,0.34,0.41,0.10,-0.11,-0.11,-0.11
26.96,-0.37,-0.28,-0.37,-0.28,0.28,0.36,0.10,-0.10,-0.10,-0.10
27.23,-0.30,-0.22,-0.30,-0.22,0.22,0.30,0.10,-0.09,-0.09,-0.09
27.50,-0.23,-0.17,-0.24,-0.16,0.16,0.24,0.10,-0.07,-0.08,-0.07
27.77,-0.17,-0.11,-0.17,-0.11,0.10,0.19,0.10,-0.07,-0.07,-0.07
28.05,-0.10,-0.05,-0.10,-0.05,0.05,0.13,0.10,-0.06,-0.06,-0.05
28.33,-0.03,0.02,-0.03,0.01,-0.01,0.08,0.09,-0.04,-0.04,-0.05
28.62,0.04,0.07,0.04,0.07,-0.06,0.02,0.09,-0.03,-0.03,-0.03
28.90,0.11,0.13,0.10,0.13,-0.12,-0.03,0.09,-0.01,-0.02,-0.02
29.19,0.17,0.18,0.17,0.18,-0.18,-0.08,0.08,-0.01,-0.01,-0.01
29.48,0.24,0.23,0.23,0.23,-0.23,-0.14,0.07,0.00,-0.00,0.01
29.78,0.30,0.28,0.30,0.28,-0.29,-0.19,0.06,0.01,0.01,0.02
30.08,0.37,0.34,0.37,0.34,-0.35,-0.24,0.05,0.02,0.02,0.02
30.38,0.44,0.40,0.44,0.40,-0.40,-0.29,0.04,0.03,0.03,0.03
30.68,0.51,0.46,0.51,0.46,-0.46,-0.34,0.02,0.05,0.05,0.04
30.99,0.58,0.52,0.57,0.52,-0.51,-0.39,0.01,0.06,0.06,0.05
31.30,0.64,0.58,0.64,0.57,-0.57,-0.45,-0.01,0.07,0.07,0.06
31.61,0.70,0.62,0.70,0.62,-0.62,-0.50,-0.03,0.07,0.07,0.08
31.93,0.76,0.68,0.75,0.67,-0.67,-0.55,-0.05,0.08,0.08,0.08
