frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.92,-11.97,-9.92,-11.97,6.00,5.79,2.62,-3.92,-3.92,2.04
20.20,-9.80,-11.89,-9.80,-11.88,6.00,5.98,2.70,-3.80,-3.80,2.08
20.40,-9.67,-11.79,-9.68,-11.79,6.00,6.16,2.78,-3.67,-3.68,2.12
20.61,-9.56,-11.70,-9.55,-11.70,6.00,6.35,2.86,-3.56,-3.55,2.14
20.81,-9.42,-11.60,-9.43,-11.61,6.00,6.53,2.94,-3.42,-3.43,2.18
21.02,-9.30,-11.52,-9.30,-11.51,6.00,6.68,3.03,-3.30,-3.30,2.22
21.23,-9.17,-11.41,-9.18,-11.42,6.00,6.82,3.11,-3.17,-3.18,2.24
21.44,-9.05,-11.31,-9.05,-11.31,6.00,6.87,3.20,-3.05,-3.05,2.26
21.66,-8.93,-11.20,-8.92,-11.20,6.00,6.92,3.29,-2.93,-2.92,2.28
21.87,-8.79,-11.08,-8.80,-11.09,6.00,6.87,3.39,-2.79,-2.80,2.29
22.09,-8.67,-10.98,-8.67,-10.98,6.00,6.81,3.49,-2.67,-2.67,2.31
22.31,-8.54,-10.86,-8.54,-10.86,6.00,6.68,3.59,-2.54,-2.54,2.32
22.54,-8.42,-10.73,-8.41,-10.74,6.00,6.56,3.69,-2.42,-2.41,2.32
22.76,-8.28,-10.61,-8.28,-10.61,6.00,6.42,3.80,-2.28,-2.28,2.33
22.99,-8.15,-10.48,-8.15,-10.48,6.00,6.27,3.91,-2.15,-2.15,2.33
23.22,-8.02,-10.36,-8.02,-10.36,6.00,6.14,4.02,-2.02,-2.02,2.34
23.45,-7.88,-10.23,-7.89,-10.23,6.00,6.02,4.13,-1.88,-1.89,2.35
23.69,-7.76,-10.11,-7.75,-10.11,6.00,5.92,4.25,-1.76,-1.75,2.36
23.92,-7.62,-10.00,-7.62,-10.00,6.00,5.82,4.37,-1.62,-1.62,2.38
24.16,-7.49,-9.89,-7.49,-9.88,6.00,5.75,4.49,-1.49,-1.49,2.39
24.40,-7.36,-9.77,-7.36,-9.76,6.00,5.69,4.61,-1.36,-1.36,2.40
24.65,-7.23,-9.64,-7.23,-9.64,6.00,5.65,4.74,-1.23,-1.23,2.40
24.89,-7.10,-9.52,-7.10,-9.52,6.00,5.61,4.86,-1.10,-1.10,2.42
25.14,-6.96,-9.39,-6.97,-9.40,6.00,5.59,4.99,-0.96,-0.97,2.43
25.39,-6.83,-9.27,-6.83,-9.28,6.00,5.57,5.12,-0.83,-0.83,2.44
25.65,-6.70,-9.16,-6.70,-9.15,6.00,5.57,5.25,-0.70,-0.70,2.45
25.91,-6.58,-9.04,-6.57,-9.03,6.00,5.57,5.38,-0.58,-0.57,2.46
26.16,-6.43,-8.90,-6.44,-8.91,6.00,5.58,5.50,-0.43,-0.44,2.47
26.43,-6.31,-8.78,-6.30,-8.79,6.00,5.59,5.63,-0.31,-0.30,2.48
26.69,-6.17,-8.67,-6.17,-8.66,6.00,5.61,5.76,-0.17,-0.17,2.50
26.96,-6.04,-8.54,-6.04,-8.55,6.00,5.64,5.88,-0.04,-0.04,2.51
27.23,-5.91,-8.42,-5.90,-8.42,6.00,5.67,6.00,0.09,0.10,2.52
27.50,-5.76,-8.30,-5.77,-8.30,6.00,5.70,6.12,0.24,0.23,2.54
27.77,-5.63,-8.17,-5.63,-8.17,6.00,5.73,6.23,0.37,0.37,2.53
28.05,-5.49,-8.05,-5.49,-8.04,6.00,5.77,6.34,0.51,0.51,2.55
28.33,-5.36,-7.92,-5.36,-7.92,6.00,5.81,6.44,0.64,0.64,2.55
28.62,-5.23,-7.80,-5.23,-7.79,6.00,5.84,6.54,0.77,0.77,2.57
28.90,-5.09,-7.67,-5.09,-7.67,6.00,5.88,6.62,0.91,0.91,2.58
29.19,-4.95,-7.54,-4.96,-7.55,6.00,5.92,6.70,1.05,1.04,2.59
29.48,-4.82,-7.43,-4.82,-7.42,6.00,5.95,6.76,1.18,1.18,2.61
29.78,-4.68,-7.30,-4.69,-7.30,6.00,5.99,6.82,1.32,1.31,2.62
30.08,-4.56,-7.18,-4.56,-7.19,6.00,6.02,6.86,1.44,1.44,2.63
30.38,-4.44,-7.07,-4.44,-7.07,6.00,6.05,6.90,1.56,1.56,2.63
30.68,-4.31,-6.96,-4.31,-6.96,6.00,6.07,6.91,1.69,1.69,2.64
30.99,-4.20,-6.85,-4.19,-6.84,6.00,6.09,6.92,1.81,1.81,2.65
31.30,-4.06,-6.72,-4.06,-6.72,6.01,6.10,6.91,1.95,1.95,2.66
31.61,-3.92,-6.60,-3.93,-6.60,6.02,6.11,6.89,2.10,2.09,2.68
31.93,-3.80,-6.47,-3.79,-6.47,6.02,6.11,6.85,2.23,2.23,2.68
32.24,-3.66,-6.35,-3.66,-6.35,6.02,6.10,6.81,2.36,2.35,2.69
32.57,-3.53,-6.23,-3.53,-6.23,6.00,6.08,6.75,2.46,2.47,2.69
32.89,-3.40,-6.12,-3.40,-6.11,5.96,6.06,6.68,2.56,2.56,2.71
33.22,-3.27,-5.98,-3.27,-5.99,5.91,6.02,6.59,2.64,2.64,2.71
33.55,-3.14,-5.87,-3.14,-5.87,5.84,5.98,6.49,2.69,2.70,2.73
33.89,-3.00,-5.73,-3.01,-5.74,5.74,5.93,6.39,2.74,2.74,2.73
34.23,-2.87,-5.62,-2.87,-5.61,5.64,5.87,6.27,2.76,2.76,2.75
34.57,-2.74,-5.49,-2.74,-5.49,5.52,5.80,6.15,2.77,2.77,2.74
34.92,-2.62,-5.37,-2.61,-5.37,5.38,5.72,6.02,2.77,2.77,2.75
35.27,-2.49,-5.24,-2.48,-5.24,5.25,5.63,5.88,2.76,2.76,2.76
35.62,-2.35,-5.11,-2.35,-5.11,5.11,5.53,5.74,2.76,2.76,2.76
35.97,-2.22,-4.98,-2.22,-4.99,4.98,5.42,5.60,2.76,2.76,2.76
36.33,-2.09,-4.86,-2.09,-4.85,4.85,5.31,5.45,2.76,2.76,2.77
36.70,-1.95,-4.72,-1.96,-4.72,4.72,5.19,5.29,2.77,2.77,2.77
37.06,-1.82,-4.58,-1.82,-4.59,4.59,5.07,5.14,2.77,2.77,2.76
37.43,-1.69,-4.46,-1.69,-4.45,4.46,4.94,4.98,2.77,2.77,2.76
