frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.80,-4.10,-1.80,-4.10,4.10,3.94,0.55,2.29,2.29,2.30
20.20,-1.72,-4.06,-1.72,-4.06,4.06,3.93,0.57,2.34,2.34,2.34
20.40,-1.64,-4.02,-1.64,-4.01,4.02,3.91,0.59,2.37,2.37,2.38
20.61,-1.56,-3.96,-1.56,-3.97,3.97,3.90,0.60,2.41,2.41,2.40
20.81,-1.48,-3.92,-1.48,-3.92,3.92,3.87,0.62,2.44,2.44,2.44
21.02,-1.40,-3.88,-1.40,-3.87,3.87,3.85,0.64,2.47,2.47,2.48
21.23,-1.32,-3.82,-1.32,-3.82,3.82,3.82,0.66,2.49,2.49,2.50
21.44,-1.24,-3.76,-1.24,-3.76,3.76,3.79,0.68,2.52,2.52,2.52
21.66,-1.16,-3.70,-1.16,-3.70,3.70,3.75,0.70,2.53,2.53,2.54
21.87,-1.08,-3.63,-1.08,-3.63,3.63,3.72,0.72,2.55,2.55,2.55
22.09,-1.00,-3.57,-1.00,-3.56,3.56,3.67,0.74,2.56,2.56,2.57
22.31,-0.92,-3.50,-0.92,-3.49,3.49,3.63,0.77,2.57,2.57,2.57
22.54,-0.83,-3.41,-0.84,-3.41,3.41,3.58,0.79,2.58,2.58,2.57
22.76,-0.75,-3.34,-0.75,-3.33,3.34,3.53,0.81,2.59,2.59,2.58
22.99,-0.67,-3.26,-0.67,-3.26,3.27,3.47,0.84,2.59,2.59,2.58
23.22,-0.59,-3.19,-0.59,-3.19,3.19,3.42,0.86,2.60,2.60,2.59
23.45,-0.51,-3.12,-0.51,-3.12,3.12,3.36,0.89,2.61,2.61,2.60
23.69,-0.43,-3.05,-0.43,-3.05,3.05,3.29,0.91,2.61,2.62,2.61
23.92,-0.35,-2.98,-0.35,-2.98,2.98,3.23,0.94,2.63,2.63,2.63
24.16,-0.26,-2.91,-0.27,-2.91,2.91,3.16,0.96,2.65,2.64,2.65
24.40,-0.18,-2.84,-0.18,-2.84,2.84,3.09,0.99,2.66,2.66,2.66
24.65,-0.10,-2.76,-0.10,-2.77,2.77,3.02,1.02,2.66,2.67,2.66
24.89,-0.02,-2.70,-0.02,-2.70,2.70,2.95,1.04,2.68,2.68,2.68
25.14,0.07,-2.62,0.06,-2.62,2.63,2.88,1.07,2.69,2.69,2.69
25.39,0.15,-2.55,0.15,-2.55,2.55,2.80,1.10,2.70,2.70,2.70
25.65,0.23,-2.48,0.23,-2.48,2.48,2.72,1.12,2.71,2.71,2.71
25.91,0.31,-2.41,0.31,-2.41,2.41,2.65,1.15,2.72,2.72,2.72
26.16,0.39,-2.34,0.39,-2.34,2.34,2.57,1.18,2.73,2.73,2.73
26.43,0.47,-2.27,0.47,-2.27,2.27,2.49,1.21,2.74,2.74,2.74
26.69,0.56,-2.20,0.55,-2.20,2.20,2.41,1.23,2.76,2.75,2.76
26.96,0.64,-2.13,0.64,-2.13,2.13,2.33,1.26,2.77,2.77,2.77
27.23,0.72,-2.06,0.72,-2.06,2.06,2.24,1.28,2.78,2.78,2.77
27.50,0.80,-2.00,0.80,-1.99,1.99,2.16,1.31,2.79,2.79,2.79
27.77,0.88,-1.92,0.87,-1.92,1.92,2.08,1.33,2.80,2.80,2.79
28.05,0.95,-1.87,0.95,-1.86,1.86,2.00,1.35,2.80,2.81,2.81
28.33,1.03,-1.78,1.03,-1.79,1.79,1.92,1.37,2.82,2.82,2.81
28.62,1.11,-1.73,1.11,-1.72,1.72,1.83,1.39,2.83,2.83,2.83
28.90,1.19,-1.65,1.19,-1.65,1.66,1.75,1.41,2.84,2.84,2.84
29.19,1.27,-1.58,1.27,-1.59,1.59,1.67,1.42,2.86,2.86,2.85
29.48,1.35,-1.52,1.34,-1.52,1.52,1.59,1.44,2.87,2.86,2.87
29.78,1.42,-1.46,1.42,-1.46,1.45,1.51,1.45,2.87,2.87,2.88
30.08,1.50,-1.39,1.50,-1.39,1.38,1.42,1.46,2.88,2.88,2.89
30.38,1.58,-1.32,1.58,-1.32,1.32,1.34,1.47,2.89,2.89,2.90
30.68,1.66,-1.25,1.66,-1.24,1.25,1.26,1.47,2.91,2.91,2.90
30.99,1.75,-1.17,1.74,-1.17,1.18,1.18,1.48,2.93,2.92,2.91
31.30,1.82,-1.11,1.81,-1.11,1.12,1.11,1.48,2.93,2.93,2.92
31.61,1.88,-1.06,1.88,-1.05,1.05,1.03,1.48,2.93,2.93,2.94
31.93,1.95,-0.99,1.95,-0.99,0.99,0.95,1.47,2.93,2.94,2.94
32.24,2.02,-0.93,2.02,-0.93,0.93,0.88,1.47,2.94,2.94,2.95
32.57,2.10,-0.86,2.09,-0.86,0.86,0.80,1.46,2.96,2.96,2.96
32.89,2.17,-0.81,2.17,-0.80,0.80,0.73,1.45,2.97,2.97,2.98
33.22,2.24,-0.74,2.24,-0.74,0.74,0.65,1.44,2.98,2.98,2.97
33.55,2.31,-0.68,2.31,-0.68,0.68,0.58,1.43,2.99,2.99,2.99
33.89,2.38,-0.61,2.37,-0.62,0.62,0.51,1.41,3.00,3.00,2.99
34.23,2.44,-0.57,2.44,-0.56,0.56,0.44,1.39,3.00,3.00,3.01
34.57,2.51,-0.50,2.50,-0.51,0.50,0.37,1.38,3.01,3.01,3.01
34.92,2.57,-0.45,2.57,-0.45,0.44,0.30,1.36,3.01,3.01,3.01
35.27,2.64,-0.39,2.63,-0.38,0.38,0.23,1.34,3.02,3.02,3.02
35.62,2.70,-0.32,2.70,-0.32,0.32,0.17,1.31,3.02,3.02,3.02
35.97,2.77,-0.25,2.77,-0.26,0.26,0.10,1.29,3.03,3.03,3.02
36.33,2.83,-0.21,2.83,-0.20,0.20,0.04,1.27,3.03,3.03,3.04
36.70,2.90,-0.14,2.90,-0.13,0.14,-0.03,1.24,3.04,3.04,3.03
37.06,2.96,-0.06,2.96,-0.07,0.08,-0.09,1.22,3.04,3.04,3.02
37.43,3.02,-0.01,3.01,-0.01,0.02,-0.15,1.19,3.04,3.03,3.03
37.81,3.07,0.04,3.07,0.04,-0.04,-0.21,1.17,3.02,3.03,3.03
38.19,3.13,0.10,3.13,0.10,-0.11,-0.27,1.14,3.02,3.02,3.02
38.57,3.19,0.15,3.19,0.16,-0.17,-0.32,1.12,3.02,3.02,3.03
38.95,3.25,0.23,3.25,0.23,-0.23,-0.38,1.09,3.01,3.02,3.02
39.34,3.32,0.30,3.31,0.30,-0.30,-0.43,1.07,3.02,3.01,3.02
39.74,3.38,0.37,3.38,0.37,-0.37,-0.48,1.04,3.01,3.01,3.00
