frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,29.00,18.96,29.00,18.96,-18.96,-18.27,-10.34,10.04,10.04,10.04
20.20,29.06,18.98,29.06,18.98,-18.98,-18.34,-10.54,10.08,10.08,10.08
20.40,29.11,18.99,29.12,19.00,-19.00,-18.41,-10.75,10.12,10.12,10.12
20.61,29.17,19.03,29.17,19.02,-19.02,-18.48,-10.96,10.15,10.15,10.14
20.81,29.22,19.04,29.22,19.04,-19.04,-18.55,-11.17,10.18,10.18,10.18
21.02,29.27,19.05,29.27,19.06,-19.06,-18.62,-11.40,10.21,10.21,10.22
21.23,29.32,19.08,29.33,19.08,-19.09,-18.69,-11.62,10.23,10.23,10.24
21.44,29.38,19.12,29.38,19.12,-19.12,-18.75,-11.85,10.26,10.26,10.26
21.66,29.43,19.15,29.43,19.16,-19.15,-18.82,-12.09,10.28,10.28,10.28
21.87,29.48,19.19,29.48,19.19,-19.19,-18.89,-12.34,10.29,10.29,10.29
22.09,29.53,19.22,29.53,19.22,-19.23,-18.95,-12.59,10.30,10.30,10.31
22.31,29.57,19.25,29.58,19.27,-19.27,-19.02,-12.84,10.31,10.32,10.32
22.54,29.63,19.31,29.63,19.31,-19.30,-19.08,-13.11,10.33,10.33,10.32
22.76,29.68,19.35,29.67,19.35,-19.34,-19.14,-13.38,10.34,10.33,10.33
22.99,29.71,19.38,29.71,19.38,-19.38,-19.20,-13.66,10.33,10.33,10.33
23.22,29.74,19.41,29.75,19.41,-19.41,-19.26,-13.94,10.33,10.33,10.34
23.45,29.79,19.45,29.79,19.45,-19.45,-19.33,-14.24,10.34,10.34,10.35
23.69,29.84,19.49,29.84,19.48,-19.48,-19.38,-14.54,10.36,10.36,10.36
23.92,29.89,19.52,29.89,19.52,-19.51,-19.44,-14.85,10.38,10.38,10.38
24.16,29.94,19.55,29.94,19.55,-19.55,-19.50,-15.18,10.40,10.39,10.39
24.40,29.98,19.58,29.98,19.58,-19.58,-19.56,-15.51,10.41,10.41,10.40
24.65,30.02,19.62,30.02,19.61,-19.61,-19.61,-15.85,10.41,10.41,10.40
24.89,30.06,19.64,30.06,19.64,-19.65,-19.67,-16.20,10.42,10.41,10.42
25.14,30.10,19.67,30.11,19.67,-19.68,-19.72,-16.56,10.42,10.42,10.43
25.39,30.15,19.71,30.16,19.71,-19.72,-19.77,-16.94,10.44,10.44,10.44
25.65,30.21,19.76,30.21,19.76,-19.75,-19.82,-17.32,10.46,10.45,10.45
25.91,30.26,19.80,30.26,19.80,-19.79,-19.87,-17.72,10.47,10.47,10.46
26.16,30.30,19.83,30.31,19.83,-19.83,-19.92,-18.13,10.47,10.48,10.47
26.43,30.35,19.87,30.35,19.87,-19.87,-19.97,-18.56,10.48,10.48,10.48
26.69,30.39,19.89,30.39,19.90,-19.90,-20.01,-18.99,10.49,10.49,10.50
26.96,30.44,19.93,30.44,19.93,-19.94,-20.06,-19.44,10.50,10.51,10.51
27.23,30.49,19.97,30.49,19.97,-19.96,-20.10,-19.90,10.53,10.52,10.52
27.50,30.53,19.99,30.53,20.00,-19.99,-20.14,-20.38,10.54,10.54,10.54
27.77,30.56,20.02,30.56,20.02,-20.01,-20.18,-20.86,10.55,10.55,10.54
28.05,30.58,20.03,30.58,20.03,-20.03,-20.22,-21.36,10.55,10.56,10.56
28.33,30.60,20.05,30.60,20.04,-20.04,-20.26,-21.86,10.56,10.56,10.56
28.62,30.62,20.05,30.62,20.05,-20.06,-20.29,-22.37,10.57,10.57,10.57
28.90,30.64,20.06,30.64,20.06,-20.07,-20.33,-22.87,10.58,10.58,10.58
29.19,30.67,20.08,30.67,20.07,-20.08,-20.36,-23.36,10.60,10.59,10.59
29.48,30.69,20.08,30.69,20.09,-20.09,-20.39,-23.84,10.61,10.61,10.61
29.78,30.72,20.10,30.72,20.10,-20.10,-20.42,-24.29,10.62,10.62,10.62
30.08,30.74,20.11,30.74,20.11,-20.11,-20.45,-24.70,10.63,10.63,10.63
30.38,30.76,20.12,30.76,20.12,-20.12,-20.48,-25.06,10.64,10.64,10.64
30.68,30.78,20.13,30.78,20.14,-20.14,-20.50,-25.35,10.64,10.64,10.65
30.99,30.81,20.16,30.81,20.15,-20.16,-20.53,-25.56,10.65,10.65,10.66
31.30,30.84,20.18,30.84,20.17,-20.18,-20.55,-25.68,10.66,10.66,10.67
31.61,30.87,20.19,30.87,20.19,-20.19,-20.57,-25.72,10.68,10.68,10.68
31.93,30.90,20.22,30.90,20.21,-20.21,-20.59,-25.66,10.69,10.69,10.68
32.24,30.92,20.23,30.93,20.23,-20.23,-20.61,-25.53,10.69,10.69,10.69
32.57,30.95,20.25,30.95,20.25,-20.25,-20.62,-25.33,10.71,10.70,10.70
32.89,30.97,20.25,30.97,20.26,-20.26,-20.64,-25.08,10.72,10.72,10.72
33.22,30.99,20.27,30.99,20.27,-20.26,-20.65,-24.78,10.73,10.73,10.72
33.55,31.00,20.27,31.00,20.27,-20.27,-20.66,-24.46,10.74,10.74,10.74
33.89,31.01,20.28,31.01,20.27,-20.27,-20.67,-24.12,10.75,10.74,10.73
34.23,31.01,20.26,31.01,20.26,-20.26,-20.67,-23.77,10.75,10.75,10.75
34.57,31.00,20.25,31.01,20.25,-20.25,-20.68,-23.42,10.75,10.75,10.75
34.92,31.00,20.24,31.00,20.24,-20.25,-20.68,-23.07,10.76,10.76,10.76
35.27,31.00,20.24,31.00,20.24,-20.24,-20.68,-22.74,10.76,10.76,10.77
35.62,30.99,20.23,31.00,20.23,-20.23,-20.68,-22.41,10.76,10.76,10.76
35.97,30.99,20.23,30.99,20.22,-20.23,-20.68,-22.09,10.77,10.77,10.76
36.33,30.99,20.21,30.99,20.22,-20.22,-20.68,-21.79,10.77,10.77,10.78
36.70,30.99,20.21,30.99,20.22,-20.22,-20.68,-21.50,10.77,10.77,10.78
37.06,30.99,20.23,30.99,20.22,-20.22,-20.67,-21.23,10.77,10.77,10.77
