frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.90,7.06,12.90,7.06,-7.06,-7.30,-3.78,5.84,5.84,5.85
20.20,12.96,7.08,12.96,7.08,-7.08,-7.31,-3.89,5.88,5.88,5.89
20.40,13.02,7.10,13.02,7.10,-7.10,-7.32,-3.99,5.92,5.92,5.93
20.61,13.08,7.14,13.08,7.13,-7.13,-7.33,-4.10,5.95,5.96,5.94
20.81,13.14,7.16,13.14,7.16,-7.16,-7.34,-4.21,5.99,5.99,5.98
21.02,13.20,7.18,13.20,7.19,-7.19,-7.35,-4.33,6.02,6.02,6.02
21.23,13.26,7.22,13.26,7.21,-7.22,-7.36,-4.45,6.05,6.04,6.04
21.44,13.31,7.25,13.31,7.25,-7.25,-7.37,-4.57,6.06,6.06,6.06
21.66,13.36,7.28,13.37,7.29,-7.29,-7.38,-4.69,6.07,6.08,6.08
21.87,13.42,7.33,13.42,7.32,-7.33,-7.40,-4.82,6.09,6.09,6.09
22.09,13.47,7.36,13.47,7.36,-7.37,-7.41,-4.95,6.10,6.10,6.11
22.31,13.52,7.40,13.53,7.41,-7.41,-7.42,-5.09,6.11,6.11,6.12
22.54,13.58,7.46,13.58,7.46,-7.46,-7.44,-5.23,6.13,6.13,6.12
22.76,13.63,7.50,13.63,7.51,-7.49,-7.45,-5.37,6.14,6.14,6.13
22.99,13.68,7.55,13.68,7.55,-7.53,-7.47,-5.52,6.15,6.15,6.13
23.22,13.71,7.57,13.71,7.57,-7.56,-7.48,-5.67,6.15,6.15,6.14
23.45,13.74,7.59,13.74,7.60,-7.59,-7.50,-5.82,6.15,6.15,6.15
23.69,13.77,7.61,13.78,7.61,-7.62,-7.52,-5.98,6.16,6.16,6.16
23.92,13.81,7.63,13.81,7.63,-7.64,-7.53,-6.14,6.17,6.17,6.18
24.16,13.85,7.66,13.85,7.66,-7.66,-7.55,-6.30,6.19,6.18,6.20
24.40,13.88,7.68,13.89,7.68,-7.69,-7.57,-6.47,6.19,6.20,6.21
24.65,13.92,7.72,13.92,7.71,-7.72,-7.59,-6.64,6.20,6.20,6.21
24.89,13.96,7.74,13.97,7.74,-7.75,-7.61,-6.81,6.21,6.22,6.23
25.14,14.01,7.78,14.01,7.78,-7.78,-7.63,-6.98,6.23,6.23,6.24
25.39,14.06,7.82,14.06,7.81,-7.81,-7.65,-7.16,6.25,6.25,6.25
25.65,14.10,7.85,14.10,7.85,-7.84,-7.67,-7.34,6.27,6.27,6.25
25.91,14.13,7.87,14.14,7.87,-7.86,-7.69,-7.52,6.28,6.28,6.26
26.16,14.16,7.89,14.16,7.89,-7.87,-7.72,-7.70,6.29,6.29,6.27
26.43,14.18,7.90,14.18,7.89,-7.89,-7.74,-7.88,6.29,6.29,6.28
26.69,14.19,7.89,14.19,7.90,-7.90,-7.76,-8.06,6.29,6.29,6.30
26.96,14.20,7.89,14.21,7.90,-7.91,-7.79,-8.24,6.29,6.30,6.31
27.23,14.23,7.91,14.23,7.91,-7.92,-7.81,-8.41,6.31,6.31,6.32
27.50,14.26,7.92,14.26,7.93,-7.93,-7.84,-8.59,6.33,6.33,6.34
27.77,14.29,7.96,14.29,7.95,-7.95,-7.87,-8.76,6.35,6.35,6.34
28.05,14.32,7.97,14.32,7.97,-7.96,-7.89,-8.92,6.36,6.36,6.36
28.33,14.34,7.99,14.34,7.98,-7.97,-7.92,-9.07,6.37,6.37,6.36
28.62,14.36,7.99,14.36,7.99,-7.99,-7.94,-9.22,6.37,6.37,6.37
28.90,14.38,8.00,14.39,8.00,-8.01,-7.97,-9.36,6.38,6.38,6.38
29.19,14.41,8.02,14.41,8.02,-8.02,-8.00,-9.49,6.39,6.39,6.39
29.48,14.44,8.03,14.44,8.03,-8.04,-8.02,-9.60,6.40,6.40,6.41
29.78,14.47,8.05,14.47,8.05,-8.06,-8.05,-9.70,6.42,6.42,6.42
30.08,14.50,8.07,14.50,8.07,-8.07,-8.07,-9.79,6.43,6.43,6.43
30.38,14.53,8.09,14.53,8.09,-8.09,-8.10,-9.86,6.44,6.44,6.44
30.68,14.55,8.11,14.56,8.11,-8.11,-8.12,-9.91,6.44,6.45,6.45
30.99,14.58,8.13,14.58,8.12,-8.12,-8.14,-9.95,6.46,6.46,6.46
