frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-17.31,-16.08,-17.31,-16.08,6.00,6.55,2.84,-11.31,-11.31,-1.23
20.20,-17.16,-16.02,-17.16,-16.02,6.00,6.54,2.92,-11.16,-11.16,-1.14
20.40,-17.02,-15.97,-17.02,-15.96,6.00,6.54,3.01,-11.02,-11.02,-1.05
20.61,-16.87,-15.89,-16.87,-15.90,6.00,6.53,3.09,-10.87,-10.87,-0.98
20.81,-16.72,-15.83,-16.72,-15.83,6.00,6.52,3.18,-10.72,-10.72,-0.89
21.02,-16.58,-15.77,-16.58,-15.76,6.00,6.52,3.27,-10.58,-10.58,-0.81
21.23,-16.43,-15.68,-16.43,-15.69,6.00,6.51,3.36,-10.43,-10.43,-0.75
21.44,-16.29,-15.60,-16.28,-15.60,6.00,6.50,3.46,-10.29,-10.28,-0.69
21.66,-16.14,-15.52,-16.14,-15.51,6.00,6.50,3.56,-10.14,-10.14,-0.62
21.87,-15.99,-15.42,-15.99,-15.42,6.00,6.49,3.66,-9.99,-9.99,-0.57
22.09,-15.85,-15.33,-15.84,-15.33,6.00,6.48,3.76,-9.85,-9.84,-0.52
22.31,-15.70,-15.23,-15.70,-15.23,6.00,6.48,3.87,-9.70,-9.70,-0.47
22.54,-15.55,-15.13,-15.55,-15.12,6.00,6.47,3.98,-9.55,-9.55,-0.42
22.76,-15.40,-15.02,-15.40,-15.02,6.00,6.46,4.09,-9.40,-9.40,-0.38
22.99,-15.25,-14.91,-15.25,-14.91,6.00,6.45,4.21,-9.25,-9.25,-0.34
23.22,-15.10,-14.80,-15.10,-14.80,6.00,6.44,4.33,-9.10,-9.10,-0.30
23.45,-14.95,-14.69,-14.95,-14.69,6.00,6.44,4.45,-8.95,-8.95,-0.25
23.69,-14.80,-14.59,-14.80,-14.59,6.00,6.43,4.57,-8.80,-8.80,-0.21
23.92,-14.66,-14.48,-14.65,-14.49,6.00,6.42,4.70,-8.66,-8.65,-0.17
24.16,-14.51,-14.38,-14.51,-14.38,6.00,6.41,4.83,-8.51,-8.51,-0.12
24.40,-14.36,-14.27,-14.36,-14.27,6.00,6.40,4.95,-8.36,-8.36,-0.09
24.65,-14.21,-14.15,-14.20,-14.15,6.00,6.39,5.09,-8.21,-8.20,-0.06
24.89,-14.05,-14.03,-14.05,-14.03,6.00,6.38,5.22,-8.05,-8.05,-0.02
25.14,-13.90,-13.92,-13.90,-13.92,6.00,6.38,5.36,-7.90,-7.90,0.02
25.39,-13.75,-13.81,-13.75,-13.81,6.00,6.37,5.50,-7.75,-7.75,0.06
25.65,-13.60,-13.70,-13.60,-13.70,6.00,6.36,5.63,-7.60,-7.60,0.10
25.91,-13.45,-13.58,-13.45,-13.59,6.00,6.35,5.77,-7.45,-7.45,0.13
26.16,-13.31,-13.48,-13.31,-13.47,6.00,6.34,5.91,-7.31,-7.31,0.17
26.43,-13.16,-13.36,-13.16,-13.36,6.00,6.33,6.05,-7.16,-7.16,0.20
26.69,-13.01,-13.25,-13.01,-13.25,6.00,6.32,6.19,-7.01,-7.01,0.24
26.96,-12.86,-13.14,-12.86,-13.14,6.00,6.31,6.32,-6.86,-6.86,0.28
27.23,-12.72,-13.03,-12.72,-13.03,6.00,6.30,6.45,-6.72,-6.72,0.31
27.50,-12.57,-12.91,-12.57,-12.91,6.00,6.29,6.59,-6.57,-6.57,0.35
27.77,-12.42,-12.79,-12.42,-12.80,6.00,6.28,6.71,-6.42,-6.42,0.38
28.05,-12.27,-12.68,-12.27,-12.68,6.00,6.27,6.83,-6.27,-6.27,0.41
28.33,-12.13,-12.56,-12.13,-12.57,6.00,6.26,6.95,-6.13,-6.13,0.43
28.62,-11.98,-12.45,-11.98,-12.45,6.00,6.24,7.06,-5.98,-5.98,0.47
28.90,-11.84,-12.35,-11.84,-12.34,6.00,6.23,7.16,-5.84,-5.84,0.51
29.19,-11.69,-12.23,-11.69,-12.24,6.00,6.22,7.26,-5.69,-5.69,0.54
29.48,-11.55,-12.14,-11.54,-12.12,6.00,6.21,7.34,-5.55,-5.54,0.59
29.78,-11.40,-12.01,-11.40,-12.01,6.00,6.20,7.42,-5.40,-5.40,0.61
30.08,-11.26,-11.91,-11.26,-11.91,6.00,6.19,7.48,-5.26,-5.26,0.65
30.38,-11.13,-11.81,-11.13,-11.81,6.00,6.18,7.54,-5.13,-5.13,0.68
30.68,-11.00,-11.71,-11.00,-11.71,6.00,6.16,7.57,-5.00,-5.00,0.71
30.99,-10.88,-11.61,-10.87,-11.61,6.00,6.15,7.61,-4.88,-4.87,0.73
31.30,-10.74,-11.51,-10.74,-11.51,6.00,6.14,7.62,-4.74,-4.74,0.77
31.61,-10.61,-11.41,-10.61,-11.41,6.00,6.13,7.63,-4.61,-4.61,0.80
31.93,-10.47,-11.30,-10.47,-11.30,6.00,6.12,7.63,-4.47,-4.47,0.83
32.24,-10.34,-11.18,-10.34,-11.19,6.00,6.10,7.61,-4.34,-4.34,0.85
32.57,-10.21,-11.08,-10.20,-11.08,6.00,6.09,7.58,-4.21,-4.20,0.88
32.89,-10.07,-10.98,-10.07,-10.98,6.00,6.08,7.54,-4.07,-4.07,0.91
33.22,-9.94,-10.87,-9.94,-10.87,6.00,6.07,7.49,-3.94,-3.94,0.93
33.55,-9.81,-10.76,-9.81,-10.76,6.00,6.05,7.44,-3.81,-3.81,0.95
33.89,-9.68,-10.65,-9.68,-10.65,6.00,6.04,7.37,-3.68,-3.68,0.97
34.23,-9.56,-10.56,-9.56,-10.55,6.00,6.03,7.30,-3.56,-3.56,1.00
34.57,-9.43,-10.44,-9.43,-10.44,6.00,6.02,7.21,-3.43,-3.43,1.01
34.92,-9.31,-10.33,-9.31,-10.34,6.00,6.01,7.13,-3.31,-3.31,1.02
35.27,-9.18,-10.23,-9.18,-10.22,6.00,6.00,7.03,-3.18,-3.18,1.05
35.62,-9.05,-10.11,-9.05,-10.11,6.00,5.98,6.94,-3.05,-3.05,1.06
35.97,-8.92,-9.98,-8.92,-9.99,6.00,5.97,6.84,-2.92,-2.92,1.07
36.33,-8.79,-9.87,-8.79,-9.87,6.00,5.96,6.74,-2.79,-2.79,1.08
36.70,-8.66,-9.75,-8.66,-9.75,6.00,5.95,6.64,-2.66,-2.66,1.09
37.06,-8.54,-9.64,-8.53,-9.64,6.00,5.94,6.53,-2.54,-2.53,1.10
37.43,-8.41,-9.52,-8.41,-9.52,6.00,5.94,6.43,-2.41,-2.41,1.12
37.81,-8.28,-9.40,-8.28,-9.41,6.00,5.93,6.32,-2.28,-2.28,1.12
38.19,-8.16,-9.29,-8.16,-9.29,6.00,5.92,6.22,-2.16,-2.16,1.13
38.57,-8.03,-9.17,-8.03,-9.16,6.00,5.91,6.12,-2.03,-2.03,1.14
38.95,-7.90,-9.03,-7.90,-9.03,6.00,5.91,6.02,-1.90,-1.90,1.13
39.34,-7.77,-8.90,-7.77,-8.90,6.00,5.90,5.92,-1.77,-1.77,1.13
39.74,-7.64,-8.78,-7.64,-8.77,6.00,5.90,5.83,-1.64,-1.64,1.14
40.14,-7.51,-8.64,-7.51,-8.64,6.00,5.90,5.73,-1.51,-1.51,1.13
40.54,-7.38,-8.51,-7.38,-8.52,6.00,5.90,5.64,-1.38,-1.38,1.13
40.94,-7.26,-8.39,-7.25,-8.39,6.00,5.90,5.56,-1.26,-1.25,1.14
41.35,-7.13,-8.26,-7.12,-8.26,6.00,5.91,5.48,-1.13,-1.12,1.13
41.76,-6.99,-8.13,-6.99,-8.13,6.00,5.91,5.40,-0.99,-0.99,1.14
42.18,-6.86,-8.00,-6.86,-8.00,6.00,5.92,5.32,-0.86,-0.86,1.14
42.60,-6.74,-7.88,-6.73,-7.88,6.00,5.93,5.25,-0.74,-0.73,1.14
43.03,-6.61,-7.75,-6.61,-7.75,6.00,5.94,5.18,-0.61,-0.61,1.15
43.46,-6.49,-7.63,-6.49,-7.63,6.00,5.96,5.11,-0.49,-0.49,1.14
43.90,-6.37,-7.50,-6.37,-7.50,6.00,5.97,5.05,-0.37,-0.37,1.13
44.33,-6.25,-7.37,-6.25,-7.37,6.00,5.99,5.00,-0.25,-0.25,1.12
44.78,-6.12,-7.23,-6.12,-7.24,6.00,6.01,4.94,-0.12,-0.12,1.12
45.23,-6.00,-7.11,-6.00,-7.11,6.00,6.03,4.89,0.00,-0.00,1.11
45.68,-5.88,-6.98,-5.88,-6.98,6.00,6.04,4.85,0.12,0.12,1.10
46.13,-5.76,-6.86,-5.75,-6.86,6.00,6.06,4.81,0.24,0.25,1.10
46.60,-5.63,-6.73,-5.63,-6.73,6.01,6.06,4.77,0.38,0.38,1.10
47.06,-5.50,-6.60,-5.51,-6.61,6.02,6.07,4.73,0.52,0.51,1.11
47.53,-5.39,-6.49,-5.38,-6.49,6.02,6.06,4.70,0.63,0.64,1.10
48.01,-5.27,-6.38,-5.27,-6.37,6.02,6.04,4.68,0.75,0.75,1.11
48.49,-5.15,-6.25,-5.15,-6.25,6.00,6.01,4.65,0.85,0.85,1.10
48.97,-5.04,-6.13,-5.03,-6.12,5.97,5.97,4.63,0.93,0.94,1.09
49.46,-4.92,-6.00,-4.92,-6.00,5.93,5.92,4.61,1.01,1.01,1.08
49.96,-4.81,-5.88,-4.81,-5.89,5.86,5.86,4.59,1.05,1.05,1.07
50.46,-4.70,-5.80,-4.70,-5.79,5.79,5.78,4.58,1.09,1.09,1.10
50.96,-4.59,-5.69,-4.59,-5.68,5.70,5.70,4.57,1.11,1.11,1.10
51.47,-4.48,-5.57,-4.48,-5.58,5.60,5.60,4.56,1.12,1.12,1.09
51.99,-4.37,-5.47,-4.37,-5.47,5.49,5.51,4.55,1.12,1.12,1.10
52.51,-4.26,-5.37,-4.26,-5.37,5.38,5.41,4.54,1.12,1.13,1.11
53.03,-4.15,-5.27,-4.16,-5.27,5.28,5.30,4.53,1.13,1.12,1.12
53.56,-4.06,-5.18,-4.06,-5.18,5.18,5.20,4.53,1.12,1.12,1.12
54.10,-3.97,-5.09,-3.96,-5.09,5.09,5.09,4.52,1.12,1.12,1.12
54.64,-3.87,-5.00,-3.87,-5.00,4.99,4.99,4.51,1.12,1.12,1.13
55.18,-3.77,-4.90,-3.77,-4.90,4.90,4.88,4.51,1.13,1.13,1.13
55.74,-3.67,-4.80,-3.67,-4.80,4.80,4.78,4.50,1.13,1.13,1.13
56.29,-3.57,-4.70,-3.57,-4.70,4.70,4.68,4.49,1.13,1.13,1.13
56.86,-3.48,-4.61,-3.48,-4.60,4.60,4.57,4.48,1.13,1.13,1.13
57.42,-3.39,-4.50,-3.39,-4.50,4.51,4.48,4.46,1.12,1.12,1.12
58.00,-3.29,-4.40,-3.29,-4.40,4.41,4.38,4.45,1.12,1.12,1.11
58.58,-3.20,-4.31,-3.20,-4.31,4.31,4.28,4.43,1.11,1.11,1.11
59.16,-3.10,-4.20,-3.10,-4.21,4.21,4.18,4.40,1.11,1.11,1.11
59.76,-3.01,-4.11,-3.01,-4.11,4.10,4.08,4.38,1.09,1.09,1.10
60.35,-2.92,-4.01,-2.92,-4.01,4.00,3.99,4.35,1.08,1.08,1.09
60.96,-2.83,-3.90,-2.83,-3.90,3.89,3.89,4.31,1.06,1.06,1.07
61.57,-2.73,-3.78,-2.73,-3.78,3.78,3.79,4.27,1.05,1.05,1.05
