frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-19.00,-20.28,-19.00,-20.28,6.00,5.23,2.68,-13.00,-13.00,1.28
20.20,-18.85,-20.22,-18.85,-20.22,6.00,5.26,2.75,-12.85,-12.85,1.37
20.40,-18.70,-20.16,-18.70,-20.16,6.00,5.30,2.83,-12.70,-12.70,1.46
20.61,-18.56,-20.08,-18.55,-20.09,6.00,5.33,2.91,-12.56,-12.55,1.53
20.81,-18.40,-20.02,-18.40,-20.02,6.00,5.36,2.99,-12.40,-12.40,1.62
21.02,-18.25,-19.95,-18.25,-19.94,6.00,5.39,3.08,-12.25,-12.25,1.70
21.23,-18.09,-19.85,-18.09,-19.86,6.00,5.43,3.17,-12.09,-12.09,1.76
21.44,-17.94,-19.76,-17.94,-19.76,6.00,5.46,3.26,-11.94,-11.94,1.82
21.66,-17.78,-19.67,-17.78,-19.66,6.00,5.49,3.35,-11.78,-11.78,1.89
21.87,-17.63,-19.57,-17.63,-19.57,6.00,5.52,3.45,-11.63,-11.63,1.94
22.09,-17.47,-19.46,-17.47,-19.46,6.00,5.55,3.54,-11.47,-11.47,1.99
22.31,-17.32,-19.36,-17.32,-19.36,6.00,5.58,3.64,-11.32,-11.32,2.04
22.54,-17.17,-19.26,-17.17,-19.25,6.00,5.61,3.75,-11.17,-11.17,2.09
22.76,-17.01,-19.14,-17.02,-19.14,6.00,5.63,3.85,-11.01,-11.02,2.13
22.99,-16.86,-19.03,-16.86,-19.03,6.00,5.66,3.96,-10.86,-10.86,2.17
23.22,-16.70,-18.91,-16.70,-18.91,6.00,5.69,4.07,-10.70,-10.70,2.20
23.45,-16.54,-18.80,-16.55,-18.80,6.00,5.72,4.18,-10.54,-10.55,2.25
23.69,-16.39,-18.69,-16.39,-18.68,6.00,5.74,4.30,-10.39,-10.39,2.29
23.92,-16.23,-18.56,-16.23,-18.57,6.00,5.77,4.42,-10.23,-10.23,2.33
24.16,-16.07,-18.45,-16.07,-18.45,6.00,5.79,4.54,-10.07,-10.07,2.38
24.40,-15.91,-18.33,-15.91,-18.33,6.00,5.81,4.66,-9.91,-9.91,2.42
24.65,-15.76,-18.22,-15.76,-18.21,6.00,5.84,4.78,-9.76,-9.76,2.45
24.89,-15.60,-18.09,-15.60,-18.09,6.00,5.86,4.91,-9.60,-9.60,2.49
25.14,-15.44,-17.97,-15.44,-17.97,6.00,5.88,5.03,-9.44,-9.44,2.53
25.39,-15.28,-17.85,-15.28,-17.85,6.00,5.90,5.16,-9.28,-9.28,2.57
25.65,-15.12,-17.73,-15.12,-17.73,6.00,5.92,5.29,-9.12,-9.12,2.61
25.91,-14.97,-17.60,-14.96,-17.61,6.00,5.94,5.41,-8.97,-8.96,2.64
26.16,-14.80,-17.48,-14.80,-17.48,6.00,5.96,5.54,-8.80,-8.80,2.68
26.43,-14.64,-17.35,-14.64,-17.36,6.00,5.98,5.67,-8.64,-8.64,2.71
26.69,-14.48,-17.23,-14.49,-17.23,6.00,5.99,5.80,-8.48,-8.49,2.75
26.96,-14.33,-17.12,-14.33,-17.11,6.00,6.01,5.92,-8.33,-8.33,2.79
27.23,-14.16,-16.98,-14.17,-16.99,6.00,6.02,6.04,-8.16,-8.17,2.82
27.50,-14.00,-16.86,-14.00,-16.86,6.00,6.04,6.16,-8.00,-8.00,2.86
27.77,-13.84,-16.73,-13.84,-16.73,6.00,6.05,6.28,-7.84,-7.84,2.89
28.05,-13.68,-16.61,-13.68,-16.60,6.00,6.06,6.39,-7.68,-7.68,2.92
28.33,-13.52,-16.47,-13.52,-16.47,6.00,6.07,6.49,-7.52,-7.52,2.94
28.62,-13.36,-16.35,-13.36,-16.35,6.00,6.08,6.59,-7.36,-7.36,2.98
28.90,-13.20,-16.22,-13.21,-16.22,6.00,6.09,6.69,-7.20,-7.21,3.02
29.19,-13.05,-16.10,-13.05,-16.11,6.00,6.10,6.77,-7.05,-7.05,3.05
29.48,-12.89,-15.99,-12.89,-15.98,6.00,6.10,6.85,-6.89,-6.89,3.10
29.78,-12.73,-15.85,-12.73,-15.86,6.00,6.11,6.92,-6.73,-6.73,3.12
30.08,-12.58,-15.73,-12.58,-15.74,6.00,6.11,6.98,-6.58,-6.58,3.16
30.38,-12.42,-15.61,-12.43,-15.61,6.00,6.11,7.03,-6.42,-6.43,3.19
30.68,-12.28,-15.51,-12.28,-15.50,6.00,6.12,7.07,-6.28,-6.28,3.23
30.99,-12.13,-15.38,-12.13,-15.38,6.00,6.12,7.11,-6.13,-6.13,3.24
31.30,-11.98,-15.27,-11.98,-15.27,6.00,6.12,7.13,-5.98,-5.98,3.28
31.61,-11.83,-15.15,-11.83,-15.14,6.00,6.11,7.14,-5.83,-5.83,3.31
31.93,-11.68,-15.03,-11.69,-15.02,6.00,6.11,7.14,-5.68,-5.69,3.34
32.24,-11.54,-14.90,-11.54,-14.90,6.00,6.11,7.13,-5.54,-5.54,3.36
32.57,-11.39,-14.78,-11.40,-14.79,6.00,6.10,7.11,-5.39,-5.40,3.39
32.89,-11.25,-14.68,-11.25,-14.67,6.00,6.09,7.09,-5.25,-5.25,3.43
33.22,-11.10,-14.55,-11.10,-14.55,6.00,6.09,7.05,-5.10,-5.10,3.45
33.55,-10.95,-14.41,-10.95,-14.42,6.00,6.08,7.01,-4.95,-4.95,3.46
33.89,-10.80,-14.28,-10.80,-14.29,6.00,6.07,6.96,-4.80,-4.80,3.48
34.23,-10.65,-14.16,-10.65,-14.16,6.00,6.06,6.90,-4.65,-4.65,3.51
34.57,-10.50,-14.03,-10.50,-14.03,6.00,6.05,6.84,-4.50,-4.50,3.53
34.92,-10.35,-13.89,-10.35,-13.90,6.00,6.04,6.77,-4.35,-4.35,3.54
35.27,-10.19,-13.76,-10.20,-13.75,6.00,6.02,6.70,-4.19,-4.20,3.56
35.62,-10.04,-13.62,-10.04,-13.62,6.00,6.01,6.63,-4.04,-4.04,3.57
35.97,-9.89,-13.47,-9.89,-13.48,6.00,6.00,6.55,-3.89,-3.89,3.58
36.33,-9.74,-13.34,-9.74,-13.34,6.00,5.99,6.47,-3.74,-3.74,3.60
36.70,-9.59,-13.20,-9.59,-13.19,6.00,5.97,6.39,-3.59,-3.59,3.61
37.06,-9.43,-13.04,-9.44,-13.05,6.00,5.96,6.31,-3.43,-3.44,3.61
37.43,-9.28,-12.91,-9.28,-12.91,6.00,5.95,6.23,-3.28,-3.28,3.63
37.81,-9.13,-12.77,-9.13,-12.77,6.00,5.94,6.15,-3.13,-3.13,3.64
38.19,-8.97,-12.62,-8.98,-12.62,6.00,5.93,6.07,-2.97,-2.98,3.65
38.57,-8.82,-12.48,-8.82,-12.47,6.00,5.93,5.99,-2.82,-2.82,3.65
38.95,-8.66,-12.31,-8.66,-12.31,6.00,5.92,5.91,-2.66,-2.66,3.65
39.34,-8.50,-12.15,-8.50,-12.16,6.00,5.91,5.84,-2.50,-2.50,3.65
39.74,-8.34,-12.00,-8.34,-11.99,6.00,5.91,5.76,-2.34,-2.34,3.65
40.14,-8.18,-11.84,-8.18,-11.83,6.00,5.91,5.69,-2.18,-2.18,3.65
40.54,-8.01,-11.66,-8.02,-11.67,6.00,5.91,5.63,-2.01,-2.02,3.65
40.94,-7.85,-11.51,-7.85,-11.50,6.00,5.91,5.57,-1.85,-1.85,3.65
41.35,-7.69,-11.34,-7.69,-11.34,6.00,5.91,5.51,-1.69,-1.69,3.65
41.76,-7.53,-11.19,-7.53,-11.19,6.00,5.91,5.45,-1.53,-1.53,3.66
42.18,-7.37,-11.03,-7.37,-11.03,6.00,5.91,5.40,-1.37,-1.37,3.66
42.60,-7.21,-10.87,-7.21,-10.88,6.00,5.92,5.35,-1.21,-1.21,3.66
43.03,-7.05,-10.72,-7.05,-10.71,6.00,5.92,5.30,-1.05,-1.05,3.66
43.46,-6.87,-10.53,-6.88,-10.53,6.00,5.93,5.26,-0.87,-0.88,3.66
43.90,-6.70,-10.35,-6.70,-10.35,6.00,5.93,5.22,-0.70,-0.70,3.65
44.33,-6.53,-10.17,-6.53,-10.17,6.00,5.94,5.19,-0.53,-0.53,3.64
44.78,-6.36,-10.00,-6.37,-10.00,6.00,5.94,5.16,-0.36,-0.37,3.64
45.23,-6.20,-9.84,-6.20,-9.83,6.00,5.95,5.13,-0.20,-0.20,3.63
45.68,-6.04,-9.67,-6.04,-9.66,6.00,5.95,5.11,-0.04,-0.04,3.63
46.13,-5.87,-9.49,-5.87,-9.50,6.00,5.95,5.09,0.13,0.13,3.62
46.60,-5.70,-9.33,-5.70,-9.33,6.00,5.96,5.08,0.30,0.30,3.62
47.06,-5.53,-9.16,-5.53,-9.16,6.00,5.96,5.07,0.47,0.47,3.63
47.53,-5.37,-8.99,-5.37,-9.00,6.00,5.97,5.06,0.63,0.63,3.62
48.01,-5.21,-8.85,-5.21,-8.84,6.00,5.97,5.06,0.79,0.79,3.64
48.49,-5.05,-8.67,-5.06,-8.68,6.00,5.97,5.05,0.95,0.94,3.62
48.97,-4.90,-8.51,-4.90,-8.51,6.00,5.97,5.06,1.10,1.10,3.61
49.46,-4.74,-8.35,-4.74,-8.35,6.00,5.98,5.06,1.26,1.26,3.61
49.96,-4.58,-8.18,-4.59,-8.20,6.00,5.98,5.07,1.42,1.41,3.60
50.46,-4.44,-8.06,-4.44,-8.05,6.00,5.98,5.08,1.56,1.56,3.62
50.96,-4.29,-7.92,-4.29,-7.91,6.00,5.98,5.09,1.71,1.71,3.62
51.47,-4.15,-7.77,-4.15,-7.77,6.00,5.99,5.10,1.85,1.85,3.61
51.99,-4.00,-7.63,-4.01,-7.63,6.00,5.99,5.12,2.00,1.99,3.63
52.51,-3.87,-7.51,-3.87,-7.51,6.00,5.99,5.13,2.13,2.13,3.64
53.03,-3.74,-7.39,-3.75,-7.39,6.00,5.99,5.15,2.26,2.25,3.65
53.56,-3.63,-7.28,-3.63,-7.28,6.00,5.99,5.16,2.37,2.37,3.65
54.10,-3.51,-7.16,-3.50,-7.16,6.00,5.99,5.18,2.49,2.50,3.65
54.64,-3.37,-7.03,-3.38,-7.03,6.00,5.99,5.19,2.63,2.62,3.66
55.18,-3.24,-6.90,-3.25,-6.91,6.00,5.99,5.21,2.76,2.75,3.66
55.74,-3.13,-6.79,-3.13,-6.79,6.00,5.99,5.22,2.87,2.87,3.66
56.29,-3.02,-6.68,-3.02,-6.67,6.01,5.98,5.23,2.99,2.99,3.66
56.86,-2.90,-6.56,-2.91,-6.56,6.02,5.97,5.23,3.12,3.12,3.66
57.42,-2.79,-6.44,-2.80,-6.44,6.03,5.95,5.24,3.24,3.23,3.64
58.00,-2.69,-6.33,-2.69,-6.33,6.02,5.93,5.24,3.33,3.33,3.64
58.58,-2.58,-6.22,-2.58,-6.22,6.00,5.90,5.23,3.42,3.42,3.64
59.16,-2.47,-6.11,-2.47,-6.11,5.96,5.86,5.22,3.49,3.49,3.64
59.76,-2.35,-5.98,-2.35,-5.98,5.90,5.81,5.21,3.54,3.54,3.63
60.35,-2.23,-5.85,-2.23,-5.85,5.81,5.75,5.19,3.58,3.58,3.62
60.96,-2.10,-5.71,-2.10,-5.70,5.70,5.68,5.16,3.59,3.60,3.60
61.57,-1.96,-5.54,-1.97,-5.55,5.56,5.60,5.13,3.60,3.59,3.58
62.18,-1.83,-5.38,-1.83,-5.39,5.41,5.51,5.09,3.58,3.58,3.55
62.80,-1.68,-5.23,-1.68,-5.22,5.24,5.40,5.04,3.56,3.56,3.55
63.43,-1.52,-5.04,-1.53,-5.05,5.06,5.28,4.99,3.54,3.53,3.52
64.07,-1.36,-4.88,-1.36,-4.88,4.88,5.15,4.93,3.52,3.52,3.51
64.71,-1.20,-4.71,-1.20,-4.70,4.70,5.01,4.87,3.50,3.51,3.51
65.35,-1.03,-4.53,-1.03,-4.53,4.53,4.85,4.80,3.50,3.50,3.50
66.01,-0.86,-4.35,-0.86,-4.35,4.35,4.69,4.72,3.49,3.49,3.49
66.67,-0.69,-4.17,-0.69,-4.18,4.18,4.52,4.64,3.49,3.49,3.48
67.33,-0.52,-4.00,-0.52,-4.00,4.00,4.33,4.55,3.48,3.48,3.48
68.01,-0.35,-3.83,-0.35,-3.83,3.83,4.14,4.46,3.47,3.48,3.48
68.69,-0.17,-3.65,-0.18,-3.65,3.65,3.95,4.36,3.48,3.47,3.48
69.37,-0.00,-3.48,0.00,-3.48,3.47,3.75,4.26,3.47,3.48,3.48
70.07,0.18,-3.30,0.18,-3.30,3.30,3.54,4.15,3.48,3.48,3.48
70.77,0.35,-3.14,0.35,-3.13,3.13,3.34,4.04,3.48,3.48,3.48
71.48,0.52,-2.96,0.52,-2.96,2.96,3.14,3.93,3.48,3.48,3.48
72.19,0.68,-2.80,0.68,-2.80,2.80,2.94,3.82,3.48,3.48,3.48
72.91,0.83,-2.64,0.83,-2.64,2.65,2.76,3.70,3.47,3.47,3.47
73.64,0.97,-2.49,0.97,-2.49,2.50,2.58,3.58,3.47,3.47,3.46
74.38,1.10,-2.37,1.10,-2.36,2.36,2.43,3.46,3.46,3.47,3.46
75.12,1.24,-2.22,1.23,-2.23,2.23,2.29,3.34,3.47,3.47,3.46
75.87,1.35,-2.11,1.35,-2.11,2.12,2.17,3.22,3.47,3.46,3.46
76.63,1.45,-2.01,1.45,-2.01,2.01,2.06,3.10,3.46,3.46,3.45
77.40,1.54,-1.92,1.54,-1.91,1.91,1.98,2.97,3.45,3.45,3.46
78.17,1.63,-1.82,1.63,-1.82,1.82,1.90,2.85,3.45,3.45,3.45
78.95,1.72,-1.74,1.72,-1.74,1.74,1.84,2.73,3.45,3.45,3.46
79.74,1.80,-1.67,1.80,-1.66,1.66,1.79,2.61,3.46,3.46,3.47
80.54,1.89,-1.59,1.89,-1.59,1.59,1.73,2.49,3.48,3.48,3.48
81.35,1.97,-1.52,1.97,-1.52,1.53,1.68,2.36,3.49,3.49,3.49
82.16,2.04,-1.46,2.04,-1.46,1.47,1.63,2.24,3.51,3.51,3.50
82.98,2.11,-1.42,2.11,-1.41,1.42,1.58,2.12,3.52,3.52,3.52
83.81,2.17,-1.36,2.17,-1.36,1.37,1.52,2.00,3.54,3.54,3.53
84.65,2.23,-1.31,2.23,-1.32,1.33,1.46,1.89,3.56,3.56,3.54
85.50,2.28,-1.30,2.28,-1.29,1.29,1.40,1.77,3.57,3.57,3.58
86.35,2.34,-1.25,2.33,-1.26,1.25,1.33,1.65,3.59,3.59,3.59
87.22,2.38,-1.23,2.38,-1.22,1.22,1.26,1.54,3.59,3.60,3.61
88.09,2.44,-1.18,2.44,-1.19,1.18,1.19,1.42,3.61,3.61,3.61
88.97,2.49,-1.15,2.49,-1.14,1.13,1.11,1.31,3.62,3.62,3.64
89.86,2.55,-1.09,2.55,-1.09,1.09,1.04,1.20,3.64,3.64,3.64
90.76,2.61,-1.03,2.61,-1.03,1.04,0.95,1.08,3.64,3.65,3.64
91.66,2.68,-0.97,2.67,-0.97,0.98,0.87,0.97,3.66,3.65,3.65
92.58,2.73,-0.90,2.73,-0.91,0.91,0.79,0.86,3.64,3.64,3.63
93.51,2.78,-0.86,2.79,-0.85,0.85,0.70,0.75,3.62,3.63,3.63
94.44,2.85,-0.78,2.85,-0.78,0.77,0.61,0.65,3.62,3.62,3.63
95.39,2.92,-0.69,2.91,-0.70,0.69,0.52,0.54,3.61,3.60,3.61
96.34,2.98,-0.60,2.98,-0.60,0.60,0.43,0.43,3.58,3.58,3.58
97.30,3.04,-0.51,3.04,-0.51,0.51,0.35,0.33,3.55,3.55,3.55
98.28,3.11,-0.42,3.11,-0.42,0.41,0.26,0.22,3.52,3.52,3.52
99.26,3.18,-0.32,3.18,-0.31,0.31,0.17,0.12,3.49,3.49,3.50
100.25,3.25,-0.21,3.25,-0.21,0.22,0.08,0.02,3.46,3.47,3.46
101.25,3.32,-0.10,3.32,-0.10,0.12,-0.01,-0.08,3.44,3.44,3.42
102.27,3.38,-0.01,3.37,-0.01,0.03,-0.09,-0.18,3.41,3.40,3.39
103.29,3.41,0.07,3.41,0.07,-0.06,-0.18,-0.27,3.35,3.35,3.34
104.32,3.45,0.14,3.45,0.14,-0.15,-0.26,-0.37,3.30,3.30,3.31
105.37,3.50,0.23,3.50,0.23,-0.24,-0.35,-0.46,3.25,3.26,3.27
106.42,3.56,0.32,3.56,0.32,-0.33,-0.43,-0.55,3.22,3.22,3.24
107.48,3.62,0.42,3.62,0.42,-0.43,-0.51,-0.64,3.19,3.19,3.20
108.56,3.68,0.52,3.68,0.52,-0.52,-0.58,-0.73,3.15,3.16,3.16
109.64,3.75,0.63,3.75,0.62,-0.62,-0.66,-0.81,3.13,3.13,3.12
110.74,3.82,0.72,3.82,0.72,-0.72,-0.73,-0.89,3.10,3.10,3.09
111.85,3.89,0.81,3.88,0.82,-0.81,-0.80,-0.97,3.08,3.07,3.07
112.97,3.94,0.91,3.94,0.91,-0.90,-0.87,-1.04,3.04,3.04,3.03
114.10,3.99,0.98,3.99,0.99,-0.98,-0.93,-1.11,3.01,3.01,3.01
115.24,4.05,1.07,4.04,1.06,-1.05,-0.99,-1.17,2.99,2.98,2.98
116.39,4.07,1.11,4.07,1.12,-1.12,-1.05,-1.23,2.95,2.96,2.96
117.55,4.11,1.17,4.11,1.17,-1.17,-1.10,-1.29,2.94,2.94,2.93
