frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.07,1.55,7.07,1.56,-1.55,-1.58,-1.00,5.52,5.52,5.52
20.20,7.09,1.59,7.09,1.59,-1.59,-1.61,-1.03,5.50,5.50,5.50
20.40,7.11,1.62,7.11,1.62,-1.62,-1.63,-1.06,5.49,5.49,5.49
20.61,7.13,1.64,7.13,1.65,-1.65,-1.65,-1.09,5.48,5.48,5.49
20.81,7.15,1.69,7.15,1.68,-1.68,-1.67,-1.13,5.47,5.47,5.47
21.02,7.17,1.72,7.18,1.72,-1.72,-1.70,-1.16,5.46,5.46,5.46
21.23,7.20,1.76,7.20,1.75,-1.75,-1.72,-1.19,5.46,5.45,5.45
21.44,7.22,1.77,7.22,1.77,-1.78,-1.74,-1.23,5.45,5.45,5.46
21.66,7.24,1.80,7.25,1.80,-1.80,-1.76,-1.27,5.44,5.44,5.45
21.87,7.27,1.84,7.27,1.83,-1.83,-1.79,-1.31,5.44,5.44,5.44
22.09,7.29,1.87,7.29,1.87,-1.86,-1.81,-1.35,5.43,5.43,5.43
22.31,7.31,1.89,7.31,1.89,-1.89,-1.83,-1.39,5.43,5.43,5.43
22.54,7.33,1.92,7.33,1.91,-1.91,-1.86,-1.43,5.42,5.42,5.41
22.76,7.35,1.93,7.35,1.93,-1.94,-1.88,-1.47,5.41,5.41,5.42
22.99,7.37,1.96,7.37,1.96,-1.97,-1.91,-1.51,5.41,5.41,5.41
23.22,7.39,1.99,7.40,1.99,-1.99,-1.93,-1.56,5.40,5.41,5.40
23.45,7.42,2.02,7.42,2.02,-2.01,-1.95,-1.60,5.41,5.41,5.40
23.69,7.44,2.04,7.44,2.04,-2.03,-1.98,-1.65,5.41,5.41,5.40
23.92,7.46,2.06,7.46,2.06,-2.06,-2.00,-1.70,5.40,5.41,5.40
24.16,7.48,2.08,7.49,2.08,-2.08,-2.03,-1.75,5.40,5.40,5.40
24.40,7.51,2.10,7.51,2.10,-2.11,-2.05,-1.80,5.40,5.40,5.41
24.65,7.53,2.12,7.53,2.13,-2.13,-2.08,-1.85,5.40,5.40,5.41
24.89,7.55,2.15,7.55,2.15,-2.16,-2.10,-1.90,5.39,5.40,5.40
25.14,7.57,2.19,7.58,2.19,-2.18,-2.12,-1.95,5.39,5.39,5.39
25.39,7.60,2.22,7.60,2.22,-2.21,-2.15,-2.00,5.39,5.39,5.39
25.65,7.62,2.25,7.62,2.24,-2.24,-2.17,-2.06,5.39,5.39,5.38
25.91,7.64,2.27,7.64,2.26,-2.26,-2.20,-2.11,5.38,5.38,5.38
26.16,7.66,2.28,7.66,2.29,-2.29,-2.22,-2.16,5.37,5.37,5.38
26.43,7.68,2.31,7.69,2.31,-2.32,-2.25,-2.22,5.37,5.37,5.37
26.69,7.71,2.34,7.71,2.34,-2.34,-2.28,-2.27,5.37,5.37,5.37
26.96,7.73,2.36,7.73,2.37,-2.36,-2.30,-2.32,5.37,5.37,5.37
27.23,7.75,2.39,7.75,2.39,-2.38,-2.33,-2.37,5.37,5.37,5.36
27.50,7.77,2.41,7.77,2.41,-2.41,-2.35,-2.43,5.37,5.37,5.36
27.77,7.79,2.43,7.79,2.43,-2.43,-2.38,-2.48,5.37,5.37,5.37
28.05,7.81,2.45,7.81,2.45,-2.45,-2.40,-2.53,5.36,5.36,5.37
28.33,7.83,2.47,7.83,2.47,-2.47,-2.43,-2.57,5.37,5.37,5.37
28.62,7.85,2.49,7.85,2.49,-2.49,-2.45,-2.62,5.37,5.37,5.36
28.90,7.87,2.50,7.87,2.50,-2.50,-2.48,-2.66,5.37,5.37,5.37
29.19,7.89,2.52,7.89,2.52,-2.52,-2.51,-2.71,5.37,5.37,5.37
29.48,7.91,2.54,7.91,2.54,-2.54,-2.53,-2.75,5.37,5.37,5.37
29.78,7.93,2.56,7.94,2.56,-2.56,-2.56,-2.79,5.37,5.37,5.37
30.08,7.96,2.58,7.96,2.58,-2.59,-2.58,-2.82,5.38,5.37,5.39
30.38,7.98,2.61,7.98,2.61,-2.61,-2.61,-2.85,5.37,5.37,5.38
30.68,8.00,2.63,8.01,2.63,-2.63,-2.64,-2.88,5.37,5.38,5.37
30.99,8.03,2.66,8.03,2.66,-2.66,-2.66,-2.91,5.38,5.37,5.37
31.30,8.05,2.68,8.05,2.68,-2.68,-2.69,-2.94,5.37,5.37,5.37
31.61,8.07,2.71,8.07,2.71,-2.71,-2.71,-2.96,5.37,5.37,5.37
31.93,8.09,2.74,8.09,2.73,-2.73,-2.74,-2.98,5.36,5.36,5.36
32.24,8.10,2.75,8.11,2.76,-2.75,-2.76,-2.99,5.35,5.35,5.35
32.57,8.12,2.78,8.12,2.78,-2.78,-2.79,-3.01,5.34,5.34,5.34
32.89,8.14,2.80,8.14,2.80,-2.80,-2.82,-3.02,5.34,5.34,5.34
33.22,8.16,2.83,8.16,2.83,-2.83,-2.84,-3.03,5.33,5.33,5.34
33.55,8.18,2.85,8.18,2.85,-2.85,-2.87,-3.04,5.33,5.33,5.33
33.89,8.20,2.88,8.20,2.88,-2.88,-2.89,-3.04,5.32,5.32,5.32
34.23,8.22,2.91,8.22,2.91,-2.91,-2.92,-3.04,5.31,5.31,5.31
34.57,8.24,2.94,8.24,2.94,-2.94,-2.95,-3.05,5.31,5.30,5.31
34.92,8.26,2.97,8.26,2.97,-2.97,-2.97,-3.05,5.30,5.30,5.29
35.27,8.28,2.98,8.28,3.00,-3.00,-3.00,-3.05,5.29,5.29,5.30
35.62,8.30,3.04,8.30,3.03,-3.03,-3.02,-3.05,5.28,5.28,5.27
35.97,8.32,3.06,8.32,3.06,-3.06,-3.05,-3.04,5.27,5.27,5.26
36.33,8.33,3.08,8.34,3.09,-3.08,-3.08,-3.04,5.25,5.25,5.25
36.70,8.35,3.12,8.35,3.11,-3.11,-3.10,-3.04,5.24,5.24,5.24
37.06,8.36,3.14,8.36,3.14,-3.14,-3.13,-3.04,5.22,5.22,5.22
37.43,8.37,3.16,8.37,3.17,-3.17,-3.15,-3.04,5.21,5.21,5.21
37.81,8.38,3.19,8.38,3.19,-3.19,-3.18,-3.04,5.19,5.19,5.20
38.19,8.39,3.22,8.39,3.22,-3.22,-3.20,-3.04,5.17,5.17,5.17
38.57,8.40,3.25,8.40,3.25,-3.25,-3.23,-3.04,5.16,5.16,5.16
38.95,8.40,3.27,8.40,3.27,-3.27,-3.25,-3.04,5.13,5.13,5.13
39.34,8.40,3.30,8.40,3.29,-3.29,-3.28,-3.05,5.11,5.11,5.11
39.74,8.40,3.31,8.40,3.31,-3.31,-3.30,-3.06,5.09,5.09,5.09
40.14,8.40,3.33,8.40,3.33,-3.33,-3.33,-3.06,5.07,5.07,5.07
40.54,8.39,3.34,8.40,3.35,-3.34,-3.35,-3.07,5.05,5.05,5.05
40.94,8.39,3.37,8.39,3.36,-3.36,-3.38,-3.08,5.03,5.03,5.03
41.35,8.38,3.37,8.38,3.37,-3.37,-3.40,-3.10,5.01,5.01,5.01
41.76,8.37,3.38,8.37,3.38,-3.38,-3.43,-3.11,4.99,4.99,5.00
42.18,8.36,3.38,8.36,3.39,-3.39,-3.45,-3.13,4.97,4.97,4.98
42.60,8.35,3.40,8.35,3.40,-3.40,-3.48,-3.15,4.95,4.95,4.95
43.03,8.34,3.42,8.34,3.41,-3.40,-3.50,-3.17,4.94,4.94,4.93
43.46,8.32,3.41,8.32,3.42,-3.41,-3.53,-3.20,4.91,4.91,4.91
43.90,8.30,3.42,8.30,3.42,-3.42,-3.55,-3.23,4.89,4.89,4.88
44.33,8.28,3.42,8.28,3.42,-3.42,-3.58,-3.26,4.86,4.86,4.87
44.78,8.26,3.42,8.26,3.42,-3.43,-3.60,-3.29,4.84,4.84,4.84
45.23,8.24,3.42,8.24,3.43,-3.43,-3.62,-3.32,4.81,4.81,4.82
45.68,8.22,3.44,8.22,3.44,-3.44,-3.65,-3.36,4.78,4.78,4.78
46.13,8.20,3.46,8.20,3.46,-3.45,-3.67,-3.40,4.75,4.75,4.74
46.60,8.18,3.47,8.19,3.47,-3.47,-3.70,-3.44,4.72,4.72,4.72
47.06,8.17,3.49,8.17,3.48,-3.49,-3.72,-3.49,4.69,4.68,4.69
47.53,8.15,3.50,8.16,3.51,-3.51,-3.74,-3.53,4.64,4.64,4.66
48.01,8.14,3.54,8.15,3.53,-3.54,-3.77,-3.58,4.61,4.61,4.61
48.49,8.14,3.57,8.14,3.56,-3.57,-3.79,-3.63,4.58,4.57,4.58
48.97,8.13,3.60,8.14,3.60,-3.60,-3.81,-3.68,4.54,4.54,4.54
49.46,8.13,3.63,8.13,3.63,-3.63,-3.84,-3.74,4.50,4.50,4.50
49.96,8.13,3.68,8.13,3.67,-3.66,-3.86,-3.79,4.47,4.47,4.45
50.46,8.13,3.70,8.13,3.70,-3.70,-3.88,-3.85,4.43,4.43,4.43
50.96,8.13,3.73,8.14,3.74,-3.74,-3.91,-3.91,4.39,4.40,4.40
51.47,8.14,3.78,8.14,3.78,-3.78,-3.93,-3.97,4.36,4.36,4.37
51.99,8.15,3.82,8.15,3.82,-3.82,-3.95,-4.03,4.33,4.33,4.33
52.51,8.17,3.87,8.17,3.87,-3.87,-3.97,-4.09,4.30,4.30,4.30
53.03,8.18,3.91,8.18,3.92,-3.92,-4.00,-4.15,4.26,4.26,4.28
53.56,8.20,3.97,8.20,3.97,-3.98,-4.02,-4.21,4.23,4.23,4.23
54.10,8.22,4.03,8.22,4.03,-4.04,-4.04,-4.27,4.19,4.19,4.20
54.64,8.25,4.09,8.25,4.10,-4.10,-4.06,-4.33,4.15,4.15,4.16
55.18,8.28,4.17,8.28,4.17,-4.16,-4.09,-4.39,4.12,4.12,4.11
55.74,8.31,4.23,8.31,4.23,-4.22,-4.11,-4.45,4.09,4.09,4.08
56.29,8.34,4.28,8.34,4.28,-4.28,-4.13,-4.50,4.07,4.06,4.06
56.86,8.36,4.33,8.36,4.33,-4.33,-4.15,-4.56,4.04,4.03,4.03
