frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.87,6.88,15.87,6.89,-6.89,-6.16,-2.88,8.99,8.99,8.99
20.20,15.83,6.87,15.84,6.86,-6.86,-6.16,-2.96,8.97,8.97,8.97
20.40,15.80,6.85,15.80,6.84,-6.84,-6.17,-3.05,8.96,8.96,8.96
20.61,15.76,6.81,15.77,6.82,-6.82,-6.17,-3.13,8.95,8.95,8.96
20.81,15.73,6.80,15.73,6.80,-6.79,-6.17,-3.22,8.94,8.94,8.94
21.02,15.70,6.78,15.70,6.77,-6.77,-6.17,-3.31,8.93,8.93,8.93
21.23,15.67,6.76,15.67,6.75,-6.75,-6.17,-3.40,8.92,8.92,8.92
21.44,15.64,6.72,15.64,6.73,-6.73,-6.17,-3.50,8.92,8.92,8.93
21.66,15.61,6.70,15.62,6.70,-6.71,-6.17,-3.60,8.91,8.91,8.92
21.87,15.59,6.69,15.59,6.68,-6.69,-6.17,-3.70,8.91,8.90,8.90
22.09,15.56,6.67,15.57,6.67,-6.67,-6.17,-3.81,8.90,8.90,8.89
22.31,15.54,6.65,15.54,6.65,-6.65,-6.17,-3.91,8.90,8.90,8.89
22.54,15.52,6.64,15.52,6.63,-6.63,-6.17,-4.02,8.90,8.89,8.88
22.76,15.49,6.60,15.50,6.61,-6.61,-6.17,-4.14,8.88,8.89,8.89
22.99,15.47,6.59,15.47,6.59,-6.60,-6.17,-4.25,8.88,8.88,8.88
23.22,15.45,6.58,15.45,6.58,-6.59,-6.17,-4.37,8.87,8.87,8.87
23.45,15.44,6.57,15.44,6.57,-6.58,-6.17,-4.49,8.87,8.87,8.87
23.69,15.43,6.56,15.44,6.57,-6.57,-6.17,-4.62,8.86,8.86,8.87
23.92,15.43,6.57,15.44,6.57,-6.57,-6.17,-4.74,8.86,8.87,8.87
24.16,15.44,6.58,15.44,6.57,-6.57,-6.17,-4.87,8.87,8.87,8.87
24.40,15.45,6.58,15.45,6.58,-6.57,-6.17,-5.00,8.88,8.88,8.88
24.65,15.45,6.58,15.45,6.58,-6.58,-6.17,-5.14,8.87,8.87,8.88
24.89,15.45,6.59,15.45,6.59,-6.59,-6.17,-5.27,8.87,8.87,8.86
25.14,15.45,6.60,15.45,6.60,-6.60,-6.18,-5.41,8.86,8.86,8.85
25.39,15.45,6.60,15.45,6.61,-6.61,-6.18,-5.55,8.85,8.85,8.85
25.65,15.45,6.61,15.46,6.61,-6.62,-6.18,-5.68,8.84,8.84,8.84
25.91,15.46,6.62,15.46,6.62,-6.63,-6.18,-5.82,8.84,8.84,8.84
26.16,15.47,6.62,15.47,6.63,-6.63,-6.18,-5.96,8.84,8.84,8.85
26.43,15.48,6.64,15.48,6.64,-6.64,-6.18,-6.10,8.85,8.84,8.84
26.69,15.48,6.65,15.48,6.64,-6.64,-6.18,-6.24,8.84,8.84,8.84
26.96,15.47,6.64,15.48,6.64,-6.64,-6.18,-6.38,8.84,8.84,8.84
27.23,15.46,6.64,15.46,6.63,-6.63,-6.18,-6.51,8.84,8.83,8.82
27.50,15.44,6.62,15.45,6.62,-6.61,-6.18,-6.64,8.83,8.83,8.82
27.77,15.42,6.59,15.43,6.60,-6.60,-6.18,-6.77,8.83,8.83,8.83
28.05,15.40,6.57,15.40,6.57,-6.57,-6.18,-6.90,8.83,8.83,8.83
28.33,15.37,6.54,15.37,6.54,-6.54,-6.18,-7.01,8.83,8.83,8.83
28.62,15.34,6.52,15.34,6.51,-6.51,-6.18,-7.13,8.83,8.83,8.83
28.90,15.31,6.48,15.31,6.48,-6.48,-6.18,-7.23,8.83,8.83,8.84
29.19,15.28,6.45,15.28,6.45,-6.45,-6.18,-7.33,8.83,8.83,8.83
29.48,15.25,6.42,15.25,6.42,-6.42,-6.17,-7.42,8.83,8.83,8.83
29.78,15.22,6.39,15.23,6.39,-6.39,-6.17,-7.50,8.83,8.83,8.83
