frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.83,5.67,9.83,5.68,-5.68,-5.63,-2.59,4.15,4.15,4.15
20.20,9.83,5.70,9.83,5.69,-5.69,-5.65,-2.67,4.14,4.14,4.13
20.40,9.83,5.71,9.83,5.70,-5.70,-5.67,-2.74,4.13,4.13,4.12
20.61,9.83,5.71,9.83,5.71,-5.71,-5.68,-2.82,4.12,4.12,4.12
20.81,9.83,5.73,9.83,5.73,-5.72,-5.70,-2.90,4.11,4.11,4.10
21.02,9.83,5.74,9.83,5.73,-5.73,-5.71,-2.98,4.10,4.10,4.09
21.23,9.83,5.75,9.83,5.74,-5.74,-5.73,-3.06,4.09,4.09,4.08
21.44,9.83,5.74,9.83,5.74,-5.75,-5.74,-3.15,4.08,4.08,4.09
21.66,9.83,5.75,9.83,5.75,-5.75,-5.75,-3.24,4.08,4.08,4.08
21.87,9.83,5.76,9.83,5.76,-5.76,-5.76,-3.33,4.07,4.07,4.07
22.09,9.83,5.77,9.83,5.77,-5.76,-5.77,-3.42,4.07,4.07,4.06
22.31,9.83,5.77,9.83,5.77,-5.77,-5.78,-3.52,4.06,4.06,4.06
22.54,9.83,5.78,9.83,5.77,-5.77,-5.79,-3.62,4.05,4.05,4.05
22.76,9.83,5.77,9.83,5.78,-5.78,-5.80,-3.72,4.05,4.05,4.06
22.99,9.83,5.78,9.83,5.78,-5.78,-5.80,-3.82,4.05,4.05,4.05
23.22,9.83,5.79,9.83,5.79,-5.79,-5.81,-3.93,4.04,4.04,4.04
23.45,9.83,5.79,9.83,5.79,-5.79,-5.81,-4.03,4.04,4.04,4.04
23.69,9.83,5.79,9.83,5.79,-5.79,-5.82,-4.14,4.04,4.04,4.04
23.92,9.83,5.79,9.83,5.79,-5.79,-5.82,-4.26,4.04,4.04,4.04
24.16,9.83,5.79,9.83,5.79,-5.79,-5.83,-4.37,4.04,4.04,4.04
24.40,9.83,5.78,9.83,5.79,-5.79,-5.83,-4.49,4.04,4.04,4.04
24.65,9.83,5.79,9.83,5.79,-5.80,-5.83,-4.61,4.03,4.03,4.04
24.89,9.83,5.80,9.83,5.79,-5.80,-5.83,-4.73,4.03,4.03,4.03
25.14,9.83,5.81,9.83,5.80,-5.80,-5.83,-4.85,4.03,4.03,4.02
25.39,9.83,5.81,9.83,5.81,-5.81,-5.83,-4.97,4.02,4.02,4.02
25.65,9.83,5.82,9.83,5.81,-5.81,-5.84,-5.10,4.02,4.02,4.01
25.91,9.83,5.82,9.83,5.82,-5.81,-5.84,-5.22,4.01,4.01,4.01
26.16,9.83,5.81,9.83,5.82,-5.82,-5.84,-5.34,4.01,4.01,4.02
26.43,9.83,5.82,9.83,5.82,-5.82,-5.84,-5.47,4.01,4.01,4.01
26.69,9.83,5.82,9.83,5.82,-5.82,-5.84,-5.59,4.00,4.00,4.01
26.96,9.83,5.82,9.83,5.83,-5.83,-5.84,-5.71,4.00,4.00,4.01
27.23,9.83,5.83,9.83,5.83,-5.83,-5.84,-5.83,4.00,4.00,4.00
27.50,9.83,5.84,9.83,5.83,-5.83,-5.84,-5.95,4.00,4.00,3.99
27.77,9.83,5.83,9.83,5.83,-5.83,-5.84,-6.07,4.00,4.00,4.00
28.05,9.83,5.83,9.83,5.83,-5.83,-5.84,-6.18,4.00,4.00,4.00
28.33,9.83,5.83,9.83,5.83,-5.83,-5.84,-6.29,4.00,4.00,4.00
28.62,9.83,5.83,9.83,5.83,-5.83,-5.84,-6.39,4.00,4.00,4.00
28.90,9.83,5.82,9.83,5.82,-5.82,-5.84,-6.49,4.00,4.00,4.01
29.19,9.83,5.82,9.83,5.83,-5.82,-5.84,-6.58,4.01,4.01,4.01
29.48,9.83,5.82,9.83,5.82,-5.82,-5.84,-6.66,4.01,4.01,4.00
29.78,9.83,5.83,9.83,5.82,-5.82,-5.84,-6.74,4.01,4.01,4.00
30.08,9.83,5.81,9.83,5.82,-5.82,-5.84,-6.81,4.01,4.01,4.02
30.38,9.83,5.82,9.83,5.82,-5.82,-5.84,-6.87,4.01,4.01,4.01
30.68,9.83,5.82,9.83,5.82,-5.82,-5.84,-6.93,4.01,4.01,4.01
30.99,9.83,5.82,9.83,5.82,-5.82,-5.84,-6.97,4.01,4.01,4.01
31.30,9.83,5.82,9.83,5.83,-5.83,-5.85,-7.01,4.00,4.00,4.00
31.61,9.83,5.83,9.83,5.83,-5.83,-5.85,-7.04,4.00,4.00,4.00
31.93,9.83,5.84,9.83,5.84,-5.84,-5.85,-7.06,3.99,3.99,3.99
32.24,9.83,5.84,9.83,5.84,-5.84,-5.86,-7.07,3.99,3.99,3.99
32.57,9.83,5.85,9.83,5.85,-5.85,-5.86,-7.07,3.98,3.98,3.98
32.89,9.83,5.86,9.83,5.85,-5.85,-5.86,-7.07,3.98,3.98,3.97
33.22,9.83,5.86,9.83,5.86,-5.86,-5.87,-7.06,3.97,3.97,3.97
33.55,9.83,5.86,9.83,5.86,-5.87,-5.88,-7.04,3.96,3.96,3.97
