frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.36,1.11,2.37,1.12,-1.12,-1.39,-1.12,1.25,1.25,1.25
20.20,2.40,1.17,2.40,1.17,-1.17,-1.42,-1.15,1.24,1.24,1.23
20.40,2.45,1.22,2.44,1.22,-1.22,-1.44,-1.18,1.23,1.22,1.22
20.61,2.48,1.26,2.48,1.27,-1.27,-1.47,-1.21,1.22,1.21,1.22
20.81,2.52,1.32,2.52,1.32,-1.32,-1.49,-1.25,1.20,1.20,1.20
21.02,2.55,1.37,2.56,1.36,-1.36,-1.52,-1.28,1.19,1.19,1.19
21.23,2.59,1.42,2.59,1.41,-1.41,-1.55,-1.32,1.18,1.18,1.18
21.44,2.64,1.45,2.63,1.45,-1.46,-1.57,-1.35,1.18,1.18,1.19
21.66,2.67,1.50,2.68,1.50,-1.50,-1.60,-1.39,1.17,1.18,1.18
21.87,2.72,1.55,2.71,1.54,-1.54,-1.63,-1.43,1.17,1.17,1.17
22.09,2.75,1.60,2.75,1.59,-1.59,-1.66,-1.47,1.17,1.16,1.16
22.31,2.79,1.63,2.79,1.63,-1.63,-1.68,-1.51,1.15,1.16,1.16
22.54,2.82,1.68,2.83,1.67,-1.68,-1.71,-1.55,1.15,1.15,1.15
22.76,2.86,1.71,2.86,1.72,-1.72,-1.74,-1.60,1.15,1.15,1.16
22.99,2.90,1.76,2.90,1.76,-1.76,-1.77,-1.64,1.14,1.14,1.15
23.22,2.94,1.81,2.94,1.80,-1.80,-1.80,-1.69,1.14,1.14,1.13
23.45,2.97,1.84,2.98,1.85,-1.84,-1.83,-1.73,1.14,1.14,1.13
23.69,3.01,1.88,3.01,1.88,-1.88,-1.86,-1.78,1.14,1.14,1.13
23.92,3.06,1.92,3.05,1.92,-1.92,-1.89,-1.83,1.14,1.13,1.13
24.16,3.09,1.95,3.09,1.95,-1.95,-1.92,-1.88,1.13,1.13,1.13
24.40,3.13,1.98,3.13,1.99,-1.99,-1.95,-1.93,1.13,1.13,1.14
24.65,3.16,2.02,3.16,2.02,-2.03,-1.98,-1.98,1.13,1.13,1.14
24.89,3.20,2.07,3.20,2.07,-2.07,-2.01,-2.03,1.12,1.13,1.13
25.14,3.24,2.12,3.24,2.11,-2.11,-2.04,-2.08,1.12,1.12,1.12
25.39,3.28,2.16,3.27,2.16,-2.15,-2.08,-2.14,1.12,1.12,1.12
25.65,3.30,2.20,3.31,2.20,-2.19,-2.11,-2.19,1.11,1.12,1.11
25.91,3.34,2.24,3.34,2.23,-2.23,-2.14,-2.24,1.11,1.11,1.11
26.16,3.38,2.26,3.38,2.27,-2.27,-2.17,-2.29,1.11,1.11,1.12
26.43,3.41,2.31,3.41,2.30,-2.31,-2.21,-2.35,1.11,1.10,1.10
26.69,3.44,2.34,3.44,2.34,-2.34,-2.24,-2.40,1.10,1.10,1.10
26.96,3.47,2.37,3.48,2.38,-2.38,-2.27,-2.45,1.10,1.10,1.10
27.23,3.51,2.42,3.51,2.41,-2.41,-2.30,-2.50,1.10,1.10,1.09
27.50,3.54,2.45,3.54,2.45,-2.45,-2.34,-2.56,1.10,1.10,1.09
27.77,3.58,2.48,3.58,2.48,-2.48,-2.37,-2.61,1.09,1.10,1.10
28.05,3.61,2.52,3.61,2.51,-2.51,-2.40,-2.65,1.10,1.10,1.10
28.33,3.64,2.55,3.64,2.55,-2.55,-2.44,-2.70,1.10,1.10,1.10
28.62,3.67,2.58,3.68,2.58,-2.58,-2.47,-2.75,1.10,1.10,1.10
28.90,3.70,2.60,3.70,2.60,-2.60,-2.50,-2.79,1.10,1.10,1.10
29.19,3.73,2.63,3.73,2.63,-2.63,-2.54,-2.83,1.10,1.10,1.10
29.48,3.76,2.66,3.77,2.66,-2.66,-2.57,-2.87,1.10,1.11,1.10
29.78,3.79,2.69,3.79,2.69,-2.69,-2.60,-2.91,1.11,1.11,1.10
30.08,3.82,2.71,3.82,2.71,-2.72,-2.64,-2.94,1.11,1.11,1.12
30.38,3.84,2.74,3.85,2.74,-2.74,-2.67,-2.98,1.10,1.11,1.11
30.68,3.87,2.77,3.88,2.77,-2.77,-2.70,-3.01,1.11,1.11,1.10
30.99,3.90,2.80,3.90,2.80,-2.80,-2.74,-3.03,1.11,1.10,1.10
