frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.85,0.51,5.85,0.51,-0.51,-0.64,-0.25,5.34,5.34,5.34
20.20,5.85,0.53,5.85,0.52,-0.52,-0.64,-0.26,5.32,5.32,5.32
20.40,5.85,0.54,5.85,0.54,-0.54,-0.64,-0.26,5.31,5.31,5.31
20.61,5.85,0.54,5.85,0.55,-0.55,-0.64,-0.27,5.30,5.30,5.31
20.81,5.85,0.56,5.85,0.56,-0.56,-0.64,-0.28,5.29,5.29,5.29
21.02,5.85,0.57,5.85,0.57,-0.56,-0.64,-0.28,5.28,5.28,5.28
21.23,5.85,0.58,5.85,0.57,-0.57,-0.64,-0.29,5.28,5.28,5.27
21.44,5.85,0.57,5.85,0.58,-0.58,-0.64,-0.30,5.27,5.27,5.28
21.66,5.85,0.58,5.85,0.58,-0.59,-0.64,-0.31,5.26,5.26,5.27
21.87,5.85,0.59,5.85,0.59,-0.59,-0.64,-0.32,5.26,5.26,5.26
22.09,5.85,0.60,5.85,0.60,-0.60,-0.64,-0.32,5.25,5.25,5.25
22.31,5.85,0.60,5.85,0.61,-0.60,-0.64,-0.33,5.25,5.25,5.25
22.54,5.85,0.61,5.85,0.61,-0.61,-0.64,-0.34,5.24,5.24,5.24
22.76,5.85,0.60,5.85,0.61,-0.61,-0.64,-0.35,5.24,5.24,5.24
22.99,5.85,0.61,5.85,0.62,-0.62,-0.65,-0.36,5.23,5.23,5.23
23.22,5.85,0.62,5.85,0.62,-0.62,-0.65,-0.37,5.23,5.23,5.22
23.45,5.85,0.63,5.85,0.63,-0.62,-0.65,-0.38,5.23,5.23,5.22
23.69,5.85,0.63,5.85,0.63,-0.62,-0.65,-0.39,5.23,5.23,5.22
23.92,5.85,0.63,5.85,0.63,-0.62,-0.65,-0.40,5.23,5.23,5.22
24.16,5.85,0.63,5.85,0.62,-0.63,-0.66,-0.41,5.22,5.22,5.22
24.40,5.85,0.62,5.85,0.62,-0.63,-0.66,-0.42,5.22,5.22,5.23
24.65,5.85,0.62,5.85,0.62,-0.63,-0.66,-0.44,5.22,5.22,5.23
24.89,5.85,0.63,5.85,0.63,-0.63,-0.67,-0.45,5.22,5.22,5.22
25.14,5.85,0.64,5.85,0.64,-0.64,-0.67,-0.46,5.21,5.21,5.21
25.39,5.85,0.64,5.85,0.65,-0.64,-0.67,-0.47,5.21,5.21,5.21
25.65,5.85,0.65,5.85,0.65,-0.64,-0.68,-0.48,5.21,5.21,5.20
25.91,5.85,0.65,5.85,0.65,-0.65,-0.68,-0.50,5.20,5.20,5.20
26.16,5.85,0.64,5.85,0.65,-0.65,-0.68,-0.51,5.20,5.20,5.20
26.43,5.85,0.65,5.85,0.65,-0.66,-0.69,-0.52,5.19,5.19,5.19
26.69,5.85,0.66,5.85,0.65,-0.66,-0.69,-0.53,5.19,5.19,5.19
26.96,5.85,0.66,5.85,0.66,-0.66,-0.70,-0.55,5.19,5.19,5.19
27.23,5.85,0.67,5.85,0.66,-0.66,-0.70,-0.56,5.19,5.19,5.18
27.50,5.85,0.67,5.85,0.66,-0.66,-0.71,-0.57,5.19,5.19,5.18
27.77,5.85,0.66,5.85,0.66,-0.66,-0.71,-0.59,5.19,5.19,5.19
28.05,5.85,0.66,5.85,0.66,-0.66,-0.72,-0.60,5.19,5.19,5.19
28.33,5.85,0.66,5.85,0.66,-0.66,-0.73,-0.61,5.19,5.19,5.19
28.62,5.85,0.66,5.85,0.66,-0.66,-0.73,-0.63,5.19,5.19,5.18
28.90,5.85,0.65,5.85,0.66,-0.66,-0.74,-0.64,5.19,5.19,5.19
29.19,5.85,0.66,5.85,0.66,-0.66,-0.75,-0.65,5.19,5.19,5.19
29.48,5.85,0.66,5.85,0.66,-0.65,-0.75,-0.67,5.19,5.19,5.19
29.78,5.85,0.66,5.85,0.65,-0.65,-0.76,-0.68,5.20,5.20,5.19
30.08,5.85,0.64,5.85,0.65,-0.65,-0.77,-0.69,5.20,5.20,5.21
30.38,5.85,0.65,5.85,0.65,-0.65,-0.78,-0.70,5.20,5.20,5.20
30.68,5.85,0.65,5.85,0.65,-0.65,-0.79,-0.72,5.19,5.19,5.19
30.99,5.85,0.66,5.85,0.66,-0.66,-0.79,-0.73,5.19,5.19,5.19
31.30,5.85,0.66,5.85,0.66,-0.66,-0.80,-0.74,5.19,5.19,5.19
31.61,5.85,0.66,5.85,0.66,-0.66,-0.81,-0.75,5.18,5.18,5.19
31.93,5.85,0.67,5.85,0.67,-0.67,-0.82,-0.77,5.18,5.18,5.18
32.24,5.85,0.67,5.85,0.68,-0.67,-0.83,-0.78,5.17,5.17,5.17
32.57,5.85,0.69,5.85,0.68,-0.68,-0.84,-0.79,5.17,5.17,5.16
32.89,5.85,0.69,5.85,0.69,-0.69,-0.85,-0.80,5.16,5.16,5.16
33.22,5.85,0.69,5.85,0.69,-0.69,-0.86,-0.82,5.16,5.16,5.16
33.55,5.85,0.69,5.85,0.70,-0.70,-0.87,-0.83,5.15,5.15,5.15
33.89,5.85,0.71,5.85,0.71,-0.71,-0.88,-0.84,5.14,5.14,5.14
34.23,5.85,0.72,5.85,0.72,-0.71,-0.90,-0.85,5.13,5.13,5.13
34.57,5.85,0.72,5.85,0.72,-0.72,-0.91,-0.86,5.13,5.13,5.13
34.92,5.85,0.73,5.85,0.73,-0.73,-0.92,-0.88,5.12,5.12,5.11
35.27,5.85,0.73,5.85,0.74,-0.74,-0.93,-0.89,5.11,5.11,5.12
35.62,5.85,0.76,5.85,0.75,-0.75,-0.95,-0.90,5.10,5.10,5.09
35.97,5.85,0.76,5.85,0.76,-0.76,-0.96,-0.92,5.08,5.08,5.08
36.33,5.85,0.78,5.85,0.78,-0.78,-0.97,-0.93,5.07,5.07,5.07
36.70,5.85,0.79,5.85,0.79,-0.79,-0.99,-0.94,5.06,5.06,5.06
37.06,5.85,0.80,5.85,0.80,-0.80,-1.00,-0.96,5.04,5.04,5.04
37.43,5.85,0.82,5.85,0.82,-0.82,-1.02,-0.97,5.03,5.03,5.03
37.81,5.85,0.83,5.85,0.83,-0.84,-1.03,-0.99,5.01,5.01,5.02
38.19,5.85,0.86,5.85,0.85,-0.86,-1.05,-1.01,4.99,4.99,4.99
38.57,5.85,0.87,5.85,0.87,-0.87,-1.06,-1.02,4.97,4.97,4.98
38.95,5.85,0.90,5.85,0.90,-0.89,-1.08,-1.04,4.95,4.95,4.95
39.34,5.85,0.92,5.85,0.92,-0.92,-1.10,-1.06,4.93,4.93,4.93
39.74,5.85,0.93,5.85,0.94,-0.94,-1.11,-1.08,4.91,4.91,4.91
40.14,5.85,0.96,5.85,0.96,-0.96,-1.13,-1.09,4.89,4.89,4.89
40.54,5.85,0.97,5.85,0.98,-0.98,-1.15,-1.12,4.87,4.87,4.87
40.94,5.85,1.00,5.85,1.00,-1.00,-1.17,-1.14,4.85,4.85,4.85
41.35,5.85,1.02,5.85,1.01,-1.02,-1.19,-1.16,4.83,4.83,4.83
41.76,5.85,1.03,5.85,1.03,-1.04,-1.21,-1.18,4.81,4.81,4.82
42.18,5.85,1.05,5.85,1.05,-1.05,-1.23,-1.20,4.79,4.79,4.80
42.60,5.85,1.07,5.85,1.07,-1.07,-1.25,-1.23,4.77,4.77,4.77
43.03,5.85,1.10,5.85,1.10,-1.10,-1.27,-1.25,4.75,4.75,4.75
43.46,5.85,1.12,5.85,1.12,-1.12,-1.29,-1.28,4.73,4.73,4.73
43.90,5.85,1.14,5.85,1.14,-1.14,-1.31,-1.31,4.71,4.71,4.70
44.33,5.85,1.16,5.85,1.16,-1.16,-1.33,-1.33,4.68,4.68,4.69
