frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.13,1.13,5.13,1.14,-1.14,-0.91,-0.53,3.99,3.99,4.00
20.20,5.12,1.15,5.13,1.14,-1.14,-0.91,-0.54,3.98,3.98,3.98
20.40,5.12,1.16,5.12,1.15,-1.15,-0.91,-0.56,3.97,3.97,3.97
20.61,5.11,1.15,5.11,1.16,-1.16,-0.91,-0.57,3.96,3.96,3.97
20.81,5.11,1.17,5.11,1.16,-1.16,-0.91,-0.59,3.95,3.95,3.95
21.02,5.10,1.17,5.10,1.17,-1.16,-0.91,-0.60,3.94,3.94,3.94
21.23,5.10,1.18,5.10,1.17,-1.17,-0.92,-0.62,3.94,3.93,3.93
21.44,5.09,1.16,5.09,1.17,-1.17,-0.92,-0.64,3.92,3.93,3.94
21.66,5.09,1.17,5.09,1.17,-1.17,-0.92,-0.65,3.92,3.92,3.93
21.87,5.08,1.17,5.08,1.17,-1.17,-0.92,-0.67,3.91,3.91,3.91
22.09,5.08,1.18,5.08,1.18,-1.17,-0.93,-0.69,3.91,3.91,3.90
22.31,5.07,1.17,5.07,1.17,-1.17,-0.93,-0.70,3.90,3.90,3.90
22.54,5.07,1.18,5.07,1.17,-1.17,-0.94,-0.72,3.90,3.90,3.89
22.76,5.06,1.16,5.07,1.17,-1.17,-0.94,-0.74,3.89,3.89,3.90
22.99,5.06,1.17,5.06,1.17,-1.18,-0.95,-0.76,3.89,3.89,3.89
23.22,5.06,1.18,5.06,1.18,-1.17,-0.95,-0.78,3.89,3.89,3.88
23.45,5.06,1.18,5.06,1.18,-1.17,-0.96,-0.80,3.89,3.89,3.88
23.69,5.05,1.17,5.06,1.18,-1.17,-0.96,-0.82,3.88,3.89,3.88
23.92,5.05,1.17,5.05,1.17,-1.17,-0.97,-0.84,3.88,3.88,3.88
24.16,5.05,1.17,5.05,1.17,-1.17,-0.98,-0.86,3.88,3.88,3.88
24.40,5.05,1.16,5.05,1.16,-1.17,-0.98,-0.88,3.88,3.88,3.89
24.65,5.04,1.16,5.05,1.16,-1.17,-0.99,-0.91,3.87,3.88,3.89
24.89,5.04,1.17,5.04,1.16,-1.17,-1.00,-0.93,3.87,3.87,3.88
25.14,5.04,1.18,5.04,1.17,-1.17,-1.01,-0.95,3.87,3.87,3.87
25.39,5.04,1.18,5.04,1.18,-1.18,-1.02,-0.97,3.87,3.87,3.87
25.65,5.04,1.19,5.04,1.18,-1.18,-1.03,-1.00,3.86,3.86,3.85
25.91,5.04,1.19,5.04,1.19,-1.18,-1.04,-1.02,3.86,3.86,3.85
26.16,5.04,1.18,5.04,1.19,-1.19,-1.05,-1.04,3.86,3.86,3.86
26.43,5.04,1.19,5.04,1.18,-1.19,-1.06,-1.06,3.86,3.85,3.85
26.69,5.03,1.18,5.04,1.18,-1.19,-1.07,-1.09,3.84,3.85,3.85
26.96,5.03,1.18,5.03,1.19,-1.19,-1.08,-1.11,3.84,3.84,3.85
27.23,5.03,1.19,5.04,1.19,-1.19,-1.09,-1.13,3.84,3.84,3.84
27.50,5.04,1.21,5.04,1.20,-1.19,-1.10,-1.16,3.85,3.84,3.84
27.77,5.04,1.20,5.04,1.20,-1.20,-1.12,-1.18,3.85,3.84,3.85
28.05,5.04,1.20,5.04,1.20,-1.20,-1.13,-1.20,3.84,3.84,3.85
28.33,5.04,1.20,5.05,1.20,-1.20,-1.14,-1.22,3.84,3.84,3.84
28.62,5.05,1.21,5.05,1.20,-1.20,-1.15,-1.24,3.85,3.85,3.84
28.90,5.05,1.20,5.05,1.20,-1.20,-1.17,-1.26,3.85,3.85,3.85
29.19,5.05,1.20,5.05,1.21,-1.20,-1.18,-1.28,3.85,3.85,3.85
29.48,5.05,1.20,5.06,1.20,-1.20,-1.20,-1.30,3.85,3.85,3.85
