frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.52,4.85,14.52,4.85,-4.85,-5.02,-2.19,9.67,9.67,9.68
20.20,14.52,4.87,14.53,4.87,-4.87,-5.02,-2.26,9.66,9.66,9.66
20.40,14.53,4.89,14.53,4.88,-4.88,-5.01,-2.32,9.65,9.65,9.65
20.61,14.53,4.89,14.54,4.90,-4.90,-5.01,-2.38,9.64,9.64,9.65
20.81,14.54,4.92,14.54,4.91,-4.91,-5.00,-2.45,9.63,9.63,9.62
21.02,14.54,4.93,14.54,4.93,-4.92,-4.99,-2.52,9.62,9.62,9.61
21.23,14.54,4.94,14.55,4.94,-4.94,-4.99,-2.59,9.61,9.61,9.60
21.44,14.55,4.94,14.55,4.94,-4.95,-4.98,-2.66,9.61,9.60,9.61
21.66,14.55,4.95,14.56,4.95,-4.96,-4.98,-2.74,9.59,9.60,9.60
21.87,14.56,4.97,14.56,4.97,-4.97,-4.97,-2.82,9.59,9.59,9.59
22.09,14.56,4.98,14.57,4.98,-4.98,-4.97,-2.90,9.58,9.59,9.58
22.31,14.57,4.99,14.57,4.99,-4.99,-4.96,-2.98,9.58,9.58,9.58
22.54,14.57,5.00,14.58,5.00,-5.00,-4.96,-3.06,9.58,9.58,9.57
22.76,14.58,5.00,14.58,5.01,-5.01,-4.96,-3.14,9.58,9.57,9.58
22.99,14.58,5.01,14.58,5.01,-5.01,-4.95,-3.23,9.57,9.57,9.57
23.22,14.58,5.02,14.58,5.02,-5.02,-4.95,-3.32,9.56,9.56,9.56
23.45,14.58,5.02,14.59,5.03,-5.02,-4.95,-3.41,9.56,9.56,9.56
23.69,14.59,5.03,14.59,5.03,-5.03,-4.94,-3.51,9.57,9.56,9.56
23.92,14.59,5.04,14.59,5.03,-5.03,-4.94,-3.60,9.56,9.56,9.56
24.16,14.59,5.04,14.59,5.03,-5.03,-4.94,-3.70,9.56,9.56,9.56
24.40,14.59,5.03,14.60,5.03,-5.04,-4.94,-3.79,9.55,9.56,9.57
24.65,14.60,5.04,14.60,5.04,-5.04,-4.94,-3.89,9.56,9.55,9.57
24.89,14.60,5.05,14.60,5.04,-5.05,-4.93,-3.99,9.55,9.55,9.56
25.14,14.60,5.06,14.60,5.06,-5.06,-4.93,-4.10,9.55,9.55,9.54
25.39,14.60,5.06,14.61,5.07,-5.06,-4.93,-4.20,9.54,9.54,9.54
25.65,14.61,5.08,14.61,5.07,-5.07,-4.93,-4.30,9.54,9.54,9.53
25.91,14.61,5.08,14.61,5.08,-5.07,-4.93,-4.40,9.54,9.54,9.53
26.16,14.61,5.07,14.61,5.08,-5.08,-4.93,-4.51,9.53,9.53,9.54
26.43,14.61,5.08,14.61,5.08,-5.08,-4.93,-4.61,9.53,9.53,9.53
26.69,14.61,5.08,14.61,5.08,-5.09,-4.93,-4.71,9.53,9.53,9.53
26.96,14.61,5.09,14.61,5.09,-5.09,-4.93,-4.81,9.52,9.52,9.53
27.23,14.61,5.10,14.61,5.09,-5.09,-4.94,-4.91,9.52,9.52,9.52
27.50,14.61,5.10,14.61,5.09,-5.09,-4.94,-5.00,9.52,9.52,9.52
27.77,14.61,5.09,14.61,5.09,-5.09,-4.94,-5.10,9.52,9.52,9.52
28.05,14.61,5.09,14.61,5.09,-5.09,-4.94,-5.19,9.52,9.52,9.52
28.33,14.61,5.09,14.61,5.09,-5.09,-4.94,-5.27,9.53,9.52,9.52
28.62,14.60,5.08,14.61,5.08,-5.08,-4.95,-5.36,9.52,9.52,9.52
28.90,14.60,5.07,14.60,5.08,-5.08,-4.95,-5.43,9.52,9.52,9.53
29.19,14.60,5.07,14.60,5.08,-5.08,-4.95,-5.51,9.53,9.53,9.53
29.48,14.60,5.08,14.60,5.07,-5.07,-4.96,-5.57,9.53,9.53,9.53
29.78,14.60,5.08,14.60,5.07,-5.07,-4.96,-5.63,9.53,9.53,9.53
30.08,14.60,5.06,14.60,5.07,-5.07,-4.97,-5.69,9.54,9.53,9.54
