frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.35,0.44,6.35,0.45,-0.45,-0.36,-0.42,5.89,5.89,5.90
20.20,6.33,0.44,6.32,0.44,-0.44,-0.38,-0.44,5.89,5.88,5.88
20.40,6.31,0.43,6.31,0.43,-0.43,-0.40,-0.45,5.87,5.88,5.87
20.61,6.30,0.43,6.29,0.43,-0.43,-0.41,-0.46,5.87,5.87,5.87
20.81,6.28,0.43,6.28,0.43,-0.42,-0.43,-0.47,5.85,5.86,5.85
21.02,6.28,0.44,6.27,0.43,-0.43,-0.44,-0.48,5.85,5.85,5.84
21.23,6.27,0.44,6.27,0.43,-0.43,-0.46,-0.49,5.84,5.84,5.83
21.44,6.27,0.43,6.27,0.43,-0.44,-0.48,-0.51,5.83,5.83,5.84
21.66,6.27,0.44,6.27,0.44,-0.45,-0.49,-0.52,5.82,5.82,5.83
21.87,6.28,0.46,6.27,0.45,-0.46,-0.51,-0.53,5.82,5.82,5.82
22.09,6.29,0.48,6.28,0.48,-0.47,-0.53,-0.55,5.81,5.81,5.81
22.31,6.30,0.49,6.30,0.49,-0.49,-0.55,-0.56,5.80,5.80,5.81
22.54,6.32,0.52,6.31,0.51,-0.52,-0.56,-0.58,5.80,5.80,5.80
22.76,6.34,0.53,6.34,0.54,-0.55,-0.58,-0.59,5.79,5.79,5.80
22.99,6.37,0.57,6.36,0.57,-0.57,-0.60,-0.61,5.79,5.79,5.79
23.22,6.40,0.61,6.39,0.61,-0.61,-0.62,-0.62,5.79,5.79,5.78
23.45,6.43,0.64,6.43,0.64,-0.64,-0.64,-0.64,5.79,5.79,5.78
23.69,6.45,0.67,6.46,0.68,-0.67,-0.66,-0.65,5.78,5.79,5.78
23.92,6.49,0.70,6.49,0.70,-0.70,-0.68,-0.67,5.78,5.78,5.78
24.16,6.52,0.74,6.52,0.73,-0.73,-0.70,-0.69,5.78,5.78,5.78
24.40,6.55,0.76,6.55,0.76,-0.76,-0.72,-0.70,5.78,5.78,5.79
24.65,6.58,0.79,6.57,0.79,-0.79,-0.74,-0.72,5.79,5.78,5.79
24.89,6.60,0.82,6.59,0.81,-0.81,-0.76,-0.74,5.78,5.78,5.78
25.14,6.61,0.84,6.61,0.84,-0.83,-0.78,-0.76,5.78,5.78,5.77
25.39,6.62,0.85,6.62,0.86,-0.85,-0.80,-0.78,5.77,5.77,5.77
25.65,6.63,0.87,6.62,0.87,-0.86,-0.82,-0.80,5.76,5.76,5.75
25.91,6.64,0.88,6.63,0.88,-0.87,-0.84,-0.82,5.76,5.76,5.75
26.16,6.64,0.87,6.64,0.88,-0.89,-0.86,-0.84,5.75,5.75,5.76
26.43,6.65,0.89,6.65,0.89,-0.90,-0.88,-0.86,5.75,5.75,5.75
26.69,6.66,0.91,6.66,0.91,-0.92,-0.91,-0.88,5.74,5.74,5.75
26.96,6.68,0.93,6.67,0.93,-0.94,-0.93,-0.90,5.74,5.74,5.75
27.23,6.70,0.96,6.70,0.95,-0.96,-0.95,-0.92,5.74,5.74,5.74
27.50,6.73,0.99,6.73,0.99,-0.99,-0.97,-0.94,5.74,5.74,5.74
27.77,6.76,1.01,6.76,1.02,-1.02,-1.00,-0.96,5.74,5.74,5.74
28.05,6.80,1.05,6.79,1.05,-1.05,-1.02,-0.98,5.75,5.75,5.74
28.33,6.83,1.08,6.82,1.08,-1.08,-1.04,-1.00,5.75,5.75,5.74
28.62,6.85,1.11,6.85,1.11,-1.11,-1.07,-1.02,5.75,5.75,5.74
28.90,6.88,1.13,6.88,1.13,-1.13,-1.09,-1.04,5.74,5.74,5.75
29.19,6.91,1.16,6.90,1.16,-1.16,-1.12,-1.06,5.75,5.75,5.75
29.48,6.93,1.18,6.93,1.18,-1.17,-1.14,-1.08,5.75,5.75,5.75
29.78,6.95,1.20,6.94,1.19,-1.19,-1.16,-1.10,5.76,5.76,5.74
30.08,6.96,1.19,6.95,1.20,-1.19,-1.19,-1.12,5.76,5.76,5.76
