frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.41,3.14,10.41,3.14,-3.14,-3.15,-1.58,7.26,7.27,7.27
20.20,10.42,3.17,10.41,3.16,-3.16,-3.16,-1.63,7.25,7.25,7.25
20.40,10.43,3.19,10.42,3.18,-3.18,-3.17,-1.68,7.25,7.24,7.24
20.61,10.43,3.19,10.43,3.20,-3.20,-3.18,-1.72,7.23,7.23,7.24
20.81,10.44,3.22,10.44,3.22,-3.22,-3.19,-1.77,7.22,7.22,7.22
21.02,10.45,3.24,10.45,3.24,-3.23,-3.20,-1.82,7.21,7.21,7.21
21.23,10.46,3.26,10.46,3.25,-3.25,-3.21,-1.87,7.20,7.20,7.20
21.44,10.47,3.26,10.47,3.27,-3.27,-3.22,-1.93,7.20,7.20,7.21
21.66,10.48,3.28,10.48,3.28,-3.28,-3.23,-1.98,7.19,7.19,7.20
21.87,10.49,3.30,10.48,3.30,-3.30,-3.24,-2.04,7.19,7.19,7.18
22.09,10.49,3.31,10.49,3.31,-3.31,-3.25,-2.10,7.17,7.18,7.17
22.31,10.50,3.32,10.50,3.33,-3.33,-3.26,-2.16,7.17,7.17,7.17
22.54,10.51,3.34,10.51,3.34,-3.34,-3.27,-2.22,7.17,7.17,7.16
22.76,10.52,3.34,10.52,3.35,-3.35,-3.28,-2.28,7.16,7.17,7.17
22.99,10.53,3.36,10.53,3.37,-3.36,-3.29,-2.34,7.16,7.16,7.16
23.22,10.54,3.39,10.53,3.38,-3.38,-3.30,-2.41,7.16,7.16,7.15
23.45,10.54,3.39,10.54,3.39,-3.39,-3.31,-2.48,7.15,7.15,7.15
23.69,10.55,3.40,10.55,3.40,-3.39,-3.33,-2.55,7.15,7.15,7.15
23.92,10.56,3.41,10.56,3.41,-3.41,-3.34,-2.62,7.15,7.15,7.15
24.16,10.57,3.42,10.57,3.41,-3.42,-3.35,-2.69,7.15,7.15,7.15
24.40,10.58,3.42,10.58,3.42,-3.43,-3.36,-2.76,7.15,7.15,7.16
24.65,10.59,3.43,10.59,3.43,-3.44,-3.37,-2.83,7.15,7.15,7.16
24.89,10.60,3.45,10.60,3.45,-3.45,-3.39,-2.91,7.14,7.14,7.15
25.14,10.61,3.47,10.61,3.47,-3.47,-3.40,-2.98,7.14,7.14,7.13
25.39,10.62,3.48,10.62,3.49,-3.48,-3.41,-3.06,7.14,7.14,7.13
25.65,10.63,3.50,10.63,3.50,-3.49,-3.43,-3.13,7.13,7.13,7.12
25.91,10.64,3.51,10.64,3.51,-3.51,-3.44,-3.21,7.13,7.13,7.12
26.16,10.65,3.52,10.64,3.52,-3.52,-3.45,-3.29,7.13,7.12,7.13
26.43,10.65,3.53,10.65,3.53,-3.53,-3.47,-3.36,7.11,7.12,7.12
26.69,10.66,3.54,10.66,3.54,-3.54,-3.48,-3.44,7.11,7.11,7.12
26.96,10.67,3.55,10.67,3.55,-3.55,-3.49,-3.51,7.11,7.11,7.12
27.23,10.68,3.57,10.68,3.57,-3.56,-3.51,-3.59,7.11,7.11,7.11
27.50,10.69,3.58,10.69,3.58,-3.58,-3.52,-3.66,7.11,7.11,7.10
27.77,10.70,3.58,10.70,3.59,-3.59,-3.54,-3.73,7.11,7.11,7.11
28.05,10.71,3.60,10.71,3.60,-3.60,-3.55,-3.80,7.11,7.11,7.11
28.33,10.72,3.61,10.72,3.61,-3.61,-3.57,-3.86,7.11,7.11,7.11
28.62,10.73,3.62,10.73,3.62,-3.61,-3.58,-3.93,7.11,7.11,7.11
28.90,10.74,3.62,10.74,3.62,-3.62,-3.60,-3.99,7.12,7.12,7.12
29.19,10.75,3.63,10.74,3.63,-3.63,-3.62,-4.05,7.12,7.12,7.11
29.48,10.75,3.63,10.75,3.63,-3.63,-3.63,-4.10,7.11,7.11,7.11
29.78,10.76,3.64,10.76,3.64,-3.64,-3.65,-4.15,7.11,7.11,7.11
30.08,10.77,3.64,10.77,3.65,-3.65,-3.67,-4.19,7.12,7.12,7.13
30.38,10.78,3.66,10.78,3.66,-3.66,-3.68,-4.24,7.12,7.12,7.12
30.68,10.79,3.67,10.79,3.67,-3.67,-3.70,-4.27,7.12,7.12,7.12
30.99,10.80,3.68,10.79,3.68,-3.68,-3.72,-4.31,7.12,7.12,7.11
31.30,10.80,3.69,10.80,3.69,-3.69,-3.73,-4.33,7.11,7.11,7.11
31.61,10.81,3.70,10.80,3.70,-3.70,-3.75,-4.36,7.11,7.10,7.11
31.93,10.81,3.71,10.81,3.71,-3.71,-3.77,-4.38,7.09,7.09,7.10
32.24,10.82,3.72,10.82,3.73,-3.73,-3.79,-4.39,7.09,7.09,7.09
32.57,10.83,3.74,10.83,3.74,-3.74,-3.81,-4.40,7.08,7.08,7.08
32.89,10.85,3.77,10.84,3.76,-3.76,-3.83,-4.41,7.09,7.08,7.08
33.22,10.86,3.78,10.86,3.78,-3.78,-3.85,-4.41,7.08,7.08,7.08
33.55,10.87,3.79,10.87,3.80,-3.80,-3.87,-4.41,7.07,7.07,7.07
33.89,10.88,3.82,10.88,3.81,-3.81,-3.89,-4.40,7.06,7.06,7.06
34.23,10.89,3.84,10.89,3.84,-3.83,-3.90,-4.40,7.05,7.05,7.05
34.57,10.90,3.85,10.90,3.85,-3.85,-3.93,-4.39,7.04,7.04,7.04
34.92,10.91,3.87,10.91,3.87,-3.87,-3.95,-4.38,7.03,7.03,7.03
35.27,10.92,3.88,10.92,3.89,-3.89,-3.97,-4.36,7.02,7.02,7.04
35.62,10.93,3.92,10.93,3.91,-3.91,-3.99,-4.35,7.01,7.01,7.00
35.97,10.94,3.94,10.94,3.94,-3.94,-4.01,-4.33,7.00,7.00,7.00
36.33,10.95,3.96,10.95,3.96,-3.96,-4.03,-4.32,6.99,6.99,6.99
36.70,10.96,3.98,10.96,3.98,-3.98,-4.05,-4.30,6.98,6.98,6.97
37.06,10.97,4.01,10.96,4.00,-4.00,-4.07,-4.29,6.96,6.96,6.96
37.43,10.97,4.02,10.97,4.02,-4.03,-4.10,-4.27,6.94,6.94,6.94
37.81,10.98,4.05,10.97,4.05,-4.05,-4.12,-4.26,6.93,6.92,6.93
38.19,10.98,4.07,10.98,4.07,-4.07,-4.14,-4.24,6.90,6.90,6.91
38.57,10.99,4.09,10.99,4.10,-4.10,-4.16,-4.23,6.89,6.89,6.89
38.95,11.00,4.13,10.99,4.13,-4.12,-4.19,-4.22,6.87,6.87,6.87
39.34,11.00,4.15,11.00,4.15,-4.15,-4.21,-4.21,6.85,6.85,6.84
39.74,11.00,4.17,11.00,4.17,-4.17,-4.23,-4.21,6.83,6.83,6.83
40.14,11.00,4.20,11.00,4.19,-4.19,-4.26,-4.20,6.80,6.80,6.80
40.54,11.00,4.21,11.00,4.21,-4.21,-4.28,-4.20,6.78,6.79,6.79
40.94,11.00,4.24,11.00,4.23,-4.23,-4.31,-4.20,6.77,6.77,6.76
41.35,11.00,4.25,10.99,4.25,-4.25,-4.33,-4.21,6.75,6.75,6.74
41.76,10.99,4.26,10.99,4.26,-4.26,-4.36,-4.21,6.72,6.73,6.73
42.18,10.99,4.28,10.98,4.28,-4.28,-4.38,-4.22,6.71,6.70,6.71
42.60,10.98,4.29,10.98,4.29,-4.30,-4.41,-4.23,6.68,6.68,6.68
43.03,10.98,4.32,10.98,4.32,-4.32,-4.43,-4.25,6.66,6.66,6.66
43.46,10.98,4.34,10.98,4.34,-4.34,-4.46,-4.27,6.64,6.64,6.64
43.90,10.98,4.36,10.98,4.36,-4.36,-4.48,-4.29,6.62,6.62,6.61
44.33,10.98,4.38,10.98,4.38,-4.38,-4.51,-4.31,6.59,6.59,6.59
44.78,10.98,4.41,10.98,4.41,-4.41,-4.54,-4.34,6.57,6.57,6.57
45.23,10.98,4.43,10.98,4.43,-4.44,-4.56,-4.37,6.54,6.54,6.55
45.68,10.98,4.47,10.98,4.47,-4.47,-4.59,-4.41,6.51,6.51,6.51
46.13,10.98,4.51,10.98,4.50,-4.50,-4.62,-4.45,6.48,6.48,6.47
46.60,10.98,4.53,10.98,4.53,-4.53,-4.64,-4.49,6.44,6.44,6.44
47.06,10.98,4.56,10.98,4.57,-4.57,-4.67,-4.53,6.41,6.41,6.41
47.53,10.98,4.59,10.98,4.60,-4.60,-4.70,-4.58,6.37,6.37,6.38
48.01,10.98,4.64,10.98,4.64,-4.64,-4.73,-4.63,6.34,6.34,6.33
48.49,10.98,4.68,10.98,4.68,-4.68,-4.75,-4.68,6.30,6.30,6.30
48.97,10.98,4.72,10.98,4.72,-4.71,-4.78,-4.74,6.26,6.26,6.26
