frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.62,2.44,9.62,2.44,-2.44,-2.60,-1.33,7.18,7.18,7.18
20.20,9.63,2.47,9.63,2.47,-2.47,-2.60,-1.37,7.16,7.16,7.16
20.40,9.65,2.50,9.65,2.49,-2.49,-2.61,-1.41,7.15,7.15,7.15
20.61,9.66,2.51,9.66,2.52,-2.52,-2.62,-1.45,7.14,7.14,7.15
20.81,9.68,2.55,9.68,2.55,-2.54,-2.63,-1.49,7.13,7.13,7.13
21.02,9.69,2.57,9.69,2.57,-2.57,-2.64,-1.54,7.12,7.12,7.12
21.23,9.71,2.60,9.71,2.59,-2.59,-2.64,-1.58,7.12,7.12,7.11
21.44,9.72,2.60,9.72,2.61,-2.61,-2.65,-1.62,7.11,7.11,7.12
21.66,9.74,2.63,9.74,2.63,-2.64,-2.66,-1.67,7.10,7.10,7.11
21.87,9.75,2.65,9.75,2.65,-2.66,-2.67,-1.72,7.09,7.10,7.10
22.09,9.77,2.68,9.77,2.68,-2.68,-2.68,-1.77,7.09,7.09,7.09
22.31,9.78,2.69,9.78,2.70,-2.69,-2.69,-1.82,7.09,7.09,7.08
22.54,9.79,2.71,9.79,2.71,-2.71,-2.70,-1.87,7.08,7.08,7.07
22.76,9.81,2.73,9.80,2.73,-2.73,-2.71,-1.92,7.08,7.07,7.08
22.99,9.82,2.75,9.82,2.75,-2.75,-2.72,-1.98,7.07,7.07,7.07
23.22,9.83,2.77,9.83,2.77,-2.77,-2.73,-2.03,7.06,7.07,7.06
23.45,9.85,2.79,9.85,2.79,-2.78,-2.74,-2.09,7.07,7.06,7.06
23.69,9.86,2.80,9.86,2.80,-2.80,-2.75,-2.15,7.06,7.07,7.06
23.92,9.88,2.82,9.88,2.82,-2.81,-2.76,-2.20,7.07,7.07,7.06
24.16,9.89,2.83,9.89,2.83,-2.83,-2.77,-2.26,7.06,7.06,7.06
24.40,9.90,2.83,9.90,2.83,-2.84,-2.78,-2.32,7.06,7.06,7.07
24.65,9.91,2.84,9.91,2.85,-2.86,-2.79,-2.39,7.05,7.05,7.07
24.89,9.92,2.86,9.92,2.86,-2.87,-2.80,-2.45,7.05,7.05,7.06
25.14,9.94,2.89,9.94,2.89,-2.89,-2.81,-2.51,7.05,7.05,7.05
25.39,9.95,2.91,9.95,2.91,-2.90,-2.82,-2.58,7.05,7.05,7.04
25.65,9.96,2.93,9.96,2.93,-2.92,-2.84,-2.64,7.04,7.04,7.03
25.91,9.98,2.95,9.98,2.94,-2.94,-2.85,-2.70,7.04,7.04,7.03
26.16,9.99,2.95,9.99,2.96,-2.95,-2.86,-2.77,7.03,7.03,7.04
26.43,10.00,2.97,10.00,2.97,-2.97,-2.87,-2.83,7.03,7.03,7.03
26.69,10.01,2.98,10.01,2.98,-2.98,-2.89,-2.90,7.03,7.03,7.03
26.96,10.02,2.99,10.02,3.00,-3.00,-2.90,-2.96,7.02,7.02,7.03
27.23,10.03,3.01,10.03,3.01,-3.01,-2.91,-3.02,7.02,7.02,7.02
27.50,10.04,3.02,10.04,3.02,-3.02,-2.92,-3.08,7.02,7.02,7.01
27.77,10.05,3.03,10.05,3.03,-3.03,-2.94,-3.14,7.02,7.02,7.02
28.05,10.06,3.04,10.06,3.04,-3.04,-2.95,-3.20,7.02,7.02,7.02
28.33,10.07,3.05,10.07,3.05,-3.05,-2.96,-3.25,7.02,7.02,7.02
28.62,10.08,3.06,10.08,3.06,-3.06,-2.98,-3.31,7.02,7.02,7.02
28.90,10.10,3.07,10.10,3.07,-3.07,-2.99,-3.36,7.03,7.03,7.03
29.19,10.11,3.08,10.11,3.08,-3.08,-3.01,-3.41,7.03,7.03,7.03
29.48,10.11,3.09,10.11,3.09,-3.08,-3.02,-3.45,7.02,7.03,7.02
29.78,10.12,3.10,10.12,3.09,-3.09,-3.04,-3.50,7.03,7.03,7.02
30.08,10.13,3.09,10.13,3.10,-3.10,-3.05,-3.53,7.03,7.03,7.04
30.38,10.13,3.10,10.13,3.10,-3.10,-3.07,-3.57,7.03,7.03,7.03
30.68,10.14,3.11,10.14,3.11,-3.11,-3.08,-3.60,7.03,7.03,7.03
30.99,10.14,3.12,10.14,3.12,-3.12,-3.10,-3.63,7.02,7.02,7.02
31.30,10.15,3.13,10.15,3.13,-3.13,-3.11,-3.65,7.02,7.02,7.02
31.61,10.15,3.13,10.15,3.13,-3.14,-3.13,-3.67,7.01,7.01,7.02
31.93,10.16,3.15,10.16,3.15,-3.15,-3.15,-3.69,7.01,7.01,7.01
32.24,10.16,3.15,10.16,3.16,-3.16,-3.16,-3.70,7.00,7.00,7.00
32.57,10.17,3.18,10.17,3.17,-3.17,-3.18,-3.71,7.00,7.00,6.99
32.89,10.18,3.19,10.18,3.18,-3.18,-3.20,-3.72,6.99,6.99,6.99
