frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-17.85,-9.14,-17.85,-9.14,6.00,5.64,2.72,-11.85,-11.85,-8.71
20.20,-17.78,-9.05,-17.78,-9.06,6.00,5.68,2.79,-11.78,-11.78,-8.73
20.40,-17.71,-8.97,-17.71,-8.98,6.00,5.72,2.87,-11.71,-11.71,-8.74
20.61,-17.64,-8.91,-17.64,-8.90,6.00,5.76,2.96,-11.64,-11.64,-8.74
20.81,-17.57,-8.81,-17.57,-8.82,6.00,5.79,3.04,-11.57,-11.57,-8.76
21.02,-17.50,-8.73,-17.50,-8.74,6.00,5.83,3.13,-11.50,-11.50,-8.77
21.23,-17.43,-8.65,-17.43,-8.66,6.00,5.87,3.22,-11.43,-11.43,-8.78
21.44,-17.36,-8.59,-17.36,-8.59,6.00,5.90,3.31,-11.36,-11.36,-8.77
21.66,-17.29,-8.52,-17.29,-8.51,6.00,5.93,3.41,-11.29,-11.29,-8.78
21.87,-17.22,-8.43,-17.22,-8.44,6.00,5.96,3.51,-11.22,-11.22,-8.79
22.09,-17.15,-8.35,-17.15,-8.36,6.00,5.99,3.61,-11.15,-11.15,-8.80
22.31,-17.08,-8.28,-17.08,-8.28,6.00,6.01,3.71,-11.08,-11.08,-8.80
22.54,-17.01,-8.21,-17.01,-8.21,6.00,6.04,3.82,-11.01,-11.01,-8.81
22.76,-16.94,-8.14,-16.94,-8.14,6.00,6.06,3.92,-10.94,-10.94,-8.80
22.99,-16.87,-8.06,-16.87,-8.06,6.00,6.08,4.04,-10.87,-10.87,-8.81
23.22,-16.80,-7.98,-16.80,-7.99,6.00,6.10,4.15,-10.80,-10.80,-8.82
23.45,-16.73,-7.91,-16.73,-7.91,6.00,6.12,4.27,-10.73,-10.73,-8.82
23.69,-16.66,-7.85,-16.66,-7.84,6.00,6.13,4.38,-10.66,-10.66,-8.82
23.92,-16.59,-7.77,-16.59,-7.78,6.00,6.14,4.51,-10.59,-10.59,-8.82
24.16,-16.52,-7.70,-16.53,-7.71,6.00,6.15,4.63,-10.52,-10.53,-8.82
24.40,-16.46,-7.65,-16.46,-7.65,6.00,6.16,4.76,-10.46,-10.46,-8.81
24.65,-16.39,-7.59,-16.39,-7.58,6.00,6.17,4.88,-10.39,-10.39,-8.81
24.89,-16.32,-7.50,-16.32,-7.51,6.00,6.17,5.01,-10.32,-10.32,-8.82
25.14,-16.25,-7.42,-16.25,-7.43,6.00,6.17,5.14,-10.25,-10.25,-8.83
25.39,-16.18,-7.35,-16.18,-7.35,6.00,6.17,5.27,-10.18,-10.18,-8.83
25.65,-16.11,-7.28,-16.12,-7.28,6.00,6.17,5.41,-10.11,-10.12,-8.84
25.91,-16.05,-7.22,-16.05,-7.21,6.00,6.17,5.54,-10.05,-10.05,-8.84
26.16,-15.98,-7.15,-15.98,-7.15,6.00,6.16,5.67,-9.98,-9.98,-8.83
26.43,-15.91,-7.08,-15.92,-7.08,6.00,6.15,5.80,-9.91,-9.92,-8.84
26.69,-15.85,-7.01,-15.85,-7.01,6.00,6.14,5.93,-9.85,-9.85,-8.84
26.96,-15.78,-6.95,-15.78,-6.94,6.00,6.13,6.06,-9.78,-9.78,-8.84
27.23,-15.71,-6.87,-15.72,-6.87,6.00,6.11,6.18,-9.71,-9.72,-8.85
27.50,-15.65,-6.80,-15.65,-6.81,6.00,6.10,6.31,-9.65,-9.65,-8.85
27.77,-15.58,-6.74,-15.58,-6.74,6.00,6.08,6.42,-9.58,-9.58,-8.84
28.05,-15.52,-6.68,-15.52,-6.68,6.00,6.06,6.54,-9.52,-9.52,-8.84
28.33,-15.45,-6.61,-15.45,-6.62,6.00,6.03,6.64,-9.45,-9.45,-8.84
28.62,-15.39,-6.56,-15.39,-6.56,6.00,6.01,6.74,-9.39,-9.39,-8.84
28.90,-15.32,-6.49,-15.32,-6.49,6.00,5.98,6.83,-9.32,-9.32,-8.83
29.19,-15.26,-6.43,-15.26,-6.43,6.00,5.95,6.92,-9.26,-9.26,-8.83
29.48,-15.20,-6.37,-15.20,-6.38,6.00,5.92,6.99,-9.20,-9.20,-8.83
29.78,-15.14,-6.32,-15.14,-6.32,6.00,5.89,7.05,-9.14,-9.14,-8.83
30.08,-15.08,-6.28,-15.09,-6.27,6.01,5.86,7.11,-9.08,-9.08,-8.81
30.38,-15.03,-6.22,-15.03,-6.22,6.01,5.82,7.15,-9.02,-9.02,-8.82
30.68,-14.98,-6.16,-14.98,-6.17,6.01,5.79,7.18,-8.97,-8.97,-8.82
30.99,-14.93,-6.12,-14.93,-6.12,6.00,5.75,7.19,-8.93,-8.93,-8.82
31.30,-14.88,-6.07,-14.88,-6.06,5.99,5.71,7.20,-8.90,-8.89,-8.82
31.61,-14.83,-6.01,-14.83,-6.01,5.97,5.67,7.19,-8.87,-8.87,-8.82
31.93,-14.78,-5.96,-14.78,-5.96,5.94,5.62,7.17,-8.84,-8.84,-8.83
