frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.87,4.42,12.87,4.42,-4.42,-4.53,-1.77,8.45,8.45,8.45
20.20,12.86,4.43,12.86,4.42,-4.42,-4.54,-1.82,8.43,8.43,8.43
20.40,12.85,4.43,12.85,4.42,-4.42,-4.54,-1.87,8.42,8.42,8.42
20.61,12.84,4.42,12.84,4.42,-4.43,-4.54,-1.93,8.41,8.41,8.42
20.81,12.83,4.43,12.83,4.43,-4.42,-4.54,-1.98,8.40,8.40,8.40
21.02,12.82,4.43,12.82,4.43,-4.42,-4.54,-2.04,8.39,8.40,8.39
21.23,12.81,4.43,12.81,4.42,-4.42,-4.53,-2.10,8.39,8.39,8.38
21.44,12.80,4.41,12.79,4.41,-4.41,-4.53,-2.16,8.38,8.38,8.39
21.66,12.78,4.40,12.78,4.40,-4.41,-4.52,-2.22,8.37,8.37,8.38
21.87,12.77,4.40,12.77,4.40,-4.40,-4.52,-2.28,8.37,8.37,8.37
22.09,12.76,4.40,12.75,4.39,-4.39,-4.51,-2.35,8.37,8.36,8.36
22.31,12.74,4.38,12.74,4.38,-4.38,-4.51,-2.41,8.36,8.36,8.36
22.54,12.72,4.37,12.72,4.37,-4.37,-4.50,-2.48,8.35,8.35,8.35
22.76,12.71,4.35,12.70,4.35,-4.36,-4.49,-2.55,8.35,8.34,8.36
22.99,12.69,4.34,12.69,4.34,-4.35,-4.48,-2.63,8.34,8.34,8.35
23.22,12.67,4.33,12.67,4.33,-4.33,-4.47,-2.70,8.34,8.34,8.33
23.45,12.66,4.32,12.65,4.32,-4.32,-4.46,-2.77,8.34,8.34,8.33
23.69,12.64,4.30,12.64,4.31,-4.30,-4.45,-2.85,8.34,8.34,8.33
23.92,12.62,4.28,12.62,4.29,-4.28,-4.44,-2.93,8.33,8.34,8.33
24.16,12.61,4.27,12.60,4.27,-4.27,-4.42,-3.01,8.34,8.33,8.33
24.40,12.59,4.24,12.59,4.25,-4.25,-4.41,-3.09,8.33,8.33,8.34
24.65,12.57,4.23,12.57,4.23,-4.24,-4.40,-3.17,8.33,8.33,8.34
24.89,12.56,4.23,12.55,4.22,-4.23,-4.39,-3.25,8.33,8.33,8.33
25.14,12.54,4.22,12.54,4.21,-4.21,-4.37,-3.33,8.32,8.32,8.32
25.39,12.52,4.20,12.52,4.21,-4.20,-4.36,-3.42,8.32,8.32,8.32
25.65,12.51,4.20,12.50,4.19,-4.19,-4.34,-3.50,8.32,8.32,8.31
25.91,12.49,4.18,12.49,4.18,-4.18,-4.33,-3.59,8.31,8.31,8.31
26.16,12.47,4.15,12.47,4.16,-4.16,-4.32,-3.67,8.30,8.31,8.32
26.43,12.46,4.15,12.45,4.15,-4.15,-4.30,-3.75,8.31,8.30,8.31
26.69,12.44,4.13,12.44,4.13,-4.14,-4.29,-3.83,8.30,8.30,8.30
26.96,12.43,4.12,12.42,4.13,-4.12,-4.27,-3.91,8.30,8.30,8.30
27.23,12.41,4.12,12.41,4.11,-4.11,-4.26,-3.99,8.30,8.30,8.29
27.50,12.39,4.10,12.39,4.10,-4.09,-4.24,-4.07,8.29,8.30,8.29
27.77,12.38,4.08,12.37,4.08,-4.08,-4.23,-4.14,8.30,8.30,8.30
28.05,12.36,4.06,12.36,4.06,-4.06,-4.21,-4.22,8.30,8.30,8.30
28.33,12.34,4.04,12.34,4.04,-4.04,-4.20,-4.28,8.29,8.30,8.30
28.62,12.33,4.03,12.32,4.02,-4.02,-4.18,-4.35,8.30,8.30,8.30
28.90,12.31,4.00,12.31,4.01,-4.01,-4.17,-4.41,8.30,8.30,8.30
