frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.74,0.24,8.74,0.24,-0.24,-0.53,-0.45,8.50,8.50,8.50
20.20,8.78,0.30,8.78,0.30,-0.30,-0.54,-0.46,8.48,8.48,8.48
20.40,8.82,0.35,8.82,0.35,-0.35,-0.55,-0.48,8.47,8.47,8.47
20.61,8.85,0.38,8.85,0.39,-0.40,-0.56,-0.49,8.45,8.46,8.47
20.81,8.89,0.44,8.89,0.44,-0.44,-0.57,-0.50,8.45,8.45,8.45
21.02,8.92,0.48,8.92,0.48,-0.48,-0.58,-0.52,8.44,8.44,8.44
21.23,8.95,0.52,8.95,0.52,-0.52,-0.59,-0.53,8.43,8.43,8.43
21.44,8.98,0.54,8.98,0.55,-0.55,-0.60,-0.55,8.42,8.42,8.43
21.66,9.01,0.58,9.01,0.58,-0.59,-0.61,-0.56,8.42,8.42,8.42
21.87,9.03,0.62,9.03,0.61,-0.61,-0.62,-0.58,8.42,8.42,8.41
22.09,9.05,0.65,9.05,0.65,-0.64,-0.63,-0.59,8.41,8.41,8.40
22.31,9.07,0.67,9.07,0.67,-0.66,-0.64,-0.61,8.41,8.41,8.40
22.54,9.08,0.69,9.08,0.68,-0.67,-0.65,-0.63,8.40,8.40,8.39
22.76,9.08,0.68,9.08,0.69,-0.69,-0.66,-0.64,8.39,8.39,8.40
22.99,9.09,0.70,9.09,0.70,-0.70,-0.67,-0.66,8.39,8.39,8.39
23.22,9.10,0.72,9.10,0.71,-0.72,-0.68,-0.68,8.38,8.38,8.38
23.45,9.11,0.73,9.11,0.73,-0.73,-0.69,-0.70,8.38,8.38,8.38
23.69,9.12,0.74,9.12,0.74,-0.75,-0.70,-0.72,8.37,8.38,8.38
23.92,9.14,0.76,9.14,0.76,-0.77,-0.72,-0.74,8.37,8.37,8.38
24.16,9.17,0.79,9.17,0.79,-0.79,-0.73,-0.75,8.38,8.38,8.38
24.40,9.20,0.81,9.20,0.81,-0.82,-0.74,-0.77,8.38,8.38,8.39
24.65,9.23,0.84,9.23,0.85,-0.85,-0.75,-0.79,8.38,8.38,8.38
24.89,9.26,0.89,9.26,0.88,-0.89,-0.76,-0.82,8.37,8.37,8.37
25.14,9.29,0.93,9.29,0.92,-0.92,-0.78,-0.84,8.37,8.37,8.36
25.39,9.32,0.96,9.32,0.96,-0.96,-0.79,-0.86,8.36,8.36,8.36
25.65,9.35,1.00,9.35,0.99,-0.99,-0.80,-0.88,8.36,8.36,8.35
25.91,9.38,1.03,9.38,1.02,-1.02,-0.81,-0.90,8.36,8.36,8.35
26.16,9.40,1.04,9.40,1.05,-1.05,-0.83,-0.92,8.35,8.35,8.36
26.43,9.42,1.07,9.42,1.07,-1.07,-0.84,-0.94,8.35,8.35,8.35
26.69,9.43,1.08,9.43,1.08,-1.08,-0.85,-0.96,8.35,8.35,8.35
26.96,9.44,1.09,9.44,1.10,-1.09,-0.87,-0.99,8.35,8.35,8.35
27.23,9.44,1.10,9.44,1.10,-1.09,-0.88,-1.01,8.35,8.35,8.33
27.50,9.43,1.10,9.43,1.09,-1.09,-0.90,-1.03,8.34,8.34,8.33
27.77,9.42,1.08,9.42,1.08,-1.09,-0.91,-1.05,8.33,8.33,8.34
28.05,9.41,1.07,9.41,1.07,-1.08,-0.93,-1.07,8.33,8.33,8.34
28.33,9.41,1.07,9.41,1.07,-1.08,-0.94,-1.09,8.33,8.33,8.34
28.62,9.41,1.07,9.41,1.07,-1.07,-0.96,-1.11,8.34,8.34,8.34
28.90,9.41,1.06,9.41,1.07,-1.07,-0.97,-1.13,8.34,8.34,8.34
29.19,9.41,1.07,9.41,1.07,-1.06,-0.99,-1.15,8.34,8.34,8.34
29.48,9.41,1.07,9.41,1.06,-1.06,-1.00,-1.16,8.35,8.35,8.34
29.78,9.41,1.07,9.41,1.06,-1.06,-1.02,-1.18,8.35,8.35,8.34
30.08,9.41,1.05,9.41,1.06,-1.06,-1.03,-1.20,8.35,8.35,8.36
30.38,9.41,1.06,9.41,1.06,-1.05,-1.05,-1.21,8.35,8.35,8.35
30.68,9.40,1.05,9.40,1.05,-1.05,-1.07,-1.23,8.35,8.35,8.34
30.99,9.40,1.06,9.39,1.05,-1.05,-1.08,-1.24,8.35,8.34,8.34
