frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.69,-1.27,1.69,-1.26,1.27,1.02,-0.10,2.96,2.96,2.96
20.20,1.73,-1.21,1.73,-1.21,1.21,0.99,-0.10,2.94,2.94,2.94
20.40,1.77,-1.16,1.77,-1.16,1.16,0.96,-0.10,2.93,2.93,2.93
20.61,1.81,-1.12,1.81,-1.11,1.11,0.93,-0.10,2.92,2.92,2.93
20.81,1.85,-1.06,1.85,-1.06,1.06,0.90,-0.11,2.91,2.91,2.91
21.02,1.89,-1.01,1.89,-1.00,1.01,0.87,-0.11,2.90,2.90,2.90
21.23,1.94,-0.95,1.94,-0.96,0.96,0.84,-0.11,2.90,2.89,2.89
21.44,1.98,-0.91,1.98,-0.91,0.91,0.81,-0.11,2.89,2.89,2.89
21.66,2.02,-0.86,2.02,-0.86,0.86,0.78,-0.11,2.88,2.88,2.88
21.87,2.07,-0.80,2.07,-0.81,0.81,0.75,-0.11,2.88,2.87,2.87
22.09,2.11,-0.75,2.11,-0.76,0.76,0.72,-0.11,2.87,2.87,2.86
22.31,2.15,-0.71,2.15,-0.71,0.71,0.68,-0.11,2.86,2.86,2.86
22.54,2.19,-0.66,2.19,-0.66,0.66,0.65,-0.11,2.85,2.86,2.85
22.76,2.24,-0.62,2.24,-0.62,0.62,0.62,-0.11,2.86,2.85,2.86
22.99,2.28,-0.57,2.28,-0.57,0.57,0.59,-0.12,2.85,2.85,2.85
23.22,2.32,-0.52,2.32,-0.52,0.52,0.55,-0.12,2.84,2.84,2.84
23.45,2.36,-0.48,2.36,-0.48,0.48,0.52,-0.12,2.84,2.84,2.84
23.69,2.40,-0.44,2.40,-0.43,0.44,0.49,-0.12,2.84,2.84,2.84
23.92,2.45,-0.39,2.45,-0.39,0.40,0.45,-0.12,2.85,2.84,2.84
24.16,2.49,-0.35,2.49,-0.35,0.35,0.42,-0.12,2.84,2.84,2.84
24.40,2.53,-0.32,2.53,-0.31,0.31,0.39,-0.12,2.84,2.84,2.85
24.65,2.56,-0.29,2.56,-0.28,0.27,0.35,-0.13,2.83,2.83,2.84
24.89,2.60,-0.23,2.60,-0.23,0.23,0.32,-0.13,2.83,2.83,2.83
25.14,2.64,-0.18,2.64,-0.19,0.18,0.28,-0.13,2.82,2.82,2.82
25.39,2.68,-0.14,2.68,-0.14,0.14,0.25,-0.13,2.82,2.82,2.82
25.65,2.72,-0.09,2.72,-0.09,0.10,0.21,-0.14,2.82,2.82,2.81
25.91,2.77,-0.04,2.77,-0.05,0.05,0.18,-0.14,2.82,2.82,2.81
26.16,2.81,-0.01,2.81,-0.01,0.01,0.14,-0.14,2.82,2.81,2.82
26.43,2.84,0.03,2.84,0.03,-0.04,0.11,-0.15,2.80,2.81,2.81
