frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.81,-9.34,-2.81,-9.33,6.00,5.75,2.80,3.19,3.19,6.53
20.20,-2.73,-9.24,-2.73,-9.25,6.00,5.76,2.88,3.27,3.27,6.51
20.40,-2.65,-9.15,-2.66,-9.16,6.00,5.78,2.96,3.35,3.34,6.50
20.61,-2.58,-9.08,-2.58,-9.07,6.00,5.80,3.05,3.42,3.42,6.50
20.81,-2.51,-8.99,-2.51,-8.98,6.00,5.82,3.13,3.49,3.49,6.48
21.02,-2.43,-8.90,-2.43,-8.90,6.00,5.84,3.22,3.57,3.57,6.47
21.23,-2.36,-8.82,-2.36,-8.82,6.00,5.85,3.32,3.64,3.64,6.46
21.44,-2.29,-8.76,-2.29,-8.75,6.00,5.87,3.41,3.71,3.71,6.47
21.66,-2.22,-8.68,-2.22,-8.67,6.00,5.89,3.51,3.78,3.78,6.46
21.87,-2.15,-8.59,-2.15,-8.60,6.00,5.91,3.61,3.85,3.85,6.44
22.09,-2.08,-8.51,-2.08,-8.52,6.00,5.93,3.71,3.92,3.92,6.43
22.31,-2.01,-8.44,-2.01,-8.44,6.00,5.94,3.82,3.99,3.99,6.43
22.54,-1.95,-8.37,-1.95,-8.38,6.00,5.96,3.93,4.05,4.05,6.42
22.76,-1.88,-8.31,-1.88,-8.31,6.00,5.98,4.04,4.12,4.12,6.43
22.99,-1.81,-8.23,-1.81,-8.24,6.00,5.99,4.16,4.19,4.19,6.42
23.22,-1.75,-8.16,-1.75,-8.16,6.00,6.01,4.28,4.25,4.25,6.41
23.45,-1.68,-8.09,-1.68,-8.09,6.00,6.02,4.40,4.32,4.32,6.41
23.69,-1.61,-8.02,-1.62,-8.02,6.00,6.04,4.52,4.39,4.38,6.41
23.92,-1.55,-7.96,-1.55,-7.96,6.00,6.05,4.64,4.45,4.45,6.41
24.16,-1.49,-7.90,-1.49,-7.90,6.00,6.07,4.77,4.51,4.51,6.41
24.40,-1.42,-7.84,-1.42,-7.83,6.00,6.08,4.90,4.58,4.58,6.42
24.65,-1.35,-7.77,-1.35,-7.77,6.00,6.09,5.03,4.65,4.65,6.42
24.89,-1.29,-7.69,-1.29,-7.70,6.00,6.10,5.17,4.71,4.71,6.40
25.14,-1.23,-7.62,-1.23,-7.63,6.00,6.11,5.30,4.77,4.77,6.39
25.39,-1.17,-7.56,-1.16,-7.55,6.00,6.12,5.44,4.83,4.84,6.39
25.65,-1.09,-7.47,-1.09,-7.48,6.00,6.12,5.58,4.91,4.91,6.38
25.91,-1.02,-7.40,-1.02,-7.41,6.00,6.13,5.71,4.98,4.98,6.38
26.16,-0.95,-7.34,-0.95,-7.34,6.00,6.14,5.85,5.05,5.05,6.39
26.43,-0.89,-7.27,-0.89,-7.27,6.00,6.14,5.99,5.11,5.11,6.38
26.69,-0.83,-7.21,-0.83,-7.21,6.00,6.14,6.12,5.17,5.17,6.38
26.96,-0.77,-7.15,-0.77,-7.14,6.00,6.14,6.26,5.23,5.23,6.38
27.23,-0.70,-7.07,-0.71,-7.07,6.00,6.14,6.39,5.30,5.29,6.37
27.50,-0.64,-7.00,-0.64,-7.01,6.00,6.13,6.51,5.36,5.36,6.36
27.77,-0.58,-6.95,-0.58,-6.94,6.00,6.13,6.63,5.42,5.42,6.37
28.05,-0.51,-6.88,-0.51,-6.88,6.00,6.12,6.75,5.49,5.49,6.37
28.33,-0.44,-6.81,-0.44,-6.81,6.00,6.11,6.86,5.56,5.56,6.37
28.62,-0.37,-6.74,-0.37,-6.75,6.00,6.10,6.97,5.63,5.63,6.37
28.90,-0.31,-6.69,-0.31,-6.68,6.00,6.09,7.06,5.69,5.69,6.38
29.19,-0.24,-6.62,-0.24,-6.61,6.00,6.07,7.14,5.76,5.76,6.37
