frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-16.77,-16.85,-16.77,-16.85,6.00,5.05,3.01,-10.77,-10.77,0.08
20.20,-16.64,-16.72,-16.64,-16.72,6.00,5.10,3.09,-10.64,-10.64,0.08
20.40,-16.52,-16.60,-16.51,-16.59,6.00,5.14,3.18,-10.52,-10.51,0.09
20.61,-16.38,-16.47,-16.38,-16.47,6.00,5.19,3.27,-10.38,-10.38,0.09
20.81,-16.24,-16.32,-16.24,-16.33,6.00,5.23,3.36,-10.24,-10.24,0.09
21.02,-16.11,-16.20,-16.11,-16.20,6.00,5.27,3.46,-10.11,-10.11,0.09
21.23,-15.97,-16.07,-15.98,-16.07,6.00,5.32,3.56,-9.97,-9.98,0.10
21.44,-15.85,-15.95,-15.85,-15.95,6.00,5.36,3.66,-9.85,-9.85,0.11
21.66,-15.72,-15.83,-15.72,-15.83,6.00,5.40,3.76,-9.72,-9.72,0.11
21.87,-15.60,-15.71,-15.60,-15.71,6.00,5.44,3.87,-9.60,-9.60,0.12
22.09,-15.47,-15.57,-15.47,-15.58,6.00,5.48,3.98,-9.47,-9.47,0.11
22.31,-15.35,-15.46,-15.35,-15.46,6.00,5.52,4.10,-9.35,-9.35,0.12
22.54,-15.23,-15.34,-15.23,-15.34,6.00,5.56,4.21,-9.23,-9.23,0.11
22.76,-15.10,-15.22,-15.11,-15.22,6.00,5.60,4.33,-9.10,-9.11,0.12
22.99,-14.98,-15.10,-14.98,-15.09,6.00,5.64,4.45,-8.98,-8.98,0.12
23.22,-14.86,-14.97,-14.85,-14.96,6.00,5.68,4.58,-8.86,-8.85,0.11
23.45,-14.72,-14.83,-14.73,-14.83,6.00,5.71,4.71,-8.72,-8.73,0.11
23.69,-14.60,-14.71,-14.60,-14.70,6.00,5.75,4.84,-8.60,-8.60,0.11
23.92,-14.47,-14.57,-14.47,-14.57,6.00,5.78,4.97,-8.47,-8.47,0.11
24.16,-14.34,-14.45,-14.34,-14.45,6.00,5.82,5.11,-8.34,-8.34,0.11
24.40,-14.22,-14.33,-14.22,-14.33,6.00,5.85,5.25,-8.22,-8.22,0.12
24.65,-14.09,-14.21,-14.09,-14.20,6.00,5.88,5.39,-8.09,-8.09,0.12
24.89,-13.96,-14.07,-13.96,-14.07,6.00,5.91,5.53,-7.96,-7.96,0.12
25.14,-13.83,-13.93,-13.83,-13.94,6.00,5.94,5.67,-7.83,-7.83,0.11
25.39,-13.70,-13.80,-13.70,-13.80,6.00,5.97,5.82,-7.70,-7.70,0.11
25.65,-13.57,-13.68,-13.57,-13.68,6.00,6.00,5.96,-7.57,-7.57,0.11
25.91,-13.44,-13.55,-13.44,-13.55,6.00,6.02,6.11,-7.44,-7.44,0.11
26.16,-13.31,-13.42,-13.31,-13.42,6.00,6.05,6.26,-7.31,-7.31,0.12
26.43,-13.18,-13.30,-13.18,-13.29,6.00,6.07,6.40,-7.18,-7.18,0.12
26.69,-13.05,-13.16,-13.05,-13.16,6.00,6.10,6.55,-7.05,-7.05,0.11
