frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.42,-6.79,-1.42,-6.79,6.02,6.29,0.97,4.60,4.60,5.37
20.20,-1.26,-6.63,-1.26,-6.63,6.03,6.24,1.00,4.77,4.77,5.37
20.40,-1.11,-6.49,-1.10,-6.48,6.02,6.17,1.03,4.91,4.92,5.38
20.61,-0.95,-6.33,-0.95,-6.33,6.00,6.09,1.07,5.05,5.05,5.38
20.81,-0.80,-6.18,-0.80,-6.18,5.96,6.01,1.10,5.16,5.16,5.38
21.02,-0.65,-6.03,-0.65,-6.03,5.90,5.92,1.14,5.25,5.25,5.38
21.23,-0.51,-5.90,-0.50,-5.89,5.83,5.82,1.18,5.33,5.33,5.39
21.44,-0.36,-5.76,-0.36,-5.76,5.75,5.71,1.22,5.39,5.39,5.40
21.66,-0.22,-5.62,-0.22,-5.62,5.63,5.59,1.26,5.41,5.42,5.40
21.87,-0.08,-5.48,-0.08,-5.48,5.51,5.48,1.30,5.43,5.43,5.41
22.09,0.06,-5.33,0.06,-5.34,5.36,5.35,1.34,5.43,5.43,5.40
22.31,0.20,-5.20,0.20,-5.20,5.22,5.22,1.39,5.42,5.42,5.41
22.54,0.33,-5.07,0.34,-5.07,5.07,5.09,1.43,5.40,5.41,5.40
22.76,0.47,-4.93,0.47,-4.93,4.93,4.96,1.48,5.40,5.40,5.41
22.99,0.60,-4.80,0.60,-4.80,4.80,4.82,1.53,5.40,5.40,5.41
23.22,0.73,-4.66,0.73,-4.67,4.66,4.69,1.57,5.39,5.40,5.39
23.45,0.86,-4.53,0.86,-4.53,4.53,4.55,1.62,5.39,5.40,5.39
23.69,1.00,-4.39,1.00,-4.39,4.40,4.41,1.67,5.40,5.40,5.39
23.92,1.13,-4.26,1.13,-4.26,4.27,4.28,1.72,5.40,5.40,5.39
24.16,1.26,-4.13,1.26,-4.14,4.14,4.14,1.78,5.40,5.40,5.39
24.40,1.38,-4.02,1.39,-4.01,4.01,4.00,1.83,5.39,5.39,5.40
24.65,1.51,-3.89,1.51,-3.89,3.88,3.87,1.88,5.39,5.39,5.40
24.89,1.64,-3.76,1.64,-3.76,3.75,3.73,1.93,5.39,5.39,5.40
25.14,1.77,-3.62,1.77,-3.62,3.62,3.60,1.99,5.39,5.39,5.39
25.39,1.90,-3.48,1.90,-3.49,3.49,3.47,2.04,5.40,5.40,5.39
25.65,2.03,-3.36,2.03,-3.36,3.37,3.34,2.09,5.40,5.40,5.39
25.91,2.15,-3.24,2.15,-3.24,3.24,3.22,2.15,5.39,5.39,5.39
26.16,2.27,-3.12,2.27,-3.12,3.12,3.09,2.20,5.39,5.39,5.40
26.43,2.39,-3.01,2.39,-3.00,2.99,2.97,2.25,5.38,5.39,5.40
26.69,2.51,-2.87,2.51,-2.88,2.88,2.85,2.30,5.39,5.39,5.38
26.96,2.63,-2.75,2.63,-2.76,2.76,2.73,2.35,5.39,5.39,5.38
27.23,2.74,-2.64,2.74,-2.64,2.64,2.62,2.39,5.38,5.39,5.38
27.50,2.85,-2.53,2.85,-2.53,2.53,2.50,2.44,5.38,5.38,5.38
27.77,2.96,-2.43,2.96,-2.42,2.42,2.39,2.48,5.38,5.38,5.39
28.05,3.07,-2.32,3.07,-2.31,2.31,2.28,2.52,5.39,5.38,5.39
28.33,3.17,-2.20,3.17,-2.21,2.21,2.17,2.55,5.38,5.38,5.38
28.62,3.28,-2.10,3.28,-2.10,2.11,2.07,2.58,5.38,5.38,5.38
28.90,3.37,-2.01,3.37,-2.01,2.00,1.97,2.61,5.38,5.38,5.38
29.19,3.47,-1.91,3.47,-1.91,1.91,1.87,2.63,5.38,5.38,5.38
29.48,3.56,-1.81,3.56,-1.81,1.81,1.77,2.65,5.37,5.37,5.37
29.78,3.66,-1.71,3.66,-1.71,1.72,1.67,2.66,5.38,5.38,5.37
30.08,3.75,-1.63,3.75,-1.62,1.62,1.58,2.67,5.37,5.38,5.38
30.38,3.84,-1.53,3.84,-1.54,1.54,1.49,2.67,5.38,5.37,5.37
30.68,3.92,-1.45,3.92,-1.45,1.45,1.40,2.66,5.37,5.37,5.38
30.99,4.00,-1.37,4.00,-1.37,1.37,1.31,2.65,5.37,5.37,5.37
31.30,4.09,-1.28,4.08,-1.29,1.29,1.22,2.64,5.38,5.37,5.37
31.61,4.16,-1.22,4.16,-1.21,1.21,1.14,2.62,5.37,5.37,5.38
31.93,4.24,-1.13,4.24,-1.13,1.14,1.05,2.59,5.38,5.38,5.37
32.24,4.31,-1.06,4.31,-1.06,1.07,0.97,2.55,5.38,5.38,5.38
32.57,4.38,-0.99,4.38,-0.99,1.00,0.89,2.51,5.38,5.38,5.37
32.89,4.44,-0.93,4.44,-0.93,0.93,0.81,2.47,5.37,5.37,5.37
33.22,4.51,-0.86,4.51,-0.86,0.86,0.74,2.42,5.37,5.37,5.37
33.55,4.57,-0.79,4.57,-0.79,0.79,0.66,2.36,5.36,5.36,5.37
33.89,4.64,-0.72,4.64,-0.72,0.72,0.59,2.30,5.36,5.36,5.36
34.23,4.70,-0.65,4.70,-0.65,0.65,0.51,2.24,5.35,5.35,5.35
34.57,4.77,-0.57,4.77,-0.57,0.57,0.44,2.17,5.34,5.34,5.34
34.92,4.83,-0.49,4.83,-0.50,0.50,0.37,2.09,5.33,5.33,5.33
35.27,4.89,-0.43,4.89,-0.42,0.42,0.30,2.02,5.31,5.31,5.32
35.62,4.96,-0.33,4.95,-0.34,0.34,0.24,1.93,5.30,5.29,5.29
35.97,5.01,-0.26,5.01,-0.26,0.26,0.17,1.85,5.27,5.27,5.28
36.33,5.07,-0.18,5.07,-0.18,0.18,0.10,1.76,5.25,5.25,5.25
36.70,5.13,-0.10,5.13,-0.10,0.10,0.04,1.68,5.23,5.23,5.23
37.06,5.19,-0.01,5.19,-0.01,0.02,-0.03,1.59,5.21,5.21,5.20
37.43,5.24,0.06,5.24,0.06,-0.06,-0.09,1.49,5.18,5.18,5.18
37.81,5.30,0.14,5.30,0.14,-0.14,-0.15,1.40,5.16,5.16,5.16
38.19,5.35,0.21,5.35,0.21,-0.22,-0.21,1.30,5.13,5.14,5.14
38.57,5.41,0.29,5.41,0.29,-0.29,-0.27,1.20,5.12,5.12,5.12
38.95,5.46,0.37,5.46,0.37,-0.37,-0.33,1.11,5.10,5.10,5.09
39.34,5.51,0.44,5.51,0.44,-0.44,-0.39,1.01,5.08,5.08,5.07
39.74,5.56,0.52,5.56,0.51,-0.51,-0.45,0.91,5.06,5.05,5.04
40.14,5.60,0.57,5.60,0.57,-0.57,-0.50,0.81,5.03,5.03,5.03
40.54,5.64,0.63,5.65,0.63,-0.64,-0.56,0.71,5.00,5.01,5.01
40.94,5.69,0.70,5.69,0.70,-0.70,-0.62,0.61,4.99,4.99,4.99
41.35,5.73,0.76,5.73,0.76,-0.76,-0.67,0.50,4.97,4.97,4.97
41.76,5.77,0.82,5.77,0.82,-0.82,-0.73,0.40,4.95,4.95,4.95
42.18,5.81,0.88,5.81,0.88,-0.88,-0.78,0.30,4.93,4.93,4.93
42.60,5.84,0.94,5.85,0.94,-0.94,-0.83,0.20,4.91,4.91,4.91
43.03,5.88,0.99,5.88,0.99,-0.99,-0.89,0.10,4.89,4.89,4.89
43.46,5.91,1.05,5.91,1.05,-1.04,-0.94,-0.01,4.87,4.87,4.86
43.90,5.94,1.10,5.94,1.10,-1.10,-0.99,-0.11,4.84,4.85,4.84
44.33,5.97,1.15,5.97,1.15,-1.15,-1.04,-0.21,4.82,4.82,4.82
44.78,5.99,1.19,5.99,1.19,-1.20,-1.09,-0.31,4.79,4.80,4.80
45.23,6.02,1.23,6.02,1.24,-1.25,-1.14,-0.42,4.77,4.78,4.79
45.68,6.05,1.30,6.05,1.29,-1.29,-1.19,-0.52,4.76,4.76,4.75
46.13,6.08,1.36,6.08,1.35,-1.34,-1.24,-0.62,4.74,4.73,4.72
46.60,6.09,1.39,6.10,1.40,-1.39,-1.29,-0.73,4.70,4.70,4.70
47.06,6.11,1.43,6.11,1.44,-1.44,-1.34,-0.83,4.67,4.67,4.68
47.53,6.13,1.48,6.13,1.49,-1.49,-1.39,-0.93,4.64,4.64,4.65
48.01,6.14,1.54,6.14,1.54,-1.54,-1.43,-1.04,4.60,4.60,4.60
48.49,6.15,1.58,6.15,1.58,-1.59,-1.48,-1.14,4.56,4.56,4.57
48.97,6.16,1.63,6.16,1.64,-1.64,-1.53,-1.24,4.52,4.53,4.53
49.46,6.17,1.68,6.17,1.69,-1.68,-1.57,-1.35,4.49,4.49,4.50
49.96,6.18,1.75,6.18,1.73,-1.73,-1.62,-1.45,4.45,4.45,4.43
50.46,6.18,1.78,6.18,1.78,-1.77,-1.67,-1.55,4.41,4.41,4.40
50.96,6.18,1.81,6.19,1.82,-1.81,-1.71,-1.65,4.37,4.37,4.37
51.47,6.19,1.85,6.19,1.85,-1.85,-1.76,-1.75,4.34,4.34,4.34
51.99,6.19,1.90,6.19,1.89,-1.89,-1.80,-1.85,4.30,4.30,4.30
52.51,6.19,1.93,6.19,1.93,-1.93,-1.84,-1.95,4.26,4.26,4.26
53.03,6.18,1.95,6.18,1.96,-1.97,-1.89,-2.05,4.22,4.22,4.23
53.56,6.17,1.99,6.18,2.00,-2.00,-1.93,-2.14,4.17,4.18,4.18
54.10,6.18,2.04,6.18,2.03,-2.03,-1.97,-2.23,4.15,4.14,4.14
54.64,6.17,2.07,6.17,2.07,-2.07,-2.02,-2.33,4.11,4.11,4.10
55.18,6.17,2.11,6.17,2.11,-2.10,-2.06,-2.42,4.07,4.07,4.07
55.74,6.16,2.13,6.16,2.13,-2.13,-2.10,-2.50,4.03,4.03,4.03
56.29,6.16,2.16,6.16,2.15,-2.16,-2.14,-2.58,4.00,4.00,4.00
56.86,6.15,2.17,6.16,2.18,-2.19,-2.18,-2.66,3.97,3.97,3.98
57.42,6.16,2.23,6.16,2.22,-2.21,-2.22,-2.74,3.95,3.95,3.94
58.00,6.16,2.25,6.16,2.25,-2.24,-2.26,-2.81,3.92,3.92,3.91
58.58,6.16,2.27,6.16,2.27,-2.27,-2.30,-2.88,3.89,3.89,3.89
59.16,6.15,2.29,6.15,2.30,-2.31,-2.34,-2.94,3.85,3.85,3.86
59.76,6.15,2.32,6.15,2.33,-2.34,-2.38,-3.00,3.81,3.81,3.83
60.35,6.15,2.38,6.15,2.37,-2.38,-2.42,-3.06,3.77,3.77,3.77
60.96,6.15,2.42,6.15,2.42,-2.42,-2.46,-3.11,3.73,3.72,3.73
61.57,6.14,2.47,6.14,2.47,-2.47,-2.49,-3.15,3.68,3.68,3.67
62.18,6.13,2.52,6.14,2.52,-2.51,-2.53,-3.19,3.62,3.63,3.62
62.80,6.13,2.56,6.13,2.56,-2.55,-2.57,-3.23,3.58,3.58,3.57
63.43,6.12,2.59,6.12,2.59,-2.59,-2.60,-3.25,3.54,3.54,3.53
64.07,6.11,2.62,6.11,2.62,-2.62,-2.64,-3.28,3.49,3.49,3.49
64.71,6.10,2.65,6.10,2.65,-2.65,-2.67,-3.30,3.45,3.45,3.45
65.35,6.09,2.68,6.09,2.68,-2.68,-2.71,-3.31,3.41,3.41,3.41
66.01,6.08,2.71,6.08,2.71,-2.71,-2.74,-3.32,3.37,3.37,3.37
66.67,6.07,2.73,6.07,2.74,-2.74,-2.78,-3.33,3.33,3.33,3.34
67.33,6.06,2.77,6.06,2.77,-2.77,-2.81,-3.33,3.29,3.29,3.29
68.01,6.05,2.80,6.05,2.80,-2.80,-2.84,-3.33,3.25,3.26,3.25
68.69,6.05,2.84,6.05,2.83,-2.83,-2.87,-3.32,3.22,3.22,3.21
69.37,6.03,2.86,6.04,2.86,-2.86,-2.90,-3.32,3.17,3.18,3.18
70.07,6.03,2.89,6.03,2.89,-2.90,-2.93,-3.31,3.14,3.13,3.14
70.77,6.02,2.92,6.02,2.92,-2.93,-2.96,-3.29,3.09,3.09,3.10
71.48,6.02,2.97,6.02,2.96,-2.97,-2.99,-3.28,3.05,3.05,3.05
72.19,6.01,3.00,6.02,3.01,-3.01,-3.02,-3.26,3.00,3.01,3.01
72.91,6.02,3.06,6.02,3.05,-3.05,-3.05,-3.25,2.97,2.96,2.96
73.64,6.01,3.10,6.01,3.10,-3.09,-3.08,-3.23,2.92,2.92,2.92
74.38,6.01,3.13,6.01,3.14,-3.13,-3.11,-3.21,2.88,2.88,2.88
75.12,6.01,3.17,6.01,3.17,-3.17,-3.13,-3.19,2.84,2.84,2.84
75.87,6.01,3.20,6.01,3.20,-3.21,-3.16,-3.17,2.81,2.81,2.81
76.63,6.01,3.24,6.01,3.24,-3.24,-3.18,-3.16,2.78,2.77,2.77
77.40,6.00,3.26,6.00,3.27,-3.26,-3.21,-3.14,2.74,2.74,2.75
78.17,6.00,3.30,6.00,3.29,-3.28,-3.23,-3.13,2.72,2.71,2.70
78.95,5.98,3.30,5.98,3.30,-3.30,-3.25,-3.11,2.68,2.68,2.68
79.74,5.97,3.31,5.97,3.32,-3.32,-3.28,-3.10,2.65,2.65,2.66
80.54,5.95,3.33,5.95,3.33,-3.33,-3.30,-3.09,2.62,2.62,2.62
81.35,5.93,3.35,5.93,3.34,-3.34,-3.32,-3.08,2.59,2.59,2.59
82.16,5.91,3.34,5.91,3.35,-3.35,-3.34,-3.07,2.56,2.56,2.57
82.98,5.88,3.35,5.89,3.35,-3.35,-3.36,-3.06,2.53,2.53,2.53
83.81,5.86,3.36,5.86,3.36,-3.36,-3.38,-3.06,2.51,2.50,2.50
84.65,5.83,3.37,5.83,3.36,-3.36,-3.39,-3.06,2.48,2.47,2.47
85.50,5.79,3.36,5.80,3.36,-3.35,-3.41,-3.06,2.44,2.44,2.44
