frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,22.16,15.89,22.16,15.89,-15.88,-17.21,-6.47,6.28,6.27,6.27
20.20,22.18,15.91,22.18,15.90,-15.90,-17.07,-6.62,6.27,6.27,6.27
20.40,22.19,15.91,22.19,15.92,-15.92,-16.93,-6.78,6.27,6.27,6.28
20.61,22.21,15.93,22.21,15.93,-15.93,-16.79,-6.94,6.27,6.27,6.28
20.81,22.22,15.94,22.22,15.94,-15.94,-16.65,-7.11,6.28,6.28,6.28
21.02,22.23,15.95,22.23,15.94,-15.94,-16.51,-7.28,6.28,6.28,6.28
21.23,22.23,15.94,22.23,15.94,-15.94,-16.36,-7.46,6.29,6.29,6.29
21.44,22.23,15.93,22.23,15.93,-15.93,-16.22,-7.64,6.29,6.29,6.30
21.66,22.22,15.92,22.22,15.92,-15.92,-16.07,-7.82,6.29,6.30,6.30
21.87,22.21,15.90,22.21,15.90,-15.91,-15.93,-8.01,6.30,6.30,6.31
22.09,22.19,15.89,22.19,15.89,-15.89,-15.79,-8.21,6.30,6.30,6.30
22.31,22.16,15.85,22.16,15.86,-15.86,-15.66,-8.41,6.30,6.30,6.30
22.54,22.13,15.83,22.13,15.83,-15.82,-15.52,-8.61,6.30,6.30,6.29
22.76,22.09,15.78,22.09,15.78,-15.78,-15.39,-8.82,6.30,6.30,6.30
22.99,22.04,15.73,22.04,15.74,-15.74,-15.26,-9.04,6.30,6.30,6.30
23.22,21.98,15.68,21.98,15.68,-15.68,-15.13,-9.26,6.30,6.30,6.29
23.45,21.92,15.62,21.91,15.62,-15.62,-15.00,-9.49,6.30,6.30,6.29
23.69,21.84,15.55,21.84,15.55,-15.54,-14.88,-9.73,6.29,6.30,6.29
23.92,21.76,15.46,21.76,15.47,-15.46,-14.76,-9.97,6.29,6.29,6.29
24.16,21.68,15.39,21.67,15.38,-15.38,-14.65,-10.22,6.30,6.29,6.29
24.40,21.58,15.28,21.58,15.28,-15.29,-14.54,-10.47,6.29,6.29,6.30
24.65,21.48,15.18,21.48,15.18,-15.19,-14.43,-10.73,6.29,6.29,6.30
24.89,21.37,15.08,21.37,15.08,-15.08,-14.32,-11.00,6.29,6.29,6.30
25.14,21.27,14.98,21.26,14.97,-14.97,-14.22,-11.27,6.30,6.29,6.29
25.39,21.14,14.86,21.15,14.86,-14.85,-14.12,-11.55,6.29,6.29,6.29
25.65,21.03,14.74,21.03,14.74,-14.73,-14.02,-11.84,6.29,6.29,6.29
25.91,20.90,14.61,20.90,14.61,-14.61,-13.93,-12.13,6.29,6.29,6.28
26.16,20.77,14.48,20.77,14.48,-14.49,-13.84,-12.42,6.29,6.29,6.29
26.43,20.64,14.35,20.64,14.35,-14.36,-13.75,-12.72,6.28,6.28,6.29
26.69,20.51,14.22,20.51,14.22,-14.22,-13.66,-13.03,6.28,6.29,6.28
26.96,20.38,14.10,20.38,14.10,-14.09,-13.58,-13.34,6.29,6.29,6.28
27.23,20.25,13.97,20.24,13.96,-13.96,-13.50,-13.65,6.29,6.28,6.28
27.50,20.11,13.83,20.11,13.83,-13.83,-13.42,-13.96,6.28,6.28,6.28
27.77,19.98,13.69,19.98,13.69,-13.70,-13.34,-14.27,6.28,6.28,6.29
28.05,19.86,13.57,19.85,13.57,-13.57,-13.27,-14.57,6.28,6.28,6.29
28.33,19.73,13.45,19.73,13.45,-13.45,-13.20,-14.87,6.27,6.28,6.28
28.62,19.62,13.34,19.61,13.34,-13.33,-13.13,-15.16,6.28,6.28,6.27
28.90,19.50,13.21,19.50,13.22,-13.22,-13.06,-15.44,6.27,6.27,6.28
29.19,19.39,13.11,19.39,13.11,-13.11,-13.00,-15.70,6.27,6.27,6.28
29.48,19.28,13.01,19.28,13.01,-13.01,-12.94,-15.94,6.27,6.27,6.27
29.78,19.19,12.92,19.18,12.91,-12.91,-12.88,-16.16,6.28,6.27,6.27
30.08,19.09,12.81,19.09,12.82,-12.81,-12.82,-16.35,6.28,6.27,6.28
30.38,18.99,12.72,18.99,12.72,-12.72,-12.76,-16.51,6.27,6.27,6.27
30.68,18.90,12.62,18.90,12.63,-12.63,-12.71,-16.63,6.27,6.27,6.27
30.99,18.82,12.55,18.81,12.54,-12.55,-12.66,-16.72,6.27,6.27,6.27
31.30,18.73,12.46,18.73,12.46,-12.46,-12.60,-16.77,6.27,6.27,6.27
31.61,18.65,12.37,18.65,12.38,-12.38,-12.56,-16.78,6.26,6.27,6.28
31.93,18.58,12.31,18.58,12.30,-12.30,-12.51,-16.75,6.27,6.27,6.27
32.24,18.51,12.23,18.50,12.23,-12.23,-12.46,-16.69,6.28,6.27,6.27
