frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.11,5.39,10.11,5.39,-5.39,-4.46,-2.01,4.72,4.72,4.72
20.20,10.11,5.39,10.11,5.38,-5.38,-4.46,-2.07,4.72,4.72,4.72
20.40,10.11,5.38,10.10,5.38,-5.38,-4.46,-2.13,4.73,4.73,4.73
20.61,10.10,5.37,10.10,5.37,-5.37,-4.46,-2.19,4.73,4.73,4.73
20.81,10.10,5.37,10.10,5.37,-5.37,-4.45,-2.26,4.73,4.73,4.73
21.02,10.10,5.37,10.10,5.36,-5.37,-4.45,-2.32,4.73,4.73,4.73
21.23,10.10,5.36,10.10,5.36,-5.37,-4.45,-2.39,4.73,4.73,4.74
21.44,10.11,5.36,10.11,5.36,-5.37,-4.45,-2.46,4.74,4.74,4.75
21.66,10.12,5.37,10.12,5.37,-5.37,-4.45,-2.53,4.75,4.74,4.75
21.87,10.13,5.37,10.13,5.38,-5.38,-4.44,-2.60,4.75,4.75,4.76
22.09,10.14,5.39,10.14,5.39,-5.39,-4.44,-2.68,4.75,4.75,4.75
22.31,10.15,5.39,10.15,5.40,-5.40,-4.44,-2.76,4.75,4.75,4.75
22.54,10.16,5.41,10.16,5.41,-5.41,-4.44,-2.84,4.75,4.75,4.74
22.76,10.17,5.41,10.17,5.42,-5.42,-4.43,-2.92,4.75,4.75,4.75
22.99,10.18,5.43,10.18,5.43,-5.43,-4.43,-3.00,4.75,4.75,4.75
23.22,10.19,5.45,10.19,5.44,-5.44,-4.43,-3.09,4.75,4.74,4.74
23.45,10.19,5.45,10.19,5.45,-5.45,-4.43,-3.17,4.74,4.74,4.74
23.69,10.20,5.46,10.20,5.46,-5.45,-4.42,-3.26,4.74,4.74,4.74
23.92,10.20,5.46,10.20,5.46,-5.45,-4.42,-3.35,4.74,4.74,4.74
24.16,10.20,5.46,10.20,5.45,-5.45,-4.42,-3.45,4.74,4.74,4.74
24.40,10.19,5.44,10.19,5.44,-5.45,-4.41,-3.54,4.74,4.74,4.75
24.65,10.18,5.43,10.18,5.43,-5.44,-4.41,-3.64,4.74,4.74,4.75
24.89,10.16,5.41,10.16,5.41,-5.42,-4.41,-3.73,4.74,4.74,4.75
25.14,10.14,5.40,10.14,5.40,-5.40,-4.40,-3.83,4.74,4.74,4.73
25.39,10.11,5.37,10.11,5.38,-5.37,-4.40,-3.93,4.74,4.74,4.73
25.65,10.08,5.35,10.07,5.34,-5.33,-4.39,-4.03,4.75,4.74,4.73
25.91,10.03,5.30,10.03,5.29,-5.29,-4.39,-4.12,4.74,4.74,4.73
26.16,9.98,5.24,9.98,5.24,-5.24,-4.38,-4.22,4.73,4.73,4.74
26.43,9.92,5.18,9.92,5.18,-5.19,-4.38,-4.32,4.73,4.73,4.74
26.69,9.86,5.13,9.86,5.13,-5.13,-4.37,-4.42,4.73,4.73,4.73
26.96,9.80,5.07,9.80,5.07,-5.06,-4.36,-4.51,4.73,4.73,4.73
27.23,9.73,5.00,9.73,5.00,-5.00,-4.36,-4.61,4.73,4.73,4.73
27.50,9.65,4.92,9.65,4.92,-4.92,-4.35,-4.70,4.72,4.73,4.72
27.77,9.58,4.84,9.58,4.85,-4.85,-4.34,-4.79,4.73,4.73,4.73
28.05,9.51,4.78,9.50,4.78,-4.78,-4.34,-4.88,4.73,4.73,4.73
28.33,9.43,4.71,9.43,4.70,-4.70,-4.33,-4.96,4.73,4.73,4.72
28.62,9.35,4.63,9.35,4.63,-4.63,-4.32,-5.04,4.72,4.72,4.72
28.90,9.27,4.54,9.27,4.55,-4.55,-4.31,-5.11,4.71,4.72,4.73
29.19,9.20,4.47,9.20,4.48,-4.48,-4.30,-5.18,4.72,4.72,4.73
29.48,9.13,4.41,9.13,4.41,-4.41,-4.29,-5.24,4.71,4.72,4.71
29.78,9.07,4.36,9.06,4.35,-4.34,-4.28,-5.29,4.72,4.72,4.71
30.08,9.00,4.28,9.00,4.28,-4.28,-4.27,-5.34,4.72,4.72,4.72
30.38,8.93,4.22,8.93,4.22,-4.22,-4.26,-5.39,4.71,4.72,4.71
30.68,8.87,4.15,8.87,4.16,-4.16,-4.24,-5.42,4.71,4.71,4.72
30.99,8.82,4.10,8.81,4.10,-4.10,-4.23,-5.45,4.72,4.71,4.71
31.30,8.76,4.05,8.76,4.05,-4.05,-4.21,-5.47,4.71,4.71,4.71
31.61,8.71,3.99,8.71,4.00,-4.00,-4.20,-5.48,4.71,4.71,4.72
31.93,8.67,3.96,8.67,3.95,-3.96,-4.18,-5.49,4.71,4.71,4.71
32.24,8.63,3.91,8.63,3.91,-3.92,-4.16,-5.49,4.71,4.71,4.71
32.57,8.59,3.88,8.59,3.88,-3.88,-4.14,-5.48,4.71,4.71,4.71
32.89,8.56,3.85,8.56,3.85,-3.85,-4.12,-5.47,4.71,4.71,4.71
33.22,8.53,3.82,8.52,3.82,-3.82,-4.10,-5.44,4.71,4.71,4.71
33.55,8.49,3.78,8.49,3.79,-3.79,-4.08,-5.42,4.70,4.70,4.70
33.89,8.46,3.76,8.46,3.76,-3.76,-4.05,-5.39,4.70,4.70,4.70
34.23,8.42,3.73,8.42,3.73,-3.73,-4.03,-5.35,4.69,4.69,4.69
34.57,8.39,3.71,8.38,3.70,-3.70,-4.00,-5.31,4.69,4.68,4.67
34.92,8.34,3.68,8.34,3.68,-3.67,-3.97,-5.26,4.67,4.67,4.66
35.27,8.30,3.64,8.30,3.65,-3.64,-3.95,-5.21,4.65,4.65,4.66
35.62,8.25,3.62,8.25,3.61,-3.62,-3.92,-5.16,4.63,4.63,4.63
35.97,8.20,3.59,8.20,3.59,-3.59,-3.89,-5.11,4.61,4.61,4.61
36.33,8.15,3.56,8.15,3.56,-3.57,-3.86,-5.06,4.58,4.58,4.59
36.70,8.11,3.54,8.10,3.54,-3.54,-3.83,-5.00,4.57,4.56,4.56
37.06,8.06,3.52,8.06,3.52,-3.52,-3.80,-4.95,4.54,4.54,4.54
37.43,8.02,3.50,8.02,3.50,-3.50,-3.77,-4.89,4.51,4.52,4.52
37.81,7.99,3.50,7.98,3.49,-3.49,-3.75,-4.84,4.50,4.49,4.49
38.19,7.95,3.47,7.95,3.48,-3.48,-3.72,-4.78,4.47,4.47,4.48
38.57,7.92,3.47,7.92,3.47,-3.47,-3.70,-4.73,4.45,4.45,4.45
38.95,7.89,3.46,7.89,3.46,-3.46,-3.69,-4.67,4.43,4.43,4.43
39.34,7.86,3.46,7.86,3.46,-3.45,-3.67,-4.62,4.41,4.41,4.40
39.74,7.83,3.45,7.83,3.45,-3.44,-3.67,-4.58,4.38,4.39,4.38
40.14,7.81,3.45,7.80,3.44,-3.44,-3.66,-4.53,4.37,4.36,4.36
40.54,7.77,3.42,7.78,3.43,-3.44,-3.67,-4.49,4.33,4.34,4.35
40.94,7.76,3.44,7.75,3.43,-3.44,-3.67,-4.44,4.32,4.32,4.32
41.35,7.74,3.43,7.74,3.44,-3.44,-3.68,-4.41,4.30,4.30,4.30
41.76,7.73,3.45,7.73,3.45,-3.45,-3.69,-4.37,4.28,4.28,4.28
42.18,7.72,3.46,7.72,3.46,-3.46,-3.71,-4.34,4.26,4.26,4.26
42.60,7.71,3.47,7.71,3.47,-3.47,-3.73,-4.31,4.23,4.24,4.23
43.03,7.71,3.49,7.71,3.49,-3.49,-3.75,-4.28,4.22,4.22,4.22
43.46,7.71,3.52,7.71,3.51,-3.51,-3.78,-4.26,4.20,4.20,4.19
43.90,7.71,3.53,7.70,3.54,-3.53,-3.80,-4.24,4.18,4.18,4.17
44.33,7.70,3.55,7.70,3.55,-3.55,-3.83,-4.22,4.15,4.15,4.14
44.78,7.70,3.57,7.70,3.57,-3.57,-3.85,-4.21,4.13,4.13,4.13
45.23,7.70,3.58,7.70,3.59,-3.59,-3.88,-4.20,4.10,4.10,4.12
45.68,7.70,3.62,7.70,3.62,-3.62,-3.90,-4.19,4.08,4.08,4.08
46.13,7.71,3.66,7.70,3.65,-3.65,-3.92,-4.19,4.06,4.05,4.05
46.60,7.71,3.69,7.71,3.68,-3.68,-3.94,-4.19,4.02,4.03,4.02
47.06,7.72,3.72,7.72,3.72,-3.72,-3.96,-4.19,4.00,4.00,4.00
47.53,7.73,3.76,7.73,3.76,-3.77,-3.98,-4.19,3.96,3.96,3.97
48.01,7.74,3.82,7.74,3.81,-3.81,-4.00,-4.20,3.93,3.93,3.92
48.49,7.75,3.86,7.75,3.86,-3.86,-4.02,-4.21,3.89,3.89,3.89
48.97,7.76,3.91,7.76,3.91,-3.91,-4.04,-4.23,3.85,3.85,3.85
49.46,7.78,3.96,7.77,3.96,-3.96,-4.05,-4.24,3.82,3.81,3.82
49.96,7.79,4.03,7.78,4.02,-4.01,-4.06,-4.26,3.78,3.77,3.76
50.46,7.79,4.06,7.79,4.07,-4.06,-4.08,-4.28,3.72,3.73,3.72
50.96,7.81,4.12,7.81,4.12,-4.12,-4.09,-4.30,3.69,3.69,3.69
51.47,7.82,4.16,7.82,4.16,-4.17,-4.10,-4.32,3.65,3.65,3.66
51.99,7.84,4.22,7.84,4.22,-4.22,-4.11,-4.35,3.62,3.62,3.62
52.51,7.85,4.27,7.85,4.26,-4.27,-4.12,-4.37,3.58,3.58,3.58
53.03,7.86,4.31,7.86,4.32,-4.32,-4.13,-4.40,3.54,3.54,3.55
53.56,7.87,4.37,7.87,4.36,-4.37,-4.13,-4.43,3.50,3.50,3.50
54.10,7.88,4.42,7.87,4.41,-4.41,-4.14,-4.45,3.47,3.46,3.46
54.64,7.87,4.45,7.88,4.46,-4.45,-4.15,-4.48,3.42,3.43,3.42
55.18,7.88,4.49,7.87,4.49,-4.48,-4.15,-4.50,3.39,3.39,3.38
55.74,7.87,4.52,7.87,4.51,-4.51,-4.16,-4.52,3.35,3.35,3.35
56.29,7.86,4.54,7.86,4.54,-4.54,-4.16,-4.55,3.32,3.32,3.32
56.86,7.84,4.54,7.84,4.55,-4.55,-4.17,-4.56,3.29,3.29,3.30
57.42,7.83,4.57,7.83,4.57,-4.56,-4.17,-4.58,3.26,3.26,3.25
58.00,7.81,4.58,7.81,4.58,-4.57,-4.17,-4.60,3.24,3.23,3.22
58.58,7.79,4.58,7.78,4.58,-4.58,-4.18,-4.61,3.21,3.20,3.20
59.16,7.75,4.57,7.75,4.58,-4.59,-4.18,-4.61,3.16,3.16,3.17
59.76,7.72,4.58,7.72,4.58,-4.60,-4.18,-4.61,3.12,3.12,3.14
60.35,7.69,4.60,7.68,4.59,-4.61,-4.18,-4.61,3.08,3.08,3.09
60.96,7.65,4.60,7.65,4.61,-4.61,-4.18,-4.61,3.04,3.04,3.05
61.57,7.61,4.62,7.61,4.62,-4.61,-4.18,-4.60,2.99,2.99,2.99
62.18,7.56,4.63,7.56,4.62,-4.61,-4.18,-4.58,2.94,2.95,2.93
62.80,7.51,4.62,7.51,4.62,-4.61,-4.18,-4.56,2.90,2.90,2.89
63.43,7.45,4.61,7.45,4.60,-4.59,-4.18,-4.53,2.85,2.85,2.84
64.07,7.38,4.57,7.38,4.58,-4.58,-4.17,-4.50,2.80,2.81,2.81
64.71,7.32,4.55,7.31,4.55,-4.55,-4.17,-4.47,2.77,2.76,2.77
65.35,7.24,4.52,7.24,4.51,-4.52,-4.16,-4.43,2.72,2.72,2.72
66.01,7.16,4.47,7.16,4.48,-4.48,-4.15,-4.38,2.68,2.68,2.68
66.67,7.09,4.43,7.08,4.43,-4.44,-4.14,-4.34,2.65,2.64,2.65
67.33,7.00,4.39,7.00,4.39,-4.39,-4.12,-4.28,2.60,2.61,2.60
68.01,6.92,4.35,6.92,4.35,-4.35,-4.11,-4.23,2.57,2.57,2.56
68.69,6.84,4.31,6.83,4.31,-4.31,-4.09,-4.17,2.53,2.53,2.52
69.37,6.75,4.26,6.75,4.26,-4.26,-4.07,-4.10,2.48,2.49,2.49
70.07,6.67,4.21,6.67,4.21,-4.22,-4.04,-4.04,2.45,2.45,2.46
70.77,6.59,4.17,6.59,4.17,-4.18,-4.01,-3.97,2.41,2.40,2.41
71.48,6.51,4.14,6.51,4.14,-4.14,-3.99,-3.90,2.36,2.36,2.37
72.19,6.43,4.10,6.43,4.10,-4.11,-3.95,-3.83,2.32,2.32,2.32
72.91,6.35,4.07,6.35,4.07,-4.07,-3.92,-3.76,2.28,2.28,2.28
