frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.69,-6.44,-3.69,-6.44,5.99,5.82,1.89,2.30,2.30,2.76
20.20,-3.61,-6.36,-3.61,-6.37,6.01,5.78,1.94,2.40,2.40,2.76
20.40,-3.54,-6.30,-3.53,-6.30,6.02,5.74,2.00,2.48,2.48,2.77
20.61,-3.47,-6.23,-3.46,-6.23,6.02,5.71,2.06,2.55,2.55,2.77
20.81,-3.39,-6.15,-3.39,-6.16,6.01,5.67,2.12,2.62,2.62,2.77
21.02,-3.32,-6.08,-3.32,-6.09,5.99,5.63,2.19,2.67,2.67,2.77
21.23,-3.26,-6.03,-3.25,-6.02,5.97,5.59,2.25,2.71,2.72,2.78
21.44,-3.18,-5.96,-3.18,-5.96,5.93,5.55,2.32,2.75,2.75,2.78
21.66,-3.11,-5.89,-3.11,-5.90,5.88,5.50,2.39,2.78,2.78,2.78
21.87,-3.04,-5.83,-3.03,-5.82,5.83,5.46,2.46,2.79,2.79,2.79
22.09,-2.97,-5.75,-2.96,-5.75,5.76,5.42,2.53,2.80,2.80,2.78
22.31,-2.89,-5.68,-2.89,-5.68,5.69,5.37,2.60,2.81,2.80,2.79
22.54,-2.82,-5.60,-2.82,-5.61,5.61,5.33,2.68,2.80,2.80,2.78
22.76,-2.75,-5.54,-2.75,-5.53,5.54,5.28,2.76,2.79,2.79,2.79
22.99,-2.68,-5.47,-2.68,-5.46,5.46,5.23,2.84,2.79,2.79,2.79
23.22,-2.61,-5.39,-2.61,-5.40,5.39,5.18,2.92,2.79,2.78,2.78
23.45,-2.55,-5.33,-2.54,-5.32,5.33,5.14,3.01,2.78,2.78,2.78
23.69,-2.48,-5.26,-2.48,-5.25,5.26,5.09,3.09,2.78,2.78,2.78
23.92,-2.41,-5.19,-2.41,-5.19,5.19,5.04,3.18,2.79,2.78,2.78
24.16,-2.34,-5.11,-2.34,-5.12,5.12,4.99,3.27,2.79,2.78,2.78
24.40,-2.28,-5.06,-2.28,-5.06,5.06,4.94,3.36,2.78,2.78,2.79
24.65,-2.22,-5.00,-2.21,-5.00,4.99,4.88,3.45,2.77,2.78,2.79
24.89,-2.15,-4.93,-2.15,-4.93,4.92,4.83,3.54,2.78,2.78,2.79
25.14,-2.08,-4.85,-2.08,-4.86,4.86,4.78,3.63,2.78,2.78,2.78
25.39,-2.02,-4.79,-2.01,-4.79,4.79,4.72,3.73,2.78,2.78,2.77
25.65,-1.95,-4.72,-1.95,-4.72,4.73,4.67,3.82,2.78,2.78,2.77
25.91,-1.89,-4.66,-1.88,-4.66,4.66,4.62,3.91,2.77,2.78,2.77
26.16,-1.82,-4.60,-1.82,-4.60,4.60,4.56,4.00,2.78,2.78,2.78
26.43,-1.76,-4.54,-1.76,-4.54,4.53,4.50,4.09,2.77,2.77,2.78
26.69,-1.70,-4.47,-1.69,-4.47,4.47,4.45,4.18,2.77,2.77,2.77
26.96,-1.64,-4.41,-1.64,-4.40,4.41,4.39,4.27,2.77,2.77,2.77
27.23,-1.57,-4.34,-1.58,-4.34,4.35,4.33,4.36,2.78,2.77,2.77
27.50,-1.52,-4.28,-1.51,-4.28,4.28,4.27,4.44,2.77,2.77,2.77
27.77,-1.46,-4.23,-1.45,-4.23,4.22,4.22,4.52,2.77,2.77,2.78
28.05,-1.39,-4.16,-1.39,-4.16,4.16,4.16,4.59,2.77,2.77,2.77
28.33,-1.34,-4.10,-1.33,-4.10,4.10,4.10,4.66,2.76,2.77,2.76
28.62,-1.27,-4.03,-1.27,-4.04,4.04,4.04,4.72,2.77,2.77,2.76
28.90,-1.22,-3.99,-1.22,-3.98,3.98,3.98,4.78,2.76,2.76,2.77
29.19,-1.16,-3.93,-1.15,-3.92,3.92,3.92,4.83,2.76,2.76,2.77
29.48,-1.10,-3.85,-1.10,-3.86,3.86,3.86,4.87,2.76,2.76,2.76
29.78,-1.04,-3.79,-1.04,-3.80,3.80,3.79,4.91,2.76,2.76,2.76
30.08,-0.99,-3.75,-0.98,-3.74,3.75,3.73,4.93,2.76,2.76,2.76
30.38,-0.93,-3.68,-0.93,-3.69,3.69,3.67,4.95,2.76,2.76,2.75
30.68,-0.88,-3.64,-0.88,-3.64,3.64,3.61,4.96,2.76,2.76,2.76
30.99,-0.83,-3.59,-0.82,-3.58,3.58,3.55,4.96,2.75,2.76,2.76
31.30,-0.77,-3.53,-0.77,-3.53,3.53,3.48,4.95,2.76,2.76,2.76
31.61,-0.72,-3.48,-0.71,-3.47,3.47,3.42,4.94,2.76,2.76,2.77
31.93,-0.66,-3.41,-0.66,-3.42,3.42,3.36,4.91,2.76,2.76,2.75
32.24,-0.61,-3.37,-0.61,-3.37,3.37,3.29,4.87,2.76,2.76,2.76
32.57,-0.56,-3.32,-0.55,-3.31,3.31,3.23,4.83,2.76,2.76,2.76
32.89,-0.50,-3.25,-0.50,-3.26,3.26,3.16,4.77,2.76,2.76,2.76
33.22,-0.45,-3.20,-0.45,-3.21,3.20,3.10,4.71,2.76,2.75,2.75
33.55,-0.41,-3.16,-0.40,-3.15,3.15,3.03,4.64,2.74,2.75,2.75
33.89,-0.35,-3.10,-0.35,-3.10,3.09,2.97,4.56,2.74,2.74,2.75
34.23,-0.30,-3.03,-0.30,-3.03,3.03,2.90,4.48,2.74,2.73,2.74
34.57,-0.25,-2.97,-0.25,-2.97,2.97,2.84,4.39,2.73,2.73,2.72
34.92,-0.20,-2.91,-0.20,-2.91,2.91,2.77,4.30,2.71,2.72,2.71
35.27,-0.15,-2.86,-0.15,-2.85,2.85,2.71,4.20,2.70,2.70,2.71
35.62,-0.10,-2.77,-0.10,-2.78,2.78,2.64,4.10,2.68,2.68,2.67
35.97,-0.06,-2.72,-0.06,-2.72,2.72,2.58,3.99,2.66,2.66,2.66
36.33,-0.02,-2.65,-0.01,-2.65,2.65,2.51,3.88,2.63,2.64,2.64
36.70,0.03,-2.58,0.03,-2.58,2.58,2.44,3.77,2.61,2.61,2.61
37.06,0.08,-2.51,0.08,-2.51,2.51,2.38,3.66,2.60,2.59,2.59
37.43,0.12,-2.44,0.13,-2.44,2.44,2.31,3.54,2.57,2.57,2.57
37.81,0.17,-2.37,0.17,-2.38,2.37,2.24,3.42,2.55,2.54,2.54
38.19,0.21,-2.32,0.22,-2.31,2.31,2.18,3.31,2.52,2.52,2.53
38.57,0.26,-2.24,0.26,-2.24,2.24,2.11,3.19,2.50,2.50,2.50
38.95,0.31,-2.17,0.31,-2.17,2.17,2.04,3.07,2.49,2.48,2.48
39.34,0.35,-2.10,0.35,-2.10,2.11,1.98,2.96,2.46,2.46,2.46
39.74,0.39,-2.04,0.39,-2.04,2.04,1.91,2.84,2.44,2.44,2.43
40.14,0.43,-1.98,0.43,-1.98,1.98,1.84,2.72,2.41,2.41,2.42
40.54,0.47,-1.93,0.48,-1.92,1.92,1.77,2.61,2.39,2.39,2.40
40.94,0.52,-1.85,0.52,-1.86,1.86,1.71,2.49,2.38,2.38,2.37
41.35,0.56,-1.80,0.56,-1.79,1.79,1.64,2.38,2.36,2.36,2.36
41.76,0.60,-1.73,0.60,-1.73,1.73,1.57,2.26,2.34,2.34,2.33
42.18,0.64,-1.67,0.64,-1.68,1.67,1.51,2.15,2.32,2.31,2.32
42.60,0.67,-1.62,0.68,-1.62,1.62,1.44,2.04,2.29,2.29,2.29
43.03,0.71,-1.56,0.71,-1.56,1.56,1.37,1.93,2.27,2.27,2.27
43.46,0.75,-1.49,0.75,-1.50,1.50,1.31,1.83,2.25,2.25,2.25
43.90,0.79,-1.44,0.79,-1.44,1.44,1.24,1.72,2.24,2.23,2.23
44.33,0.82,-1.38,0.82,-1.39,1.39,1.17,1.62,2.21,2.21,2.20
44.78,0.85,-1.33,0.86,-1.33,1.33,1.11,1.51,2.18,2.18,2.19
45.23,0.89,-1.29,0.89,-1.27,1.27,1.04,1.41,2.16,2.16,2.18
45.68,0.93,-1.21,0.93,-1.21,1.21,0.97,1.31,2.14,2.14,2.14
46.13,0.97,-1.14,0.97,-1.14,1.15,0.91,1.21,2.12,2.12,2.11
46.60,1.00,-1.08,1.01,-1.08,1.08,0.84,1.11,2.09,2.09,2.08
47.06,1.04,-1.02,1.04,-1.02,1.02,0.77,1.02,2.06,2.06,2.06
47.53,1.07,-0.96,1.07,-0.96,0.95,0.71,0.92,2.02,2.02,2.03
48.01,1.10,-0.88,1.10,-0.89,0.88,0.64,0.83,1.98,1.99,1.98
48.49,1.13,-0.82,1.14,-0.82,0.81,0.57,0.73,1.95,1.95,1.95
48.97,1.17,-0.74,1.17,-0.74,0.74,0.51,0.64,1.92,1.91,1.91
49.46,1.20,-0.68,1.20,-0.67,0.67,0.44,0.55,1.88,1.88,1.88
49.96,1.23,-0.59,1.23,-0.60,0.60,0.38,0.46,1.84,1.84,1.82
50.46,1.26,-0.53,1.26,-0.53,0.53,0.31,0.37,1.80,1.80,1.79
50.96,1.29,-0.46,1.29,-0.46,0.46,0.25,0.29,1.76,1.76,1.76
51.47,1.32,-0.40,1.32,-0.40,0.39,0.18,0.20,1.72,1.72,1.72
51.99,1.35,-0.33,1.36,-0.33,0.33,0.12,0.12,1.68,1.68,1.68
52.51,1.39,-0.25,1.38,-0.26,0.26,0.05,0.04,1.65,1.64,1.65
53.03,1.41,-0.20,1.41,-0.19,0.19,-0.01,-0.05,1.61,1.61,1.61
53.56,1.43,-0.14,1.44,-0.13,0.13,-0.08,-0.13,1.56,1.57,1.57
54.10,1.47,-0.05,1.47,-0.06,0.06,-0.14,-0.20,1.53,1.53,1.52
54.64,1.49,0.00,1.49,0.01,-0.00,-0.20,-0.28,1.49,1.49,1.49
55.18,1.52,0.07,1.52,0.07,-0.06,-0.27,-0.36,1.46,1.46,1.45
55.74,1.54,0.13,1.54,0.12,-0.12,-0.33,-0.43,1.42,1.42,1.42
56.29,1.57,0.18,1.57,0.18,-0.18,-0.39,-0.50,1.39,1.39,1.39
56.86,1.59,0.22,1.60,0.24,-0.24,-0.45,-0.57,1.36,1.36,1.37
57.42,1.62,0.30,1.62,0.30,-0.29,-0.52,-0.64,1.33,1.33,1.32
58.00,1.65,0.36,1.65,0.35,-0.35,-0.58,-0.70,1.31,1.30,1.29
58.58,1.67,0.40,1.67,0.40,-0.40,-0.64,-0.77,1.27,1.27,1.27
59.16,1.69,0.45,1.70,0.45,-0.46,-0.70,-0.83,1.23,1.23,1.24
59.76,1.72,0.51,1.72,0.51,-0.53,-0.76,-0.89,1.20,1.19,1.21
60.35,1.74,0.58,1.75,0.58,-0.59,-0.82,-0.95,1.15,1.15,1.16
60.96,1.77,0.65,1.77,0.66,-0.66,-0.88,-1.00,1.11,1.11,1.12
61.57,1.79,0.74,1.79,0.73,-0.73,-0.94,-1.05,1.06,1.06,1.06
62.18,1.81,0.81,1.82,0.81,-0.80,-1.00,-1.10,1.01,1.02,1.00
62.80,1.84,0.89,1.84,0.88,-0.87,-1.06,-1.15,0.97,0.97,0.96
63.43,1.86,0.95,1.86,0.95,-0.94,-1.12,-1.20,0.92,0.92,0.91
64.07,1.88,1.01,1.88,1.01,-1.01,-1.18,-1.24,0.88,0.88,0.88
64.71,1.90,1.06,1.90,1.07,-1.07,-1.23,-1.29,0.83,0.83,0.84
65.35,1.92,1.13,1.92,1.13,-1.13,-1.29,-1.33,0.79,0.79,0.79
66.01,1.94,1.19,1.94,1.18,-1.19,-1.35,-1.37,0.76,0.75,0.75
66.67,1.96,1.24,1.96,1.24,-1.24,-1.40,-1.40,0.72,0.72,0.73
67.33,1.97,1.30,1.98,1.30,-1.30,-1.46,-1.44,0.67,0.68,0.68
68.01,2.00,1.37,2.00,1.36,-1.36,-1.51,-1.47,0.64,0.64,0.64
68.69,2.02,1.43,2.02,1.42,-1.42,-1.57,-1.51,0.61,0.60,0.59
69.37,2.03,1.47,2.04,1.48,-1.48,-1.62,-1.54,0.56,0.56,0.56
70.07,2.05,1.52,2.05,1.53,-1.53,-1.67,-1.57,0.52,0.52,0.53
70.77,2.07,1.59,2.07,1.59,-1.59,-1.73,-1.60,0.48,0.48,0.49
71.48,2.09,1.65,2.09,1.65,-1.65,-1.78,-1.63,0.44,0.44,0.44
72.19,2.10,1.71,2.11,1.71,-1.71,-1.83,-1.66,0.39,0.39,0.40
72.91,2.12,1.77,2.12,1.77,-1.77,-1.88,-1.69,0.35,0.35,0.35
73.64,2.13,1.83,2.13,1.83,-1.83,-1.93,-1.73,0.30,0.31,0.30
74.38,2.15,1.89,2.15,1.89,-1.89,-1.98,-1.76,0.27,0.26,0.26
75.12,2.16,1.94,2.17,1.94,-1.94,-2.03,-1.79,0.22,0.23,0.22
75.87,2.18,1.99,2.18,1.99,-1.99,-2.08,-1.82,0.19,0.19,0.19
76.63,2.20,2.05,2.20,2.04,-2.04,-2.13,-1.85,0.16,0.16,0.15
77.40,2.21,2.08,2.22,2.09,-2.09,-2.17,-1.88,0.13,0.13,0.13
78.17,2.23,2.14,2.23,2.13,-2.13,-2.22,-1.92,0.10,0.10,0.09
78.95,2.23,2.17,2.24,2.17,-2.17,-2.26,-1.95,0.06,0.06,0.07
79.74,2.25,2.21,2.25,2.22,-2.22,-2.31,-1.99,0.04,0.03,0.04
80.54,2.26,2.26,2.26,2.26,-2.26,-2.35,-2.03,0.00,0.01,0.01
81.35,2.28,2.31,2.28,2.30,-2.30,-2.40,-2.07,-0.02,-0.02,-0.03
82.16,2.29,2.34,2.29,2.34,-2.34,-2.44,-2.11,-0.05,-0.05,-0.04
82.98,2.30,2.38,2.31,2.39,-2.39,-2.48,-2.15,-0.08,-0.08,-0.08
83.81,2.32,2.43,2.32,2.43,-2.43,-2.52,-2.20,-0.11,-0.11,-0.11
84.65,2.33,2.48,2.33,2.48,-2.47,-2.57,-2.24,-0.14,-0.14,-0.15
85.50,2.33,2.51,2.34,2.52,-2.51,-2.61,-2.29,-0.18,-0.17,-0.18
86.35,2.35,2.56,2.35,2.56,-2.56,-2.65,-2.34,-0.20,-0.21,-0.21
87.22,2.36,2.59,2.36,2.60,-2.60,-2.69,-2.39,-0.24,-0.24,-0.23
88.09,2.37,2.64,2.37,2.64,-2.64,-2.73,-2.44,-0.27,-0.27,-0.27
88.97,2.38,2.68,2.39,2.68,-2.69,-2.77,-2.50,-0.30,-0.30,-0.29
89.86,2.40,2.74,2.40,2.73,-2.73,-2.81,-2.55,-0.33,-0.33,-0.34
90.76,2.41,2.77,2.41,2.78,-2.77,-2.85,-2.61,-0.36,-0.36,-0.36
91.66,2.42,2.83,2.42,2.82,-2.82,-2.89,-2.67,-0.39,-0.39,-0.40
92.58,2.43,2.86,2.43,2.86,-2.86,-2.93,-2.74,-0.43,-0.43,-0.43
93.51,2.44,2.91,2.44,2.90,-2.91,-2.97,-2.80,-0.46,-0.46,-0.46
94.44,2.45,2.94,2.45,2.95,-2.95,-3.01,-2.87,-0.50,-0.50,-0.49
95.39,2.46,3.00,2.46,2.99,-3.00,-3.05,-2.93,-0.54,-0.54,-0.53
96.34,2.46,3.04,2.47,3.04,-3.05,-3.09,-3.00,-0.58,-0.58,-0.58
97.30,2.47,3.09,2.48,3.10,-3.10,-3.13,-3.07,-0.62,-0.62,-0.62
98.28,2.49,3.16,2.49,3.15,-3.14,-3.17,-3.15,-0.65,-0.66,-0.66
99.26,2.49,3.20,2.50,3.20,-3.19,-3.22,-3.22,-0.70,-0.70,-0.71
100.25,2.50,3.25,2.50,3.25,-3.24,-3.26,-3.30,-0.74,-0.74,-0.75
101.25,2.50,3.28,2.51,3.28,-3.29,-3.31,-3.37,-0.78,-0.78,-0.78
102.27,2.51,3.33,2.51,3.33,-3.33,-3.35,-3.45,-0.82,-0.82,-0.81
103.29,2.52,3.37,2.52,3.37,-3.38,-3.40,-3.53,-0.85,-0.85,-0.85
104.32,2.53,3.42,2.53,3.42,-3.42,-3.45,-3.60,-0.89,-0.89,-0.89
105.37,2.54,3.47,2.54,3.47,-3.46,-3.49,-3.68,-0.92,-0.92,-0.93
106.42,2.54,3.50,2.55,3.51,-3.50,-3.54,-3.76,-0.96,-0.96,-0.95
107.48,2.55,3.55,2.55,3.55,-3.54,-3.59,-3.84,-0.99,-0.99,-1.00
108.56,2.55,3.58,2.55,3.59,-3.59,-3.64,-3.92,-1.03,-1.03,-1.03
109.64,2.56,3.63,2.56,3.63,-3.63,-3.70,-3.99,-1.06,-1.07,-1.07
110.74,2.56,3.67,2.57,3.67,-3.67,-3.75,-4.07,-1.11,-1.10,-1.10
111.85,2.57,3.71,2.57,3.71,-3.72,-3.80,-4.14,-1.14,-1.14,-1.14
112.97,2.57,3.76,2.57,3.76,-3.76,-3.85,-4.21,-1.19,-1.19,-1.19
