frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.64,-5.55,-3.64,-5.54,5.54,5.55,1.72,1.91,1.91,1.91
20.20,-3.60,-5.50,-3.60,-5.50,5.50,5.51,1.78,1.91,1.90,1.90
20.40,-3.57,-5.46,-3.56,-5.46,5.46,5.47,1.83,1.89,1.90,1.90
20.61,-3.53,-5.42,-3.53,-5.42,5.42,5.43,1.89,1.89,1.89,1.89
20.81,-3.49,-5.37,-3.49,-5.37,5.37,5.39,1.94,1.89,1.89,1.89
21.02,-3.45,-5.33,-3.45,-5.33,5.33,5.35,2.00,1.88,1.88,1.89
21.23,-3.41,-5.27,-3.41,-5.28,5.28,5.31,2.06,1.87,1.87,1.87
21.44,-3.39,-5.23,-3.38,-5.23,5.23,5.26,2.12,1.84,1.85,1.85
21.66,-3.36,-5.18,-3.36,-5.18,5.18,5.22,2.18,1.82,1.82,1.83
21.87,-3.34,-5.13,-3.33,-5.13,5.13,5.18,2.25,1.79,1.80,1.80
22.09,-3.30,-5.07,-3.30,-5.08,5.08,5.14,2.32,1.78,1.78,1.77
22.31,-3.28,-5.03,-3.28,-5.03,5.03,5.10,2.39,1.75,1.75,1.75
22.54,-3.26,-4.98,-3.25,-4.98,4.97,5.05,2.46,1.72,1.72,1.72
22.76,-3.23,-4.92,-3.23,-4.93,4.92,5.01,2.53,1.70,1.69,1.69
22.99,-3.21,-4.87,-3.21,-4.87,4.87,4.97,2.60,1.66,1.66,1.66
23.22,-3.19,-4.82,-3.18,-4.82,4.82,4.92,2.68,1.64,1.64,1.63
23.45,-3.16,-4.77,-3.16,-4.77,4.78,4.88,2.76,1.62,1.62,1.61
23.69,-3.14,-4.73,-3.13,-4.73,4.73,4.84,2.84,1.59,1.60,1.59
23.92,-3.11,-4.68,-3.11,-4.68,4.69,4.79,2.92,1.58,1.58,1.57
24.16,-3.09,-4.65,-3.09,-4.64,4.64,4.75,3.00,1.56,1.56,1.56
24.40,-3.07,-4.61,-3.07,-4.61,4.60,4.70,3.08,1.54,1.54,1.54
24.65,-3.05,-4.57,-3.05,-4.57,4.56,4.66,3.17,1.51,1.52,1.52
24.89,-3.03,-4.53,-3.02,-4.52,4.52,4.61,3.25,1.49,1.50,1.50
25.14,-3.00,-4.48,-3.00,-4.48,4.48,4.57,3.34,1.48,1.48,1.48
25.39,-2.98,-4.43,-2.98,-4.44,4.44,4.52,3.43,1.46,1.46,1.46
25.65,-2.96,-4.40,-2.95,-4.39,4.40,4.48,3.51,1.44,1.44,1.45
25.91,-2.93,-4.34,-2.93,-4.35,4.35,4.43,3.60,1.43,1.42,1.42
26.16,-2.91,-4.31,-2.91,-4.31,4.31,4.38,3.68,1.40,1.40,1.41
26.43,-2.88,-4.26,-2.88,-4.27,4.27,4.34,3.77,1.39,1.39,1.39
26.69,-2.86,-4.23,-2.85,-4.23,4.23,4.29,3.85,1.37,1.37,1.37
26.96,-2.83,-4.18,-2.83,-4.18,4.18,4.24,3.94,1.36,1.36,1.35
27.23,-2.80,-4.14,-2.80,-4.14,4.14,4.20,4.02,1.34,1.34,1.34
27.50,-2.78,-4.10,-2.78,-4.10,4.10,4.15,4.09,1.32,1.32,1.32
27.77,-2.76,-4.06,-2.75,-4.06,4.06,4.10,4.17,1.30,1.30,1.30
28.05,-2.73,-4.02,-2.73,-4.01,4.02,4.05,4.24,1.29,1.29,1.29
28.33,-2.71,-3.97,-2.70,-3.97,3.98,4.01,4.30,1.27,1.27,1.26
28.62,-2.68,-3.93,-2.68,-3.93,3.93,3.96,4.37,1.26,1.26,1.25
28.90,-2.65,-3.89,-2.65,-3.89,3.89,3.91,4.42,1.24,1.24,1.25
29.19,-2.63,-3.85,-2.62,-3.85,3.85,3.86,4.47,1.22,1.23,1.23
29.48,-2.59,-3.81,-2.59,-3.81,3.80,3.81,4.52,1.21,1.21,1.22
29.78,-2.55,-3.75,-2.55,-3.76,3.75,3.76,4.56,1.20,1.20,1.20
30.08,-2.52,-3.71,-2.51,-3.70,3.70,3.72,4.58,1.18,1.19,1.19
30.38,-2.48,-3.65,-2.48,-3.65,3.65,3.67,4.61,1.17,1.17,1.17
30.68,-2.44,-3.59,-2.44,-3.59,3.60,3.62,4.62,1.16,1.16,1.15
30.99,-2.41,-3.54,-2.41,-3.54,3.55,3.57,4.63,1.14,1.14,1.13
31.30,-2.38,-3.49,-2.38,-3.49,3.50,3.52,4.63,1.12,1.12,1.12
31.61,-2.35,-3.45,-2.35,-3.45,3.45,3.47,4.62,1.10,1.10,1.11
31.93,-2.33,-3.40,-2.33,-3.40,3.40,3.42,4.61,1.07,1.08,1.07
32.24,-2.31,-3.36,-2.30,-3.36,3.36,3.37,4.58,1.05,1.05,1.05
32.57,-2.28,-3.31,-2.28,-3.31,3.31,3.32,4.55,1.04,1.03,1.03
32.89,-2.26,-3.28,-2.25,-3.27,3.27,3.27,4.51,1.01,1.01,1.02
33.22,-2.23,-3.21,-2.23,-3.22,3.22,3.22,4.47,1.00,0.99,0.99
33.55,-2.21,-3.18,-2.21,-3.18,3.18,3.17,4.41,0.97,0.97,0.98
