frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.26,-5.19,-2.26,-5.19,5.19,4.58,1.49,2.93,2.93,2.93
20.20,-2.24,-5.16,-2.24,-5.17,5.17,4.56,1.53,2.93,2.93,2.92
20.40,-2.23,-5.15,-2.23,-5.15,5.15,4.53,1.58,2.92,2.92,2.92
20.61,-2.21,-5.12,-2.21,-5.12,5.12,4.50,1.62,2.91,2.91,2.91
20.81,-2.18,-5.09,-2.18,-5.09,5.09,4.48,1.67,2.91,2.91,2.91
21.02,-2.16,-5.07,-2.16,-5.06,5.05,4.45,1.72,2.90,2.90,2.91
21.23,-2.13,-5.02,-2.13,-5.02,5.02,4.42,1.77,2.89,2.89,2.89
21.44,-2.11,-4.98,-2.11,-4.98,4.97,4.40,1.83,2.87,2.87,2.87
21.66,-2.08,-4.93,-2.08,-4.93,4.93,4.37,1.88,2.85,2.84,2.85
21.87,-2.06,-4.88,-2.05,-4.87,4.87,4.34,1.94,2.82,2.82,2.82
22.09,-2.02,-4.82,-2.02,-4.82,4.82,4.32,2.00,2.80,2.80,2.80
22.31,-1.99,-4.77,-1.99,-4.76,4.76,4.29,2.06,2.77,2.77,2.78
22.54,-1.96,-4.71,-1.96,-4.70,4.70,4.26,2.12,2.74,2.75,2.75
22.76,-1.92,-4.63,-1.93,-4.64,4.64,4.23,2.18,2.72,2.72,2.72
22.99,-1.90,-4.58,-1.90,-4.58,4.58,4.21,2.24,2.68,2.69,2.69
23.22,-1.87,-4.52,-1.87,-4.52,4.53,4.18,2.31,2.66,2.66,2.65
23.45,-1.83,-4.46,-1.83,-4.47,4.47,4.15,2.37,2.64,2.63,2.63
23.69,-1.80,-4.41,-1.80,-4.41,4.41,4.12,2.44,2.61,2.62,2.61
23.92,-1.76,-4.35,-1.76,-4.35,4.36,4.10,2.51,2.60,2.60,2.59
24.16,-1.72,-4.30,-1.72,-4.30,4.30,4.07,2.58,2.58,2.58,2.58
24.40,-1.69,-4.25,-1.69,-4.25,4.25,4.04,2.65,2.56,2.56,2.56
24.65,-1.66,-4.20,-1.66,-4.20,4.20,4.01,2.73,2.54,2.54,2.54
24.89,-1.62,-4.14,-1.62,-4.14,4.14,3.98,2.80,2.52,2.52,2.52
25.14,-1.59,-4.09,-1.59,-4.09,4.09,3.96,2.87,2.50,2.50,2.50
25.39,-1.55,-4.03,-1.55,-4.03,4.03,3.93,2.95,2.49,2.48,2.48
25.65,-1.52,-3.99,-1.52,-3.98,3.98,3.90,3.02,2.46,2.46,2.47
25.91,-1.48,-3.92,-1.48,-3.93,3.93,3.87,3.10,2.45,2.44,2.44
26.16,-1.45,-3.88,-1.45,-3.87,3.87,3.84,3.17,2.42,2.43,2.43
26.43,-1.41,-3.82,-1.41,-3.82,3.82,3.81,3.24,2.41,2.41,2.41
26.69,-1.37,-3.77,-1.37,-3.77,3.77,3.79,3.31,2.40,2.39,2.40
26.96,-1.34,-3.72,-1.34,-3.72,3.71,3.76,3.39,2.37,2.38,2.38
27.23,-1.30,-3.66,-1.30,-3.66,3.66,3.73,3.45,2.36,2.36,2.36
27.50,-1.27,-3.61,-1.27,-3.61,3.61,3.70,3.52,2.34,2.34,2.34
27.77,-1.23,-3.55,-1.23,-3.56,3.56,3.67,3.58,2.33,2.33,2.32
28.05,-1.19,-3.50,-1.19,-3.50,3.51,3.64,3.65,2.32,2.31,2.31
28.33,-1.17,-3.45,-1.16,-3.45,3.46,3.62,3.70,2.29,2.30,2.28
28.62,-1.13,-3.40,-1.14,-3.41,3.41,3.59,3.76,2.29,2.28,2.27
28.90,-1.11,-3.38,-1.11,-3.37,3.37,3.56,3.81,2.26,2.26,2.27
29.19,-1.09,-3.34,-1.08,-3.33,3.33,3.53,3.85,2.24,2.25,2.25
29.48,-1.05,-3.30,-1.05,-3.30,3.29,3.50,3.89,2.24,2.24,2.25
29.78,-1.02,-3.25,-1.02,-3.25,3.25,3.48,3.93,2.23,2.22,2.23
30.08,-1.00,-3.21,-1.00,-3.21,3.21,3.45,3.96,2.21,2.21,2.21
