frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.66,-0.63,5.66,-0.62,0.62,0.53,-0.18,6.28,6.29,6.29
20.20,5.70,-0.58,5.69,-0.59,0.59,0.51,-0.18,6.29,6.28,6.28
20.40,5.72,-0.56,5.73,-0.55,0.55,0.49,-0.19,6.27,6.28,6.28
20.61,5.76,-0.51,5.76,-0.51,0.51,0.47,-0.19,6.27,6.27,6.27
20.81,5.79,-0.48,5.79,-0.48,0.48,0.44,-0.20,6.27,6.26,6.27
21.02,5.81,-0.46,5.82,-0.44,0.44,0.42,-0.20,6.25,6.26,6.27
21.23,5.85,-0.39,5.85,-0.40,0.40,0.40,-0.21,6.25,6.24,6.25
21.44,5.87,-0.35,5.87,-0.36,0.36,0.37,-0.21,6.23,6.22,6.23
21.66,5.89,-0.31,5.89,-0.31,0.31,0.35,-0.22,6.20,6.21,6.21
21.87,5.91,-0.26,5.91,-0.26,0.27,0.32,-0.22,6.18,6.18,6.17
22.09,5.94,-0.21,5.93,-0.22,0.22,0.30,-0.23,6.16,6.15,6.15
22.31,5.95,-0.18,5.95,-0.18,0.18,0.27,-0.23,6.13,6.13,6.13
22.54,5.96,-0.14,5.97,-0.14,0.13,0.24,-0.24,6.09,6.10,6.10
22.76,5.99,-0.08,5.98,-0.09,0.09,0.22,-0.25,6.08,6.07,6.07
22.99,6.00,-0.04,6.00,-0.04,0.05,0.19,-0.25,6.05,6.05,6.04
23.22,6.01,-0.00,6.02,0.00,0.01,0.16,-0.26,6.02,6.02,6.01
23.45,6.03,0.04,6.03,0.04,-0.03,0.13,-0.27,6.00,6.00,5.99
23.69,6.04,0.07,6.04,0.07,-0.06,0.11,-0.28,5.98,5.98,5.97
23.92,6.05,0.10,6.05,0.10,-0.10,0.08,-0.28,5.95,5.96,5.95
24.16,6.07,0.13,6.06,0.13,-0.13,0.05,-0.29,5.94,5.93,5.94
24.40,6.07,0.15,6.07,0.15,-0.16,0.02,-0.30,5.91,5.91,5.92
24.65,6.08,0.18,6.09,0.18,-0.19,-0.01,-0.31,5.89,5.90,5.90
24.89,6.10,0.22,6.10,0.22,-0.22,-0.04,-0.32,5.88,5.88,5.88
25.14,6.11,0.25,6.11,0.25,-0.25,-0.07,-0.33,5.86,5.86,5.86
25.39,6.12,0.28,6.12,0.28,-0.28,-0.10,-0.34,5.84,5.84,5.84
25.65,6.13,0.30,6.13,0.31,-0.31,-0.14,-0.35,5.82,5.82,5.83
25.91,6.14,0.34,6.14,0.34,-0.34,-0.17,-0.36,5.80,5.80,5.80
26.16,6.15,0.36,6.15,0.36,-0.36,-0.20,-0.37,5.79,5.79,5.79
26.43,6.16,0.39,6.16,0.39,-0.39,-0.23,-0.38,5.77,5.77,5.77
26.69,6.17,0.41,6.17,0.42,-0.42,-0.27,-0.39,5.75,5.75,5.76
26.96,6.18,0.44,6.18,0.44,-0.44,-0.30,-0.41,5.74,5.74,5.74
27.23,6.19,0.47,6.19,0.47,-0.47,-0.33,-0.42,5.72,5.72,5.72
27.50,6.20,0.50,6.20,0.50,-0.50,-0.37,-0.43,5.70,5.70,5.70
27.77,6.21,0.53,6.21,0.53,-0.53,-0.40,-0.45,5.68,5.68,5.68
28.05,6.23,0.56,6.23,0.56,-0.56,-0.44,-0.47,5.67,5.67,5.67
28.33,6.24,0.60,6.24,0.59,-0.59,-0.47,-0.48,5.65,5.66,5.64
28.62,6.26,0.63,6.26,0.62,-0.62,-0.51,-0.50,5.64,5.64,5.63
28.90,6.27,0.64,6.27,0.65,-0.65,-0.55,-0.52,5.62,5.62,5.63
29.19,6.28,0.67,6.29,0.67,-0.68,-0.59,-0.54,5.60,5.61,5.61
29.48,6.31,0.70,6.31,0.70,-0.71,-0.62,-0.56,5.60,5.60,5.61
29.78,6.33,0.74,6.33,0.74,-0.74,-0.66,-0.58,5.59,5.59,5.59
30.08,6.35,0.77,6.35,0.77,-0.77,-0.70,-0.61,5.58,5.57,5.58
30.38,6.36,0.81,6.37,0.81,-0.81,-0.74,-0.63,5.55,5.56,5.56
30.68,6.38,0.85,6.38,0.85,-0.85,-0.78,-0.66,5.53,5.54,5.53
30.99,6.41,0.90,6.40,0.89,-0.89,-0.82,-0.68,5.53,5.52,5.51
31.30,6.42,0.92,6.43,0.93,-0.93,-0.86,-0.71,5.49,5.50,5.50
