frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.81,-5.84,-3.81,-5.83,5.84,-0.61,-1.05,2.03,2.03,2.03
20.20,-3.60,-5.62,-3.60,-5.62,5.62,-0.63,-1.08,2.02,2.02,2.02
20.40,-3.39,-5.40,-3.39,-5.40,5.40,-0.65,-1.11,2.01,2.01,2.02
20.61,-3.17,-5.18,-3.17,-5.18,5.17,-0.67,-1.14,2.00,2.01,2.01
20.81,-2.94,-4.94,-2.94,-4.95,4.94,-0.69,-1.17,2.01,2.00,2.01
21.02,-2.72,-4.73,-2.72,-4.72,4.71,-0.71,-1.20,1.99,1.99,2.01
21.23,-2.49,-4.48,-2.49,-4.48,4.47,-0.73,-1.24,1.98,1.98,1.99
21.44,-2.27,-4.23,-2.27,-4.24,4.23,-0.75,-1.27,1.96,1.96,1.97
21.66,-2.04,-3.99,-2.04,-3.98,3.98,-0.77,-1.31,1.94,1.94,1.95
21.87,-1.82,-3.73,-1.81,-3.73,3.73,-0.79,-1.35,1.92,1.92,1.91
22.09,-1.58,-3.47,-1.58,-3.48,3.48,-0.81,-1.39,1.90,1.90,1.89
22.31,-1.35,-3.22,-1.35,-3.22,3.22,-0.84,-1.43,1.87,1.87,1.87
22.54,-1.12,-2.97,-1.12,-2.96,2.96,-0.86,-1.47,1.84,1.84,1.84
22.76,-0.89,-2.70,-0.89,-2.71,2.70,-0.89,-1.51,1.82,1.81,1.81
22.99,-0.66,-2.44,-0.66,-2.44,2.45,-0.92,-1.55,1.79,1.79,1.78
23.22,-0.44,-2.19,-0.43,-2.19,2.20,-0.95,-1.59,1.75,1.76,1.75
23.45,-0.20,-1.93,-0.21,-1.94,1.94,-0.98,-1.64,1.74,1.74,1.73
23.69,0.02,-1.70,0.02,-1.69,1.69,-1.01,-1.68,1.71,1.72,1.71
23.92,0.25,-1.44,0.25,-1.44,1.44,-1.04,-1.73,1.70,1.70,1.69
24.16,0.48,-1.20,0.48,-1.20,1.20,-1.08,-1.78,1.68,1.67,1.68
24.40,0.70,-0.96,0.71,-0.95,0.95,-1.11,-1.82,1.65,1.66,1.66
24.65,0.93,-0.71,0.93,-0.71,0.70,-1.15,-1.87,1.63,1.64,1.64
24.89,1.16,-0.46,1.16,-0.46,0.46,-1.19,-1.92,1.62,1.62,1.62
25.14,1.39,-0.21,1.39,-0.21,0.21,-1.23,-1.97,1.60,1.60,1.60
25.39,1.62,0.05,1.62,0.04,-0.04,-1.27,-2.02,1.58,1.58,1.58
25.65,1.85,0.28,1.85,0.29,-0.29,-1.32,-2.07,1.56,1.56,1.57
25.91,2.09,0.55,2.09,0.54,-0.54,-1.36,-2.12,1.54,1.54,1.54
26.16,2.32,0.80,2.32,0.79,-0.79,-1.41,-2.17,1.53,1.53,1.53
26.43,2.55,1.04,2.55,1.04,-1.03,-1.46,-2.22,1.51,1.51,1.51
26.69,2.77,1.27,2.77,1.28,-1.28,-1.52,-2.26,1.49,1.49,1.50
26.96,3.00,1.52,2.99,1.52,-1.52,-1.57,-2.31,1.48,1.47,1.48
27.23,3.22,1.75,3.22,1.75,-1.76,-1.63,-2.36,1.46,1.46,1.46
27.50,3.43,1.98,3.43,1.99,-2.00,-1.70,-2.40,1.43,1.44,1.44
27.77,3.65,2.23,3.65,2.22,-2.22,-1.76,-2.45,1.43,1.42,1.42
28.05,3.86,2.45,3.86,2.46,-2.45,-1.83,-2.49,1.41,1.41,1.41
28.33,4.06,2.68,4.06,2.67,-2.67,-1.91,-2.53,1.40,1.40,1.38
28.62,4.26,2.89,4.25,2.88,-2.88,-1.98,-2.57,1.38,1.38,1.37
28.90,4.44,3.07,4.44,3.08,-3.08,-2.07,-2.61,1.36,1.36,1.37
29.19,4.62,3.27,4.62,3.27,-3.27,-2.15,-2.64,1.35,1.35,1.35
29.48,4.80,3.45,4.80,3.45,-3.46,-2.24,-2.68,1.34,1.34,1.35
29.78,4.96,3.63,4.96,3.63,-3.63,-2.34,-2.71,1.32,1.33,1.33
30.08,5.12,3.80,5.11,3.80,-3.80,-2.44,-2.73,1.32,1.31,1.32
30.38,5.25,3.95,5.26,3.96,-3.96,-2.54,-2.76,1.29,1.29,1.30
30.68,5.39,4.12,5.39,4.11,-4.11,-2.65,-2.78,1.28,1.28,1.27
30.99,5.52,4.27,5.51,4.25,-4.25,-2.77,-2.79,1.27,1.26,1.25
31.30,5.62,4.38,5.62,4.38,-4.38,-2.89,-2.81,1.24,1.25,1.24
31.61,5.72,4.49,5.72,4.49,-4.49,-3.02,-2.82,1.23,1.22,1.23
31.93,5.80,4.60,5.80,4.60,-4.60,-3.15,-2.83,1.20,1.20,1.20
32.24,5.87,4.69,5.87,4.69,-4.69,-3.29,-2.83,1.18,1.18,1.18
32.57,5.94,4.78,5.93,4.78,-4.77,-3.43,-2.83,1.16,1.16,1.16
32.89,5.98,4.84,5.99,4.85,-4.85,-3.58,-2.83,1.13,1.14,1.14
33.22,6.03,4.92,6.03,4.91,-4.91,-3.74,-2.83,1.12,1.12,1.11
33.55,6.06,4.96,6.06,4.96,-4.97,-3.89,-2.82,1.09,1.09,1.10
33.89,6.09,5.02,6.09,5.01,-5.01,-4.06,-2.81,1.08,1.08,1.07
34.23,6.10,5.04,6.11,5.05,-5.05,-4.22,-2.80,1.05,1.05,1.06
34.57,6.12,5.09,6.11,5.08,-5.08,-4.38,-2.79,1.04,1.03,1.03
34.92,6.11,5.11,6.11,5.10,-5.10,-4.54,-2.78,1.01,1.01,1.00
35.27,6.10,5.11,6.10,5.12,-5.11,-4.70,-2.76,0.99,0.99,0.99
35.62,6.09,5.12,6.09,5.12,-5.12,-4.85,-2.75,0.97,0.96,0.97
35.97,6.06,5.12,6.06,5.12,-5.12,-5.00,-2.73,0.94,0.94,0.94
36.33,6.04,5.11,6.04,5.11,-5.11,-5.13,-2.72,0.93,0.92,0.93
36.70,6.00,5.10,6.00,5.10,-5.10,-5.25,-2.70,0.90,0.90,0.90
