frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.02,-2.58,2.02,-2.57,2.57,1.67,-0.10,4.59,4.59,4.60
20.20,2.08,-2.51,2.07,-2.52,2.52,1.62,-0.10,4.60,4.59,4.59
20.40,2.12,-2.47,2.12,-2.46,2.47,1.57,-0.10,4.59,4.59,4.58
20.61,2.17,-2.41,2.17,-2.41,2.41,1.52,-0.10,4.58,4.58,4.57
20.81,2.23,-2.35,2.22,-2.35,2.35,1.47,-0.11,4.58,4.57,4.57
21.02,2.27,-2.31,2.27,-2.29,2.29,1.42,-0.11,4.56,4.56,4.57
21.23,2.33,-2.23,2.33,-2.23,2.22,1.37,-0.11,4.55,4.55,4.55
21.44,2.38,-2.15,2.38,-2.16,2.16,1.32,-0.11,4.53,4.53,4.53
21.66,2.43,-2.09,2.43,-2.08,2.08,1.27,-0.11,4.51,4.51,4.51
21.87,2.48,-2.00,2.48,-2.01,2.01,1.22,-0.11,4.49,4.49,4.48
22.09,2.54,-1.92,2.54,-1.93,1.93,1.17,-0.12,4.47,4.46,4.46
22.31,2.59,-1.85,2.59,-1.85,1.84,1.12,-0.12,4.43,4.43,4.44
22.54,2.65,-1.76,2.65,-1.76,1.76,1.07,-0.12,4.41,4.41,4.41
22.76,2.71,-1.67,2.71,-1.67,1.67,1.02,-0.12,4.38,4.38,4.38
22.99,2.77,-1.58,2.77,-1.58,1.59,0.97,-0.12,4.35,4.35,4.35
23.22,2.83,-1.49,2.83,-1.49,1.50,0.92,-0.13,4.33,4.33,4.32
23.45,2.89,-1.41,2.89,-1.41,1.42,0.87,-0.13,4.31,4.30,4.30
23.69,2.95,-1.33,2.95,-1.33,1.33,0.82,-0.13,4.28,4.28,4.28
23.92,3.01,-1.25,3.01,-1.25,1.25,0.77,-0.13,4.26,4.26,4.26
24.16,3.08,-1.17,3.07,-1.17,1.17,0.72,-0.13,4.25,4.24,4.25
24.40,3.13,-1.10,3.13,-1.10,1.09,0.67,-0.14,4.22,4.22,4.23
24.65,3.19,-1.02,3.19,-1.02,1.01,0.62,-0.14,4.20,4.20,4.21
24.89,3.25,-0.94,3.25,-0.94,0.94,0.57,-0.14,4.19,4.18,4.19
25.14,3.31,-0.86,3.31,-0.86,0.86,0.52,-0.15,4.16,4.17,4.17
25.39,3.37,-0.78,3.37,-0.77,0.77,0.47,-0.15,4.14,4.15,4.14
25.65,3.44,-0.70,3.43,-0.69,0.69,0.42,-0.15,4.13,4.13,4.13
25.91,3.50,-0.61,3.50,-0.61,0.61,0.37,-0.16,4.11,4.11,4.10
26.16,3.56,-0.53,3.56,-0.53,0.53,0.32,-0.16,4.09,4.09,4.09
26.43,3.63,-0.45,3.63,-0.45,0.45,0.27,-0.16,4.08,4.08,4.07
26.69,3.70,-0.36,3.69,-0.37,0.37,0.22,-0.17,4.07,4.06,4.06
26.96,3.76,-0.28,3.76,-0.29,0.28,0.17,-0.17,4.04,4.04,4.04
27.23,3.82,-0.21,3.82,-0.21,0.20,0.12,-0.18,4.02,4.02,4.03
27.50,3.88,-0.13,3.88,-0.13,0.13,0.07,-0.18,4.00,4.00,4.01
27.77,3.94,-0.05,3.94,-0.05,0.05,0.02,-0.19,3.99,3.99,3.99
28.05,4.01,0.03,4.00,0.03,-0.03,-0.03,-0.19,3.98,3.98,3.98
28.33,4.06,0.11,4.06,0.11,-0.10,-0.08,-0.20,3.96,3.96,3.95
28.62,4.12,0.18,4.12,0.18,-0.17,-0.14,-0.21,3.95,3.94,3.94
28.90,4.17,0.23,4.17,0.24,-0.24,-0.19,-0.22,3.93,3.93,3.93
29.19,4.22,0.31,4.22,0.30,-0.31,-0.24,-0.22,3.91,3.91,3.91
29.48,4.28,0.37,4.28,0.37,-0.38,-0.29,-0.23,3.90,3.90,3.91
29.78,4.34,0.45,4.33,0.44,-0.45,-0.34,-0.24,3.89,3.89,3.89
30.08,4.39,0.51,4.39,0.51,-0.51,-0.39,-0.25,3.88,3.87,3.88
30.38,4.43,0.57,4.44,0.58,-0.58,-0.44,-0.26,3.85,3.86,3.86
30.68,4.49,0.65,4.48,0.65,-0.64,-0.49,-0.28,3.85,3.84,3.84
30.99,4.54,0.72,4.53,0.71,-0.71,-0.54,-0.29,3.83,3.83,3.82
31.30,4.57,0.76,4.58,0.77,-0.77,-0.60,-0.30,3.80,3.81,3.80
31.61,4.62,0.83,4.61,0.83,-0.83,-0.65,-0.32,3.79,3.78,3.79
31.93,4.65,0.89,4.65,0.88,-0.89,-0.70,-0.33,3.76,3.76,3.76
32.24,4.68,0.94,4.68,0.94,-0.94,-0.75,-0.35,3.74,3.74,3.74
32.57,4.72,1.00,4.71,0.99,-0.99,-0.81,-0.36,3.73,3.72,3.72
32.89,4.74,1.03,4.74,1.04,-1.04,-0.86,-0.38,3.69,3.70,3.71
33.22,4.78,1.10,4.77,1.09,-1.09,-0.91,-0.40,3.68,3.68,3.67
33.55,4.80,1.14,4.80,1.14,-1.14,-0.96,-0.42,3.66,3.66,3.66
33.89,4.83,1.20,4.83,1.19,-1.19,-1.02,-0.44,3.64,3.64,3.63
34.23,4.85,1.23,4.85,1.24,-1.24,-1.07,-0.46,3.61,3.61,3.62
34.57,4.88,1.29,4.88,1.29,-1.28,-1.12,-0.48,3.60,3.59,3.59
34.92,4.90,1.33,4.90,1.33,-1.33,-1.17,-0.50,3.57,3.57,3.57
35.27,4.92,1.36,4.92,1.37,-1.37,-1.22,-0.52,3.55,3.55,3.55
35.62,4.94,1.41,4.94,1.41,-1.41,-1.27,-0.55,3.53,3.53,3.53
35.97,4.96,1.46,4.96,1.45,-1.45,-1.32,-0.57,3.50,3.50,3.50
36.33,4.98,1.49,4.98,1.49,-1.49,-1.37,-0.59,3.48,3.48,3.49
36.70,4.99,1.52,4.99,1.53,-1.53,-1.42,-0.62,3.46,3.46,3.46
