frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.30,-0.20,1.29,-0.20,0.20,-0.93,-0.80,1.50,1.50,1.50
20.20,1.33,-0.16,1.33,-0.17,0.17,-0.94,-0.82,1.49,1.49,1.49
20.40,1.36,-0.13,1.36,-0.13,0.13,-0.96,-0.84,1.49,1.49,1.49
20.61,1.39,-0.08,1.39,-0.09,0.09,-0.98,-0.87,1.49,1.49,1.48
20.81,1.44,-0.04,1.43,-0.05,0.05,-1.00,-0.89,1.48,1.48,1.48
21.02,1.47,-0.01,1.47,-0.00,-0.00,-1.02,-0.92,1.47,1.47,1.48
21.23,1.51,0.05,1.51,0.05,-0.05,-1.04,-0.94,1.45,1.46,1.46
21.44,1.55,0.11,1.54,0.10,-0.10,-1.07,-0.97,1.44,1.44,1.44
21.66,1.58,0.16,1.58,0.16,-0.16,-1.09,-1.00,1.41,1.42,1.42
21.87,1.62,0.23,1.62,0.22,-0.22,-1.11,-1.03,1.39,1.39,1.39
22.09,1.66,0.29,1.65,0.29,-0.29,-1.13,-1.05,1.37,1.37,1.37
22.31,1.70,0.35,1.70,0.35,-0.36,-1.15,-1.08,1.34,1.34,1.35
22.54,1.73,0.42,1.74,0.42,-0.43,-1.18,-1.11,1.31,1.31,1.32
22.76,1.79,0.50,1.78,0.49,-0.50,-1.20,-1.15,1.29,1.28,1.29
22.99,1.83,0.57,1.83,0.57,-0.57,-1.23,-1.18,1.26,1.26,1.26
23.22,1.87,0.64,1.87,0.64,-0.64,-1.25,-1.21,1.22,1.23,1.23
23.45,1.93,0.72,1.92,0.72,-0.71,-1.28,-1.25,1.21,1.21,1.21
23.69,1.97,0.79,1.97,0.79,-0.78,-1.30,-1.28,1.19,1.19,1.19
23.92,2.03,0.86,2.03,0.86,-0.85,-1.33,-1.32,1.17,1.17,1.16
24.16,2.08,0.92,2.07,0.92,-0.92,-1.35,-1.35,1.15,1.15,1.15
24.40,2.12,0.98,2.12,0.99,-0.99,-1.38,-1.39,1.13,1.13,1.13
24.65,2.17,1.05,2.16,1.05,-1.05,-1.41,-1.43,1.11,1.11,1.11
24.89,2.21,1.11,2.21,1.12,-1.12,-1.44,-1.47,1.09,1.09,1.09
