frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.24,-1.03,4.24,-1.03,1.03,0.85,0.08,5.27,5.27,5.27
20.20,4.28,-0.98,4.27,-0.99,0.99,0.84,0.09,5.27,5.26,5.26
20.40,4.31,-0.95,4.31,-0.94,0.94,0.82,0.10,5.25,5.26,5.26
20.61,4.36,-0.89,4.35,-0.90,0.90,0.81,0.10,5.25,5.25,5.25
20.81,4.40,-0.85,4.39,-0.85,0.85,0.79,0.11,5.24,5.24,5.25
21.02,4.44,-0.81,4.44,-0.80,0.79,0.78,0.12,5.23,5.23,5.25
21.23,4.48,-0.75,4.48,-0.75,0.74,0.76,0.13,5.22,5.22,5.23
21.44,4.52,-0.69,4.52,-0.69,0.68,0.75,0.13,5.20,5.20,5.20
21.66,4.56,-0.63,4.56,-0.62,0.62,0.73,0.14,5.18,5.18,5.18
21.87,4.60,-0.56,4.60,-0.56,0.56,0.71,0.15,5.15,5.16,5.15
22.09,4.65,-0.49,4.64,-0.49,0.49,0.70,0.16,5.14,5.13,5.13
22.31,4.69,-0.43,4.68,-0.42,0.42,0.68,0.17,5.11,5.11,5.11
22.54,4.72,-0.37,4.72,-0.36,0.36,0.66,0.17,5.08,5.08,5.08
22.76,4.76,-0.30,4.75,-0.30,0.30,0.64,0.18,5.06,5.05,5.05
22.99,4.78,-0.25,4.78,-0.24,0.25,0.62,0.19,5.03,5.03,5.02
23.22,4.80,-0.20,4.80,-0.19,0.21,0.60,0.20,5.00,5.01,4.99
23.45,4.82,-0.16,4.81,-0.16,0.17,0.58,0.21,4.99,4.98,4.97
23.69,4.82,-0.14,4.82,-0.14,0.15,0.56,0.22,4.96,4.96,4.95
23.92,4.81,-0.12,4.81,-0.12,0.13,0.54,0.23,4.93,4.94,4.93
24.16,4.80,-0.12,4.79,-0.12,0.12,0.52,0.24,4.91,4.91,4.92
24.40,4.78,-0.12,4.78,-0.12,0.11,0.50,0.25,4.89,4.89,4.90
24.65,4.76,-0.12,4.76,-0.12,0.12,0.48,0.26,4.87,4.87,4.88
24.89,4.74,-0.12,4.73,-0.12,0.12,0.46,0.27,4.86,4.85,4.86
25.14,4.71,-0.13,4.71,-0.13,0.13,0.44,0.28,4.83,4.84,4.84
25.39,4.69,-0.13,4.68,-0.14,0.14,0.41,0.29,4.82,4.82,4.82
25.65,4.66,-0.15,4.65,-0.15,0.15,0.39,0.29,4.81,4.80,4.81
25.91,4.62,-0.16,4.62,-0.16,0.17,0.37,0.30,4.79,4.79,4.78
26.16,4.59,-0.18,4.59,-0.18,0.19,0.34,0.31,4.77,4.77,4.76
26.43,4.56,-0.19,4.55,-0.19,0.20,0.32,0.31,4.76,4.75,4.74
26.69,4.52,-0.22,4.52,-0.21,0.22,0.29,0.32,4.74,4.74,4.73
26.96,4.49,-0.23,4.49,-0.23,0.23,0.26,0.32,4.71,4.72,4.71
27.23,4.48,-0.23,4.47,-0.23,0.22,0.24,0.32,4.70,4.69,4.70
27.50,4.46,-0.22,4.46,-0.22,0.21,0.21,0.32,4.66,4.67,4.68
27.77,4.48,-0.18,4.48,-0.19,0.17,0.18,0.32,4.64,4.64,4.66
28.05,4.52,-0.13,4.51,-0.13,0.11,0.16,0.32,4.63,4.62,4.65
28.33,4.58,-0.04,4.58,-0.04,0.03,0.13,0.31,4.60,4.61,4.62
28.62,4.67,0.07,4.67,0.06,-0.08,0.10,0.31,4.60,4.59,4.61
28.90,4.79,0.18,4.79,0.19,-0.20,0.07,0.30,4.58,4.58,4.61
29.19,4.92,0.33,4.92,0.33,-0.34,0.04,0.29,4.57,4.58,4.58
29.48,5.08,0.49,5.07,0.49,-0.50,0.01,0.27,4.58,4.57,4.58
29.78,5.21,0.65,5.22,0.65,-0.65,-0.03,0.26,4.57,4.57,4.56
30.08,5.35,0.80,5.35,0.80,-0.79,-0.06,0.23,4.56,4.56,4.55
30.38,5.47,0.94,5.48,0.95,-0.93,-0.09,0.21,4.54,4.55,4.53
30.68,5.59,1.08,5.58,1.07,-1.05,-0.13,0.18,4.54,4.53,4.51
30.99,5.67,1.18,5.66,1.17,-1.15,-0.16,0.16,4.52,4.51,4.49
31.30,5.72,1.24,5.71,1.24,-1.22,-0.20,0.12,4.49,4.49,4.48
31.61,5.74,1.27,5.74,1.28,-1.28,-0.23,0.09,4.46,4.46,4.46
31.93,5.75,1.31,5.74,1.31,-1.31,-0.27,0.05,4.44,4.43,4.43
32.24,5.73,1.31,5.73,1.32,-1.32,-0.31,0.00,4.41,4.41,4.41
32.57,5.71,1.32,5.70,1.31,-1.31,-0.35,-0.04,4.39,4.39,4.39
32.89,5.67,1.29,5.67,1.29,-1.29,-0.39,-0.09,4.37,4.37,4.38
33.22,5.62,1.27,5.62,1.26,-1.26,-0.43,-0.14,4.35,4.35,4.35
33.55,5.56,1.22,5.55,1.22,-1.22,-0.47,-0.20,4.34,4.33,4.33
33.89,5.48,1.17,5.48,1.17,-1.17,-0.51,-0.26,4.31,4.31,4.30
34.23,5.41,1.12,5.40,1.12,-1.11,-0.55,-0.32,4.30,4.29,4.29
34.57,5.33,1.07,5.32,1.06,-1.05,-0.59,-0.39,4.27,4.27,4.26
34.92,5.24,1.00,5.24,1.00,-1.00,-0.64,-0.45,4.24,4.24,4.24
35.27,5.16,0.93,5.16,0.94,-0.95,-0.68,-0.52,4.21,4.21,4.22
35.62,5.09,0.88,5.09,0.89,-0.91,-0.73,-0.60,4.18,4.18,4.20
35.97,5.04,0.87,5.04,0.86,-0.88,-0.78,-0.67,4.15,4.16,4.17
36.33,5.02,0.86,5.01,0.85,-0.87,-0.83,-0.75,4.15,4.14,4.16
36.70,4.99,0.85,5.00,0.86,-0.87,-0.88,-0.83,4.11,4.12,4.14
37.06,5.00,0.89,4.99,0.88,-0.89,-0.93,-0.91,4.11,4.11,4.10
37.43,5.01,0.92,5.00,0.92,-0.91,-0.98,-1.00,4.09,4.09,4.09
37.81,5.02,0.95,5.02,0.95,-0.95,-1.03,-1.08,4.07,4.07,4.07
38.19,5.04,0.99,5.04,0.99,-0.99,-1.08,-1.17,4.05,4.05,4.04
38.57,5.06,1.02,5.06,1.03,-1.02,-1.14,-1.26,4.03,4.03,4.03
38.95,5.08,1.07,5.07,1.07,-1.06,-1.19,-1.36,4.02,4.01,4.01
39.34,5.09,1.10,5.08,1.10,-1.09,-1.25,-1.45,3.99,3.99,3.98
39.74,5.09,1.13,5.09,1.13,-1.12,-1.31,-1.55,3.96,3.96,3.95
40.14,5.09,1.15,5.08,1.15,-1.14,-1.37,-1.64,3.94,3.94,3.94
40.54,5.08,1.16,5.08,1.16,-1.16,-1.43,-1.75,3.91,3.92,3.91
40.94,5.08,1.18,5.07,1.18,-1.18,-1.49,-1.85,3.90,3.90,3.90
41.35,5.07,1.19,5.07,1.19,-1.18,-1.55,-1.95,3.88,3.88,3.88
41.76,5.06,1.19,5.06,1.19,-1.19,-1.62,-2.06,3.86,3.86,3.86
42.18,5.05,1.20,5.04,1.20,-1.20,-1.69,-2.17,3.85,3.84,3.85
42.60,5.03,1.20,5.03,1.20,-1.21,-1.75,-2.28,3.82,3.82,3.82
43.03,5.02,1.20,5.02,1.20,-1.22,-1.82,-2.39,3.80,3.80,3.82
43.46,5.01,1.21,5.01,1.22,-1.23,-1.89,-2.50,3.78,3.78,3.80
43.90,5.01,1.25,5.00,1.23,-1.24,-1.96,-2.62,3.77,3.76,3.76
44.33,4.99,1.25,4.99,1.25,-1.25,-2.03,-2.73,3.74,3.74,3.74
44.78,4.97,1.25,4.97,1.26,-1.25,-2.11,-2.85,3.71,3.72,3.72
45.23,4.96,1.26,4.95,1.26,-1.25,-2.19,-2.98,3.70,3.70,3.69
45.68,4.93,1.25,4.93,1.25,-1.24,-2.26,-3.10,3.68,3.68,3.68
46.13,4.90,1.24,4.89,1.23,-1.22,-2.34,-3.23,3.67,3.67,3.65
46.60,4.85,1.20,4.85,1.20,-1.19,-2.42,-3.35,3.66,3.66,3.65
