frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.44,-5.02,-1.44,-5.02,5.02,4.59,1.44,3.58,3.58,3.58
20.20,-1.42,-4.99,-1.42,-4.99,4.99,4.56,1.48,3.57,3.57,3.57
20.40,-1.40,-4.97,-1.40,-4.96,4.96,4.54,1.53,3.56,3.57,3.57
20.61,-1.37,-4.93,-1.37,-4.93,4.93,4.51,1.58,3.56,3.56,3.56
20.81,-1.33,-4.89,-1.34,-4.90,4.90,4.48,1.62,3.56,3.56,3.56
21.02,-1.31,-4.87,-1.31,-4.86,4.86,4.45,1.67,3.55,3.55,3.56
21.23,-1.28,-4.82,-1.28,-4.82,4.82,4.42,1.72,3.53,3.54,3.54
21.44,-1.25,-4.77,-1.26,-4.77,4.77,4.39,1.78,3.52,3.52,3.52
21.66,-1.23,-4.73,-1.23,-4.72,4.72,4.36,1.83,3.49,3.49,3.50
21.87,-1.20,-4.67,-1.20,-4.67,4.67,4.33,1.89,3.47,3.47,3.47
22.09,-1.17,-4.62,-1.17,-4.62,4.62,4.30,1.94,3.45,3.44,3.44
22.31,-1.14,-4.57,-1.14,-4.56,4.56,4.27,2.00,3.42,3.42,3.42
22.54,-1.11,-4.51,-1.11,-4.50,4.50,4.24,2.06,3.39,3.39,3.39
22.76,-1.07,-4.44,-1.08,-4.44,4.44,4.21,2.12,3.37,3.36,3.36
22.99,-1.04,-4.38,-1.04,-4.38,4.38,4.17,2.19,3.34,3.33,3.33
23.22,-1.01,-4.32,-1.01,-4.31,4.32,4.14,2.25,3.31,3.31,3.30
23.45,-0.97,-4.25,-0.97,-4.25,4.26,4.11,2.32,3.29,3.28,3.28
23.69,-0.93,-4.20,-0.93,-4.19,4.20,4.07,2.39,3.27,3.27,3.26
23.92,-0.89,-4.13,-0.89,-4.14,4.14,4.04,2.45,3.25,3.25,3.24
24.16,-0.85,-4.08,-0.86,-4.09,4.09,4.00,2.52,3.23,3.23,3.23
24.40,-0.83,-4.04,-0.82,-4.03,4.03,3.97,2.59,3.20,3.21,3.21
24.65,-0.79,-3.98,-0.79,-3.98,3.98,3.93,2.67,3.18,3.18,3.19
24.89,-0.75,-3.92,-0.76,-3.92,3.92,3.90,2.74,3.17,3.17,3.17
25.14,-0.72,-3.87,-0.72,-3.87,3.87,3.86,2.81,3.15,3.15,3.15
25.39,-0.68,-3.81,-0.68,-3.81,3.82,3.82,2.88,3.13,3.13,3.13
25.65,-0.65,-3.77,-0.65,-3.76,3.76,3.78,2.95,3.11,3.11,3.12
25.91,-0.61,-3.70,-0.62,-3.71,3.71,3.75,3.03,3.10,3.09,3.09
26.16,-0.58,-3.66,-0.58,-3.66,3.66,3.71,3.10,3.08,3.08,3.08
26.43,-0.55,-3.61,-0.55,-3.61,3.61,3.67,3.17,3.05,3.06,3.06
26.69,-0.51,-3.56,-0.52,-3.56,3.56,3.63,3.24,3.04,3.04,3.04
26.96,-0.48,-3.51,-0.48,-3.51,3.50,3.59,3.31,3.02,3.02,3.02
27.23,-0.44,-3.46,-0.45,-3.45,3.45,3.55,3.37,3.01,3.01,3.01
