frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.72,-0.66,3.72,-0.65,0.66,0.98,0.33,4.38,4.38,4.38
20.20,3.69,-0.68,3.68,-0.68,0.69,0.97,0.34,4.38,4.37,4.37
20.40,3.65,-0.72,3.65,-0.71,0.71,0.96,0.35,4.36,4.36,4.36
20.61,3.63,-0.73,3.63,-0.73,0.73,0.95,0.36,4.36,4.36,4.35
20.81,3.61,-0.75,3.61,-0.75,0.74,0.94,0.38,4.35,4.35,4.35
21.02,3.59,-0.77,3.59,-0.76,0.75,0.94,0.39,4.34,4.34,4.35
21.23,3.58,-0.76,3.57,-0.76,0.76,0.93,0.40,4.33,4.33,4.33
21.44,3.56,-0.75,3.56,-0.76,0.76,0.92,0.42,4.31,4.31,4.31
21.66,3.54,-0.75,3.54,-0.75,0.75,0.91,0.43,4.29,4.29,4.29
21.87,3.53,-0.73,3.53,-0.74,0.74,0.90,0.44,4.27,4.27,4.26
22.09,3.53,-0.71,3.52,-0.72,0.72,0.89,0.46,4.25,4.24,4.24
22.31,3.51,-0.71,3.51,-0.71,0.70,0.88,0.47,4.21,4.22,4.22
22.54,3.50,-0.69,3.50,-0.69,0.69,0.87,0.49,4.18,4.19,4.19
22.76,3.50,-0.66,3.49,-0.67,0.66,0.86,0.51,4.16,4.16,4.16
22.99,3.49,-0.64,3.49,-0.64,0.64,0.85,0.52,4.13,4.13,4.13
23.22,3.48,-0.62,3.48,-0.62,0.63,0.84,0.54,4.10,4.11,4.10
23.45,3.48,-0.60,3.47,-0.60,0.61,0.83,0.56,4.09,4.08,4.08
23.69,3.47,-0.59,3.47,-0.59,0.59,0.82,0.57,4.06,4.06,4.06
23.92,3.47,-0.57,3.47,-0.57,0.58,0.81,0.59,4.05,4.05,4.04
24.16,3.47,-0.56,3.46,-0.56,0.56,0.80,0.61,4.03,4.03,4.03
24.40,3.45,-0.56,3.45,-0.55,0.55,0.79,0.63,4.00,4.01,4.01
24.65,3.45,-0.54,3.45,-0.54,0.54,0.78,0.64,3.99,3.98,3.99
24.89,3.44,-0.53,3.44,-0.53,0.52,0.76,0.66,3.96,3.96,3.97
25.14,3.44,-0.51,3.44,-0.51,0.50,0.75,0.68,3.94,3.94,3.95
25.39,3.44,-0.49,3.44,-0.49,0.49,0.74,0.70,3.92,3.92,3.92
25.65,3.44,-0.48,3.44,-0.47,0.46,0.73,0.72,3.90,3.90,3.91
25.91,3.45,-0.44,3.45,-0.44,0.44,0.72,0.74,3.89,3.89,3.88
26.16,3.46,-0.41,3.46,-0.41,0.41,0.70,0.75,3.87,3.87,3.87
26.43,3.47,-0.38,3.47,-0.39,0.39,0.69,0.77,3.86,3.86,3.85
26.69,3.48,-0.36,3.48,-0.36,0.37,0.68,0.79,3.84,3.84,3.84
26.96,3.48,-0.34,3.48,-0.34,0.34,0.66,0.80,3.82,3.82,3.82
27.23,3.49,-0.32,3.48,-0.32,0.32,0.65,0.82,3.81,3.80,3.81
27.50,3.48,-0.31,3.48,-0.31,0.30,0.64,0.83,3.78,3.78,3.79
27.77,3.48,-0.29,3.48,-0.29,0.29,0.62,0.84,3.77,3.77,3.77
28.05,3.48,-0.28,3.48,-0.27,0.28,0.61,0.86,3.76,3.76,3.76
28.33,3.47,-0.26,3.47,-0.26,0.27,0.60,0.87,3.74,3.74,3.73
