frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.80,1.43,3.80,1.44,-1.44,-0.98,-0.57,2.36,2.36,2.37
20.20,3.80,1.44,3.80,1.44,-1.44,-1.03,-0.58,2.36,2.36,2.36
20.40,3.80,1.44,3.80,1.45,-1.44,-1.08,-0.60,2.36,2.36,2.36
20.61,3.80,1.45,3.80,1.45,-1.45,-1.14,-0.62,2.35,2.35,2.35
20.81,3.80,1.45,3.80,1.45,-1.45,-1.19,-0.64,2.35,2.34,2.35
21.02,3.79,1.44,3.79,1.46,-1.46,-1.25,-0.66,2.33,2.33,2.35
21.23,3.79,1.47,3.79,1.46,-1.47,-1.31,-0.68,2.32,2.32,2.32
21.44,3.79,1.49,3.79,1.48,-1.48,-1.37,-0.70,2.31,2.30,2.30
21.66,3.78,1.50,3.78,1.50,-1.50,-1.43,-0.73,2.28,2.28,2.28
21.87,3.77,1.52,3.78,1.52,-1.51,-1.50,-0.75,2.26,2.26,2.25
22.09,3.77,1.54,3.77,1.53,-1.53,-1.56,-0.77,2.24,2.23,2.23
22.31,3.76,1.55,3.76,1.55,-1.55,-1.63,-0.80,2.21,2.21,2.21
22.54,3.74,1.56,3.75,1.56,-1.57,-1.69,-0.82,2.17,2.18,2.18
22.76,3.74,1.59,3.73,1.58,-1.58,-1.75,-0.85,2.16,2.15,2.15
22.99,3.72,1.60,3.72,1.60,-1.59,-1.81,-0.87,2.13,2.13,2.12
23.22,3.70,1.61,3.70,1.61,-1.60,-1.87,-0.90,2.10,2.10,2.09
23.45,3.69,1.62,3.68,1.61,-1.61,-1.93,-0.93,2.08,2.08,2.07
23.69,3.66,1.61,3.67,1.62,-1.61,-1.98,-0.96,2.05,2.06,2.05
23.92,3.65,1.62,3.65,1.61,-1.61,-2.02,-0.98,2.04,2.04,2.03
24.16,3.62,1.60,3.62,1.60,-1.60,-2.06,-1.01,2.02,2.01,2.02
24.40,3.59,1.59,3.59,1.59,-1.60,-2.09,-1.04,1.99,1.99,2.00
24.65,3.56,1.58,3.56,1.58,-1.59,-2.11,-1.07,1.97,1.97,1.98
24.89,3.54,1.58,3.54,1.58,-1.58,-2.13,-1.10,1.96,1.96,1.96
25.14,3.51,1.57,3.51,1.57,-1.57,-2.13,-1.13,1.94,1.94,1.94
25.39,3.49,1.57,3.49,1.57,-1.56,-2.13,-1.16,1.93,1.92,1.92
25.65,3.46,1.55,3.46,1.56,-1.56,-2.12,-1.19,1.90,1.90,1.91
25.91,3.43,1.55,3.43,1.55,-1.55,-2.10,-1.22,1.88,1.88,1.88
26.16,3.40,1.53,3.40,1.54,-1.54,-2.07,-1.25,1.86,1.86,1.87
26.43,3.37,1.52,3.37,1.53,-1.53,-2.03,-1.28,1.84,1.85,1.85
26.69,3.35,1.51,3.35,1.51,-1.51,-1.99,-1.30,1.84,1.83,1.84
26.96,3.32,1.51,3.32,1.50,-1.50,-1.94,-1.33,1.82,1.82,1.81
27.23,3.29,1.49,3.29,1.49,-1.49,-1.89,-1.36,1.80,1.80,1.80
27.50,3.25,1.47,3.25,1.47,-1.47,-1.83,-1.38,1.78,1.78,1.78
27.77,3.22,1.46,3.22,1.45,-1.46,-1.77,-1.40,1.76,1.76,1.76
28.05,3.19,1.44,3.19,1.44,-1.44,-1.71,-1.42,1.75,1.75,1.75
28.33,3.15,1.43,3.15,1.43,-1.42,-1.65,-1.44,1.73,1.73,1.72
28.62,3.12,1.41,3.12,1.40,-1.40,-1.58,-1.46,1.72,1.72,1.71
28.90,3.08,1.37,3.08,1.38,-1.38,-1.52,-1.48,1.70,1.70,1.71
29.19,3.04,1.35,3.04,1.35,-1.35,-1.45,-1.49,1.69,1.69,1.69
29.48,3.01,1.32,3.01,1.32,-1.33,-1.39,-1.50,1.68,1.68,1.69
29.78,2.97,1.30,2.97,1.30,-1.30,-1.33,-1.51,1.67,1.67,1.67
30.08,2.93,1.28,2.93,1.27,-1.28,-1.27,-1.51,1.65,1.65,1.66
30.38,2.88,1.25,2.88,1.25,-1.25,-1.20,-1.51,1.63,1.63,1.63
30.68,2.84,1.23,2.84,1.23,-1.23,-1.15,-1.51,1.61,1.61,1.61
30.99,2.80,1.21,2.80,1.20,-1.20,-1.09,-1.51,1.60,1.60,1.59
31.30,2.76,1.18,2.76,1.18,-1.18,-1.03,-1.50,1.58,1.58,1.58
31.61,2.72,1.15,2.72,1.16,-1.16,-0.98,-1.49,1.56,1.56,1.57
31.93,2.68,1.14,2.68,1.14,-1.14,-0.93,-1.48,1.54,1.54,1.54
32.24,2.63,1.11,2.63,1.11,-1.11,-0.88,-1.46,1.51,1.52,1.52
32.57,2.59,1.09,2.59,1.09,-1.09,-0.83,-1.44,1.50,1.50,1.50
32.89,2.55,1.07,2.55,1.07,-1.07,-0.79,-1.42,1.48,1.48,1.48
33.22,2.51,1.06,2.51,1.05,-1.05,-0.75,-1.39,1.46,1.46,1.45
33.55,2.46,1.02,2.46,1.02,-1.02,-0.70,-1.36,1.44,1.43,1.44
33.89,2.41,1.00,2.41,1.00,-1.00,-0.66,-1.33,1.41,1.41,1.41
34.23,2.36,0.96,2.36,0.97,-0.97,-0.62,-1.30,1.39,1.39,1.40
34.57,2.32,0.95,2.32,0.95,-0.95,-0.59,-1.26,1.37,1.37,1.37
34.92,2.27,0.93,2.27,0.92,-0.92,-0.55,-1.23,1.36,1.35,1.34
35.27,2.21,0.88,2.21,0.89,-0.88,-0.51,-1.19,1.33,1.33,1.33
35.62,2.16,0.85,2.16,0.85,-0.85,-0.48,-1.14,1.31,1.31,1.31
35.97,2.10,0.82,2.10,0.81,-0.82,-0.45,-1.10,1.28,1.28,1.28
36.33,2.05,0.78,2.04,0.78,-0.78,-0.41,-1.06,1.26,1.26,1.27
36.70,1.98,0.74,1.99,0.75,-0.75,-0.38,-1.01,1.23,1.24,1.24
37.06,1.93,0.72,1.93,0.71,-0.71,-0.35,-0.96,1.22,1.22,1.21
37.43,1.87,0.67,1.87,0.67,-0.67,-0.32,-0.92,1.20,1.20,1.20
37.81,1.81,0.63,1.81,0.64,-0.63,-0.29,-0.87,1.18,1.18,1.18
38.19,1.75,0.60,1.75,0.59,-0.59,-0.26,-0.82,1.16,1.16,1.15
38.57,1.68,0.54,1.68,0.55,-0.55,-0.23,-0.77,1.13,1.14,1.14
38.95,1.62,0.50,1.62,0.50,-0.50,-0.20,-0.72,1.12,1.11,1.12
39.34,1.55,0.45,1.55,0.46,-0.46,-0.17,-0.67,1.09,1.09,1.09
39.74,1.48,0.42,1.48,0.41,-0.41,-0.15,-0.62,1.07,1.07,1.06
40.14,1.41,0.36,1.41,0.36,-0.36,-0.12,-0.57,1.05,1.05,1.05
40.54,1.34,0.32,1.34,0.31,-0.31,-0.09,-0.51,1.03,1.03,1.03
40.94,1.27,0.26,1.27,0.26,-0.26,-0.06,-0.46,1.01,1.01,1.01
41.35,1.20,0.21,1.20,0.21,-0.20,-0.03,-0.41,1.00,1.00,0.99
41.76,1.13,0.15,1.13,0.15,-0.15,0.00,-0.36,0.98,0.98,0.97
42.18,1.05,0.09,1.05,0.09,-0.09,0.03,-0.31,0.96,0.96,0.96
42.60,0.97,0.03,0.97,0.03,-0.04,0.06,-0.26,0.93,0.94,0.94
43.03,0.90,-0.03,0.90,-0.03,0.02,0.09,-0.20,0.92,0.92,0.93
43.46,0.82,-0.09,0.82,-0.08,0.07,0.13,-0.15,0.89,0.90,0.91
43.90,0.75,-0.12,0.75,-0.13,0.13,0.16,-0.10,0.88,0.88,0.87
44.33,0.68,-0.17,0.67,-0.18,0.18,0.20,-0.05,0.86,0.86,0.85
44.78,0.59,-0.24,0.60,-0.23,0.24,0.23,0.00,0.83,0.83,0.83
45.23,0.52,-0.29,0.52,-0.29,0.29,0.27,0.05,0.81,0.81,0.81
45.68,0.45,-0.34,0.45,-0.34,0.35,0.31,0.11,0.80,0.79,0.79
46.13,0.38,-0.39,0.38,-0.40,0.40,0.35,0.16,0.78,0.78,0.77
46.60,0.30,-0.46,0.30,-0.46,0.46,0.39,0.21,0.76,0.76,0.76
47.06,0.23,-0.52,0.23,-0.52,0.51,0.44,0.26,0.74,0.74,0.75
47.53,0.16,-0.57,0.16,-0.57,0.57,0.48,0.31,0.72,0.72,0.73
48.01,0.09,-0.62,0.09,-0.62,0.61,0.53,0.36,0.71,0.70,0.71
48.49,0.02,-0.67,0.02,-0.67,0.66,0.58,0.41,0.68,0.68,0.69
48.97,-0.05,-0.71,-0.05,-0.71,0.71,0.63,0.46,0.66,0.66,0.66
49.46,-0.11,-0.74,-0.11,-0.75,0.75,0.69,0.51,0.64,0.64,0.63
49.96,-0.18,-0.79,-0.18,-0.79,0.79,0.74,0.56,0.61,0.61,0.61
50.46,-0.24,-0.83,-0.24,-0.83,0.83,0.80,0.61,0.59,0.59,0.59
50.96,-0.30,-0.87,-0.30,-0.87,0.87,0.86,0.66,0.57,0.57,0.57
51.47,-0.36,-0.90,-0.36,-0.91,0.91,0.92,0.71,0.55,0.55,0.54
51.99,-0.42,-0.94,-0.42,-0.95,0.95,0.98,0.75,0.53,0.53,0.52
52.51,-0.48,-0.99,-0.48,-0.99,0.98,1.03,0.80,0.50,0.51,0.51
53.03,-0.53,-1.03,-0.53,-1.02,1.02,1.09,0.84,0.49,0.49,0.50
53.56,-0.58,-1.05,-0.58,-1.05,1.05,1.14,0.88,0.47,0.47,0.47
54.10,-0.62,-1.07,-0.62,-1.07,1.07,1.19,0.93,0.45,0.45,0.45
54.64,-0.67,-1.10,-0.67,-1.09,1.09,1.24,0.97,0.42,0.43,0.43
55.18,-0.71,-1.12,-0.71,-1.11,1.11,1.27,1.00,0.40,0.40,0.41
55.74,-0.74,-1.13,-0.74,-1.13,1.12,1.31,1.04,0.38,0.38,0.39
56.29,-0.77,-1.13,-0.77,-1.13,1.13,1.33,1.07,0.36,0.36,0.36
56.86,-0.80,-1.14,-0.80,-1.14,1.14,1.34,1.10,0.34,0.35,0.34
57.42,-0.82,-1.14,-0.82,-1.14,1.15,1.35,1.13,0.33,0.33,0.32
58.00,-0.84,-1.15,-0.84,-1.15,1.15,1.34,1.16,0.31,0.31,0.31
58.58,-0.86,-1.16,-0.86,-1.15,1.15,1.33,1.18,0.29,0.30,0.30
59.16,-0.87,-1.15,-0.87,-1.15,1.15,1.31,1.20,0.28,0.28,0.28
59.76,-0.89,-1.15,-0.89,-1.15,1.14,1.28,1.22,0.25,0.25,0.26
60.35,-0.90,-1.13,-0.90,-1.14,1.13,1.24,1.23,0.23,0.23,0.23
60.96,-0.91,-1.13,-0.91,-1.12,1.11,1.19,1.24,0.20,0.21,0.22
61.57,-0.91,-1.10,-0.91,-1.10,1.09,1.15,1.25,0.18,0.19,0.19
62.18,-0.90,-1.06,-0.91,-1.07,1.07,1.09,1.25,0.17,0.17,0.16
62.80,-0.90,-1.04,-0.90,-1.04,1.05,1.04,1.25,0.15,0.15,0.14
63.43,-0.90,-1.02,-0.90,-1.01,1.02,0.99,1.24,0.12,0.13,0.12
64.07,-0.89,-0.99,-0.89,-0.99,0.99,0.93,1.23,0.10,0.10,0.10
64.71,-0.88,-0.96,-0.89,-0.97,0.97,0.87,1.22,0.09,0.08,0.08
