frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.47,6.32,10.47,6.32,-6.34,-6.51,-3.08,4.14,4.13,4.15
20.20,10.52,6.39,10.52,6.39,-6.40,-6.52,-3.17,4.13,4.13,4.13
20.40,10.56,6.44,10.57,6.45,-6.45,-6.54,-3.26,4.11,4.12,4.12
20.61,10.61,6.50,10.62,6.51,-6.51,-6.55,-3.35,4.11,4.11,4.11
20.81,10.66,6.57,10.66,6.57,-6.55,-6.57,-3.45,4.11,4.11,4.09
21.02,10.70,6.62,10.69,6.61,-6.59,-6.58,-3.55,4.12,4.11,4.08
21.23,10.70,6.63,10.71,6.64,-6.62,-6.60,-3.65,4.08,4.09,4.07
21.44,10.70,6.64,10.71,6.65,-6.65,-6.61,-3.75,4.06,4.06,4.06
21.66,10.70,6.65,10.70,6.65,-6.66,-6.63,-3.86,4.04,4.04,4.05
21.87,10.70,6.66,10.70,6.66,-6.67,-6.64,-3.97,4.04,4.04,4.04
22.09,10.70,6.66,10.70,6.67,-6.67,-6.65,-4.08,4.03,4.03,4.04
22.31,10.70,6.67,10.70,6.67,-6.68,-6.67,-4.19,4.03,4.03,4.03
22.54,10.70,6.67,10.70,6.67,-6.68,-6.68,-4.31,4.03,4.03,4.03
22.76,10.70,6.68,10.70,6.68,-6.68,-6.69,-4.43,4.03,4.03,4.02
22.99,10.70,6.67,10.70,6.68,-6.68,-6.70,-4.56,4.02,4.02,4.03
23.22,10.70,6.68,10.70,6.68,-6.68,-6.71,-4.69,4.03,4.03,4.02
23.45,10.70,6.68,10.70,6.68,-6.67,-6.72,-4.82,4.03,4.03,4.02
23.69,10.70,6.67,10.70,6.68,-6.67,-6.74,-4.95,4.04,4.04,4.03
23.92,10.70,6.67,10.70,6.67,-6.66,-6.75,-5.09,4.04,4.04,4.03
24.16,10.70,6.66,10.70,6.67,-6.66,-6.76,-5.22,4.04,4.04,4.04
24.40,10.70,6.66,10.70,6.66,-6.67,-6.77,-5.37,4.04,4.04,4.04
24.65,10.70,6.66,10.70,6.66,-6.68,-6.78,-5.51,4.02,4.02,4.04
24.89,10.70,6.66,10.71,6.67,-6.70,-6.78,-5.66,4.00,4.01,4.04
25.14,10.73,6.69,10.74,6.70,-6.73,-6.79,-5.80,4.01,4.01,4.04
25.39,10.79,6.75,10.79,6.75,-6.76,-6.80,-5.95,4.04,4.03,4.04
25.65,10.85,6.80,10.85,6.81,-6.79,-6.81,-6.10,4.06,4.06,4.05
