frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.79,6.41,9.79,6.41,-6.41,-6.38,-3.66,3.39,3.39,3.39
20.20,9.84,6.48,9.84,6.47,-6.47,-6.44,-3.76,3.37,3.37,3.37
20.40,9.88,6.53,9.89,6.53,-6.53,-6.50,-3.86,3.35,3.36,3.36
20.61,9.93,6.59,9.93,6.59,-6.59,-6.55,-3.96,3.34,3.34,3.35
20.81,9.98,6.66,9.98,6.65,-6.65,-6.61,-4.07,3.33,3.33,3.33
21.02,10.02,6.71,10.03,6.71,-6.71,-6.67,-4.18,3.31,3.31,3.32
21.23,10.07,6.77,10.07,6.77,-6.77,-6.72,-4.29,3.30,3.30,3.31
21.44,10.12,6.83,10.12,6.83,-6.83,-6.78,-4.41,3.29,3.29,3.30
21.66,10.17,6.89,10.17,6.89,-6.89,-6.83,-4.53,3.28,3.28,3.29
21.87,10.22,6.95,10.22,6.95,-6.95,-6.88,-4.65,3.27,3.27,3.28
22.09,10.27,7.00,10.27,7.00,-7.01,-6.94,-4.78,3.26,3.26,3.28
22.31,10.32,7.06,10.32,7.06,-7.06,-6.99,-4.91,3.26,3.26,3.27
22.54,10.37,7.11,10.38,7.11,-7.11,-7.04,-5.04,3.27,3.27,3.27
22.76,10.42,7.17,10.43,7.16,-7.14,-7.09,-5.18,3.28,3.28,3.26
22.99,10.47,7.21,10.46,7.20,-7.17,-7.14,-5.32,3.30,3.29,3.27
23.22,10.47,7.22,10.48,7.22,-7.19,-7.19,-5.46,3.28,3.29,3.26
23.45,10.47,7.22,10.47,7.21,-7.21,-7.24,-5.60,3.27,3.27,3.26
23.69,10.47,7.21,10.47,7.21,-7.23,-7.28,-5.75,3.25,3.24,3.27
23.92,10.47,7.21,10.48,7.21,-7.25,-7.33,-5.90,3.23,3.24,3.27
24.16,10.51,7.24,10.51,7.24,-7.27,-7.38,-6.06,3.24,3.24,3.28
24.40,10.56,7.29,10.56,7.29,-7.31,-7.42,-6.22,3.26,3.26,3.28
24.65,10.62,7.35,10.62,7.34,-7.35,-7.47,-6.38,3.27,3.27,3.28
24.89,10.68,7.41,10.68,7.40,-7.40,-7.51,-6.54,3.28,3.28,3.28
25.14,10.73,7.46,10.74,7.46,-7.46,-7.55,-6.70,3.28,3.28,3.28
25.39,10.79,7.52,10.80,7.52,-7.51,-7.59,-6.87,3.29,3.29,3.28
25.65,10.85,7.57,10.86,7.57,-7.55,-7.63,-7.04,3.30,3.31,3.29
25.91,10.91,7.63,10.90,7.62,-7.59,-7.67,-7.21,3.33,3.32,3.29
26.16,10.93,7.65,10.93,7.65,-7.62,-7.71,-7.38,3.31,3.31,3.29
26.43,10.93,7.66,10.93,7.65,-7.65,-7.75,-7.55,3.28,3.28,3.28
26.69,10.93,7.66,10.93,7.65,-7.68,-7.79,-7.71,3.25,3.25,3.28
26.96,10.93,7.66,10.95,7.67,-7.71,-7.83,-7.88,3.22,3.23,3.28
27.23,10.98,7.71,10.98,7.71,-7.74,-7.86,-8.05,3.24,3.24,3.28
27.50,11.04,7.78,11.04,7.77,-7.77,-7.90,-8.21,3.27,3.27,3.27
27.77,11.09,7.84,11.10,7.84,-7.80,-7.93,-8.36,3.29,3.29,3.26
28.05,11.14,7.89,11.13,7.88,-7.84,-7.97,-8.52,3.30,3.29,3.26
28.33,11.15,7.91,11.15,7.90,-7.88,-8.00,-8.66,3.27,3.27,3.25
28.62,11.15,7.91,11.16,7.91,-7.93,-8.03,-8.80,3.23,3.23,3.25
28.90,11.16,7.93,11.17,7.94,-7.97,-8.06,-8.94,3.19,3.20,3.24
29.19,11.20,7.98,11.21,7.98,-8.01,-8.09,-9.06,3.19,3.20,3.23
29.48,11.26,8.04,11.26,8.04,-8.05,-8.12,-9.17,3.22,3.21,3.23
29.78,11.32,8.11,11.32,8.10,-8.08,-8.15,-9.27,3.24,3.23,3.22
30.08,11.36,8.16,11.36,8.14,-8.12,-8.18,-9.37,3.25,3.24,3.21
30.38,11.37,8.17,11.38,8.17,-8.15,-8.20,-9.44,3.23,3.23,3.21
30.68,11.38,8.19,11.39,8.19,-8.17,-8.23,-9.51,3.21,3.22,3.20
30.99,11.39,8.21,11.39,8.20,-8.20,-8.25,-9.56,3.20,3.19,3.19
31.30,11.39,8.22,11.39,8.21,-8.22,-8.28,-9.60,3.17,3.17,3.18
31.61,11.39,8.22,11.39,8.21,-8.25,-8.30,-9.63,3.14,3.14,3.18
31.93,11.39,8.22,11.41,8.24,-8.28,-8.33,-9.64,3.11,3.13,3.18
32.24,11.44,8.28,11.46,8.29,-8.31,-8.35,-9.65,3.13,3.14,3.17
32.57,11.52,8.36,11.52,8.35,-8.34,-8.37,-9.63,3.18,3.18,3.17
32.89,11.59,8.43,11.58,8.41,-8.37,-8.39,-9.61,3.23,3.21,3.17
33.22,11.61,8.45,11.61,8.44,-8.39,-8.41,-9.58,3.22,3.22,3.17
33.55,11.61,8.44,11.62,8.44,-8.41,-8.43,-9.54,3.21,3.21,3.18
33.89,11.61,8.43,11.62,8.43,-8.43,-8.45,-9.49,3.19,3.19,3.19
34.23,11.61,8.43,11.61,8.42,-8.44,-8.47,-9.43,3.17,3.16,3.19
34.57,11.61,8.42,11.61,8.41,-8.46,-8.49,-9.37,3.15,3.15,3.20
34.92,11.61,8.42,11.63,8.43,-8.48,-8.51,-9.30,3.13,3.15,3.20
35.27,11.67,8.47,11.68,8.48,-8.50,-8.53,-9.22,3.17,3.18,3.21
35.62,11.75,8.55,11.75,8.54,-8.53,-8.54,-9.15,3.22,3.22,3.21
35.97,11.82,8.62,11.81,8.60,-8.56,-8.56,-9.07,3.26,3.24,3.21
36.33,11.83,8.63,11.84,8.63,-8.59,-8.58,-8.99,3.24,3.25,3.21
36.70,11.84,8.64,11.85,8.64,-8.62,-8.59,-8.91,3.23,3.23,3.21
37.06,11.84,8.64,11.84,8.64,-8.64,-8.61,-8.83,3.20,3.20,3.21
37.43,11.84,8.64,11.84,8.64,-8.65,-8.62,-8.75,3.19,3.19,3.21
37.81,11.84,8.65,11.84,8.65,-8.66,-8.64,-8.67,3.18,3.18,3.20
38.19,11.84,8.66,11.84,8.66,-8.66,-8.65,-8.59,3.18,3.18,3.19
38.57,11.84,8.67,11.84,8.67,-8.66,-8.66,-8.52,3.18,3.18,3.18
38.95,11.84,8.68,11.84,8.68,-8.67,-8.68,-8.45,3.18,3.18,3.17
39.34,11.84,8.69,11.84,8.69,-8.68,-8.69,-8.39,3.17,3.17,3.16
39.74,11.84,8.70,11.84,8.70,-8.69,-8.70,-8.33,3.15,3.15,3.15
40.14,11.84,8.72,11.84,8.71,-8.72,-8.71,-8.27,3.13,3.12,3.13
40.54,11.84,8.72,11.84,8.72,-8.74,-8.73,-8.22,3.10,3.09,3.13
40.94,11.84,8.73,11.86,8.74,-8.78,-8.74,-8.18,3.07,3.09,3.12
41.35,11.90,8.79,11.91,8.79,-8.81,-8.75,-8.13,3.09,3.10,3.12
41.76,11.98,8.87,11.97,8.85,-8.85,-8.76,-8.10,3.14,3.12,3.12
42.18,12.03,8.92,12.03,8.91,-8.88,-8.77,-8.07,3.15,3.15,3.12
42.60,12.05,8.94,12.06,8.94,-8.91,-8.78,-8.04,3.14,3.15,3.12
