frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.64,7.43,8.65,7.43,-7.38,-8.25,-3.86,1.26,1.27,1.22
20.20,8.65,7.45,8.65,7.45,-7.43,-8.25,-3.97,1.22,1.22,1.21
20.40,8.66,7.48,8.65,7.47,-7.48,-8.25,-4.08,1.19,1.18,1.19
20.61,8.66,7.49,8.66,7.49,-7.52,-8.25,-4.19,1.14,1.14,1.18
20.81,8.67,7.52,8.67,7.52,-7.56,-8.26,-4.30,1.11,1.11,1.16
21.02,8.69,7.55,8.70,7.55,-7.60,-8.26,-4.42,1.09,1.10,1.15
21.23,8.74,7.61,8.74,7.61,-7.64,-8.26,-4.54,1.10,1.10,1.14
21.44,8.80,7.68,8.80,7.68,-7.68,-8.26,-4.66,1.12,1.12,1.13
21.66,8.85,7.75,8.86,7.75,-7.73,-8.26,-4.79,1.13,1.14,1.11
21.87,8.91,7.81,8.91,7.80,-7.76,-8.26,-4.92,1.15,1.14,1.11
22.09,8.94,7.85,8.93,7.84,-7.80,-8.26,-5.06,1.15,1.14,1.10
22.31,8.93,7.85,8.94,7.85,-7.82,-8.26,-5.20,1.11,1.11,1.09
22.54,8.92,7.85,8.92,7.85,-7.85,-8.26,-5.34,1.07,1.07,1.08
22.76,8.91,7.85,8.91,7.84,-7.88,-8.27,-5.48,1.04,1.03,1.07
22.99,8.90,7.84,8.92,7.86,-7.90,-8.27,-5.63,1.00,1.02,1.07
23.22,8.95,7.90,8.95,7.90,-7.93,-8.27,-5.78,1.02,1.03,1.06
23.45,9.01,7.96,9.01,7.95,-7.96,-8.27,-5.94,1.05,1.05,1.06
23.69,9.07,8.02,9.07,8.02,-8.00,-8.27,-6.10,1.07,1.07,1.06
23.92,9.12,8.07,9.12,8.07,-8.04,-8.27,-6.26,1.08,1.08,1.06
24.16,9.16,8.11,9.16,8.10,-8.09,-8.27,-6.43,1.08,1.07,1.06
24.40,9.18,8.13,9.19,8.13,-8.12,-8.27,-6.60,1.06,1.07,1.06
