frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.37,7.69,10.37,7.68,-7.68,-7.66,-3.61,2.69,2.69,2.68
20.20,10.37,7.70,10.37,7.70,-7.70,-7.67,-3.71,2.67,2.67,2.67
20.40,10.37,7.72,10.37,7.72,-7.72,-7.68,-3.81,2.66,2.66,2.65
20.61,10.37,7.73,10.37,7.73,-7.73,-7.69,-3.91,2.64,2.64,2.64
20.81,10.37,7.75,10.37,7.74,-7.74,-7.70,-4.02,2.63,2.63,2.62
21.02,10.37,7.76,10.37,7.76,-7.76,-7.71,-4.13,2.62,2.62,2.61
21.23,10.37,7.77,10.37,7.77,-7.77,-7.72,-4.25,2.60,2.60,2.60
21.44,10.37,7.78,10.37,7.78,-7.78,-7.73,-4.37,2.59,2.59,2.59
21.66,10.37,7.80,10.37,7.79,-7.79,-7.73,-4.49,2.58,2.58,2.57
21.87,10.37,7.80,10.37,7.80,-7.80,-7.74,-4.61,2.57,2.57,2.57
22.09,10.37,7.81,10.37,7.81,-7.81,-7.75,-4.74,2.56,2.56,2.56
22.31,10.37,7.82,10.37,7.82,-7.82,-7.76,-4.87,2.55,2.55,2.55
22.54,10.37,7.83,10.37,7.83,-7.83,-7.77,-5.01,2.54,2.54,2.54
22.76,10.37,7.84,10.37,7.83,-7.83,-7.78,-5.14,2.54,2.54,2.53
22.99,10.37,7.84,10.37,7.84,-7.84,-7.78,-5.29,2.53,2.53,2.53
23.22,10.37,7.85,10.37,7.84,-7.84,-7.79,-5.43,2.53,2.53,2.52
23.45,10.37,7.85,10.37,7.85,-7.84,-7.80,-5.58,2.53,2.53,2.52
23.69,10.37,7.85,10.37,7.85,-7.85,-7.81,-5.73,2.52,2.52,2.52
23.92,10.37,7.85,10.37,7.85,-7.85,-7.81,-5.89,2.52,2.52,2.52
24.16,10.37,7.85,10.37,7.85,-7.85,-7.82,-6.05,2.52,2.52,2.52
24.40,10.37,7.85,10.37,7.85,-7.85,-7.83,-6.21,2.52,2.52,2.52
24.65,10.37,7.85,10.37,7.85,-7.85,-7.84,-6.37,2.52,2.52,2.52
24.89,10.37,7.85,10.37,7.85,-7.85,-7.84,-6.54,2.52,2.52,2.52
25.14,10.37,7.85,10.37,7.85,-7.85,-7.85,-6.71,2.52,2.52,2.52
