frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.66,1.29,4.68,1.31,-1.09,-2.07,-1.31,3.57,3.59,3.37
20.20,4.70,1.34,4.69,1.33,-1.26,-2.09,-1.34,3.44,3.43,3.36
20.40,4.75,1.41,4.72,1.38,-1.42,-2.11,-1.38,3.33,3.30,3.34
20.61,4.79,1.46,4.78,1.45,-1.57,-2.14,-1.43,3.21,3.20,3.33
20.81,4.84,1.53,4.84,1.52,-1.72,-2.16,-1.47,3.12,3.12,3.31
21.02,4.90,1.60,4.95,1.64,-1.85,-2.19,-1.51,3.05,3.10,3.30
21.23,5.12,1.83,5.11,1.82,-1.97,-2.21,-1.56,3.15,3.14,3.29
21.44,5.34,2.06,5.34,2.06,-2.08,-2.23,-1.60,3.26,3.26,3.28
21.66,5.56,2.29,5.58,2.31,-2.23,-2.26,-1.65,3.32,3.35,3.26
21.87,5.78,2.52,5.75,2.49,-2.36,-2.28,-1.70,3.42,3.39,3.26
22.09,5.88,2.63,5.84,2.59,-2.45,-2.30,-1.75,3.43,3.39,3.25
22.31,5.81,2.57,5.83,2.59,-2.50,-2.33,-1.80,3.31,3.33,3.24
22.54,5.74,2.51,5.75,2.52,-2.51,-2.35,-1.85,3.23,3.24,3.23
22.76,5.66,2.44,5.66,2.44,-2.47,-2.38,-1.91,3.19,3.19,3.22
22.99,5.59,2.37,5.60,2.38,-2.41,-2.40,-1.96,3.18,3.19,3.22
23.22,5.55,2.34,5.54,2.33,-2.34,-2.42,-2.02,3.21,3.20,3.21
23.45,5.50,2.29,5.49,2.27,-2.30,-2.45,-2.08,3.20,3.19,3.21
23.69,5.45,2.24,5.44,2.23,-2.29,-2.47,-2.14,3.16,3.15,3.21
23.92,5.41,2.20,5.44,2.23,-2.31,-2.50,-2.20,3.10,3.12,3.21
24.16,5.48,2.27,5.49,2.28,-2.37,-2.52,-2.26,3.12,3.13,3.21
24.40,5.62,2.41,5.61,2.40,-2.43,-2.54,-2.32,3.19,3.18,3.21
24.65,5.76,2.55,5.76,2.55,-2.50,-2.57,-2.39,3.25,3.26,3.21
24.89,5.90,2.69,5.88,2.67,-2.58,-2.59,-2.45,3.32,3.30,3.21
25.14,5.96,2.75,5.94,2.73,-2.65,-2.62,-2.52,3.31,3.30,3.21
25.39,5.95,2.74,5.96,2.75,-2.70,-2.64,-2.59,3.25,3.26,3.21
25.65,5.95,2.75,5.95,2.75,-2.74,-2.66,-2.65,3.21,3.21,3.20
25.91,5.94,2.74,5.95,2.74,-2.77,-2.69,-2.72,3.17,3.18,3.20
26.16,5.95,2.76,5.95,2.75,-2.78,-2.71,-2.78,3.17,3.17,3.19
26.43,5.96,2.77,5.95,2.77,-2.79,-2.73,-2.85,3.17,3.16,3.19
26.69,5.97,2.79,5.97,2.79,-2.82,-2.76,-2.92,3.15,3.16,3.18
26.96,5.99,2.82,6.00,2.82,-2.84,-2.78,-2.98,3.15,3.15,3.17
27.23,6.04,2.87,6.04,2.87,-2.87,-2.80,-3.05,3.16,3.16,3.17
27.50,6.09,2.93,6.09,2.93,-2.90,-2.83,-3.11,3.19,3.19,3.16
27.77,6.15,3.00,6.15,2.99,-2.94,-2.85,-3.17,3.21,3.21,3.15
28.05,6.19,3.05,6.18,3.03,-2.98,-2.87,-3.23,3.21,3.20,3.14
28.33,6.19,3.05,6.18,3.04,-3.05,-2.90,-3.29,3.14,3.14,3.14
28.62,6.19,3.05,6.18,3.04,-3.13,-2.92,-3.34,3.06,3.06,3.14
28.90,6.19,3.06,6.22,3.08,-3.21,-2.94,-3.40,2.98,3.01,3.13
29.19,6.31,3.17,6.33,3.19,-3.28,-2.96,-3.44,3.03,3.05,3.14
29.48,6.48,3.34,6.49,3.35,-3.34,-2.99,-3.49,3.14,3.16,3.14
29.78,6.66,3.52,6.64,3.50,-3.38,-3.01,-3.53,3.28,3.27,3.14
30.08,6.76,3.62,6.70,3.56,-3.39,-3.03,-3.57,3.36,3.31,3.14
30.38,6.64,3.50,6.65,3.51,-3.39,-3.05,-3.61,3.25,3.26,3.14
30.68,6.52,3.38,6.54,3.39,-3.37,-3.07,-3.64,3.15,3.17,3.14
30.99,6.40,3.26,6.42,3.28,-3.32,-3.10,-3.66,3.08,3.10,3.14
31.30,6.35,3.21,6.34,3.20,-3.27,-3.12,-3.68,3.08,3.07,3.14
31.61,6.31,3.17,6.30,3.15,-3.22,-3.14,-3.70,3.09,3.08,3.14
31.93,6.27,3.13,6.29,3.15,-3.21,-3.16,-3.71,3.06,3.08,3.14
32.24,6.32,3.19,6.32,3.18,-3.24,-3.18,-3.72,3.08,3.07,3.13
32.57,6.39,3.26,6.38,3.24,-3.32,-3.20,-3.73,3.07,3.06,3.13
32.89,6.47,3.34,6.48,3.35,-3.42,-3.22,-3.73,3.05,3.06,3.13
33.22,6.60,3.47,6.63,3.50,-3.51,-3.24,-3.73,3.09,3.12,3.13
33.55,6.77,3.64,6.79,3.66,-3.57,-3.27,-3.72,3.20,3.21,3.13
33.89,6.94,3.82,6.88,3.76,-3.60,-3.29,-3.71,3.34,3.29,3.12
34.23,6.91,3.79,6.88,3.76,-3.59,-3.31,-3.70,3.32,3.30,3.12
34.57,6.76,3.64,6.79,3.67,-3.55,-3.33,-3.69,3.21,3.24,3.12
34.92,6.62,3.50,6.63,3.51,-3.50,-3.35,-3.67,3.13,3.14,3.12
35.27,6.49,3.37,6.46,3.34,-3.44,-3.37,-3.65,3.05,3.02,3.12
35.62,6.35,3.23,6.34,3.22,-3.39,-3.39,-3.63,2.96,2.95,3.12
35.97,6.22,3.11,6.30,3.19,-3.35,-3.40,-3.61,2.87,2.95,3.11
36.33,6.37,3.26,6.38,3.27,-3.35,-3.42,-3.59,3.03,3.03,3.11
36.70,6.55,3.44,6.52,3.41,-3.37,-3.44,-3.57,3.18,3.15,3.11
37.06,6.69,3.58,6.65,3.54,-3.43,-3.46,-3.55,3.26,3.22,3.11
37.43,6.69,3.59,6.70,3.59,-3.51,-3.48,-3.53,3.18,3.18,3.10
37.81,6.69,3.59,6.71,3.61,-3.60,-3.50,-3.50,3.09,3.11,3.10
38.19,6.71,3.62,6.72,3.63,-3.66,-3.52,-3.48,3.05,3.06,3.09
38.57,6.76,3.68,6.76,3.67,-3.69,-3.53,-3.46,3.07,3.06,3.08
38.95,6.80,3.73,6.79,3.72,-3.68,-3.55,-3.45,3.12,3.11,3.07
39.34,6.80,3.73,6.82,3.75,-3.65,-3.57,-3.43,3.15,3.16,3.07
39.74,6.80,3.74,6.79,3.73,-3.63,-3.59,-3.41,3.17,3.16,3.06
40.14,6.74,3.69,6.68,3.63,-3.62,-3.60,-3.40,3.12,3.06,3.05
