frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.53,-0.44,-0.53,-0.44,0.45,-0.15,-0.52,-0.09,-0.08,-0.09
20.20,-0.49,-0.39,-0.49,-0.39,0.39,-0.18,-0.53,-0.10,-0.10,-0.10
20.40,-0.45,-0.33,-0.45,-0.34,0.34,-0.22,-0.54,-0.12,-0.12,-0.12
20.61,-0.41,-0.28,-0.41,-0.28,0.28,-0.25,-0.56,-0.13,-0.13,-0.13
20.81,-0.37,-0.22,-0.37,-0.23,0.22,-0.29,-0.58,-0.15,-0.15,-0.15
21.02,-0.33,-0.17,-0.33,-0.17,0.17,-0.32,-0.59,-0.16,-0.16,-0.16
21.23,-0.28,-0.11,-0.29,-0.11,0.11,-0.36,-0.61,-0.17,-0.17,-0.17
21.44,-0.24,-0.06,-0.24,-0.06,0.06,-0.39,-0.63,-0.18,-0.18,-0.18
21.66,-0.19,0.01,-0.19,-0.00,0.00,-0.42,-0.64,-0.19,-0.19,-0.20
21.87,-0.15,0.05,-0.15,0.05,-0.05,-0.45,-0.66,-0.20,-0.20,-0.20
22.09,-0.10,0.11,-0.10,0.11,-0.11,-0.49,-0.68,-0.21,-0.21,-0.21
22.31,-0.06,0.16,-0.06,0.16,-0.16,-0.52,-0.70,-0.22,-0.22,-0.22
22.54,-0.01,0.22,-0.01,0.21,-0.21,-0.55,-0.72,-0.23,-0.23,-0.23
22.76,0.03,0.27,0.03,0.27,-0.27,-0.58,-0.74,-0.24,-0.24,-0.24
22.99,0.08,0.32,0.07,0.32,-0.32,-0.61,-0.76,-0.24,-0.24,-0.24
23.22,0.12,0.37,0.12,0.37,-0.37,-0.65,-0.78,-0.25,-0.25,-0.25
23.45,0.17,0.42,0.17,0.42,-0.42,-0.68,-0.80,-0.25,-0.25,-0.25
23.69,0.22,0.47,0.21,0.46,-0.46,-0.71,-0.82,-0.25,-0.25,-0.25
23.92,0.26,0.51,0.26,0.51,-0.51,-0.74,-0.85,-0.25,-0.25,-0.25
24.16,0.30,0.55,0.30,0.55,-0.55,-0.77,-0.87,-0.25,-0.25,-0.25
24.40,0.34,0.59,0.34,0.59,-0.59,-0.80,-0.89,-0.25,-0.25,-0.25
24.65,0.38,0.63,0.38,0.63,-0.62,-0.83,-0.92,-0.24,-0.24,-0.25
24.89,0.41,0.66,0.41,0.66,-0.64,-0.86,-0.94,-0.24,-0.23,-0.25
25.14,0.44,0.69,0.43,0.68,-0.67,-0.89,-0.97,-0.23,-0.24,-0.25
25.39,0.45,0.70,0.45,0.70,-0.70,-0.92,-0.99,-0.25,-0.25,-0.25
25.65,0.46,0.72,0.46,0.72,-0.73,-0.95,-1.02,-0.27,-0.27,-0.26
25.91,0.48,0.74,0.48,0.74,-0.76,-0.98,-1.04,-0.29,-0.29,-0.26
26.16,0.51,0.78,0.51,0.78,-0.80,-1.01,-1.07,-0.29,-0.29,-0.27
26.43,0.57,0.84,0.56,0.84,-0.84,-1.03,-1.09,-0.28,-0.28,-0.27
26.69,0.62,0.90,0.62,0.89,-0.89,-1.06,-1.12,-0.27,-0.27,-0.28
26.96,0.67,0.96,0.66,0.95,-0.93,-1.09,-1.14,-0.27,-0.27,-0.29
27.23,0.70,0.99,0.70,0.99,-0.98,-1.12,-1.17,-0.28,-0.28,-0.29
27.50,0.73,1.03,0.73,1.03,-1.02,-1.15,-1.19,-0.30,-0.29,-0.30
27.77,0.76,1.07,0.76,1.07,-1.06,-1.18,-1.22,-0.31,-0.31,-0.31
28.05,0.79,1.11,0.78,1.10,-1.10,-1.21,-1.24,-0.31,-0.32,-0.32
28.33,0.81,1.13,0.81,1.13,-1.13,-1.24,-1.26,-0.33,-0.32,-0.32
28.62,0.84,1.16,0.84,1.16,-1.16,-1.27,-1.29,-0.33,-0.32,-0.32
28.90,0.87,1.20,0.87,1.19,-1.19,-1.29,-1.31,-0.32,-0.33,-0.33
29.19,0.90,1.22,0.90,1.22,-1.22,-1.32,-1.33,-0.32,-0.32,-0.32
29.48,0.93,1.25,0.93,1.25,-1.25,-1.35,-1.35,-0.32,-0.32,-0.32
29.78,0.96,1.28,0.96,1.28,-1.28,-1.38,-1.37,-0.32,-0.32,-0.32
30.08,0.99,1.31,0.99,1.31,-1.31,-1.41,-1.38,-0.32,-0.32,-0.32
30.38,1.02,1.34,1.02,1.34,-1.34,-1.44,-1.40,-0.32,-0.32,-0.32
30.68,1.05,1.37,1.05,1.37,-1.37,-1.47,-1.42,-0.32,-0.32,-0.32
30.99,1.08,1.40,1.08,1.40,-1.40,-1.50,-1.43,-0.32,-0.32,-0.32
31.30,1.11,1.43,1.11,1.43,-1.43,-1.52,-1.44,-0.32,-0.32,-0.32
31.61,1.14,1.46,1.14,1.46,-1.45,-1.55,-1.45,-0.32,-0.32,-0.32
31.93,1.17,1.49,1.16,1.49,-1.48,-1.58,-1.47,-0.31,-0.32,-0.32
32.24,1.19,1.52,1.18,1.51,-1.50,-1.61,-1.48,-0.31,-0.32,-0.33
32.57,1.20,1.53,1.20,1.53,-1.52,-1.64,-1.48,-0.33,-0.32,-0.33
32.89,1.22,1.55,1.21,1.54,-1.55,-1.67,-1.49,-0.33,-0.33,-0.33
33.22,1.23,1.56,1.23,1.56,-1.57,-1.69,-1.50,-0.34,-0.34,-0.33
33.55,1.25,1.58,1.25,1.58,-1.59,-1.72,-1.50,-0.34,-0.35,-0.33
33.89,1.27,1.61,1.27,1.61,-1.62,-1.75,-1.51,-0.35,-0.35,-0.34
34.23,1.30,1.64,1.30,1.64,-1.64,-1.78,-1.51,-0.34,-0.34,-0.34
34.57,1.34,1.68,1.33,1.67,-1.67,-1.80,-1.52,-0.33,-0.33,-0.34
34.92,1.37,1.71,1.36,1.70,-1.69,-1.83,-1.52,-0.33,-0.33,-0.34
35.27,1.39,1.73,1.39,1.73,-1.72,-1.86,-1.52,-0.33,-0.33,-0.34
35.62,1.41,1.75,1.41,1.75,-1.75,-1.88,-1.52,-0.34,-0.34,-0.34
35.97,1.43,1.78,1.43,1.77,-1.78,-1.91,-1.53,-0.35,-0.35,-0.35
36.33,1.45,1.80,1.45,1.79,-1.80,-1.93,-1.53,-0.36,-0.36,-0.35
36.70,1.47,1.82,1.47,1.82,-1.83,-1.95,-1.53,-0.36,-0.36,-0.35
37.06,1.50,1.85,1.50,1.85,-1.86,-1.98,-1.54,-0.36,-0.36,-0.35
37.43,1.53,1.89,1.53,1.89,-1.88,-2.00,-1.54,-0.35,-0.35,-0.36
37.81,1.57,1.93,1.56,1.92,-1.91,-2.02,-1.54,-0.34,-0.35,-0.36
