frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.85,-4.85,-3.85,-4.85,4.84,3.91,1.09,0.99,0.99,1.00
20.20,-3.77,-4.78,-3.77,-4.78,4.77,3.89,1.12,1.00,1.00,1.01
20.40,-3.69,-4.71,-3.69,-4.70,4.70,3.87,1.15,1.01,1.01,1.02
20.61,-3.61,-4.63,-3.61,-4.63,4.63,3.84,1.19,1.02,1.02,1.02
20.81,-3.52,-4.55,-3.52,-4.55,4.56,3.82,1.23,1.04,1.04,1.03
21.02,-3.44,-4.47,-3.45,-4.48,4.49,3.79,1.26,1.05,1.04,1.03
21.23,-3.38,-4.42,-3.38,-4.41,4.42,3.76,1.30,1.04,1.04,1.04
21.44,-3.32,-4.36,-3.32,-4.36,4.36,3.74,1.34,1.04,1.04,1.04
21.66,-3.26,-4.30,-3.26,-4.30,4.30,3.71,1.38,1.03,1.03,1.04
21.87,-3.20,-4.24,-3.20,-4.24,4.23,3.68,1.43,1.03,1.04,1.04
22.09,-3.13,-4.18,-3.13,-4.18,4.17,3.65,1.47,1.04,1.04,1.05
22.31,-3.07,-4.12,-3.07,-4.11,4.11,3.63,1.51,1.04,1.04,1.05
22.54,-3.01,-4.05,-3.01,-4.05,4.05,3.60,1.56,1.03,1.04,1.04
22.76,-2.95,-3.98,-2.95,-3.98,3.98,3.57,1.61,1.03,1.03,1.03
22.99,-2.88,-3.91,-2.88,-3.91,3.92,3.54,1.65,1.04,1.03,1.03
23.22,-2.82,-3.85,-2.82,-3.84,3.85,3.51,1.70,1.03,1.03,1.03
23.45,-2.76,-3.78,-2.76,-3.78,3.78,3.48,1.75,1.02,1.02,1.02
23.69,-2.70,-3.72,-2.70,-3.72,3.71,3.44,1.80,1.01,1.01,1.02
23.92,-2.64,-3.66,-2.64,-3.65,3.64,3.41,1.85,1.00,1.01,1.02
24.16,-2.57,-3.59,-2.57,-3.59,3.57,3.38,1.91,1.00,1.01,1.02
24.40,-2.49,-3.51,-2.49,-3.51,3.51,3.34,1.96,1.02,1.01,1.02
24.65,-2.42,-3.44,-2.42,-3.43,3.44,3.31,2.01,1.02,1.03,1.02
24.89,-2.34,-3.36,-2.35,-3.36,3.38,3.28,2.07,1.04,1.03,1.02
25.14,-2.29,-3.31,-2.29,-3.31,3.32,3.24,2.12,1.03,1.03,1.02
25.39,-2.25,-3.26,-2.25,-3.26,3.27,3.20,2.18,1.01,1.02,1.01
25.65,-2.21,-3.22,-2.21,-3.21,3.21,3.17,2.23,1.00,1.01,1.01
25.91,-2.16,-3.17,-2.16,-3.17,3.16,3.13,2.29,1.00,1.00,1.01
26.16,-2.11,-3.12,-2.11,-3.12,3.11,3.09,2.34,1.00,1.00,1.01
26.43,-2.06,-3.07,-2.06,-3.07,3.06,3.05,2.40,1.00,1.00,1.01
26.69,-2.00,-3.01,-2.01,-3.01,3.00,3.01,2.45,1.00,1.00,1.01
26.96,-1.95,-2.96,-1.95,-2.95,2.94,2.97,2.50,0.99,1.00,1.01
27.23,-1.88,-2.89,-1.88,-2.89,2.88,2.93,2.55,1.00,1.00,1.01
27.50,-1.81,-2.82,-1.81,-2.82,2.83,2.89,2.60,1.01,1.01,1.01
27.77,-1.75,-2.76,-1.75,-2.75,2.77,2.85,2.64,1.02,1.02,1.01
28.05,-1.68,-2.69,-1.69,-2.70,2.71,2.80,2.69,1.03,1.02,1.01
28.33,-1.64,-2.65,-1.64,-2.65,2.66,2.76,2.73,1.02,1.02,1.01
28.62,-1.60,-2.61,-1.60,-2.61,2.61,2.71,2.76,1.00,1.01,1.01
28.90,-1.55,-2.57,-1.55,-2.56,2.56,2.67,2.80,1.00,1.00,1.02
29.19,-1.50,-2.52,-1.50,-2.52,2.50,2.62,2.83,1.00,1.00,1.02
29.48,-1.44,-2.46,-1.44,-2.46,2.45,2.57,2.85,1.01,1.01,1.02
29.78,-1.38,-2.41,-1.38,-2.41,2.40,2.52,2.88,1.01,1.01,1.03
30.08,-1.32,-2.35,-1.32,-2.35,2.34,2.48,2.89,1.02,1.02,1.03
30.38,-1.26,-2.29,-1.26,-2.29,2.30,2.43,2.91,1.04,1.04,1.03
30.68,-1.20,-2.23,-1.20,-2.23,2.25,2.38,2.91,1.05,1.05,1.03
30.99,-1.14,-2.17,-1.16,-2.18,2.21,2.33,2.92,1.07,1.06,1.03
31.30,-1.13,-2.16,-1.13,-2.16,2.17,2.28,2.91,1.04,1.04,1.03
31.61,-1.12,-2.15,-1.12,-2.15,2.14,2.22,2.91,1.01,1.02,1.03
31.93,-1.11,-2.14,-1.10,-2.12,2.10,2.17,2.89,0.98,0.99,1.03
32.24,-1.06,-2.08,-1.06,-2.08,2.05,2.12,2.88,0.99,0.99,1.02
32.57,-1.00,-2.02,-1.00,-2.02,2.01,2.07,2.85,1.00,1.00,1.02
32.89,-0.93,-1.95,-0.94,-1.95,1.95,2.02,2.83,1.02,1.01,1.02
33.22,-0.87,-1.88,-0.88,-1.89,1.89,1.97,2.80,1.01,1.01,1.01
33.55,-0.82,-1.83,-0.82,-1.82,1.82,1.92,2.76,1.00,1.00,1.01
33.89,-0.76,-1.76,-0.76,-1.76,1.75,1.87,2.72,0.99,0.99,1.00
34.23,-0.69,-1.69,-0.69,-1.69,1.69,1.83,2.68,1.00,1.01,1.00
34.57,-0.62,-1.62,-0.62,-1.61,1.64,1.78,2.63,1.02,1.02,1.00
34.92,-0.55,-1.55,-0.57,-1.56,1.59,1.73,2.58,1.04,1.03,1.00
35.27,-0.53,-1.53,-0.54,-1.54,1.55,1.69,2.53,1.02,1.01,1.00
35.62,-0.53,-1.53,-0.53,-1.53,1.51,1.64,2.47,0.98,0.98,1.00
35.97,-0.53,-1.53,-0.51,-1.50,1.47,1.60,2.41,0.94,0.96,1.00
36.33,-0.46,-1.46,-0.46,-1.46,1.44,1.55,2.35,0.98,0.98,1.00
36.70,-0.39,-1.39,-0.40,-1.39,1.40,1.51,2.29,1.01,1.01,1.00
37.06,-0.33,-1.33,-0.34,-1.34,1.37,1.47,2.23,1.04,1.03,1.00
37.43,-0.31,-1.31,-0.31,-1.32,1.33,1.42,2.17,1.02,1.02,1.00
37.81,-0.30,-1.31,-0.29,-1.29,1.29,1.38,2.10,0.98,1.00,1.01
38.19,-0.26,-1.27,-0.26,-1.26,1.24,1.34,2.04,0.98,0.98,1.01
38.57,-0.20,-1.21,-0.20,-1.22,1.19,1.29,1.97,0.99,0.99,1.01
38.95,-0.14,-1.16,-0.14,-1.16,1.15,1.25,1.91,1.01,1.01,1.02
39.34,-0.08,-1.10,-0.08,-1.10,1.11,1.21,1.84,1.03,1.03,1.02
39.74,-0.03,-1.05,-0.03,-1.05,1.07,1.17,1.78,1.04,1.03,1.02
40.14,0.01,-1.01,0.01,-1.01,1.02,1.12,1.72,1.03,1.03,1.02
40.54,0.04,-0.98,0.04,-0.98,0.98,1.08,1.65,1.01,1.02,1.02
40.94,0.07,-0.95,0.07,-0.94,0.93,1.03,1.59,1.00,1.01,1.02
41.35,0.11,-0.91,0.11,-0.91,0.89,0.99,1.52,1.00,1.00,1.02
41.76,0.15,-0.86,0.15,-0.86,0.86,0.94,1.46,1.01,1.01,1.01
