frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.17,-4.90,-9.16,-4.89,5.00,4.71,0.92,-4.17,-4.16,-4.27
20.20,-9.13,-4.87,-9.14,-4.87,4.91,4.64,0.95,-4.22,-4.23,-4.26
20.40,-9.09,-4.84,-9.11,-4.85,4.82,4.57,0.99,-4.27,-4.28,-4.25
20.61,-9.05,-4.80,-9.06,-4.81,4.74,4.50,1.02,-4.31,-4.32,-4.25
20.81,-9.00,-4.76,-9.01,-4.76,4.66,4.43,1.06,-4.34,-4.35,-4.24
21.02,-8.95,-4.71,-8.92,-4.68,4.57,4.36,1.09,-4.38,-4.35,-4.24
21.23,-8.80,-4.57,-8.81,-4.57,4.49,4.29,1.13,-4.31,-4.31,-4.23
21.44,-8.65,-4.41,-8.65,-4.42,4.41,4.21,1.17,-4.24,-4.24,-4.23
21.66,-8.50,-4.27,-8.49,-4.26,4.31,4.13,1.21,-4.20,-4.18,-4.23
21.87,-8.35,-4.12,-8.36,-4.13,4.22,4.06,1.25,-4.13,-4.15,-4.23
22.09,-8.26,-4.04,-8.28,-4.05,4.13,3.98,1.29,-4.13,-4.15,-4.22
22.31,-8.25,-4.03,-8.24,-4.01,4.06,3.90,1.34,-4.19,-4.18,-4.22
22.54,-8.24,-4.01,-8.25,-4.01,4.00,3.82,1.38,-4.24,-4.24,-4.23
22.76,-8.24,-4.00,-8.24,-4.00,3.95,3.74,1.43,-4.29,-4.29,-4.24
22.99,-8.23,-3.99,-8.20,-3.96,3.90,3.66,1.47,-4.33,-4.31,-4.24
23.22,-8.13,-3.89,-8.14,-3.89,3.84,3.59,1.52,-4.29,-4.29,-4.24
23.45,-8.03,-3.78,-8.04,-3.79,3.77,3.51,1.57,-4.26,-4.26,-4.25
23.69,-7.93,-3.68,-7.93,-3.68,3.69,3.43,1.62,-4.24,-4.24,-4.25
23.92,-7.83,-3.58,-7.83,-3.58,3.60,3.35,1.67,-4.23,-4.23,-4.25
24.16,-7.74,-3.49,-7.74,-3.49,3.50,3.27,1.72,-4.24,-4.24,-4.25
24.40,-7.65,-3.40,-7.65,-3.39,3.40,3.20,1.77,-4.25,-4.25,-4.25
24.65,-7.56,-3.31,-7.56,-3.31,3.31,3.12,1.82,-4.25,-4.25,-4.25
24.89,-7.47,-3.22,-7.47,-3.22,3.22,3.04,1.87,-4.25,-4.25,-4.25
25.14,-7.39,-3.14,-7.39,-3.13,3.13,2.97,1.93,-4.26,-4.26,-4.25
25.39,-7.31,-3.05,-7.31,-3.05,3.05,2.89,1.98,-4.26,-4.26,-4.26
25.65,-7.24,-2.98,-7.24,-2.97,2.97,2.82,2.03,-4.27,-4.27,-4.26
25.91,-7.16,-2.90,-7.16,-2.90,2.89,2.74,2.08,-4.27,-4.27,-4.26
26.16,-7.08,-2.82,-7.08,-2.82,2.81,2.67,2.13,-4.27,-4.27,-4.26
26.43,-7.00,-2.74,-7.00,-2.73,2.74,2.60,2.18,-4.26,-4.26,-4.26
26.69,-6.92,-2.66,-6.92,-2.66,2.67,2.52,2.23,-4.25,-4.25,-4.26
26.96,-6.84,-2.58,-6.85,-2.59,2.60,2.45,2.28,-4.24,-4.25,-4.26
27.23,-6.79,-2.53,-6.79,-2.53,2.54,2.38,2.33,-4.25,-4.25,-4.26
27.50,-6.74,-2.48,-6.74,-2.48,2.47,2.31,2.37,-4.27,-4.27,-4.26
27.77,-6.69,-2.43,-6.69,-2.43,2.41,2.24,2.41,-4.28,-4.28,-4.26
28.05,-6.64,-2.38,-6.63,-2.37,2.35,2.17,2.45,-4.29,-4.28,-4.26
28.33,-6.56,-2.30,-6.56,-2.30,2.29,2.11,2.48,-4.27,-4.27,-4.26
28.62,-6.49,-2.23,-6.49,-2.23,2.24,2.04,2.52,-4.25,-4.25,-4.26
28.90,-6.41,-2.16,-6.42,-2.16,2.18,1.97,2.54,-4.23,-4.24,-4.25
29.19,-6.36,-2.11,-6.36,-2.11,2.12,1.91,2.57,-4.24,-4.24,-4.25
29.48,-6.31,-2.06,-6.31,-2.06,2.06,1.84,2.58,-4.25,-4.25,-4.25
29.78,-6.26,-2.02,-6.26,-2.02,2.00,1.78,2.60,-4.26,-4.27,-4.24
30.08,-6.21,-1.97,-6.20,-1.96,1.93,1.71,2.61,-4.28,-4.27,-4.24
30.38,-6.12,-1.88,-6.12,-1.88,1.86,1.65,2.61,-4.26,-4.26,-4.24
30.68,-6.03,-1.79,-6.04,-1.79,1.79,1.59,2.61,-4.24,-4.24,-4.24
30.99,-5.94,-1.70,-5.95,-1.70,1.72,1.52,2.60,-4.22,-4.23,-4.24
31.30,-5.87,-1.63,-5.87,-1.63,1.64,1.46,2.58,-4.23,-4.23,-4.24
31.61,-5.79,-1.55,-5.79,-1.55,1.55,1.40,2.56,-4.24,-4.24,-4.24
31.93,-5.72,-1.48,-5.72,-1.47,1.46,1.34,2.54,-4.26,-4.26,-4.24
32.24,-5.64,-1.39,-5.64,-1.39,1.37,1.27,2.50,-4.27,-4.27,-4.25
32.57,-5.56,-1.31,-5.56,-1.30,1.28,1.21,2.47,-4.28,-4.28,-4.25
32.89,-5.47,-1.22,-5.47,-1.21,1.20,1.15,2.42,-4.27,-4.27,-4.25
33.22,-5.38,-1.12,-5.38,-1.11,1.12,1.09,2.38,-4.26,-4.25,-4.26
33.55,-5.29,-1.03,-5.28,-1.02,1.05,1.03,2.32,-4.24,-4.23,-4.26
33.89,-5.19,-0.92,-5.21,-0.94,0.98,0.97,2.26,-4.21,-4.23,-4.27
34.23,-5.16,-0.89,-5.17,-0.90,0.92,0.91,2.20,-4.24,-4.25,-4.27
34.57,-5.15,-0.88,-5.15,-0.87,0.87,0.85,2.13,-4.29,-4.28,-4.27
34.92,-5.14,-0.87,-5.13,-0.85,0.81,0.78,2.06,-4.33,-4.31,-4.27
35.27,-5.08,-0.81,-5.07,-0.80,0.76,0.72,1.99,-4.32,-4.31,-4.27
35.62,-4.99,-0.72,-5.00,-0.72,0.71,0.66,1.91,-4.28,-4.29,-4.27
35.97,-4.91,-0.64,-4.92,-0.65,0.66,0.60,1.83,-4.25,-4.26,-4.27
36.33,-4.86,-0.59,-4.86,-0.59,0.60,0.54,1.74,-4.26,-4.26,-4.27
36.70,-4.81,-0.54,-4.80,-0.53,0.54,0.47,1.65,-4.27,-4.27,-4.27
37.06,-4.75,-0.48,-4.75,-0.47,0.47,0.41,1.57,-4.28,-4.28,-4.27
37.43,-4.68,-0.41,-4.68,-0.41,0.41,0.35,1.47,-4.27,-4.28,-4.27
37.81,-4.61,-0.35,-4.61,-0.34,0.34,0.29,1.38,-4.27,-4.27,-4.26
38.19,-4.54,-0.28,-4.54,-0.28,0.28,0.22,1.29,-4.26,-4.26,-4.26
38.57,-4.47,-0.21,-4.47,-0.21,0.22,0.16,1.19,-4.25,-4.26,-4.26
38.95,-4.41,-0.16,-4.41,-0.15,0.15,0.09,1.10,-4.26,-4.26,-4.25
39.34,-4.34,-0.09,-4.35,-0.09,0.08,0.03,1.00,-4.26,-4.27,-4.25
39.74,-4.28,-0.03,-4.28,-0.03,0.00,-0.04,0.90,-4.28,-4.27,-4.25
40.14,-4.21,0.04,-4.20,0.05,-0.06,-0.11,0.80,-4.27,-4.26,-4.25
40.54,-4.12,0.13,-4.12,0.13,-0.12,-0.17,0.70,-4.24,-4.24,-4.25
40.94,-4.03,0.22,-4.05,0.21,-0.18,-0.24,0.60,-4.21,-4.22,-4.25
41.35,-3.99,0.26,-3.99,0.27,-0.23,-0.31,0.50,-4.22,-4.22,-4.25
41.76,-3.96,0.30,-3.96,0.30,-0.28,-0.38,0.40,-4.25,-4.24,-4.26
42.18,-3.94,0.32,-3.94,0.32,-0.34,-0.44,0.30,-4.28,-4.28,-4.26
42.60,-3.91,0.35,-3.92,0.35,-0.39,-0.51,0.20,-4.30,-4.30,-4.26
43.03,-3.89,0.37,-3.87,0.40,-0.43,-0.58,0.09,-4.32,-4.30,-4.26
43.46,-3.80,0.46,-3.80,0.47,-0.47,-0.65,-0.01,-4.27,-4.27,-4.26
43.90,-3.71,0.56,-3.73,0.54,-0.51,-0.71,-0.11,-4.23,-4.25,-4.27
44.33,-3.67,0.60,-3.67,0.60,-0.57,-0.78,-0.21,-4.24,-4.24,-4.27
44.78,-3.64,0.63,-3.64,0.64,-0.63,-0.84,-0.32,-4.27,-4.27,-4.27
45.23,-3.61,0.66,-3.62,0.66,-0.69,-0.91,-0.42,-4.30,-4.31,-4.27
45.68,-3.58,0.69,-3.57,0.70,-0.75,-0.97,-0.52,-4.33,-4.32,-4.27
46.13,-3.52,0.74,-3.49,0.78,-0.80,-1.03,-0.63,-4.31,-4.28,-4.26
46.60,-3.39,0.87,-3.39,0.87,-0.84,-1.09,-0.73,-4.23,-4.23,-4.26
47.06,-3.27,0.98,-3.32,0.94,-0.88,-1.14,-0.83,-4.15,-4.19,-4.25
47.53,-3.28,0.96,-3.28,0.97,-0.92,-1.19,-0.94,-4.20,-4.19,-4.24
48.01,-3.29,0.94,-3.28,0.95,-0.96,-1.24,-1.04,-4.25,-4.24,-4.23
48.49,-3.28,0.94,-3.28,0.94,-0.99,-1.29,-1.14,-4.28,-4.28,-4.22
48.97,-3.26,0.95,-3.23,0.99,-1.03,-1.34,-1.24,-4.29,-4.25,-4.21
49.46,-3.15,1.05,-3.15,1.06,-1.06,-1.38,-1.35,-4.21,-4.20,-4.20
49.96,-3.03,1.15,-3.08,1.10,-1.09,-1.41,-1.45,-4.12,-4.18,-4.18
50.46,-3.03,1.14,-3.04,1.13,-1.13,-1.45,-1.55,-4.16,-4.16,-4.17
50.96,-3.04,1.11,-2.98,1.17,-1.17,-1.48,-1.65,-4.21,-4.15,-4.15
51.47,-2.93,1.21,-2.92,1.22,-1.22,-1.50,-1.75,-4.15,-4.14,-4.14
51.99,-2.80,1.33,-2.86,1.27,-1.27,-1.53,-1.85,-4.07,-4.13,-4.13
52.51,-2.81,1.31,-2.81,1.31,-1.31,-1.55,-1.95,-4.12,-4.12,-4.12
53.03,-2.82,1.29,-2.77,1.34,-1.35,-1.57,-2.04,-4.17,-4.13,-4.11
53.56,-2.72,1.38,-2.72,1.38,-1.39,-1.58,-2.13,-4.11,-4.11,-4.10
54.10,-2.63,1.45,-2.64,1.45,-1.42,-1.60,-2.22,-4.06,-4.06,-4.08
54.64,-2.56,1.51,-2.57,1.50,-1.46,-1.61,-2.31,-4.02,-4.03,-4.07
55.18,-2.53,1.53,-2.56,1.51,-1.50,-1.62,-2.40,-4.03,-4.05,-4.06
55.74,-2.57,1.49,-2.54,1.52,-1.54,-1.63,-2.48,-4.11,-4.08,-4.06
56.29,-2.53,1.52,-2.51,1.55,-1.58,-1.64,-2.56,-4.11,-4.09,-4.05
56.86,-2.43,1.61,-2.45,1.59,-1.63,-1.65,-2.63,-4.06,-4.09,-4.04
57.42,-2.37,1.67,-2.38,1.67,-1.68,-1.66,-2.70,-4.05,-4.06,-4.04
58.00,-2.32,1.72,-2.30,1.74,-1.72,-1.67,-2.76,-4.04,-4.03,-4.04
58.58,-2.24,1.80,-2.24,1.80,-1.76,-1.69,-2.82,-4.00,-4.01,-4.04
59.16,-2.18,1.86,-2.19,1.86,-1.81,-1.70,-2.88,-3.99,-4.00,-4.04
59.76,-2.15,1.89,-2.16,1.89,-1.86,-1.72,-2.93,-4.02,-4.02,-4.04
60.35,-2.14,1.91,-2.15,1.91,-1.92,-1.74,-2.97,-4.06,-4.06,-4.05
60.96,-2.15,1.91,-2.14,1.92,-1.97,-1.76,-3.00,-4.12,-4.11,-4.06
61.57,-2.12,1.95,-2.11,1.96,-2.02,-1.78,-3.03,-4.14,-4.13,-4.07
62.18,-2.07,2.02,-2.05,2.05,-2.06,-1.81,-3.06,-4.14,-4.11,-4.09
62.80,-1.95,2.16,-1.96,2.15,-2.12,-1.84,-3.07,-4.07,-4.08,-4.11
63.43,-1.89,2.25,-1.91,2.23,-2.18,-1.87,-3.08,-4.07,-4.09,-4.14
64.07,-1.87,2.29,-1.91,2.26,-2.24,-1.91,-3.09,-4.11,-4.15,-4.16
64.71,-1.96,2.23,-1.91,2.29,-2.31,-1.95,-3.09,-4.27,-4.21,-4.19
65.35,-1.92,2.29,-1.88,2.34,-2.36,-2.00,-3.08,-4.28,-4.24,-4.21
66.01,-1.77,2.46,-1.83,2.40,-2.41,-2.05,-3.06,-4.19,-4.25,-4.23
66.67,-1.77,2.48,-1.77,2.48,-2.46,-2.11,-3.04,-4.23,-4.23,-4.25
67.33,-1.76,2.50,-1.75,2.52,-2.50,-2.16,-3.02,-4.26,-4.24,-4.26
68.01,-1.74,2.54,-1.75,2.53,-2.53,-2.23,-2.99,-4.28,-4.29,-4.28
68.69,-1.74,2.55,-1.73,2.56,-2.57,-2.30,-2.95,-4.31,-4.30,-4.29
69.37,-1.71,2.59,-1.71,2.60,-2.60,-2.37,-2.92,-4.31,-4.31,-4.30
70.07,-1.67,2.64,-1.69,2.63,-2.63,-2.44,-2.87,-4.30,-4.31,-4.31
70.77,-1.67,2.65,-1.67,2.66,-2.65,-2.52,-2.83,-4.32,-4.31,-4.32
71.48,-1.66,2.66,-1.65,2.67,-2.67,-2.60,-2.78,-4.33,-4.32,-4.32
72.19,-1.64,2.69,-1.65,2.68,-2.70,-2.68,-2.73,-4.34,-4.35,-4.33
72.91,-1.64,2.70,-1.64,2.70,-2.73,-2.76,-2.68,-4.37,-4.37,-4.34
73.64,-1.64,2.71,-1.63,2.72,-2.74,-2.84,-2.62,-4.38,-4.37,-4.35
74.38,-1.61,2.75,-1.60,2.76,-2.75,-2.92,-2.57,-4.36,-4.35,-4.36
75.12,-1.57,2.80,-1.58,2.80,-2.76,-2.99,-2.51,-4.33,-4.34,-4.37
75.87,-1.55,2.84,-1.58,2.81,-2.77,-3.05,-2.45,-4.32,-4.35,-4.39
76.63,-1.62,2.78,-1.61,2.79,-2.77,-3.11,-2.39,-4.40,-4.39,-4.40
77.40,-1.67,2.75,-1.66,2.76,-2.78,-3.15,-2.33,-4.45,-4.44,-4.42
78.17,-1.70,2.73,-1.70,2.74,-2.79,-3.18,-2.27,-4.49,-4.49,-4.43
78.95,-1.70,2.75,-1.70,2.76,-2.80,-3.20,-2.21,-4.50,-4.50,-4.45
79.74,-1.68,2.78,-1.67,2.80,-2.81,-3.21,-2.15,-4.49,-4.48,-4.46
80.54,-1.63,2.85,-1.64,2.84,-2.82,-3.20,-2.10,-4.45,-4.46,-4.48
81.35,-1.61,2.88,-1.63,2.86,-2.83,-3.18,-2.04,-4.44,-4.46,-4.49
82.16,-1.65,2.85,-1.64,2.87,-2.84,-3.15,-1.98,-4.49,-4.48,-4.50
82.98,-1.67,2.84,-1.66,2.85,-2.84,-3.10,-1.92,-4.52,-4.51,-4.51
83.81,-1.68,2.84,-1.68,2.84,-2.84,-3.05,-1.87,-4.52,-4.52,-4.52
84.65,-1.68,2.84,-1.68,2.84,-2.84,-2.99,-1.82,-4.52,-4.52,-4.52
85.50,-1.69,2.84,-1.71,2.83,-2.83,-2.92,-1.76,-4.52,-4.54,-4.53
86.35,-1.73,2.81,-1.73,2.81,-2.83,-2.85,-1.71,-4.56,-4.56,-4.54
87.22,-1.77,2.78,-1.75,2.81,-2.83,-2.78,-1.66,-4.60,-4.58,-4.55
88.09,-1.75,2.81,-1.74,2.82,-2.84,-2.70,-1.61,-4.59,-4.58,-4.56
88.97,-1.70,2.86,-1.72,2.85,-2.86,-2.63,-1.56,-4.56,-4.57,-4.56
89.86,-1.69,2.88,-1.69,2.89,-2.88,-2.55,-1.51,-4.57,-4.57,-4.57
90.76,-1.67,2.91,-1.67,2.91,-2.90,-2.48,-1.47,-4.58,-4.58,-4.58
91.66,-1.66,2.92,-1.66,2.92,-2.93,-2.41,-1.42,-4.59,-4.60,-4.58
92.58,-1.66,2.92,-1.64,2.95,-2.96,-2.35,-1.38,-4.62,-4.60,-4.58
93.51,-1.62,2.97,-1.62,2.97,-2.97,-2.28,-1.34,-4.59,-4.59,-4.59
94.44,-1.60,2.99,-1.61,2.98,-2.97,-2.22,-1.29,-4.57,-4.58,-4.59
