frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.18,-1.51,0.17,-1.52,1.45,1.31,-0.41,1.63,1.62,1.69
20.20,0.28,-1.42,0.28,-1.41,1.39,1.26,-0.42,1.67,1.67,1.70
20.40,0.38,-1.33,0.39,-1.32,1.33,1.21,-0.43,1.71,1.72,1.71
20.61,0.48,-1.23,0.48,-1.23,1.27,1.16,-0.44,1.74,1.75,1.71
20.81,0.58,-1.14,0.58,-1.14,1.21,1.10,-0.45,1.79,1.79,1.72
21.02,0.67,-1.05,0.64,-1.08,1.15,1.03,-0.46,1.82,1.80,1.72
21.23,0.68,-1.05,0.68,-1.05,1.10,0.96,-0.47,1.78,1.78,1.73
21.44,0.69,-1.04,0.69,-1.04,1.05,0.89,-0.48,1.73,1.74,1.73
21.66,0.70,-1.03,0.69,-1.04,1.01,0.82,-0.49,1.71,1.70,1.73
21.87,0.71,-1.02,0.71,-1.02,0.97,0.75,-0.50,1.68,1.69,1.73
22.09,0.75,-0.99,0.76,-0.98,0.93,0.68,-0.52,1.68,1.69,1.74
22.31,0.83,-0.91,0.83,-0.91,0.88,0.61,-0.53,1.71,1.71,1.74
22.54,0.92,-0.81,0.91,-0.82,0.83,0.54,-0.54,1.74,1.74,1.73
22.76,1.00,-0.72,1.00,-0.73,0.77,0.47,-0.55,1.76,1.76,1.72
22.99,1.08,-0.64,1.07,-0.65,0.70,0.41,-0.56,1.78,1.77,1.72
23.22,1.13,-0.59,1.13,-0.59,0.63,0.34,-0.58,1.75,1.76,1.72
23.45,1.18,-0.53,1.17,-0.54,0.54,0.28,-0.59,1.72,1.71,1.71
23.69,1.23,-0.48,1.22,-0.49,0.45,0.21,-0.60,1.67,1.66,1.71
23.92,1.27,-0.44,1.29,-0.41,0.34,0.15,-0.62,1.61,1.64,1.71
24.16,1.40,-0.31,1.41,-0.30,0.23,0.09,-0.63,1.63,1.64,1.71
24.40,1.57,-0.14,1.56,-0.15,0.12,0.03,-0.64,1.69,1.68,1.71
24.65,1.73,0.02,1.74,0.03,0.01,-0.02,-0.66,1.74,1.75,1.71
24.89,1.90,0.19,1.88,0.17,-0.09,-0.08,-0.67,1.80,1.78,1.71
25.14,1.99,0.28,1.97,0.26,-0.19,-0.13,-0.69,1.79,1.78,1.71
25.39,2.01,0.31,2.02,0.32,-0.28,-0.18,-0.70,1.73,1.74,1.70
25.65,2.04,0.34,2.04,0.34,-0.34,-0.23,-0.72,1.69,1.70,1.70
25.91,2.07,0.37,2.07,0.37,-0.40,-0.28,-0.74,1.67,1.67,1.70
26.16,2.11,0.41,2.11,0.41,-0.44,-0.33,-0.75,1.67,1.67,1.70
26.43,2.16,0.46,2.15,0.45,-0.48,-0.37,-0.77,1.67,1.67,1.70
26.69,2.21,0.51,2.20,0.51,-0.53,-0.42,-0.79,1.68,1.68,1.70
26.96,2.26,0.56,2.26,0.56,-0.58,-0.46,-0.81,1.68,1.68,1.70
27.23,2.33,0.63,2.33,0.63,-0.63,-0.51,-0.82,1.69,1.69,1.70
27.50,2.40,0.70,2.40,0.70,-0.69,-0.55,-0.84,1.71,1.72,1.70
27.77,2.47,0.77,2.47,0.77,-0.73,-0.59,-0.86,1.74,1.74,1.70
28.05,2.53,0.83,2.51,0.81,-0.77,-0.63,-0.88,1.76,1.74,1.70
28.33,2.53,0.83,2.53,0.83,-0.81,-0.67,-0.90,1.72,1.72,1.70
28.62,2.54,0.84,2.53,0.83,-0.84,-0.71,-0.92,1.69,1.69,1.70
28.90,2.54,0.83,2.55,0.84,-0.88,-0.75,-0.94,1.66,1.67,1.71
29.19,2.58,0.87,2.59,0.88,-0.91,-0.79,-0.96,1.67,1.68,1.71
29.48,2.65,0.94,2.64,0.93,-0.94,-0.83,-0.98,1.71,1.70,1.71
29.78,2.72,1.00,2.71,0.99,-0.98,-0.87,-1.00,1.73,1.73,1.72
30.08,2.78,1.06,2.77,1.06,-1.04,-0.91,-1.02,1.74,1.74,1.72
30.38,2.83,1.11,2.83,1.11,-1.11,-0.95,-1.04,1.72,1.72,1.72
30.68,2.89,1.17,2.88,1.16,-1.19,-0.99,-1.06,1.70,1.70,1.72
30.99,2.94,1.22,2.95,1.23,-1.26,-1.02,-1.09,1.67,1.69,1.72
31.30,3.04,1.32,3.04,1.32,-1.34,-1.06,-1.11,1.70,1.71,1.72
31.61,3.15,1.43,3.14,1.42,-1.40,-1.10,-1.13,1.74,1.74,1.72
31.93,3.25,1.53,3.23,1.51,-1.46,-1.14,-1.16,1.78,1.77,1.72
32.24,3.29,1.58,3.28,1.57,-1.52,-1.17,-1.18,1.77,1.76,1.71
32.57,3.30,1.59,3.30,1.60,-1.57,-1.21,-1.21,1.73,1.73,1.71
32.89,3.32,1.61,3.32,1.62,-1.63,-1.25,-1.23,1.69,1.69,1.71
33.22,3.35,1.65,3.35,1.64,-1.69,-1.29,-1.26,1.66,1.66,1.70
33.55,3.40,1.70,3.39,1.69,-1.75,-1.33,-1.28,1.65,1.64,1.70
33.89,3.44,1.75,3.45,1.76,-1.81,-1.36,-1.31,1.63,1.64,1.69
34.23,3.54,1.85,3.55,1.86,-1.87,-1.40,-1.34,1.67,1.68,1.69
34.57,3.67,1.98,3.66,1.98,-1.93,-1.44,-1.37,1.73,1.73,1.69
34.92,3.79,2.10,3.76,2.07,-2.01,-1.48,-1.40,1.78,1.75,1.69
