frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-7.88,-4.05,-7.88,-4.05,4.04,3.43,-0.00,-3.84,-3.84,-3.83
20.20,-7.78,-3.96,-7.78,-3.96,3.96,3.34,0.00,-3.82,-3.82,-3.82
20.40,-7.68,-3.87,-7.68,-3.87,3.87,3.24,0.00,-3.81,-3.81,-3.81
20.61,-7.58,-3.77,-7.58,-3.77,3.78,3.14,0.01,-3.80,-3.80,-3.81
20.81,-7.48,-3.68,-7.48,-3.68,3.69,3.04,0.01,-3.79,-3.79,-3.80
21.02,-7.38,-3.58,-7.38,-3.58,3.59,2.94,0.01,-3.79,-3.79,-3.80
21.23,-7.28,-3.49,-7.28,-3.49,3.49,2.83,0.02,-3.79,-3.79,-3.79
21.44,-7.17,-3.38,-7.17,-3.38,3.39,2.73,0.02,-3.78,-3.79,-3.79
21.66,-7.07,-3.28,-7.07,-3.28,3.28,2.62,0.02,-3.80,-3.79,-3.79
21.87,-6.96,-3.17,-6.96,-3.18,3.16,2.51,0.03,-3.80,-3.80,-3.79
22.09,-6.85,-3.07,-6.85,-3.06,3.04,2.41,0.03,-3.81,-3.80,-3.78
22.31,-6.72,-2.94,-6.72,-2.94,2.92,2.30,0.03,-3.80,-3.80,-3.78
22.54,-6.59,-2.80,-6.59,-2.80,2.81,2.20,0.04,-3.79,-3.78,-3.79
22.76,-6.46,-2.66,-6.46,-2.66,2.69,2.09,0.04,-3.77,-3.77,-3.80
22.99,-6.33,-2.53,-6.35,-2.55,2.59,1.99,0.05,-3.75,-3.76,-3.80
23.22,-6.25,-2.45,-6.25,-2.45,2.48,1.88,0.05,-3.77,-3.77,-3.80
23.45,-6.17,-2.36,-6.17,-2.36,2.37,1.78,0.05,-3.80,-3.80,-3.81
23.69,-6.09,-2.28,-6.10,-2.29,2.25,1.68,0.06,-3.84,-3.84,-3.81
23.92,-6.01,-2.20,-6.00,-2.19,2.14,1.57,0.06,-3.87,-3.86,-3.81
24.16,-5.89,-2.08,-5.88,-2.07,2.02,1.47,0.07,-3.87,-3.86,-3.81
24.40,-5.73,-1.92,-5.73,-1.93,1.91,1.37,0.07,-3.82,-3.82,-3.81
24.65,-5.58,-1.77,-5.58,-1.77,1.80,1.28,0.07,-3.79,-3.78,-3.81
24.89,-5.43,-1.62,-5.44,-1.63,1.68,1.18,0.08,-3.75,-3.76,-3.81
25.14,-5.32,-1.51,-5.33,-1.52,1.57,1.08,0.08,-3.75,-3.76,-3.81
25.39,-5.26,-1.44,-5.25,-1.44,1.46,0.98,0.08,-3.80,-3.79,-3.82
25.65,-5.19,-1.37,-5.19,-1.37,1.36,0.89,0.08,-3.83,-3.83,-3.82
25.91,-5.12,-1.30,-5.11,-1.29,1.25,0.79,0.09,-3.87,-3.86,-3.82
26.16,-5.02,-1.20,-5.01,-1.19,1.16,0.70,0.09,-3.86,-3.86,-3.82
26.43,-4.89,-1.07,-4.89,-1.07,1.05,0.61,0.09,-3.84,-3.84,-3.82
26.69,-4.76,-0.94,-4.76,-0.94,0.95,0.51,0.09,-3.81,-3.82,-3.82
26.96,-4.63,-0.81,-4.64,-0.82,0.84,0.42,0.08,-3.80,-3.80,-3.82
27.23,-4.52,-0.70,-4.52,-0.70,0.72,0.33,0.08,-3.80,-3.80,-3.82
27.50,-4.41,-0.59,-4.41,-0.59,0.60,0.23,0.08,-3.81,-3.81,-3.82
27.77,-4.31,-0.49,-4.31,-0.49,0.49,0.14,0.07,-3.82,-3.82,-3.82
28.05,-4.20,-0.38,-4.20,-0.38,0.38,0.05,0.06,-3.82,-3.82,-3.82
28.33,-4.10,-0.28,-4.10,-0.28,0.27,-0.04,0.05,-3.83,-3.83,-3.82
28.62,-3.99,-0.17,-3.99,-0.18,0.17,-0.14,0.04,-3.82,-3.82,-3.82
28.90,-3.89,-0.08,-3.88,-0.07,0.07,-0.23,0.03,-3.82,-3.82,-3.81
29.19,-3.77,0.04,-3.77,0.04,-0.04,-0.32,0.01,-3.81,-3.81,-3.81
29.48,-3.66,0.15,-3.66,0.14,-0.14,-0.42,-0.00,-3.80,-3.80,-3.81
29.78,-3.55,0.25,-3.55,0.25,-0.24,-0.51,-0.02,-3.79,-3.78,-3.80
30.08,-3.44,0.36,-3.45,0.35,-0.34,-0.61,-0.04,-3.78,-3.79,-3.80
30.38,-3.35,0.45,-3.36,0.44,-0.44,-0.71,-0.07,-3.79,-3.80,-3.80
30.68,-3.27,0.53,-3.27,0.53,-0.55,-0.80,-0.10,-3.82,-3.82,-3.80
30.99,-3.18,0.62,-3.17,0.63,-0.66,-0.90,-0.13,-3.84,-3.83,-3.80
31.30,-3.05,0.75,-3.05,0.75,-0.77,-1.00,-0.16,-3.82,-3.82,-3.80
31.61,-2.92,0.88,-2.92,0.88,-0.87,-1.11,-0.19,-3.79,-3.79,-3.80
31.93,-2.78,1.02,-2.80,1.01,-0.98,-1.21,-0.23,-3.76,-3.78,-3.80
32.24,-2.69,1.12,-2.69,1.11,-1.09,-1.31,-0.27,-3.78,-3.78,-3.81
32.57,-2.60,1.21,-2.60,1.21,-1.20,-1.42,-0.32,-3.80,-3.80,-3.81
32.89,-2.52,1.29,-2.51,1.30,-1.30,-1.53,-0.36,-3.82,-3.82,-3.81
33.22,-2.42,1.40,-2.42,1.39,-1.41,-1.63,-0.41,-3.83,-3.83,-3.82
33.55,-2.32,1.50,-2.32,1.50,-1.51,-1.74,-0.46,-3.83,-3.83,-3.82
33.89,-2.22,1.61,-2.22,1.61,-1.62,-1.85,-0.52,-3.84,-3.84,-3.83
34.23,-2.11,1.72,-2.11,1.72,-1.73,-1.96,-0.58,-3.84,-3.84,-3.83
34.57,-2.00,1.83,-2.00,1.83,-1.84,-2.07,-0.64,-3.84,-3.84,-3.83
34.92,-1.89,1.94,-1.89,1.94,-1.94,-2.18,-0.70,-3.83,-3.83,-3.83
35.27,-1.77,2.06,-1.77,2.06,-2.04,-2.29,-0.76,-3.82,-3.81,-3.83
35.62,-1.66,2.17,-1.66,2.17,-2.14,-2.40,-0.83,-3.80,-3.80,-3.83
35.97,-1.55,2.28,-1.56,2.26,-2.24,-2.50,-0.90,-3.79,-3.80,-3.83
36.33,-1.49,2.34,-1.50,2.33,-2.33,-2.60,-0.97,-3.82,-3.83,-3.83
