frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.37,-1.36,-1.37,-1.36,1.35,-0.45,-1.40,-0.02,-0.02,-0.01
20.20,-1.21,-1.21,-1.21,-1.21,1.20,-0.49,-1.44,-0.01,-0.01,-0.00
20.40,-1.05,-1.06,-1.05,-1.05,1.05,-0.54,-1.48,0.00,0.00,0.01
20.61,-0.89,-0.90,-0.89,-0.90,0.91,-0.59,-1.53,0.01,0.02,0.01
20.81,-0.73,-0.75,-0.73,-0.75,0.76,-0.64,-1.57,0.03,0.03,0.02
21.02,-0.57,-0.59,-0.58,-0.60,0.61,-0.70,-1.62,0.04,0.04,0.02
21.23,-0.43,-0.46,-0.43,-0.46,0.47,-0.77,-1.67,0.04,0.04,0.03
21.44,-0.29,-0.32,-0.29,-0.32,0.32,-0.83,-1.72,0.03,0.03,0.03
21.66,-0.16,-0.19,-0.16,-0.19,0.18,-0.90,-1.77,0.02,0.03,0.03
21.87,-0.02,-0.05,-0.02,-0.05,0.05,-0.97,-1.82,0.03,0.02,0.03
22.09,0.12,0.08,0.12,0.08,-0.09,-1.04,-1.87,0.03,0.02,0.04
22.31,0.26,0.22,0.26,0.23,-0.24,-1.11,-1.93,0.02,0.03,0.04
22.54,0.41,0.38,0.40,0.38,-0.38,-1.18,-1.99,0.03,0.02,0.03
22.76,0.55,0.53,0.55,0.53,-0.53,-1.25,-2.04,0.02,0.02,0.02
22.99,0.69,0.67,0.69,0.68,-0.67,-1.32,-2.10,0.02,0.02,0.02
23.22,0.84,0.82,0.84,0.82,-0.82,-1.39,-2.16,0.02,0.02,0.02
23.45,0.98,0.97,0.98,0.97,-0.97,-1.46,-2.23,0.01,0.01,0.01
23.69,1.12,1.11,1.12,1.11,-1.11,-1.52,-2.29,0.01,0.01,0.01
23.92,1.26,1.25,1.26,1.25,-1.25,-1.59,-2.35,0.01,0.01,0.01
24.16,1.40,1.39,1.39,1.39,-1.38,-1.66,-2.42,0.02,0.01,0.01
24.40,1.52,1.51,1.52,1.52,-1.52,-1.72,-2.49,0.00,0.01,0.01
24.65,1.65,1.64,1.65,1.64,-1.64,-1.78,-2.55,0.00,0.01,0.01
24.89,1.78,1.77,1.78,1.77,-1.77,-1.85,-2.62,0.01,0.01,0.01
25.14,1.90,1.89,1.90,1.89,-1.89,-1.91,-2.69,0.01,0.01,0.01
25.39,2.01,2.01,2.01,2.01,-2.01,-1.97,-2.76,0.00,0.00,-0.00
25.65,2.12,2.12,2.12,2.12,-2.12,-2.03,-2.83,-0.01,-0.00,-0.00
25.91,2.24,2.24,2.24,2.24,-2.24,-2.09,-2.90,-0.00,-0.00,-0.00
26.16,2.35,2.35,2.35,2.35,-2.35,-2.15,-2.97,0.00,-0.00,-0.00
26.43,2.46,2.46,2.46,2.46,-2.46,-2.21,-3.04,-0.00,-0.00,-0.00
26.69,2.56,2.56,2.56,2.56,-2.57,-2.27,-3.11,-0.01,-0.01,-0.00
26.96,2.67,2.67,2.67,2.67,-2.68,-2.33,-3.18,-0.01,-0.01,-0.00
27.23,2.78,2.78,2.78,2.78,-2.79,-2.39,-3.25,-0.01,-0.01,-0.00
27.50,2.89,2.89,2.89,2.89,-2.89,-2.45,-3.31,-0.00,0.00,-0.00
27.77,3.00,3.00,3.00,3.00,-2.99,-2.51,-3.38,0.01,0.01,-0.00
28.05,3.11,3.11,3.10,3.10,-3.09,-2.57,-3.44,0.02,0.01,-0.00
28.33,3.19,3.19,3.19,3.19,-3.18,-2.63,-3.50,0.01,0.01,-0.00
28.62,3.27,3.27,3.27,3.27,-3.28,-2.69,-3.55,-0.01,-0.01,-0.00
28.90,3.35,3.34,3.35,3.35,-3.37,-2.75,-3.61,-0.02,-0.02,0.01
29.19,3.45,3.44,3.45,3.44,-3.46,-2.81,-3.66,-0.01,-0.01,0.01
29.48,3.56,3.55,3.56,3.54,-3.54,-2.87,-3.71,0.02,0.01,0.01
29.78,3.66,3.64,3.66,3.64,-3.63,-2.93,-3.75,0.03,0.03,0.02
30.08,3.76,3.74,3.75,3.73,-3.71,-2.99,-3.79,0.05,0.04,0.02
30.38,3.82,3.80,3.82,3.80,-3.79,-3.06,-3.83,0.03,0.03,0.02
30.68,3.88,3.86,3.88,3.87,-3.87,-3.12,-3.86,0.01,0.01,0.02
30.99,3.95,3.93,3.95,3.93,-3.95,-3.18,-3.89,-0.01,-0.00,0.02
31.30,4.03,4.01,4.03,4.01,-4.03,-3.25,-3.91,-0.01,-0.00,0.02
31.61,4.12,4.10,4.12,4.10,-4.11,-3.31,-3.93,0.01,0.01,0.02
