frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.39,-2.44,-4.39,-2.45,2.44,-0.04,-0.15,-1.95,-1.95,-1.95
20.20,-4.26,-2.32,-4.25,-2.32,2.31,-0.04,-0.16,-1.94,-1.94,-1.94
20.40,-4.12,-2.20,-4.12,-2.19,2.19,-0.05,-0.16,-1.93,-1.93,-1.93
20.61,-4.00,-2.07,-4.00,-2.07,2.08,-0.05,-0.17,-1.92,-1.92,-1.93
20.81,-3.87,-1.96,-3.87,-1.95,1.97,-0.05,-0.18,-1.91,-1.91,-1.92
21.02,-3.75,-1.83,-3.76,-1.84,1.86,-0.05,-0.18,-1.89,-1.90,-1.92
21.23,-3.66,-1.75,-3.66,-1.75,1.76,-0.06,-0.19,-1.90,-1.90,-1.91
21.44,-3.57,-1.66,-3.56,-1.65,1.66,-0.06,-0.20,-1.91,-1.90,-1.91
21.66,-3.48,-1.57,-3.47,-1.57,1.56,-0.06,-0.21,-1.91,-1.91,-1.91
21.87,-3.37,-1.47,-3.38,-1.48,1.48,-0.07,-0.21,-1.90,-1.91,-1.91
22.09,-3.30,-1.40,-3.30,-1.40,1.39,-0.07,-0.22,-1.90,-1.90,-1.90
22.31,-3.22,-1.32,-3.21,-1.31,1.31,-0.07,-0.23,-1.91,-1.90,-1.90
22.54,-3.14,-1.23,-3.13,-1.23,1.23,-0.08,-0.24,-1.91,-1.91,-1.91
22.76,-3.06,-1.14,-3.06,-1.15,1.15,-0.08,-0.25,-1.91,-1.91,-1.92
22.99,-2.98,-1.06,-2.98,-1.07,1.07,-0.09,-0.26,-1.90,-1.91,-1.92
23.22,-2.92,-1.00,-2.91,-0.99,1.00,-0.09,-0.27,-1.92,-1.91,-1.92
23.45,-2.85,-0.92,-2.85,-0.92,0.92,-0.10,-0.28,-1.92,-1.92,-1.93
23.69,-2.78,-0.85,-2.78,-0.85,0.85,-0.10,-0.29,-1.92,-1.92,-1.93
23.92,-2.71,-0.78,-2.70,-0.78,0.78,-0.11,-0.30,-1.93,-1.92,-1.93
24.16,-2.63,-0.70,-2.63,-0.70,0.70,-0.12,-0.31,-1.92,-1.92,-1.93
24.40,-2.54,-0.62,-2.55,-0.62,0.62,-0.12,-0.32,-1.93,-1.93,-1.93
24.65,-2.47,-0.54,-2.47,-0.54,0.53,-0.13,-0.33,-1.94,-1.94,-1.93
24.89,-2.38,-0.46,-2.38,-0.45,0.43,-0.14,-0.34,-1.96,-1.95,-1.93
25.14,-2.27,-0.35,-2.27,-0.34,0.32,-0.15,-0.35,-1.95,-1.95,-1.93
25.39,-2.15,-0.22,-2.16,-0.22,0.22,-0.16,-0.36,-1.94,-1.94,-1.94
25.65,-2.04,-0.10,-2.03,-0.10,0.11,-0.17,-0.37,-1.93,-1.93,-1.94
25.91,-1.92,0.02,-1.92,0.01,0.00,-0.18,-0.38,-1.92,-1.92,-1.94
26.16,-1.82,0.11,-1.83,0.11,-0.10,-0.19,-0.39,-1.92,-1.92,-1.94
26.43,-1.75,0.19,-1.74,0.20,-0.18,-0.20,-0.40,-1.93,-1.92,-1.94
26.69,-1.67,0.27,-1.66,0.27,-0.26,-0.21,-0.41,-1.92,-1.92,-1.94
26.96,-1.59,0.35,-1.60,0.33,-0.32,-0.23,-0.42,-1.91,-1.92,-1.94
27.23,-1.56,0.38,-1.55,0.38,-0.37,-0.24,-0.43,-1.93,-1.92,-1.94
27.50,-1.53,0.41,-1.52,0.41,-0.41,-0.26,-0.44,-1.94,-1.94,-1.94
27.77,-1.50,0.44,-1.50,0.44,-0.45,-0.28,-0.45,-1.95,-1.95,-1.94
28.05,-1.47,0.47,-1.46,0.48,-0.49,-0.30,-0.46,-1.96,-1.95,-1.94
28.33,-1.42,0.52,-1.42,0.52,-0.53,-0.32,-0.47,-1.95,-1.95,-1.94
28.62,-1.37,0.57,-1.37,0.56,-0.57,-0.34,-0.48,-1.94,-1.94,-1.94
28.90,-1.32,0.61,-1.31,0.62,-0.62,-0.37,-0.48,-1.93,-1.93,-1.93
29.19,-1.26,0.67,-1.26,0.67,-0.67,-0.39,-0.49,-1.92,-1.93,-1.93
29.48,-1.21,0.72,-1.20,0.72,-0.72,-0.42,-0.49,-1.92,-1.92,-1.93
29.78,-1.15,0.77,-1.15,0.77,-0.77,-0.45,-0.50,-1.91,-1.92,-1.92
30.08,-1.10,0.82,-1.10,0.82,-0.81,-0.49,-0.50,-1.91,-1.91,-1.92
30.38,-1.06,0.86,-1.05,0.86,-0.86,-0.52,-0.51,-1.92,-1.91,-1.92
30.68,-1.02,0.90,-1.02,0.90,-0.90,-0.56,-0.51,-1.92,-1.92,-1.92
30.99,-0.98,0.94,-0.98,0.94,-0.94,-0.60,-0.51,-1.91,-1.92,-1.92
31.30,-0.95,0.97,-0.94,0.97,-0.97,-0.64,-0.51,-1.91,-1.91,-1.92
31.61,-0.92,1.00,-0.92,1.00,-0.99,-0.69,-0.51,-1.91,-1.91,-1.92
31.93,-0.90,1.02,-0.90,1.02,-1.01,-0.74,-0.51,-1.91,-1.91,-1.92
32.24,-0.89,1.04,-0.89,1.03,-1.03,-0.79,-0.50,-1.92,-1.92,-1.93
32.57,-0.89,1.04,-0.88,1.04,-1.04,-0.85,-0.50,-1.93,-1.93,-1.93
32.89,-0.89,1.04,-0.89,1.04,-1.05,-0.90,-0.49,-1.93,-1.93,-1.93
33.22,-0.89,1.05,-0.89,1.05,-1.05,-0.96,-0.49,-1.94,-1.94,-1.94
33.55,-0.89,1.05,-0.89,1.05,-1.06,-1.02,-0.48,-1.94,-1.94,-1.94
33.89,-0.89,1.06,-0.89,1.06,-1.06,-1.08,-0.47,-1.94,-1.94,-1.95
34.23,-0.89,1.06,-0.89,1.06,-1.06,-1.13,-0.47,-1.94,-1.94,-1.95
34.57,-0.89,1.06,-0.89,1.06,-1.06,-1.18,-0.46,-1.95,-1.95,-1.95
34.92,-0.89,1.06,-0.89,1.06,-1.06,-1.23,-0.45,-1.95,-1.95,-1.95
35.27,-0.89,1.06,-0.89,1.06,-1.07,-1.27,-0.44,-1.95,-1.95,-1.95
35.62,-0.89,1.06,-0.89,1.06,-1.07,-1.30,-0.43,-1.95,-1.95,-1.95
35.97,-0.89,1.06,-0.89,1.06,-1.06,-1.33,-0.41,-1.95,-1.95,-1.95
36.33,-0.89,1.06,-0.88,1.06,-1.05,-1.34,-0.40,-1.94,-1.94,-1.95
36.70,-0.89,1.06,-0.89,1.06,-1.04,-1.34,-0.39,-1.93,-1.93,-1.95
37.06,-0.90,1.05,-0.90,1.04,-1.03,-1.33,-0.38,-1.93,-1.93,-1.95
37.43,-0.93,1.02,-0.93,1.01,-1.01,-1.30,-0.37,-1.94,-1.94,-1.95
37.81,-0.97,0.97,-0.96,0.98,-0.99,-1.27,-0.35,-1.96,-1.95,-1.94
38.19,-0.99,0.95,-0.98,0.96,-0.97,-1.23,-0.34,-1.95,-1.95,-1.94
38.57,-0.99,0.95,-0.99,0.94,-0.94,-1.18,-0.33,-1.93,-1.93,-1.94
38.95,-0.99,0.94,-1.00,0.93,-0.92,-1.12,-0.31,-1.91,-1.92,-1.93
39.34,-1.02,0.91,-1.02,0.91,-0.90,-1.06,-0.30,-1.92,-1.92,-1.93
39.74,-1.06,0.87,-1.05,0.88,-0.89,-1.00,-0.29,-1.95,-1.94,-1.93
40.14,-1.08,0.85,-1.07,0.86,-0.88,-0.94,-0.27,-1.96,-1.95,-1.93
40.54,-1.08,0.85,-1.08,0.85,-0.87,-0.87,-0.26,-1.94,-1.95,-1.93
40.94,-1.08,0.85,-1.07,0.85,-0.85,-0.81,-0.25,-1.92,-1.92,-1.93
41.35,-1.08,0.85,-1.07,0.86,-0.83,-0.75,-0.23,-1.90,-1.90,-1.93
41.76,-1.08,0.86,-1.09,0.85,-0.80,-0.69,-0.22,-1.88,-1.89,-1.94
42.18,-1.12,0.82,-1.13,0.80,-0.78,-0.63,-0.21,-1.90,-1.92,-1.94
42.60,-1.20,0.74,-1.19,0.74,-0.76,-0.58,-0.19,-1.96,-1.95,-1.94
43.03,-1.27,0.67,-1.24,0.69,-0.74,-0.53,-0.18,-2.00,-1.98,-1.94
43.46,-1.27,0.67,-1.27,0.67,-0.71,-0.48,-0.17,-1.97,-1.98,-1.94
43.90,-1.27,0.68,-1.27,0.67,-0.67,-0.43,-0.16,-1.94,-1.95,-1.95
44.33,-1.28,0.67,-1.28,0.67,-0.64,-0.39,-0.14,-1.92,-1.91,-1.95
44.78,-1.30,0.65,-1.30,0.64,-0.61,-0.35,-0.13,-1.90,-1.91,-1.95
45.23,-1.35,0.60,-1.35,0.59,-0.58,-0.31,-0.12,-1.93,-1.94,-1.95
45.68,-1.42,0.53,-1.41,0.54,-0.55,-0.28,-0.11,-1.97,-1.96,-1.95
46.13,-1.47,0.47,-1.45,0.49,-0.51,-0.24,-0.10,-1.98,-1.96,-1.94
46.60,-1.47,0.47,-1.47,0.46,-0.47,-0.21,-0.08,-1.94,-1.94,-1.94
47.06,-1.48,0.45,-1.49,0.44,-0.43,-0.18,-0.07,-1.90,-1.92,-1.93
47.53,-1.52,0.40,-1.52,0.40,-0.38,-0.15,-0.06,-1.90,-1.90,-1.92
48.01,-1.57,0.34,-1.56,0.34,-0.34,-0.13,-0.05,-1.91,-1.91,-1.91
48.49,-1.61,0.29,-1.61,0.29,-0.30,-0.10,-0.04,-1.91,-1.91,-1.90
48.97,-1.66,0.23,-1.64,0.25,-0.26,-0.08,-0.03,-1.92,-1.90,-1.89
49.46,-1.66,0.22,-1.65,0.22,-0.21,-0.05,-0.02,-1.87,-1.87,-1.88
49.96,-1.66,0.20,-1.68,0.18,-0.16,-0.03,-0.01,-1.82,-1.84,-1.86
50.46,-1.72,0.13,-1.72,0.13,-0.11,-0.01,0.00,-1.82,-1.82,-1.85
50.96,-1.78,0.05,-1.76,0.06,-0.06,0.01,0.01,-1.83,-1.82,-1.83
51.47,-1.82,-0.00,-1.81,0.00,-0.01,0.03,0.02,-1.82,-1.82,-1.82
51.99,-1.85,-0.04,-1.86,-0.05,0.04,0.04,0.04,-1.81,-1.82,-1.81
52.51,-1.90,-0.10,-1.90,-0.10,0.08,0.06,0.05,-1.81,-1.82,-1.80
53.03,-1.95,-0.16,-1.93,-0.14,0.13,0.08,0.06,-1.82,-1.80,-1.79
53.56,-1.95,-0.17,-1.95,-0.17,0.17,0.09,0.07,-1.78,-1.78,-1.78
54.10,-1.95,-0.19,-1.95,-0.19,0.21,0.11,0.08,-1.74,-1.74,-1.76
54.64,-1.96,-0.21,-1.96,-0.21,0.25,0.13,0.08,-1.71,-1.72,-1.75
55.18,-1.99,-0.25,-2.00,-0.26,0.28,0.14,0.09,-1.71,-1.72,-1.74
55.74,-2.05,-0.31,-2.04,-0.31,0.31,0.15,0.10,-1.73,-1.73,-1.74
56.29,-2.10,-0.37,-2.09,-0.37,0.34,0.17,0.11,-1.75,-1.75,-1.73
56.86,-2.13,-0.41,-2.12,-0.40,0.38,0.18,0.12,-1.75,-1.75,-1.72
57.42,-2.14,-0.42,-2.13,-0.42,0.41,0.19,0.13,-1.73,-1.73,-1.72
58.00,-2.14,-0.42,-2.14,-0.42,0.43,0.21,0.14,-1.70,-1.71,-1.72
