frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.12,3.27,5.11,3.26,-3.25,-3.25,-2.02,1.87,1.86,1.86
20.20,5.12,3.27,5.14,3.29,-3.29,-3.29,-2.08,1.83,1.85,1.86
20.40,5.18,3.33,5.17,3.32,-3.32,-3.33,-2.14,1.86,1.85,1.86
20.61,5.21,3.36,5.21,3.36,-3.36,-3.36,-2.20,1.85,1.85,1.86
20.81,5.26,3.41,5.26,3.40,-3.40,-3.40,-2.26,1.86,1.85,1.86
21.02,5.29,3.44,5.30,3.44,-3.44,-3.44,-2.33,1.85,1.85,1.86
21.23,5.34,3.49,5.34,3.48,-3.48,-3.48,-2.39,1.86,1.86,1.86
21.44,5.38,3.53,5.38,3.52,-3.52,-3.52,-2.46,1.86,1.86,1.86
21.66,5.42,3.57,5.42,3.56,-3.56,-3.55,-2.53,1.86,1.86,1.86
21.87,5.45,3.60,5.46,3.60,-3.60,-3.59,-2.60,1.85,1.85,1.86
22.09,5.50,3.65,5.50,3.64,-3.64,-3.63,-2.68,1.86,1.85,1.86
22.31,5.53,3.68,5.54,3.68,-3.68,-3.67,-2.75,1.85,1.85,1.86
22.54,5.58,3.72,5.58,3.72,-3.72,-3.70,-2.83,1.86,1.86,1.86
22.76,5.62,3.77,5.62,3.76,-3.76,-3.74,-2.91,1.86,1.86,1.86
22.99,5.66,3.81,5.66,3.80,-3.80,-3.78,-2.99,1.86,1.86,1.86
23.22,5.69,3.84,5.69,3.83,-3.84,-3.82,-3.08,1.85,1.85,1.86
23.45,5.72,3.87,5.73,3.87,-3.87,-3.85,-3.16,1.85,1.85,1.86
23.69,5.76,3.91,5.76,3.91,-3.91,-3.89,-3.25,1.85,1.85,1.86
23.92,5.81,3.96,5.80,3.95,-3.95,-3.92,-3.34,1.86,1.85,1.86
24.16,5.84,3.99,5.84,3.99,-3.99,-3.96,-3.43,1.85,1.86,1.86
24.40,5.88,4.03,5.88,4.03,-4.03,-4.00,-3.52,1.86,1.86,1.86
24.65,5.92,4.07,5.92,4.06,-4.06,-4.03,-3.61,1.86,1.85,1.86
