frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-21.73,-22.02,-21.74,-22.03,6.00,5.74,2.64,-15.73,-15.74,0.29
20.20,-21.68,-21.97,-21.68,-21.97,6.00,5.77,2.71,-15.68,-15.68,0.29
20.40,-21.63,-21.92,-21.62,-21.91,6.00,5.80,2.79,-15.63,-15.62,0.29
20.61,-21.58,-21.87,-21.58,-21.87,6.00,5.83,2.87,-15.58,-15.58,0.29
20.81,-21.53,-21.82,-21.53,-21.82,6.00,5.86,2.95,-15.53,-15.53,0.29
21.02,-21.48,-21.77,-21.50,-21.79,6.00,5.89,3.03,-15.48,-15.50,0.29
21.23,-21.50,-21.79,-21.50,-21.79,6.00,5.91,3.12,-15.50,-15.50,0.29
21.44,-21.52,-21.81,-21.52,-21.81,6.00,5.93,3.21,-15.52,-15.52,0.29
21.66,-21.54,-21.83,-21.54,-21.83,6.00,5.96,3.30,-15.54,-15.54,0.29
21.87,-21.56,-21.85,-21.56,-21.85,6.00,5.98,3.40,-15.56,-15.56,0.29
22.09,-21.57,-21.86,-21.58,-21.87,6.00,6.00,3.49,-15.57,-15.58,0.29
22.31,-21.59,-21.88,-21.59,-21.88,6.00,6.01,3.59,-15.59,-15.59,0.29
22.54,-21.60,-21.89,-21.62,-21.91,6.00,6.03,3.69,-15.60,-15.62,0.29
22.76,-21.61,-21.90,-21.62,-21.91,6.00,6.04,3.80,-15.61,-15.62,0.29
22.99,-21.62,-21.91,-21.58,-21.87,6.00,6.06,3.91,-15.62,-15.58,0.29
23.22,-21.49,-21.78,-21.50,-21.79,6.00,6.07,4.02,-15.49,-15.50,0.29
23.45,-21.36,-21.65,-21.38,-21.67,6.00,6.08,4.13,-15.36,-15.38,0.29
23.69,-21.23,-21.52,-21.23,-21.52,6.00,6.09,4.24,-15.23,-15.23,0.29
23.92,-21.09,-21.38,-21.08,-21.37,6.00,6.09,4.36,-15.09,-15.08,0.29
24.16,-20.90,-21.19,-20.90,-21.19,6.00,6.10,4.48,-14.90,-14.90,0.29
24.40,-20.68,-20.97,-20.68,-20.97,6.00,6.10,4.60,-14.68,-14.68,0.29
24.65,-20.46,-20.75,-20.46,-20.75,6.00,6.11,4.72,-14.46,-14.46,0.29
24.89,-20.23,-20.52,-20.24,-20.53,6.00,6.11,4.85,-14.23,-14.24,0.29
25.14,-20.04,-20.33,-20.04,-20.33,6.00,6.11,4.97,-14.04,-14.04,0.29
25.39,-19.86,-20.15,-19.85,-20.14,6.00,6.11,5.10,-13.86,-13.85,0.29
25.65,-19.68,-19.97,-19.68,-19.97,6.00,6.11,5.23,-13.68,-13.68,0.29
25.91,-19.52,-19.81,-19.52,-19.81,6.00,6.11,5.36,-13.52,-13.52,0.29
26.16,-19.37,-19.66,-19.38,-19.67,6.00,6.11,5.48,-13.37,-13.38,0.29
26.43,-19.25,-19.54,-19.25,-19.54,6.00,6.10,5.61,-13.25,-13.25,0.29
26.69,-19.13,-19.42,-19.13,-19.42,6.00,6.10,5.74,-13.13,-13.13,0.29
26.96,-19.02,-19.31,-19.03,-19.32,6.00,6.09,5.87,-13.02,-13.03,0.29
27.23,-18.92,-19.21,-18.92,-19.21,6.00,6.08,5.99,-12.92,-12.92,0.29
27.50,-18.82,-19.11,-18.83,-19.12,6.00,6.08,6.11,-12.82,-12.83,0.29
27.77,-18.73,-19.02,-18.73,-19.02,6.00,6.07,6.23,-12.73,-12.73,0.29
28.05,-18.63,-18.92,-18.63,-18.92,6.00,6.06,6.34,-12.63,-12.63,0.29
28.33,-18.51,-18.80,-18.52,-18.81,6.00,6.05,6.45,-12.51,-12.52,0.29
28.62,-18.40,-18.69,-18.41,-18.70,6.00,6.04,6.55,-12.40,-12.41,0.29
