frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.17,7.53,6.15,7.52,-7.52,-7.37,-3.50,-1.35,-1.36,-1.37
20.20,6.14,7.50,6.16,7.52,-7.53,-7.36,-3.59,-1.39,-1.37,-1.37
20.40,6.15,7.51,6.16,7.53,-7.53,-7.36,-3.69,-1.38,-1.37,-1.37
20.61,6.18,7.54,6.17,7.53,-7.54,-7.36,-3.79,-1.36,-1.37,-1.37
20.81,6.19,7.55,6.18,7.55,-7.54,-7.36,-3.90,-1.36,-1.36,-1.37
21.02,6.19,7.55,6.19,7.56,-7.55,-7.36,-4.01,-1.36,-1.36,-1.37
21.23,6.19,7.55,6.19,7.55,-7.55,-7.36,-4.12,-1.36,-1.36,-1.37
21.44,6.19,7.55,6.19,7.55,-7.55,-7.36,-4.23,-1.37,-1.37,-1.37
21.66,6.19,7.55,6.19,7.55,-7.56,-7.36,-4.35,-1.37,-1.37,-1.37
21.87,6.19,7.55,6.19,7.55,-7.56,-7.36,-4.47,-1.37,-1.37,-1.37
22.09,6.19,7.55,6.19,7.55,-7.56,-7.36,-4.59,-1.37,-1.37,-1.37
22.31,6.19,7.55,6.19,7.55,-7.55,-7.36,-4.72,-1.37,-1.37,-1.37
22.54,6.19,7.55,6.19,7.55,-7.55,-7.36,-4.85,-1.37,-1.37,-1.37
22.76,6.19,7.55,6.19,7.55,-7.55,-7.36,-4.98,-1.37,-1.37,-1.37
22.99,6.19,7.55,6.19,7.55,-7.55,-7.35,-5.12,-1.37,-1.37,-1.37
23.22,6.19,7.55,6.19,7.55,-7.55,-7.35,-5.26,-1.37,-1.37,-1.37
23.45,6.19,7.55,6.19,7.55,-7.55,-7.35,-5.41,-1.37,-1.37,-1.37
23.69,6.19,7.55,6.19,7.55,-7.55,-7.35,-5.55,-1.37,-1.37,-1.37
23.92,6.19,7.55,6.19,7.55,-7.55,-7.35,-5.70,-1.37,-1.37,-1.37
24.16,6.19,7.55,6.19,7.55,-7.55,-7.35,-5.86,-1.37,-1.37,-1.37
24.40,6.19,7.55,6.19,7.55,-7.55,-7.35,-6.01,-1.37,-1.37,-1.37
24.65,6.19,7.55,6.19,7.55,-7.55,-7.35,-6.17,-1.37,-1.37,-1.37
24.89,6.19,7.55,6.19,7.55,-7.55,-7.35,-6.33,-1.37,-1.37,-1.37
25.14,6.19,7.55,6.19,7.55,-7.55,-7.34,-6.50,-1.37,-1.37,-1.37
25.39,6.19,7.55,6.19,7.55,-7.55,-7.34,-6.66,-1.37,-1.37,-1.37
25.65,6.19,7.55,6.19,7.55,-7.55,-7.34,-6.83,-1.37,-1.37,-1.37
25.91,6.19,7.55,6.19,7.55,-7.55,-7.34,-7.00,-1.37,-1.37,-1.37
26.16,6.19,7.55,6.19,7.55,-7.55,-7.34,-7.16,-1.37,-1.37,-1.37
26.43,6.19,7.55,6.19,7.55,-7.56,-7.34,-7.33,-1.37,-1.37,-1.37
26.69,6.19,7.55,6.19,7.55,-7.56,-7.33,-7.50,-1.37,-1.37,-1.37
26.96,6.19,7.55,6.19,7.55,-7.56,-7.33,-7.67,-1.37,-1.37,-1.37
27.23,6.19,7.55,6.19,7.55,-7.56,-7.33,-7.83,-1.37,-1.37,-1.37
27.50,6.19,7.55,6.19,7.55,-7.55,-7.33,-7.99,-1.37,-1.37,-1.37
27.77,6.19,7.55,6.19,7.56,-7.55,-7.33,-8.15,-1.36,-1.36,-1.37
28.05,6.19,7.55,6.19,7.55,-7.54,-7.33,-8.30,-1.35,-1.36,-1.37
28.33,6.19,7.55,6.17,7.54,-7.53,-7.32,-8.44,-1.35,-1.36,-1.37
28.62,6.14,7.50,6.16,7.52,-7.52,-7.32,-8.58,-1.38,-1.37,-1.37
28.90,6.14,7.50,6.14,7.51,-7.51,-7.32,-8.71,-1.37,-1.37,-1.37
29.19,6.14,7.50,6.13,7.49,-7.50,-7.32,-8.83,-1.36,-1.37,-1.37
29.48,6.12,7.48,6.12,7.48,-7.49,-7.31,-8.94,-1.37,-1.37,-1.37
29.78,6.10,7.46,6.11,7.47,-7.48,-7.31,-9.04,-1.38,-1.37,-1.37
30.08,6.10,7.46,6.10,7.46,-7.47,-7.31,-9.12,-1.37,-1.37,-1.37
30.38,6.10,7.46,6.10,7.47,-7.46,-7.31,-9.20,-1.36,-1.36,-1.37
30.68,6.10,7.46,6.10,7.46,-7.45,-7.30,-9.25,-1.35,-1.36,-1.37
30.99,6.10,7.46,6.08,7.45,-7.44,-7.30,-9.30,-1.34,-1.36,-1.37
31.30,6.05,7.41,6.07,7.44,-7.43,-7.30,-9.32,-1.38,-1.36,-1.37
31.61,6.05,7.41,6.05,7.41,-7.41,-7.30,-9.34,-1.36,-1.36,-1.37
31.93,6.05,7.41,6.03,7.39,-7.40,-7.29,-9.34,-1.35,-1.37,-1.37
32.24,6.00,7.36,6.01,7.38,-7.39,-7.29,-9.33,-1.39,-1.37,-1.37
32.57,6.00,7.36,6.00,7.37,-7.38,-7.29,-9.30,-1.38,-1.38,-1.37
32.89,6.00,7.36,5.99,7.36,-7.37,-7.28,-9.26,-1.37,-1.38,-1.37
33.22,6.00,7.36,6.00,7.36,-7.36,-7.28,-9.20,-1.37,-1.37,-1.37
33.55,6.00,7.36,6.00,7.37,-7.36,-7.27,-9.14,-1.36,-1.36,-1.37
