frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.63,11.05,14.62,11.04,-11.05,-10.24,-5.48,3.58,3.58,3.58
20.20,14.64,11.06,14.64,11.06,-11.06,-10.30,-5.62,3.57,3.58,3.58
20.40,14.66,11.08,14.66,11.08,-11.08,-10.36,-5.76,3.58,3.58,3.58
20.61,14.69,11.11,14.68,11.10,-11.10,-10.42,-5.90,3.59,3.58,3.58
20.81,14.69,11.11,14.70,11.12,-11.12,-10.48,-6.05,3.57,3.58,3.58
21.02,14.73,11.15,14.71,11.13,-11.13,-10.53,-6.20,3.59,3.58,3.58
21.23,14.73,11.15,14.73,11.15,-11.15,-10.59,-6.36,3.58,3.58,3.58
21.44,14.73,11.15,14.75,11.17,-11.17,-10.64,-6.52,3.56,3.58,3.58
21.66,14.78,11.20,14.76,11.18,-11.18,-10.70,-6.69,3.60,3.58,3.58
21.87,14.78,11.20,14.77,11.19,-11.20,-10.75,-6.86,3.58,3.58,3.58
22.09,14.78,11.20,14.79,11.21,-11.21,-10.80,-7.03,3.57,3.58,3.58
22.31,14.80,11.22,14.80,11.22,-11.22,-10.85,-7.21,3.57,3.58,3.58
22.54,14.83,11.25,14.81,11.23,-11.24,-10.90,-7.39,3.59,3.58,3.58
22.76,14.83,11.25,14.83,11.25,-11.25,-10.95,-7.58,3.58,3.58,3.58
22.99,14.83,11.25,14.84,11.26,-11.26,-11.00,-7.77,3.57,3.58,3.58
23.22,14.87,11.29,14.85,11.27,-11.27,-11.05,-7.97,3.59,3.58,3.58
23.45,14.87,11.29,14.86,11.28,-11.29,-11.09,-8.18,3.58,3.57,3.58
23.69,14.87,11.29,14.87,11.29,-11.30,-11.14,-8.38,3.57,3.58,3.58
23.92,14.87,11.29,14.88,11.30,-11.31,-11.18,-8.60,3.56,3.58,3.58
24.16,14.92,11.34,14.90,11.32,-11.32,-11.22,-8.82,3.60,3.58,3.58
24.40,14.92,11.34,14.91,11.34,-11.33,-11.26,-9.04,3.59,3.59,3.58
24.65,14.92,11.34,14.92,11.34,-11.34,-11.30,-9.27,3.58,3.58,3.58
24.89,14.92,11.34,14.92,11.34,-11.35,-11.34,-9.50,3.57,3.57,3.58
25.14,14.92,11.34,14.93,11.35,-11.36,-11.38,-9.74,3.56,3.57,3.58
25.39,14.96,11.38,14.95,11.37,-11.37,-11.42,-9.98,3.59,3.58,3.58
25.65,14.97,11.39,14.96,11.38,-11.37,-11.45,-10.23,3.59,3.59,3.58
25.91,14.97,11.39,14.97,11.39,-11.38,-11.48,-10.48,3.59,3.59,3.58
26.16,14.97,11.39,14.97,11.39,-11.38,-11.52,-10.73,3.58,3.58,3.58
26.43,14.97,11.39,14.97,11.39,-11.39,-11.55,-10.98,3.58,3.58,3.58
26.69,14.97,11.39,14.97,11.39,-11.39,-11.58,-11.24,3.57,3.57,3.58
26.96,14.97,11.39,14.97,11.39,-11.40,-11.60,-11.49,3.57,3.57,3.58
