frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.40,6.87,7.41,6.88,-6.89,-6.61,-3.17,0.52,0.52,0.53
20.20,7.43,6.90,7.42,6.89,-6.89,-6.63,-3.26,0.54,0.53,0.53
20.40,7.43,6.90,7.43,6.90,-6.89,-6.65,-3.35,0.54,0.54,0.53
20.61,7.43,6.90,7.44,6.90,-6.90,-6.67,-3.44,0.54,0.54,0.53
20.81,7.43,6.90,7.43,6.90,-6.90,-6.69,-3.54,0.53,0.53,0.53
21.02,7.43,6.90,7.43,6.90,-6.90,-6.71,-3.64,0.53,0.53,0.53
21.23,7.43,6.90,7.43,6.90,-6.90,-6.72,-3.74,0.53,0.53,0.53
21.44,7.43,6.90,7.43,6.90,-6.90,-6.74,-3.85,0.53,0.53,0.53
21.66,7.43,6.90,7.43,6.90,-6.90,-6.76,-3.96,0.53,0.53,0.53
21.87,7.43,6.90,7.43,6.90,-6.90,-6.78,-4.07,0.53,0.53,0.53
22.09,7.43,6.90,7.43,6.90,-6.90,-6.79,-4.18,0.53,0.53,0.53
22.31,7.43,6.90,7.43,6.90,-6.90,-6.81,-4.30,0.53,0.53,0.53
22.54,7.43,6.90,7.43,6.90,-6.90,-6.82,-4.42,0.53,0.53,0.53
22.76,7.43,6.90,7.43,6.90,-6.91,-6.84,-4.55,0.53,0.53,0.53
22.99,7.43,6.90,7.43,6.90,-6.91,-6.86,-4.67,0.52,0.52,0.53
23.22,7.44,6.91,7.44,6.91,-6.92,-6.87,-4.80,0.53,0.53,0.53
23.45,7.45,6.92,7.46,6.92,-6.92,-6.88,-4.94,0.53,0.53,0.53
23.69,7.47,6.94,7.47,6.93,-6.93,-6.90,-5.07,0.54,0.54,0.53
23.92,7.47,6.94,7.47,6.94,-6.93,-6.91,-5.21,0.54,0.54,0.53
24.16,7.47,6.94,7.47,6.94,-6.94,-6.93,-5.35,0.53,0.54,0.53
24.40,7.47,6.94,7.47,6.94,-6.94,-6.94,-5.50,0.53,0.53,0.53
24.65,7.47,6.94,7.47,6.94,-6.94,-6.95,-5.64,0.53,0.53,0.53
24.89,7.47,6.94,7.47,6.94,-6.94,-6.97,-5.79,0.53,0.53,0.53
25.14,7.47,6.94,7.47,6.94,-6.94,-6.98,-5.94,0.53,0.53,0.53
25.39,7.47,6.94,7.47,6.94,-6.94,-6.99,-6.09,0.53,0.53,0.53
25.65,7.47,6.94,7.47,6.94,-6.95,-7.00,-6.25,0.53,0.52,0.53
25.91,7.47,6.94,7.47,6.94,-6.95,-7.01,-6.40,0.52,0.52,0.53
26.16,7.47,6.94,7.48,6.95,-6.96,-7.02,-6.56,0.51,0.52,0.53
26.43,7.50,6.97,7.50,6.97,-6.97,-7.03,-6.71,0.54,0.53,0.53
26.69,7.52,6.99,7.51,6.98,-6.97,-7.04,-6.86,0.55,0.54,0.53
26.96,7.52,6.99,7.52,6.99,-6.98,-7.05,-7.02,0.54,0.54,0.53
27.23,7.52,6.99,7.52,6.99,-6.99,-7.06,-7.17,0.54,0.54,0.53
27.50,7.52,6.99,7.52,6.99,-6.99,-7.07,-7.31,0.53,0.53,0.53
27.77,7.52,6.99,7.52,6.99,-6.99,-7.08,-7.46,0.53,0.53,0.53
28.05,7.52,6.99,7.52,6.99,-6.99,-7.09,-7.60,0.53,0.53,0.53
28.33,7.52,6.99,7.52,6.99,-6.99,-7.10,-7.73,0.53,0.53,0.53
28.62,7.52,6.99,7.52,6.99,-6.99,-7.11,-7.86,0.53,0.53,0.53
28.90,7.52,6.99,7.52,6.99,-6.99,-7.11,-7.98,0.53,0.53,0.53
29.19,7.52,6.99,7.52,6.99,-7.00,-7.12,-8.09,0.53,0.53,0.53
29.48,7.52,6.99,7.53,6.99,-7.00,-7.13,-8.19,0.52,0.52,0.53
29.78,7.54,7.01,7.54,7.00,-7.01,-7.14,-8.29,0.53,0.53,0.53
30.08,7.54,7.01,7.55,7.02,-7.02,-7.14,-8.37,0.52,0.53,0.53
30.38,7.57,7.04,7.56,7.03,-7.02,-7.15,-8.44,0.55,0.54,0.53
30.68,7.57,7.04,7.57,7.04,-7.03,-7.15,-8.50,0.54,0.54,0.53
30.99,7.57,7.04,7.58,7.04,-7.04,-7.16,-8.55,0.54,0.54,0.53
31.30,7.57,7.04,7.57,7.04,-7.04,-7.16,-8.58,0.53,0.53,0.53
31.61,7.57,7.04,7.57,7.04,-7.04,-7.17,-8.60,0.53,0.53,0.53
31.93,7.57,7.04,7.57,7.04,-7.04,-7.17,-8.61,0.53,0.53,0.53
32.24,7.57,7.04,7.57,7.04,-7.04,-7.18,-8.61,0.53,0.53,0.53
32.57,7.57,7.04,7.57,7.04,-7.04,-7.18,-8.60,0.53,0.53,0.53
32.89,7.57,7.04,7.57,7.04,-7.04,-7.18,-8.57,0.53,0.53,0.53
33.22,7.57,7.04,7.57,7.04,-7.04,-7.19,-8.54,0.53,0.53,0.53
33.55,7.57,7.04,7.57,7.04,-7.04,-7.19,-8.50,0.53,0.53,0.53
33.89,7.57,7.04,7.57,7.04,-7.04,-7.19,-8.44,0.53,0.53,0.53
34.23,7.57,7.04,7.57,7.04,-7.04,-7.19,-8.38,0.53,0.53,0.53
34.57,7.57,7.04,7.57,7.04,-7.04,-7.20,-8.32,0.53,0.53,0.53
34.92,7.57,7.04,7.57,7.04,-7.04,-7.20,-8.25,0.53,0.53,0.53
35.27,7.57,7.04,7.58,7.05,-7.05,-7.20,-8.17,0.52,0.53,0.53
35.62,7.59,7.06,7.59,7.05,-7.05,-7.20,-8.09,0.54,0.53,0.53
35.97,7.59,7.06,7.59,7.06,-7.06,-7.20,-8.01,0.53,0.53,0.53
36.33,7.59,7.06,7.60,7.06,-7.06,-7.20,-7.92,0.53,0.53,0.53
36.70,7.59,7.06,7.60,7.07,-7.07,-7.20,-7.84,0.52,0.53,0.53
37.06,7.61,7.08,7.61,7.07,-7.07,-7.20,-7.75,0.54,0.53,0.53
37.43,7.61,7.08,7.61,7.08,-7.08,-7.20,-7.67,0.54,0.54,0.53
37.81,7.61,7.08,7.61,7.08,-7.08,-7.20,-7.58,0.53,0.54,0.53
38.19,7.61,7.08,7.61,7.08,-7.08,-7.19,-7.50,0.53,0.53,0.53
38.57,7.61,7.08,7.61,7.08,-7.08,-7.19,-7.42,0.53,0.53,0.53
38.95,7.61,7.08,7.61,7.08,-7.08,-7.19,-7.34,0.53,0.53,0.53
39.34,7.61,7.08,7.61,7.08,-7.08,-7.19,-7.27,0.53,0.53,0.53
39.74,7.61,7.08,7.61,7.08,-7.08,-7.18,-7.20,0.53,0.53,0.53
40.14,7.61,7.08,7.61,7.08,-7.08,-7.18,-7.13,0.53,0.53,0.53
40.54,7.61,7.08,7.61,7.08,-7.08,-7.18,-7.07,0.53,0.53,0.53
40.94,7.61,7.08,7.61,7.08,-7.08,-7.17,-7.01,0.53,0.53,0.53
41.35,7.61,7.08,7.61,7.08,-7.08,-7.17,-6.95,0.53,0.53,0.53
41.76,7.61,7.08,7.61,7.08,-7.08,-7.16,-6.90,0.53,0.53,0.53
42.18,7.61,7.08,7.61,7.08,-7.08,-7.16,-6.86,0.53,0.53,0.53
42.60,7.61,7.08,7.61,7.08,-7.08,-7.15,-6.82,0.53,0.53,0.53
43.03,7.61,7.08,7.61,7.08,-7.08,-7.15,-6.78,0.53,0.53,0.53
43.46,7.61,7.08,7.61,7.08,-7.08,-7.14,-6.75,0.53,0.53,0.53
43.90,7.61,7.08,7.61,7.08,-7.08,-7.13,-6.72,0.53,0.53,0.53
44.33,7.61,7.08,7.61,7.08,-7.08,-7.13,-6.70,0.53,0.53,0.53
44.78,7.61,7.08,7.61,7.08,-7.08,-7.12,-6.69,0.53,0.53,0.53
45.23,7.61,7.08,7.61,7.08,-7.08,-7.11,-6.68,0.53,0.53,0.53
45.68,7.61,7.08,7.61,7.08,-7.08,-7.10,-6.67,0.53,0.53,0.53
46.13,7.61,7.08,7.61,7.08,-7.08,-7.09,-6.67,0.54,0.54,0.53
46.60,7.61,7.08,7.61,7.08,-7.07,-7.08,-6.68,0.54,0.54,0.53
47.06,7.61,7.08,7.60,7.07,-7.07,-7.08,-6.68,0.55,0.54,0.53
47.53,7.59,7.06,7.59,7.06,-7.06,-7.07,-6.70,0.53,0.53,0.53
48.01,7.57,7.04,7.58,7.05,-7.06,-7.06,-6.72,0.52,0.52,0.53
48.49,7.57,7.04,7.57,7.04,-7.05,-7.04,-6.74,0.52,0.52,0.53
48.97,7.57,7.04,7.57,7.04,-7.05,-7.03,-6.76,0.53,0.52,0.53
49.46,7.57,7.04,7.57,7.04,-7.04,-7.02,-6.79,0.53,0.53,0.53
49.96,7.57,7.04,7.57,7.04,-7.03,-7.01,-6.83,0.54,0.54,0.53
50.46,7.57,7.04,7.57,7.04,-7.03,-7.00,-6.87,0.54,0.55,0.53
50.96,7.57,7.04,7.56,7.03,-7.02,-6.99,-6.91,0.55,0.54,0.53
51.47,7.55,7.02,7.55,7.02,-7.02,-6.97,-6.95,0.53,0.53,0.53
51.99,7.52,6.99,7.53,7.00,-7.01,-6.96,-6.99,0.51,0.52,0.53
52.51,7.52,6.99,7.52,6.99,-7.00,-6.94,-7.04,0.52,0.52,0.53
53.03,7.52,6.99,7.52,6.99,-6.99,-6.93,-7.09,0.53,0.53,0.53
53.56,7.52,6.99,7.52,6.99,-6.98,-6.92,-7.13,0.54,0.54,0.53
54.10,7.52,6.99,7.51,6.98,-6.97,-6.90,-7.18,0.55,0.54,0.53
54.64,7.49,6.96,7.50,6.96,-6.96,-6.88,-7.23,0.53,0.53,0.53
55.18,7.47,6.94,7.48,6.95,-6.95,-6.87,-7.28,0.52,0.53,0.53
55.74,7.47,6.94,7.47,6.94,-6.94,-6.85,-7.32,0.53,0.53,0.53
56.29,7.47,6.94,7.46,6.93,-6.93,-6.83,-7.36,0.54,0.53,0.53
56.86,7.43,6.90,7.45,6.91,-6.92,-6.82,-7.40,0.51,0.53,0.53
57.42,7.43,6.90,7.44,6.91,-6.91,-6.80,-7.43,0.53,0.53,0.53
58.00,7.43,6.90,7.43,6.89,-6.89,-6.78,-7.46,0.54,0.53,0.53
