frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.52,3.37,3.51,3.36,-3.35,-3.67,-2.22,0.18,0.17,0.15
20.20,3.52,3.37,3.54,3.39,-3.39,-3.69,-2.28,0.13,0.15,0.15
20.40,3.58,3.43,3.57,3.42,-3.43,-3.72,-2.35,0.15,0.14,0.15
20.61,3.61,3.46,3.61,3.46,-3.47,-3.75,-2.41,0.14,0.14,0.15
20.81,3.66,3.51,3.66,3.51,-3.52,-3.78,-2.48,0.14,0.14,0.15
21.02,3.70,3.55,3.70,3.55,-3.56,-3.80,-2.56,0.14,0.15,0.15
21.23,3.75,3.60,3.75,3.60,-3.60,-3.83,-2.63,0.15,0.15,0.15
21.44,3.81,3.66,3.80,3.65,-3.64,-3.86,-2.71,0.17,0.16,0.15
21.66,3.84,3.69,3.85,3.70,-3.69,-3.89,-2.79,0.15,0.16,0.15
21.87,3.89,3.74,3.89,3.74,-3.73,-3.91,-2.87,0.16,0.16,0.15
22.09,3.92,3.77,3.93,3.78,-3.77,-3.94,-2.95,0.15,0.15,0.15
22.31,3.97,3.82,3.97,3.82,-3.82,-3.97,-3.03,0.15,0.15,0.15
22.54,4.01,3.86,4.01,3.85,-3.86,-3.99,-3.12,0.15,0.15,0.15
22.76,4.04,3.89,4.05,3.90,-3.90,-4.02,-3.21,0.14,0.14,0.15
22.99,4.09,3.94,4.09,3.94,-3.95,-4.05,-3.31,0.14,0.14,0.15
23.22,4.14,3.99,4.14,3.99,-4.00,-4.08,-3.40,0.14,0.15,0.15
23.45,4.20,4.05,4.20,4.05,-4.04,-4.10,-3.50,0.16,0.15,0.15
23.69,4.25,4.10,4.25,4.10,-4.09,-4.13,-3.59,0.16,0.16,0.15
23.92,4.29,4.14,4.29,4.14,-4.14,-4.16,-3.70,0.15,0.16,0.15
24.16,4.34,4.19,4.34,4.19,-4.18,-4.18,-3.80,0.16,0.15,0.15
24.40,4.37,4.22,4.38,4.23,-4.23,-4.21,-3.90,0.14,0.15,0.15
24.65,4.43,4.28,4.42,4.27,-4.27,-4.24,-4.01,0.16,0.15,0.15
24.89,4.46,4.31,4.46,4.31,-4.32,-4.27,-4.12,0.15,0.15,0.15
25.14,4.51,4.36,4.51,4.36,-4.36,-4.29,-4.22,0.15,0.15,0.15
25.39,4.54,4.39,4.55,4.40,-4.41,-4.32,-4.33,0.14,0.14,0.15
25.65,4.60,4.45,4.60,4.45,-4.45,-4.35,-4.44,0.15,0.15,0.15
25.91,4.65,4.50,4.65,4.50,-4.50,-4.38,-4.55,0.15,0.15,0.15
26.16,4.70,4.55,4.70,4.55,-4.55,-4.40,-4.66,0.16,0.15,0.15
26.43,4.74,4.59,4.74,4.59,-4.59,-4.43,-4.77,0.15,0.15,0.15
26.69,4.79,4.64,4.79,4.64,-4.64,-4.46,-4.88,0.15,0.15,0.15
26.96,4.82,4.67,4.83,4.68,-4.68,-4.49,-4.99,0.14,0.15,0.15
27.23,4.88,4.73,4.87,4.72,-4.72,-4.51,-5.10,0.16,0.15,0.15
27.50,4.91,4.76,4.91,4.76,-4.75,-4.54,-5.20,0.16,0.15,0.15
27.77,4.94,4.79,4.94,4.79,-4.79,-4.57,-5.30,0.15,0.16,0.15
28.05,4.97,4.82,4.97,4.82,-4.82,-4.60,-5.40,0.15,0.15,0.15
28.33,5.00,4.85,5.00,4.85,-4.85,-4.63,-5.49,0.15,0.15,0.15
28.62,5.02,4.87,5.03,4.87,-4.88,-4.65,-5.58,0.14,0.15,0.15
28.90,5.06,4.91,5.05,4.90,-4.90,-4.68,-5.66,0.16,0.15,0.15
29.19,5.07,4.92,5.08,4.93,-4.93,-4.71,-5.74,0.14,0.15,0.15
29.48,5.11,4.96,5.11,4.96,-4.96,-4.74,-5.81,0.15,0.15,0.15
29.78,5.14,4.99,5.14,4.99,-4.99,-4.77,-5.87,0.15,0.15,0.15
30.08,5.17,5.02,5.17,5.02,-5.02,-4.80,-5.93,0.15,0.15,0.15
30.38,5.20,5.05,5.20,5.05,-5.05,-4.83,-5.97,0.15,0.15,0.15
30.68,5.23,5.08,5.23,5.08,-5.08,-4.86,-6.01,0.15,0.15,0.15
30.99,5.26,5.11,5.27,5.12,-5.11,-4.88,-6.05,0.15,0.15,0.15
31.30,5.30,5.15,5.30,5.15,-5.15,-4.91,-6.07,0.15,0.15,0.15
31.61,5.34,5.19,5.33,5.18,-5.18,-4.94,-6.09,0.16,0.15,0.15
31.93,5.35,5.20,5.36,5.21,-5.21,-4.97,-6.09,0.14,0.15,0.15
32.24,5.39,5.24,5.39,5.24,-5.24,-5.00,-6.09,0.15,0.15,0.15
32.57,5.42,5.27,5.42,5.27,-5.27,-5.03,-6.08,0.15,0.15,0.15
32.89,5.44,5.29,5.45,5.30,-5.29,-5.06,-6.07,0.15,0.15,0.15
33.22,5.48,5.33,5.47,5.32,-5.32,-5.09,-6.04,0.16,0.15,0.15
33.55,5.48,5.33,5.49,5.34,-5.34,-5.11,-6.02,0.14,0.15,0.15
33.89,5.52,5.37,5.51,5.36,-5.36,-5.14,-5.98,0.16,0.15,0.15
34.23,5.53,5.38,5.53,5.38,-5.38,-5.17,-5.94,0.15,0.15,0.15
34.57,5.54,5.39,5.55,5.40,-5.40,-5.20,-5.90,0.14,0.15,0.15
34.92,5.58,5.43,5.57,5.42,-5.42,-5.22,-5.85,0.16,0.15,0.15
35.27,5.58,5.43,5.59,5.44,-5.44,-5.25,-5.80,0.14,0.15,0.15
35.62,5.62,5.47,5.61,5.46,-5.46,-5.28,-5.74,0.16,0.15,0.15
35.97,5.62,5.47,5.62,5.47,-5.47,-5.30,-5.69,0.15,0.15,0.15
36.33,5.62,5.47,5.64,5.49,-5.49,-5.33,-5.63,0.14,0.16,0.15
36.70,5.67,5.52,5.65,5.50,-5.50,-5.35,-5.57,0.17,0.16,0.15
37.06,5.67,5.52,5.67,5.52,-5.51,-5.38,-5.51,0.16,0.16,0.15
37.43,5.67,5.52,5.67,5.52,-5.52,-5.40,-5.45,0.15,0.15,0.15
37.81,5.67,5.52,5.67,5.52,-5.53,-5.43,-5.39,0.14,0.14,0.15
38.19,5.67,5.52,5.68,5.53,-5.54,-5.45,-5.34,0.13,0.14,0.15
38.57,5.71,5.56,5.70,5.55,-5.55,-5.47,-5.28,0.16,0.15,0.15
38.95,5.72,5.57,5.72,5.56,-5.56,-5.49,-5.23,0.16,0.16,0.15
39.34,5.72,5.57,5.72,5.57,-5.56,-5.51,-5.17,0.16,0.16,0.15
39.74,5.72,5.57,5.72,5.57,-5.57,-5.53,-5.13,0.15,0.15,0.15
40.14,5.72,5.57,5.72,5.57,-5.57,-5.55,-5.08,0.15,0.15,0.15
40.54,5.72,5.57,5.72,5.57,-5.58,-5.56,-5.04,0.14,0.14,0.15
40.94,5.72,5.57,5.72,5.57,-5.58,-5.58,-5.00,0.14,0.14,0.15
41.35,5.72,5.57,5.72,5.57,-5.57,-5.59,-4.96,0.15,0.15,0.15
41.76,5.72,5.57,5.72,5.57,-5.57,-5.61,-4.92,0.15,0.16,0.15
42.18,5.72,5.57,5.72,5.57,-5.56,-5.62,-4.89,0.16,0.16,0.15
42.60,5.72,5.57,5.71,5.56,-5.56,-5.63,-4.87,0.17,0.15,0.15
43.03,5.69,5.54,5.69,5.54,-5.54,-5.64,-4.84,0.15,0.15,0.15
43.46,5.67,5.52,5.68,5.53,-5.53,-5.64,-4.82,0.14,0.15,0.15
43.90,5.67,5.52,5.66,5.51,-5.51,-5.65,-4.81,0.16,0.15,0.15
44.33,5.66,5.51,5.65,5.50,-5.50,-5.65,-4.80,0.16,0.15,0.15
44.78,5.62,5.47,5.63,5.48,-5.48,-5.65,-4.79,0.14,0.15,0.15
45.23,5.62,5.47,5.61,5.46,-5.47,-5.65,-4.78,0.15,0.14,0.15
45.68,5.59,5.44,5.59,5.44,-5.45,-5.65,-4.78,0.14,0.14,0.15
46.13,5.58,5.43,5.59,5.43,-5.44,-5.65,-4.79,0.14,0.14,0.15
46.60,5.58,5.43,5.58,5.43,-5.43,-5.64,-4.79,0.15,0.15,0.15
47.06,5.58,5.43,5.58,5.43,-5.42,-5.64,-4.80,0.16,0.16,0.15
47.53,5.58,5.43,5.58,5.42,-5.42,-5.63,-4.82,0.16,0.16,0.15
48.01,5.57,5.42,5.56,5.41,-5.41,-5.62,-4.83,0.16,0.15,0.15
48.49,5.53,5.38,5.55,5.39,-5.40,-5.60,-4.85,0.13,0.15,0.15
48.97,5.53,5.38,5.54,5.38,-5.39,-5.59,-4.88,0.14,0.15,0.15
49.46,5.53,5.38,5.52,5.37,-5.37,-5.57,-4.90,0.16,0.15,0.15
49.96,5.52,5.37,5.51,5.36,-5.35,-5.56,-4.93,0.17,0.16,0.15
50.46,5.48,5.33,5.49,5.34,-5.33,-5.54,-4.96,0.15,0.16,0.15
