frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.89,2.79,1.87,2.76,-2.76,-3.30,-2.19,-0.87,-0.89,-0.90
20.20,1.89,2.79,1.93,2.82,-2.82,-3.34,-2.26,-0.93,-0.90,-0.90
20.40,1.98,2.88,1.99,2.88,-2.89,-3.39,-2.32,-0.90,-0.90,-0.90
20.61,2.05,2.95,2.05,2.95,-2.95,-3.43,-2.39,-0.90,-0.90,-0.90
20.81,2.13,3.03,2.12,3.02,-3.01,-3.47,-2.45,-0.88,-0.89,-0.90
21.02,2.18,3.08,2.18,3.08,-3.07,-3.51,-2.52,-0.89,-0.89,-0.90
21.23,2.22,3.12,2.23,3.13,-3.13,-3.55,-2.60,-0.91,-0.90,-0.90
21.44,2.29,3.19,2.29,3.19,-3.20,-3.59,-2.67,-0.91,-0.91,-0.90
21.66,2.35,3.25,2.36,3.26,-3.26,-3.63,-2.75,-0.91,-0.90,-0.90
21.87,2.44,3.34,2.43,3.33,-3.33,-3.68,-2.82,-0.88,-0.90,-0.90
22.09,2.50,3.40,2.49,3.39,-3.39,-3.72,-2.90,-0.89,-0.90,-0.90
22.31,2.53,3.43,2.55,3.45,-3.44,-3.76,-2.99,-0.91,-0.89,-0.90
22.54,2.61,3.51,2.62,3.51,-3.50,-3.80,-3.07,-0.89,-0.88,-0.90
22.76,2.69,3.59,2.68,3.57,-3.55,-3.84,-3.16,-0.86,-0.88,-0.90
22.99,2.74,3.64,2.72,3.62,-3.61,-3.88,-3.25,-0.87,-0.89,-0.90
23.22,2.75,3.65,2.76,3.66,-3.67,-3.92,-3.34,-0.92,-0.91,-0.90
23.45,2.78,3.68,2.80,3.70,-3.73,-3.96,-3.43,-0.95,-0.93,-0.90
23.69,2.88,3.78,2.87,3.77,-3.80,-4.00,-3.52,-0.92,-0.93,-0.90
23.92,2.95,3.85,2.96,3.85,-3.86,-4.04,-3.62,-0.91,-0.91,-0.90
24.16,3.06,3.96,3.05,3.95,-3.94,-4.08,-3.72,-0.87,-0.89,-0.90
24.40,3.12,4.02,3.13,4.03,-4.01,-4.12,-3.82,-0.89,-0.88,-0.90
24.65,3.21,4.11,3.20,4.10,-4.09,-4.16,-3.92,-0.88,-0.88,-0.90
24.89,3.27,4.17,3.27,4.17,-4.17,-4.20,-4.02,-0.90,-0.90,-0.90
25.14,3.33,4.23,3.34,4.24,-4.24,-4.24,-4.13,-0.91,-0.90,-0.90
25.39,3.40,4.30,3.40,4.30,-4.31,-4.28,-4.23,-0.90,-0.90,-0.90
