frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-7.72,-7.52,-7.74,-7.53,5.97,5.67,1.17,-1.75,-1.77,-0.21
20.20,-7.65,-7.45,-7.65,-7.44,5.99,5.86,1.21,-1.67,-1.66,-0.21
20.40,-7.56,-7.36,-7.55,-7.34,6.00,6.04,1.25,-1.56,-1.54,-0.21
20.61,-7.45,-7.24,-7.44,-7.23,6.01,6.19,1.29,-1.43,-1.42,-0.21
20.81,-7.29,-7.09,-7.30,-7.10,6.02,6.33,1.33,-1.27,-1.28,-0.20
21.02,-7.15,-6.95,-7.17,-6.96,6.02,6.43,1.37,-1.13,-1.14,-0.20
21.23,-7.04,-6.84,-7.03,-6.83,6.02,6.50,1.42,-1.02,-1.01,-0.20
21.44,-6.90,-6.70,-6.90,-6.70,6.02,6.54,1.46,-0.89,-0.88,-0.20
21.66,-6.77,-6.57,-6.77,-6.57,6.02,6.54,1.51,-0.74,-0.74,-0.20
21.87,-6.62,-6.43,-6.63,-6.43,6.02,6.50,1.56,-0.60,-0.61,-0.20
22.09,-6.50,-6.31,-6.49,-6.30,6.01,6.43,1.61,-0.49,-0.49,-0.20
22.31,-6.36,-6.17,-6.36,-6.17,5.98,6.33,1.66,-0.39,-0.39,-0.19
22.54,-6.23,-6.03,-6.24,-6.04,5.93,6.21,1.71,-0.30,-0.31,-0.19
22.76,-6.11,-5.92,-6.10,-5.91,5.86,6.05,1.76,-0.26,-0.24,-0.19
22.99,-5.96,-5.77,-5.97,-5.78,5.77,5.88,1.82,-0.20,-0.20,-0.19
23.22,-5.83,-5.64,-5.84,-5.65,5.66,5.69,1.87,-0.16,-0.17,-0.19
23.45,-5.71,-5.53,-5.70,-5.51,5.54,5.49,1.93,-0.17,-0.16,-0.19
23.69,-5.57,-5.38,-5.57,-5.38,5.41,5.29,1.99,-0.16,-0.16,-0.19
23.92,-5.43,-5.25,-5.44,-5.26,5.27,5.08,2.05,-0.17,-0.17,-0.18
24.16,-5.31,-5.13,-5.30,-5.12,5.12,4.87,2.11,-0.19,-0.18,-0.18
24.40,-5.17,-4.99,-5.18,-4.99,4.99,4.66,2.17,-0.18,-0.18,-0.18
24.65,-5.04,-4.86,-5.05,-4.86,4.86,4.45,2.23,-0.18,-0.18,-0.18
24.89,-4.92,-4.74,-4.91,-4.73,4.73,4.25,2.30,-0.19,-0.18,-0.18
25.14,-4.77,-4.60,-4.78,-4.60,4.60,4.05,2.36,-0.17,-0.18,-0.18
25.39,-4.63,-4.46,-4.64,-4.47,4.47,3.86,2.42,-0.16,-0.17,-0.18
25.65,-4.53,-4.35,-4.51,-4.34,4.34,3.68,2.49,-0.18,-0.17,-0.17
25.91,-4.39,-4.21,-4.39,-4.22,4.22,3.50,2.55,-0.17,-0.18,-0.17
26.16,-4.27,-4.10,-4.27,-4.09,4.09,3.33,2.62,-0.18,-0.18,-0.17
26.43,-4.14,-3.97,-4.14,-3.96,3.96,3.17,2.68,-0.17,-0.17,-0.17
26.69,-3.99,-3.83,-4.01,-3.84,3.84,3.02,2.74,-0.16,-0.17,-0.17
26.96,-3.89,-3.72,-3.88,-3.71,3.71,2.87,2.80,-0.18,-0.17,-0.17
27.23,-3.75,-3.58,-3.75,-3.58,3.58,2.73,2.86,-0.16,-0.17,-0.17
27.50,-3.64,-3.47,-3.63,-3.46,3.46,2.60,2.92,-0.18,-0.17,-0.17
27.77,-3.48,-3.32,-3.49,-3.33,3.33,2.47,2.97,-0.15,-0.16,-0.16
28.05,-3.38,-3.22,-3.37,-3.21,3.21,2.35,3.02,-0.17,-0.16,-0.16
28.33,-3.23,-3.07,-3.25,-3.09,3.09,2.24,3.07,-0.15,-0.16,-0.16
28.62,-3.14,-2.98,-3.13,-2.97,2.96,2.13,3.12,-0.17,-0.16,-0.16
28.90,-3.00,-2.85,-3.00,-2.85,2.84,2.03,3.16,-0.16,-0.16,-0.16
29.19,-2.88,-2.73,-2.88,-2.73,2.72,1.93,3.19,-0.16,-0.16,-0.16
29.48,-2.75,-2.60,-2.76,-2.60,2.61,1.84,3.23,-0.15,-0.15,-0.16
29.78,-2.64,-2.48,-2.64,-2.48,2.49,1.75,3.25,-0.15,-0.15,-0.15
30.08,-2.53,-2.37,-2.52,-2.37,2.37,1.67,3.27,-0.16,-0.15,-0.15
30.38,-2.41,-2.25,-2.41,-2.26,2.25,1.59,3.29,-0.15,-0.16,-0.15
30.68,-2.30,-2.15,-2.29,-2.14,2.14,1.51,3.30,-0.16,-0.15,-0.15
30.99,-2.18,-2.03,-2.18,-2.03,2.03,1.44,3.31,-0.15,-0.15,-0.15
31.30,-2.06,-1.91,-2.06,-1.92,1.92,1.37,3.30,-0.14,-0.14,-0.15
31.61,-1.95,-1.81,-1.95,-1.80,1.81,1.30,3.30,-0.14,-0.14,-0.15
31.93,-1.85,-1.70,-1.85,-1.70,1.70,1.23,3.28,-0.14,-0.14,-0.14
32.24,-1.74,-1.60,-1.74,-1.60,1.60,1.17,3.26,-0.15,-0.15,-0.14
32.57,-1.65,-1.50,-1.64,-1.50,1.49,1.11,3.24,-0.15,-0.15,-0.14
32.89,-1.53,-1.39,-1.54,-1.40,1.39,1.05,3.21,-0.14,-0.14,-0.14
33.22,-1.43,-1.30,-1.44,-1.30,1.30,0.99,3.17,-0.14,-0.14,-0.14
33.55,-1.33,-1.20,-1.33,-1.20,1.20,0.94,3.13,-0.13,-0.13,-0.14
33.89,-1.24,-1.11,-1.24,-1.10,1.11,0.88,3.09,-0.14,-0.13,-0.14
34.23,-1.15,-1.01,-1.15,-1.02,1.02,0.83,3.03,-0.13,-0.13,-0.14
34.57,-1.06,-0.93,-1.06,-0.93,0.93,0.78,2.98,-0.14,-0.13,-0.13
34.92,-0.99,-0.85,-0.98,-0.85,0.84,0.73,2.92,-0.14,-0.14,-0.13
35.27,-0.89,-0.76,-0.90,-0.77,0.76,0.68,2.86,-0.13,-0.14,-0.13
35.62,-0.82,-0.70,-0.81,-0.68,0.68,0.63,2.80,-0.15,-0.13,-0.13
35.97,-0.71,-0.59,-0.73,-0.60,0.60,0.58,2.73,-0.11,-0.13,-0.13
36.33,-0.64,-0.52,-0.65,-0.52,0.52,0.52,2.66,-0.12,-0.12,-0.13
36.70,-0.58,-0.45,-0.57,-0.44,0.45,0.47,2.59,-0.13,-0.12,-0.13
37.06,-0.49,-0.37,-0.50,-0.37,0.37,0.42,2.51,-0.12,-0.13,-0.12
37.43,-0.42,-0.30,-0.43,-0.30,0.30,0.37,2.44,-0.12,-0.13,-0.12
37.81,-0.35,-0.23,-0.35,-0.23,0.23,0.32,2.37,-0.13,-0.12,-0.12
38.19,-0.29,-0.17,-0.28,-0.16,0.16,0.26,2.29,-0.13,-0.12,-0.12
38.57,-0.20,-0.09,-0.21,-0.10,0.09,0.21,2.21,-0.11,-0.12,-0.12
38.95,-0.15,-0.04,-0.15,-0.03,0.03,0.15,2.14,-0.12,-0.12,-0.12
39.34,-0.08,0.03,-0.08,0.04,-0.03,0.10,2.06,-0.11,-0.11,-0.12
39.74,-0.02,0.10,-0.02,0.09,-0.09,0.04,1.98,-0.10,-0.11,-0.11
40.14,0.03,0.15,0.03,0.14,-0.14,-0.02,1.91,-0.11,-0.11,-0.11
40.54,0.08,0.19,0.08,0.19,-0.20,-0.08,1.83,-0.12,-0.11,-0.11
40.94,0.13,0.24,0.13,0.24,-0.25,-0.13,1.76,-0.12,-0.12,-0.11
41.35,0.19,0.29,0.18,0.29,-0.29,-0.19,1.68,-0.11,-0.11,-0.11
41.76,0.23,0.33,0.23,0.33,-0.33,-0.25,1.61,-0.11,-0.11,-0.11
42.18,0.27,0.37,0.27,0.38,-0.37,-0.30,1.53,-0.11,-0.10,-0.11
42.60,0.31,0.41,0.30,0.41,-0.41,-0.34,1.46,-0.10,-0.11,-0.10
43.03,0.34,0.44,0.34,0.44,-0.44,-0.38,1.39,-0.10,-0.10,-0.10
43.46,0.36,0.46,0.36,0.47,-0.46,-0.42,1.32,-0.10,-0.10,-0.10
43.90,0.39,0.50,0.38,0.48,-0.48,-0.44,1.25,-0.08,-0.09,-0.10
44.33,0.40,0.49,0.40,0.49,-0.49,-0.46,1.18,-0.09,-0.09,-0.10
44.78,0.40,0.49,0.40,0.50,-0.50,-0.47,1.11,-0.10,-0.10,-0.10
45.23,0.40,0.49,0.40,0.49,-0.50,-0.47,1.04,-0.10,-0.10,-0.10
45.68,0.40,0.49,0.40,0.49,-0.50,-0.47,0.98,-0.10,-0.10,-0.10
46.13,0.40,0.49,0.40,0.49,-0.49,-0.45,0.91,-0.10,-0.09,-0.09
46.60,0.40,0.49,0.39,0.49,-0.48,-0.44,0.85,-0.09,-0.09,-0.09
47.06,0.40,0.49,0.38,0.47,-0.47,-0.41,0.78,-0.08,-0.09,-0.09
47.53,0.36,0.44,0.37,0.46,-0.46,-0.39,0.72,-0.10,-0.09,-0.09
48.01,0.36,0.44,0.35,0.44,-0.44,-0.36,0.66,-0.08,-0.09,-0.09
48.49,0.34,0.42,0.33,0.42,-0.42,-0.33,0.60,-0.09,-0.09,-0.09
48.97,0.32,0.40,0.32,0.40,-0.40,-0.30,0.54,-0.09,-0.08,-0.09
49.46,0.31,0.39,0.30,0.38,-0.38,-0.27,0.48,-0.07,-0.08,-0.08
49.96,0.27,0.35,0.28,0.36,-0.36,-0.25,0.42,-0.09,-0.08,-0.08
50.46,0.27,0.35,0.25,0.33,-0.34,-0.22,0.37,-0.08,-0.09,-0.08
50.96,0.23,0.31,0.24,0.32,-0.32,-0.20,0.31,-0.10,-0.09,-0.08
51.47,0.23,0.30,0.23,0.31,-0.31,-0.18,0.26,-0.08,-0.08,-0.08
51.99,0.23,0.30,0.22,0.29,-0.29,-0.16,0.20,-0.07,-0.08,-0.08
52.51,0.22,0.29,0.21,0.28,-0.28,-0.14,0.15,-0.07,-0.07,-0.08
53.03,0.19,0.26,0.20,0.27,-0.27,-0.12,0.10,-0.09,-0.08,-0.07
53.56,0.19,0.26,0.19,0.26,-0.26,-0.11,0.05,-0.08,-0.08,-0.07
54.10,0.19,0.26,0.19,0.26,-0.26,-0.09,-0.00,-0.07,-0.07,-0.07
54.64,0.19,0.26,0.18,0.25,-0.25,-0.08,-0.05,-0.06,-0.06,-0.07
55.18,0.19,0.25,0.17,0.24,-0.23,-0.07,-0.10,-0.05,-0.06,-0.07
55.74,0.14,0.20,0.16,0.22,-0.22,-0.06,-0.14,-0.08,-0.06,-0.07
56.29,0.14,0.20,0.14,0.20,-0.20,-0.05,-0.18,-0.07,-0.07,-0.07
56.86,0.14,0.20,0.12,0.18,-0.18,-0.04,-0.23,-0.05,-0.06,-0.06
57.42,0.10,0.16,0.11,0.17,-0.16,-0.04,-0.27,-0.07,-0.06,-0.06
58.00,0.10,0.16,0.09,0.15,-0.15,-0.03,-0.30,-0.05,-0.06,-0.06
58.58,0.07,0.13,0.07,0.13,-0.13,-0.03,-0.34,-0.06,-0.06,-0.06
59.16,0.06,0.11,0.06,0.12,-0.12,-0.02,-0.37,-0.06,-0.06,-0.06
59.76,0.06,0.11,0.05,0.11,-0.11,-0.02,-0.41,-0.06,-0.06,-0.06
60.35,0.06,0.11,0.05,0.11,-0.12,-0.02,-0.44,-0.06,-0.06,-0.06
60.96,0.06,0.11,0.07,0.12,-0.13,-0.02,-0.47,-0.07,-0.06,-0.06
61.57,0.10,0.15,0.09,0.14,-0.15,-0.01,-0.49,-0.06,-0.06,-0.05
62.18,0.13,0.18,0.12,0.17,-0.18,-0.01,-0.52,-0.06,-0.06,-0.05
62.80,0.17,0.22,0.17,0.22,-0.22,-0.01,-0.54,-0.06,-0.06,-0.05
63.43,0.21,0.26,0.22,0.26,-0.27,-0.01,-0.56,-0.07,-0.06,-0.05
64.07,0.27,0.32,0.27,0.32,-0.33,-0.01,-0.58,-0.05,-0.06,-0.05
64.71,0.34,0.38,0.33,0.38,-0.38,-0.01,-0.60,-0.04,-0.05,-0.05
65.35,0.38,0.42,0.38,0.43,-0.43,-0.01,-0.61,-0.05,-0.05,-0.05
66.01,0.43,0.47,0.43,0.47,-0.47,-0.02,-0.63,-0.04,-0.04,-0.04
66.67,0.46,0.50,0.46,0.50,-0.49,-0.02,-0.64,-0.04,-0.03,-0.04
67.33,0.49,0.53,0.48,0.52,-0.50,-0.02,-0.65,-0.01,-0.02,-0.04
68.01,0.47,0.51,0.47,0.51,-0.48,-0.02,-0.66,-0.02,-0.02,-0.04
68.69,0.43,0.46,0.43,0.46,-0.44,-0.02,-0.66,-0.01,-0.01,-0.04
69.37,0.35,0.39,0.35,0.39,-0.38,-0.03,-0.67,-0.02,-0.02,-0.04
70.07,0.27,0.30,0.26,0.30,-0.29,-0.03,-0.67,-0.03,-0.03,-0.04
70.77,0.16,0.19,0.16,0.19,-0.19,-0.03,-0.68,-0.03,-0.03,-0.03
71.48,0.04,0.07,0.04,0.08,-0.07,-0.03,-0.68,-0.03,-0.03,-0.03
72.19,-0.07,-0.03,-0.08,-0.05,0.05,-0.04,-0.68,-0.01,-0.03,-0.03
